E =  150.000 MeV, Wght = 1.00, Syst = 0.05
-------------------------------------------
E =  155.000 MeV, Wght = 1.00, Syst = 0.05
-------------------------------------------
E =  160.000 MeV, Wght = 1.00, Syst = 0.05
-------------------------------------------
E =  165.000 MeV, Wght = 1.00, Syst = 0.05
-------------------------------------------
E =  170.000 MeV, Wght = 1.00, Syst = 0.05
-------------------------------------------
E =  175.000 MeV, Wght = 1.00, Syst = 0.05
-------------------------------------------
E =  180.000 MeV, Wght = 1.00, Syst = 0.05
-------------------------------------------
E =  185.000 MeV, Wght = 1.00, Syst = 0.05
-------------------------------------------
E =  190.000 MeV, Wght = 1.00, Syst = 0.05
-------------------------------------------
E =  195.000 MeV, Wght = 1.00, Syst = 0.05
-------------------------------------------
E =  200.000 MeV, Wght = 1.00, Syst = 0.05
-------------------------------------------
E =  220.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.64200E+01  0.26000E+00
 20.00  0.58400E+01  0.18000E+00
 25.00  0.57700E+01  0.20000E+00
 30.00  0.58400E+01  0.17000E+00
 35.00  0.62000E+01  0.21000E+00
 40.00  0.66300E+01  0.19000E+00
 45.00  0.71000E+01  0.26000E+00
 50.00  0.78200E+01  0.26000E+00
 60.00  0.88900E+01  0.30000E+00
 70.00  0.96000E+01  0.31000E+00
120.00  0.11600E+02  0.10500E+01
-------------------------------------------
E =  220.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.62700E+01  0.28000E+00
 20.00  0.58100E+01  0.18000E+00
 25.00  0.57600E+01  0.21000E+00
 30.00  0.58400E+01  0.17000E+00
 35.00  0.61900E+01  0.21000E+00
 40.00  0.65600E+01  0.19000E+00
 45.00  0.70200E+01  0.26000E+00
 50.00  0.77100E+01  0.26000E+00
 55.00  0.86400E+01  0.32000E+00
 60.00  0.88900E+01  0.30000E+00
 65.00  0.95600E+01  0.34000E+00
 70.00  0.93900E+01  0.31000E+00
 75.00  0.10690E+02  0.40000E+00
 80.00  0.10890E+02  0.39000E+00
 85.00  0.11010E+02  0.41000E+00
 90.00  0.11040E+02  0.39000E+00
100.00  0.11730E+02  0.49000E+00
140.00  0.11440E+02  0.54000E+00
-------------------------------------------
E =  240.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.57800E+01  0.17000E+00
 20.00  0.56400E+01  0.20000E+00
 25.00  0.57400E+01  0.20000E+00
 30.00  0.60700E+01  0.21000E+00
 35.00  0.65900E+01  0.22000E+00
 40.00  0.73300E+01  0.24000E+00
 45.00  0.78300E+01  0.25000E+00
 50.00  0.86400E+01  0.27000E+00
 60.00  0.10100E+02  0.25000E+00
 70.00  0.11240E+02  0.24000E+00
140.00  0.13900E+02  0.49000E+00
145.00  0.13150E+02  0.48000E+00
150.00  0.12590E+02  0.46000E+00
155.00  0.13940E+02  0.48000E+00
160.00  0.12110E+02  0.44000E+00
170.00  0.13410E+02  0.50000E+00
180.00  0.12260E+02  0.73000E+00
-------------------------------------------
E =  240.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.57400E+01  0.21000E+00
 20.00  0.55600E+01  0.20000E+00
 25.00  0.56800E+01  0.20000E+00
 30.00  0.60300E+01  0.22000E+00
 35.00  0.65400E+01  0.22000E+00
 40.00  0.72800E+01  0.24000E+00
 45.00  0.77700E+01  0.26000E+00
 50.00  0.85800E+01  0.27000E+00
 55.00  0.94400E+01  0.32000E+00
 60.00  0.10150E+02  0.26000E+00
 65.00  0.10830E+02  0.36000E+00
 70.00  0.11150E+02  0.25000E+00
 75.00  0.12430E+02  0.42000E+00
 80.00  0.12980E+02  0.44000E+00
 85.00  0.13640E+02  0.47000E+00
 90.00  0.13660E+02  0.46000E+00
 95.00  0.14940E+02  0.50000E+00
100.00  0.13990E+02  0.33000E+00
105.00  0.15090E+02  0.50000E+00
110.00  0.14460E+02  0.54000E+00
115.00  0.14610E+02  0.50000E+00
120.00  0.15520E+02  0.51000E+00
125.00  0.14370E+02  0.49000E+00
130.00  0.14220E+02  0.49000E+00
135.00  0.13960E+02  0.49000E+00
-------------------------------------------
E =  260.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.54800E+01  0.21000E+00
 20.00  0.54100E+01  0.18000E+00
 25.00  0.54000E+01  0.18000E+00
 30.00  0.62200E+01  0.20000E+00
 35.00  0.71100E+01  0.22000E+00
 40.00  0.77500E+01  0.25000E+00
 45.00  0.90700E+01  0.30000E+00
 50.00  0.10070E+02  0.32000E+00
 60.00  0.11400E+02  0.25000E+00
 70.00  0.14200E+02  0.44000E+00
 15.00  0.54600E+01  0.23000E+00
 20.00  0.53100E+01  0.18000E+00
 25.00  0.53200E+01  0.19000E+00
 30.00  0.61500E+01  0.20000E+00
 35.00  0.70400E+01  0.23000E+00
 40.00  0.76900E+01  0.25000E+00
 45.00  0.90100E+01  0.31000E+00
 50.00  0.10040E+02  0.32000E+00
 55.00  0.11030E+02  0.37000E+00
 60.00  0.11480E+02  0.26000E+00
 65.00  0.13310E+02  0.43000E+00
 70.00  0.14190E+02  0.45000E+00
 75.00  0.15670E+02  0.52000E+00
 80.00  0.16100E+02  0.52000E+00
 85.00  0.15830E+02  0.51000E+00
 90.00  0.16770E+02  0.54000E+00
 95.00  0.17590E+02  0.57000E+00
100.00  0.17440E+02  0.57000E+00
105.00  0.17680E+02  0.59000E+00
110.00  0.18140E+02  0.59000E+00
115.00  0.18350E+02  0.59000E+00
120.00  0.16800E+02  0.56000E+00
125.00  0.16540E+02  0.56000E+00
130.00  0.16920E+02  0.57000E+00
135.00  0.16150E+02  0.55000E+00
140.00  0.16040E+02  0.55000E+00
145.00  0.16360E+02  0.56000E+00
150.00  0.16310E+02  0.45000E+00
155.00  0.15280E+02  0.52000E+00
160.00  0.14500E+02  0.49000E+00
170.00  0.14850E+02  0.55000E+00
180.00  0.15330E+02  0.85000E+00
-------------------------------------------
E =  280.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.62900E+01  0.22000E+00
 20.00  0.60700E+01  0.18000E+00
 25.00  0.60700E+01  0.21000E+00
 30.00  0.72700E+01  0.24000E+00
 40.00  0.95000E+01  0.29000E+00
 45.00  0.10500E+02  0.37000E+00
 50.00  0.11940E+02  0.27000E+00
 60.00  0.14910E+02  0.34000E+00
 70.00  0.16920E+02  0.53000E+00
 15.00  0.62400E+01  0.24000E+00
 20.00  0.60000E+01  0.18000E+00
 25.00  0.59800E+01  0.21000E+00
 30.00  0.71600E+01  0.24000E+00
 35.00  0.78800E+01  0.26000E+00
 40.00  0.94400E+01  0.30000E+00
 45.00  0.10470E+02  0.37000E+00
 50.00  0.11950E+02  0.28000E+00
 55.00  0.13500E+02  0.44000E+00
 60.00  0.15030E+02  0.34000E+00
 65.00  0.17730E+02  0.58000E+00
 70.00  0.16960E+02  0.53000E+00
 75.00  0.18140E+02  0.58000E+00
 80.00  0.19620E+02  0.62000E+00
 85.00  0.20490E+02  0.66000E+00
 90.00  0.20790E+02  0.68000E+00
 95.00  0.20920E+02  0.66000E+00
100.00  0.20710E+02  0.68000E+00
105.00  0.21060E+02  0.67000E+00
110.00  0.21720E+02  0.71000E+00
115.00  0.20990E+02  0.68000E+00
120.00  0.20900E+02  0.68000E+00
125.00  0.20320E+02  0.66000E+00
130.00  0.18910E+02  0.62000E+00
135.00  0.18850E+02  0.62000E+00
140.00  0.18210E+02  0.62000E+00
145.00  0.18060E+02  0.62000E+00
150.00  0.17750E+02  0.62000E+00
155.00  0.17240E+02  0.57000E+00
160.00  0.16640E+02  0.57000E+00
170.00  0.17060E+02  0.62000E+00
180.00  0.15710E+02  0.89000E+00
-------------------------------------------
E =  300.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.79500E+01  0.29000E+00
 20.00  0.75500E+01  0.25000E+00
 25.00  0.84600E+01  0.20000E+00
 30.00  0.91100E+01  0.30000E+00
 35.00  0.99900E+01  0.33000E+00
 40.00  0.11150E+02  0.26000E+00
 45.00  0.13120E+02  0.42000E+00
 50.00  0.14540E+02  0.33000E+00
 55.00  0.15370E+02  0.50000E+00
 60.00  0.16970E+02  0.38000E+00
-------------------------------------------
E =  300.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.79500E+01  0.29000E+00
 20.00  0.75500E+01  0.25000E+00
 25.00  0.84600E+01  0.20000E+00
 30.00  0.91100E+01  0.30000E+00
 35.00  0.99900E+01  0.33000E+00
 40.00  0.11150E+02  0.26000E+00
 45.00  0.13120E+02  0.42000E+00
 50.00  0.14540E+02  0.33000E+00
 55.00  0.15370E+02  0.50000E+00
 60.00  0.16970E+02  0.38000E+00
 65.00  0.17740E+02  0.56000E+00
 70.00  0.17620E+02 -0.37000E+00
 75.00  0.20440E+02  0.67000E+00
 80.00  0.21460E+02  0.70000E+00
 85.00  0.22660E+02  0.74000E+00
 90.00  0.22940E+02  0.72000E+00
 95.00  0.22710E+02  0.52000E+00
100.00  0.24040E+02  0.78000E+00
105.00  0.23190E+02  0.74000E+00
110.00  0.24200E+02  0.78000E+00
115.00  0.22230E+02  0.51000E+00
120.00  0.22840E+02  0.76000E+00
125.00  0.22370E+02  0.71000E+00
130.00  0.20640E+02  0.68000E+00
135.00  0.19320E+02  0.45000E+00
140.00  0.19680E+02  0.66000E+00
150.00  0.19090E+02  0.63000E+00
150.00  0.18600E+02  0.64000E+00
155.00  0.17000E+02  0.61000E+00
160.00  0.17250E+02  0.58000E+00
170.00  0.16080E+02  0.60000E+00
180.00  0.16520E+02  0.85000E+00
-------------------------------------------
E =  300.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.80400E+01  0.27000E+00
 20.00  0.75800E+01  0.25000E+00
 25.00  0.85900E+01  0.20000E+00
 30.00  0.92500E+01  0.29000E+00
 35.00  0.10100E+02  0.33000E+00
 40.00  0.11210E+02  0.25000E+00
 45.00  0.13150E+02  0.41000E+00
 50.00  0.14510E+02  0.33000E+00
 60.00  0.16840E+02  0.38000E+00
 70.00  0.17520E+02 -0.36000E+00
-------------------------------------------
E =  310.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.95700E+01  0.33000E+00
 20.00  0.94700E+01  0.30000E+00
 25.00  0.92900E+01  0.30000E+00
 30.00  0.10400E+02  0.33000E+00
 35.00  0.11030E+02  0.36000E+00
 40.00  0.12720E+02  0.42000E+00
 45.00  0.13710E+02  0.42000E+00
 50.00  0.14950E+02  0.50000E+00
 60.00  0.17050E+02  0.55000E+00
 70.00  0.19640E+02  0.61000E+00
100.00  0.23460E+02  0.75000E+00
120.00  0.21390E+02  0.72000E+00
-------------------------------------------
E =  310.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.96500E+01  0.32000E+00
 20.00  0.95000E+01  0.29000E+00
 25.00  0.94000E+01  0.29000E+00
 30.00  0.10550E+02  0.33000E+00
 35.00  0.11150E+02  0.36000E+00
 40.00  0.12790E+02  0.41000E+00
 45.00  0.13740E+02  0.42000E+00
 50.00  0.14920E+02  0.49000E+00
 60.00  0.16920E+02  0.54000E+00
 70.00  0.19580E+02  0.60000E+00
-------------------------------------------
E =  320.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.11640E+02  0.40000E+00
 20.00  0.11370E+02  0.37000E+00
 25.00  0.10680E+02  0.25000E+00
 30.00  0.11850E+02  0.37000E+00
 35.00  0.12470E+02  0.40000E+00
 40.00  0.13620E+02  0.43000E+00
 45.00  0.14430E+02  0.48000E+00
 50.00  0.15250E+02  0.34000E+00
 55.00  0.17250E+02  0.55000E+00
 60.00  0.17480E+02  0.55000E+00
 65.00  0.19700E+02  0.61000E+00
 70.00  0.19810E+02  0.44000E+00
 75.00  0.21550E+02  0.66000E+00
 80.00  0.21360E+02  0.68000E+00
 85.00  0.21560E+02  0.65000E+00
 90.00  0.21630E+02  0.71000E+00
 95.00  0.22170E+02  0.69000E+00
100.00  0.22170E+02  0.71000E+00
105.00  0.21640E+02  0.69000E+00
110.00  0.22020E+02  0.71000E+00
115.00  0.20430E+02  0.67000E+00
120.00  0.20690E+02  0.69000E+00
125.00  0.20340E+02  0.65000E+00
130.00  0.20490E+02  0.48000E+00
135.00  0.18170E+02  0.60000E+00
140.00  0.18000E+02  0.60000E+00
145.00  0.17290E+02  0.57000E+00
150.00  0.17460E+02  0.60000E+00
155.00  0.16720E+02  0.57000E+00
160.00  0.15720E+02  0.53000E+00
170.00  0.14210E+02  0.53000E+00
180.00  0.15070E+02  0.75000E+00
-------------------------------------------
E =  320.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.11690E+02  0.38000E+00
 20.00  0.11390E+02  0.36000E+00
 25.00  0.10810E+02  0.24000E+00
 30.00  0.12000E+02  0.36000E+00
 35.00  0.12590E+02  0.40000E+00
 40.00  0.13680E+02  0.42000E+00
 45.00  0.14460E+02  0.48000E+00
 50.00  0.15230E+02  0.34000E+00
 60.00  0.17350E+02  0.54000E+00
 70.00  0.19720E+02  0.44000E+00
-------------------------------------------
E =  325.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.11940E+02  0.40000E+00
 20.00  0.12320E+02  0.37000E+00
 25.00  0.12000E+02  0.38000E+00
 30.00  0.12350E+02  0.39000E+00
 35.00  0.13020E+02  0.41000E+00
 40.00  0.13160E+02  0.29000E+00
 45.00  0.13910E+02  0.72000E+00
 50.00  0.15630E+02  0.49000E+00
 60.00  0.17610E+02  0.54000E+00
 70.00  0.18640E+02  0.58000E+00
100.00  0.21020E+02  0.68000E+00
110.00  0.20380E+02  0.64000E+00
120.00  0.20090E+02  0.64000E+00
-------------------------------------------
E =  325.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.11990E+02  0.38000E+00
 20.00  0.12340E+02  0.36000E+00
 25.00  0.12130E+02  0.37000E+00
 30.00  0.12510E+02  0.39000E+00
 35.00  0.13140E+02  0.40000E+00
 40.00  0.13230E+02  0.29000E+00
 45.00  0.13940E+02  0.71000E+00
 50.00  0.15600E+02  0.49000E+00
 60.00  0.17470E+02  0.54000E+00
 70.00  0.18570E+02  0.57000E+00
-------------------------------------------
E =  340.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.13790E+02  0.28000E+00
 20.00  0.14180E+02  0.45000E+00
 25.00  0.13630E+02  0.40000E+00
 30.00  0.13050E+02  0.30000E+00
 35.00  0.13650E+02  0.44000E+00
 40.00  0.13660E+02  0.28000E+00
 45.00  0.14910E+02  0.48000E+00
 50.00  0.15830E+02  0.51000E+00
 55.00  0.16370E+02  0.52000E+00
 60.00  0.17240E+02  0.55000E+00
 65.00  0.18510E+02  0.57000E+00
