E =  220.000 MeV, E_lo =  210.000 MeV, E_hi =  230.000 MeV
Systematic = 0.050000, Preliminary = 0, BONN_1972_Fischer_ZP253-38
 15.000     6.270000     0.280000     0.000000
 20.000     5.810000     0.180000     0.000000
 25.000     5.760000     0.210000     0.000000
 30.000     5.840000     0.170000     0.000000
 35.000     6.190000     0.210000     0.000000
 40.000     6.560000     0.190000     0.000000
 45.000     7.020000     0.260000     0.000000
 50.000     7.710000     0.260000     0.000000
 55.000     8.640000     0.320000     0.000000
 60.000     8.890000     0.300000     0.000000
 65.000     9.560000     0.340000     0.000000
 70.000     9.390000     0.310000     0.000000
 75.000    10.690000     0.400000     0.000000
 80.000    10.890000     0.390000     0.000000
 85.000    11.010000     0.410000     0.000000
 90.000    11.040000     0.390000     0.000000
100.000    11.730000     0.490000     0.000000
140.000    11.440000     0.540000     0.000000
------------------------------------------------------------------
E =  240.000 MeV, E_lo =  230.000 MeV, E_hi =  250.000 MeV
Systematic = 0.050000, Preliminary = 0, BONN_1972_Fischer_ZP253-38
 15.000     5.740000     0.210000     0.000000
 20.000     5.560000     0.200000     0.000000
 25.000     5.680000     0.200000     0.000000
 30.000     6.030000     0.220000     0.000000
 35.000     6.540000     0.220000     0.000000
 40.000     7.280000     0.240000     0.000000
 45.000     7.770000     0.260000     0.000000
 50.000     8.580000     0.270000     0.000000
 55.000     9.440000     0.320000     0.000000
 60.000    10.150000     0.260000     0.000000
 65.000    10.830000     0.360000     0.000000
 70.000    11.150000     0.250000     0.000000
 75.000    12.430000     0.420000     0.000000
 80.000    12.980000     0.440000     0.000000
 85.000    13.640000     0.470000     0.000000
 90.000    13.660000     0.460000     0.000000
 95.000    14.940000     0.500000     0.000000
100.000    13.990000     0.330000     0.000000
105.000    15.090000     0.500000     0.000000
110.000    14.460000     0.540000     0.000000
115.000    14.610000     0.500000     0.000000
120.000    15.520000     0.510000     0.000000
125.000    14.370000     0.490000     0.000000
130.000    14.220000     0.490000     0.000000
135.000    13.960000     0.490000     0.000000
------------------------------------------------------------------
E =  260.000 MeV, E_lo =  250.000 MeV, E_hi =  270.000 MeV
Systematic = 0.050000, Preliminary = 0, BONN_1972_Fischer_ZP253-38
 15.000     5.480000     0.210000     0.000000
 20.000     5.410000     0.180000     0.000000
 25.000     5.400000     0.180000     0.000000
 30.000     6.220000     0.200000     0.000000
 35.000     7.110000     0.220000     0.000000
 40.000     7.750000     0.250000     0.000000
 45.000     9.070000     0.300000     0.000000
 50.000    10.070000     0.320000     0.000000
 60.000    11.400000     0.250000     0.000000
 70.000    14.200000     0.440000     0.000000
 15.000     5.460000     0.230000     0.000000
 20.000     5.310000     0.180000     0.000000
 25.000     5.320000     0.190000     0.000000
 30.000     6.150000     0.200000     0.000000
 35.000     7.040000     0.230000     0.000000
 40.000     7.690000     0.250000     0.000000
 45.000     9.010000     0.310000     0.000000
 50.000    10.040000     0.320000     0.000000
 55.000    11.030000     0.370000     0.000000
 60.000    11.480000     0.260000     0.000000
 65.000    13.310000     0.430000     0.000000
 70.000    14.190000     0.450000     0.000000
 75.000    15.670000     0.520000     0.000000
 80.000    16.100000     0.520000     0.000000
 85.000    15.830000     0.510000     0.000000
 90.000    16.770000     0.540000     0.000000
 95.000    17.590000     0.570000     0.000000
100.000    17.440000     0.570000     0.000000
105.000    17.680000     0.590000     0.000000
110.000    18.140000     0.590000     0.000000
115.000    18.350000     0.590000     0.000000
120.000    16.800000     0.560000     0.000000
125.000    16.540000     0.560000     0.000000
130.000    16.920000     0.570000     0.000000
135.000    16.150000     0.550000     0.000000
140.000    16.040000     0.550000     0.000000
145.000    16.360000     0.560000     0.000000
150.000    16.310000     0.450000     0.000000
155.000    15.280000     0.520000     0.000000
160.000    14.500000     0.490000     0.000000
170.000    14.850000     0.550000     0.000000
180.000    15.330000     0.850000     0.000000
------------------------------------------------------------------
E =  280.000 MeV, E_lo =  270.000 MeV, E_hi =  290.000 MeV
Systematic = 0.050000, Preliminary = 0, BONN_1972_Fischer_ZP253-38
 15.000     6.290000     0.220000     0.000000
 20.000     6.070000     0.180000     0.000000
 25.000     6.070000     0.210000     0.000000
 30.000     7.270000     0.240000     0.000000
 40.000     9.500000     0.290000     0.000000
 45.000    10.500000     0.370000     0.000000
 50.000    11.940000     0.270000     0.000000
 60.000    14.910000     0.340000     0.000000
 70.000    16.920000     0.530000     0.000000
 15.000     6.240000     0.240000     0.000000
 20.000     6.000000     0.180000     0.000000
 25.000     5.980000     0.210000     0.000000
 30.000     7.160000     0.240000     0.000000
 35.000     7.880000     0.260000     0.000000
 40.000     9.440000     0.300000     0.000000
 45.000    10.470000     0.370000     0.000000
 50.000    11.950000     0.280000     0.000000
 55.000    13.500000     0.440000     0.000000
 60.000    15.030000     0.340000     0.000000
 65.000    17.730000     0.580000     0.000000
 70.000    16.960000     0.530000     0.000000
