E =  750.000 MeV, E_lo =  700.000 MeV, E_hi =  800.000 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
151.045     1.204000     0.090000     0.052000
128.682     1.012000     0.075000     0.043000
112.024     1.106000     0.066000     0.044000
 97.181     1.057000     0.064000     0.041000
 82.819     1.075000     0.070000     0.041000
 67.976     0.951000     0.076000     0.037000
 51.318     1.120000     0.116000     0.043000
 28.955     1.297000     0.216000     0.052000
----------------------------------------------------------
E =  850.000 MeV, E_lo =  800.000 MeV, E_hi =  900.000 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
151.045     0.974000     0.082000     0.044000
128.682     1.080000     0.065000     0.049000
112.024     0.944000     0.060000     0.043000
 97.181     1.057000     0.063000     0.052000
 82.819     1.000000     0.067000     0.051000
 67.976     1.131000     0.073000     0.054000
 51.318     1.042000     0.110000     0.045000
----------------------------------------------------------
E =  950.000 MeV, E_lo =  900.000 MeV, E_hi = 1000.000 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
151.045     0.944000     0.109000     0.048000
128.682     0.847000     0.088000     0.044000
112.024     0.802000     0.081000     0.042000
 97.181     1.066000     0.102000     0.078000
 82.819     0.892000     0.097000     0.059000
 67.976     1.132000     0.119000     0.083000
 51.318     0.806000     0.132000     0.037000
----------------------------------------------------------
E = 1050.000 MeV, E_lo = 1000.000 MeV, E_hi = 1100.000 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
151.045     0.542000     0.172000     0.026000
128.682     0.587000     0.139000     0.029000
112.024     0.739000     0.138000     0.044000
 97.181     0.596000     0.129000     0.037000
 82.819     0.520000     0.128000     0.032000
 67.976     0.512000     0.122000     0.026000
 51.318     0.626000     0.144000     0.032000
----------------------------------------------------------
E = 1150.000 MeV, E_lo = 1100.000 MeV, E_hi = 1200.000 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
151.045     0.646000     0.284000     0.048000
128.682     0.373000     0.169000     0.022000
112.024     0.524000     0.140000     0.035000
 97.181     0.521000     0.120000     0.034000
 82.819     0.364000     0.103000     0.022000
 67.976     0.498000     0.101000     0.028000
 51.318     0.756000     0.106000     0.037000
 28.955     1.353000     0.259000     0.061000
----------------------------------------------------------
E = 1250.000 MeV, E_lo = 1200.000 MeV, E_hi = 1300.000 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
151.045     0.891000     0.291000     0.051000
128.682     0.230000     0.198000     0.013000
112.024     0.102000     0.146000     0.006000
 97.181     0.212000     0.122000     0.012000
 82.819     0.608000     0.120000     0.036000
 67.976     0.608000     0.139000     0.045000
 51.318     0.962000     0.135000     0.051000
 28.955     0.458000     0.248000     0.019000
----------------------------------------------------------
E = 1350.000 MeV, E_lo = 1300.000 MeV, E_hi = 1400.000 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
151.045     0.634000     0.359000     0.047000
128.682     0.244000     0.200000     0.014000
112.024     0.195000     0.133000     0.010000
 97.181     0.637000     0.148000     0.046000
 82.819     0.570000     0.118000     0.034000
 67.976     0.653000     0.139000     0.048000
 51.318     0.911000     0.149000     0.066000
 28.955     0.718000     0.266000     0.047000
----------------------------------------------------------
E = 1450.000 MeV, E_lo = 1400.000 MeV, E_hi = 1500.000 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
151.045     0.277000     0.534000     0.029000
128.682     0.383000     0.252000     0.023000
112.024     0.078000     0.155000     0.004000
 97.181     0.321000     0.194000     0.030000
 82.819     0.494000     0.178000     0.045000
 67.976     0.339000     0.141000     0.024000
 51.318     0.616000     0.144000     0.040000
 28.955     0.722000     0.265000     0.051000
----------------------------------------------------------
E = 1600.000 MeV, E_lo = 1500.000 MeV, E_hi = 1700.000 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
151.045     0.103000     0.340000     0.008000
128.682     0.108000     0.181000     0.006000
112.024    -0.256000     0.123000     0.013000
 97.181    -0.046000     0.125000     0.004000
 82.819     0.386000     0.129000     0.035000
 67.976     0.269000     0.114000     0.022000
 51.318     0.802000     0.121000     0.063000
 28.955     0.829000     0.168000     0.054000
----------------------------------------------------------
E = 1800.000 MeV, E_lo = 1700.000 MeV, E_hi = 1900.000 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
151.045     0.215000     0.338000     0.016000
128.682    -0.356000     0.196000     0.020000
112.024    -0.812000     0.168000     0.050000
 97.181    -0.299000     0.140000     0.019000
 82.819    -0.118000     0.136000     0.009000
 67.976     0.109000     0.149000     0.011000
 51.318     0.532000     0.154000     0.060000
 28.955     0.493000     0.135000     0.035000
----------------------------------------------------------
E = 2000.000 MeV, E_lo = 1900.000 MeV, E_hi = 2100.000 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
151.045     0.911000     0.391000     0.073000
128.682    -0.259000     0.184000     0.012000
112.024    -1.166000     0.345000     0.117000
 97.181    -0.553000     0.219000     0.043000
 82.819    -0.087000     0.152000     0.006000
 67.976    -0.508000     0.315000     0.106000
 51.318     0.180000     0.121000     0.015000
 28.955     0.249000     0.135000     0.019000
----------------------------------------------------------
E = 2200.000 MeV, E_lo = 2100.000 MeV, E_hi = 2300.000 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
151.045     0.842000     0.347000     0.064000
128.682     0.070000     0.265000     0.005000
112.024    -1.226000     0.273000     0.061000
 97.181    -1.035000     0.423000     0.118000
 82.819    -0.536000     0.231000     0.047000
 67.976    -0.792000     0.208000     0.068000
 51.318    -0.372000     0.159000     0.045000
