E =  770.200 MeV, E_lo =  728.900 MeV, E_hi =  811.500 MeV
Systematic = 0.050000, Preliminary = 1, CLAS_2014
154.158     1.221200     0.238500     0.000000
134.427     0.987200     0.071300     0.000000
120.000     0.993600     0.064500     0.000000
107.458     1.023200     0.057700     0.000000
 95.739     1.028400     0.057300     0.000000
----------------------------------------------------------
E =  852.800 MeV, E_lo =  810.200 MeV, E_hi =  895.400 MeV
Systematic = 0.050000, Preliminary = 1, CLAS_2014
154.158     0.984900     0.115400     0.000000
134.427     0.906800     0.055300     0.000000
120.000     0.954600     0.048600     0.000000
 84.261     1.019500     0.064600     0.000000
----------------------------------------------------------
E =  938.000 MeV, E_lo =  894.000 MeV, E_hi =  982.000 MeV
Systematic = 0.050000, Preliminary = 1, CLAS_2014
154.158     0.817300     0.144900     0.000000
134.427     0.643100     0.065600     0.000000
120.000     0.608300     0.066800     0.000000
107.458     0.765700     0.072000     0.000000
 95.739     0.756600     0.078600     0.000000
 84.261     0.947900     0.106900     0.000000
 72.542     0.614700     0.133000     0.000000
----------------------------------------------------------
E = 1026.000 MeV, E_lo =  981.000 MeV, E_hi = 1071.000 MeV
Systematic = 0.050000, Preliminary = 1, CLAS_2014
154.158     0.473300     0.225700     0.000000
134.427     0.426700     0.119500     0.000000
120.000     0.469500     0.112800     0.000000
107.458     0.704400     0.145600     0.000000
 95.739     0.412700     0.101100     0.000000
 84.261     0.310700     0.099400     0.000000
----------------------------------------------------------
E = 1116.600 MeV, E_lo =  981.000 MeV, E_hi = 1071.000 MeV
Systematic = 0.050000, Preliminary = 1, CLAS_2014
134.427     0.283500     0.171600     0.000000
120.000     0.348800     0.131300     0.000000
107.458     0.495700     0.143100     0.000000
 95.739     0.246200     0.110500     0.000000
 84.261     0.209900     0.096700     0.000000
----------------------------------------------------------
E = 1209.800 MeV, E_lo = 1161.850 MeV, E_hi = 1257.750 MeV
Systematic = 0.050000, Preliminary = 1, CLAS_2014
154.158     0.868700     0.475700     0.000000
134.427     0.299200     0.153500     0.000000
120.000     0.270700     0.118000     0.000000
107.458     0.264300     0.120800     0.000000
 95.739     0.134200     0.095900     0.000000
 84.261     0.332400     0.102600     0.000000
 72.542     0.300300     0.112300     0.000000
 60.000     0.750300     0.169300     0.000000
----------------------------------------------------------
E = 1305.700 MeV, E_lo = 1256.400 MeV, E_hi = 1355.000 MeV
Systematic = 0.050000, Preliminary = 1, CLAS_2014
134.427     0.187300     0.243400     0.000000
120.000    -0.096700     0.134700     0.000000
107.458     0.071200     0.129900     0.000000
 95.739     0.299200     0.124700     0.000000
 84.261     0.346400     0.119300     0.000000
 72.542     0.186800     0.114400     0.000000
 60.000     0.610900     0.184500     0.000000
----------------------------------------------------------
E = 1404.300 MeV, E_lo = 1304.350 MeV, E_hi = 1504.250 MeV
Systematic = 0.050000, Preliminary = 1, CLAS_2014
134.427    -0.148800     0.257800     0.000000
120.000     0.054400     0.184400     0.000000
107.458    -0.045900     0.134700     0.000000
 95.739     0.158800     0.125200     0.000000
 84.261     0.423800     0.129800     0.000000
 72.542     0.154100     0.118500     0.000000
 60.000     0.517000     0.186400     0.000000
 45.573     0.473900     0.195700     0.000000
----------------------------------------------------------
E = 1505.600 MeV, E_lo = 1453.650 MeV, E_hi = 1557.550 MeV
Systematic = 0.050000, Preliminary = 1, CLAS_2014
120.000    -0.035100     0.210800     0.000000
 95.739    -0.098500     0.168900     0.000000
 84.261     0.070900     0.136000     0.000000
 72.542    -0.008900     0.179500     0.000000
 60.000     0.528000     0.204200     0.000000
 45.573     0.507100     0.235600     0.000000
----------------------------------------------------------
E = 1609.500 MeV, E_lo = 1556.200 MeV, E_hi = 1662.800 MeV
Systematic = 0.050000, Preliminary = 1, CLAS_2014
120.000    -0.513900     0.481300     0.000000
107.458    -0.285300     0.316400     0.000000
 95.739    -0.047400     0.190700     0.000000
 84.261    -0.129900     0.212700     0.000000
 72.542     0.297400     0.289000     0.000000
----------------------------------------------------------
E = 1716.100 MeV, E_lo = 1661.500 MeV, E_hi = 1770.700 MeV
Systematic = 0.050000, Preliminary = 1, CLAS_2014
107.458    -0.181800     0.375400     0.000000
 95.739    -0.642300     0.379000     0.000000
 84.261    -0.534900     0.392600     0.000000
----------------------------------------------------------
E = 1825.300 MeV, E_lo = 1769.350 MeV, E_hi = 1881.250 MeV
Systematic = 0.050000, Preliminary = 1, CLAS_2014
134.427     0.242700     0.327200     0.000000
120.000    -0.343700     0.411900     0.000000
107.458    -0.319900     0.470900     0.000000
 72.542     0.007500     0.326700     0.000000
 60.000    -0.343200     0.429500     0.000000
 45.573     0.262500     0.315700     0.000000
----------------------------------------------------------
E = 1937.200 MeV, E_lo = 1881.250 MeV, E_hi = 1993.150 MeV
Systematic = 0.050000, Preliminary = 1, CLAS_2014
134.427    -0.053900     0.393300     0.000000
120.000    -0.731900     0.441200     0.000000
 60.000     0.236000     0.421200     0.000000
----------------------------------------------------------
