E =  724.900 MeV, E_lo =  704.700 MeV, E_hi =  745.100 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
156.491     0.089800     0.149900     0.007800
138.590     0.076500     0.138800     0.006300
125.662    -0.135600     0.142000     0.007600
114.645     0.182000     0.135200     0.009000
104.478     0.229700     0.131500     0.010700
 94.761     0.116700     0.139000     0.006800
 85.239     0.186400     0.137200     0.008900
 75.522     0.270400     0.152900     0.012400
 65.355     0.409300     0.179700     0.018500
 54.338     0.070200     0.249700     0.010500
 41.410     0.331500     0.363500     0.168200
----------------------------------------------------------
E =  765.300 MeV, E_lo =  748.800 MeV, E_hi =  781.800 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
156.491     0.076300     0.112800     0.005700
138.590    -0.027400     0.111300     0.004500
125.662     0.094100     0.091200     0.005100
114.645     0.242500     0.086100     0.011300
104.478     0.095100     0.085200     0.004900
 94.761     0.275000     0.086900     0.012600
 85.239     0.016700     0.088800     0.003300
 75.522     0.159900     0.107600     0.007600
 65.355    -0.031300     0.125100     0.004700
 54.338     0.239700     0.214200     0.013600
----------------------------------------------------------
E =  798.300 MeV, E_lo =  780.800 MeV, E_hi =  815.800 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
156.491     0.180900     0.101300     0.009300
138.590     0.279600     0.091000     0.013300
125.662     0.080700     0.077900     0.004600
114.645     0.238900     0.077700     0.011400
104.478     0.162700     0.076800     0.007800
 94.761     0.215300     0.078700     0.010200
 85.239     0.179000     0.089400     0.008500
 75.522     0.364600     0.132700     0.017900
 65.355    -0.330600     0.275400     0.023000
----------------------------------------------------------
E =  833.300 MeV, E_lo =  816.300 MeV, E_hi =  850.300 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
156.491     0.100100     0.110300     0.006300
138.590     0.135000     0.098500     0.007400
125.662     0.261400     0.085400     0.012700
114.645     0.281000     0.087000     0.013800
104.478     0.308500     0.090000     0.015800
 94.761     0.226900     0.090700     0.011500
 85.239     0.429400     0.096700     0.020500
 75.522     0.434600     0.170100     0.025000
 65.355     0.121400     0.582600     0.073700
----------------------------------------------------------
E =  867.300 MeV, E_lo =  850.300 MeV, E_hi =  884.300 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
156.491     0.014800     0.116100     0.005000
138.590     0.171200     0.107600     0.009000
125.662     0.262300     0.096400     0.012800
114.645     0.179900     0.093900     0.009300
104.478     0.401900     0.094300     0.020400
 94.761     0.249000     0.109000     0.013300
 85.239     0.130100     0.124800     0.009100
 75.522     0.220300     0.204400     0.019600
----------------------------------------------------------
E =  908.400 MeV, E_lo =  887.850 MeV, E_hi =  928.950 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
156.491     0.164800     0.155800     0.009300
138.590     0.266700     0.138100     0.014600
125.662     0.345700     0.120800     0.018000
114.645     0.315800     0.111900     0.016600
104.478     0.283800     0.117400     0.015600
 94.761     0.348900     0.143700     0.020800
 85.239     0.468200     0.158100     0.026400
 75.522     0.482000     0.181300     0.029200
 65.355     1.194700     0.359900     0.105700
----------------------------------------------------------
