  727.2000  12
   -0.9160    0.0199    0.0236
   -0.7500    0.0025    0.0221
   -0.5830    0.0355    0.0186
   -0.4160    0.0529    0.0197
   -0.2500    0.0431    0.0201
   -0.0830    0.0719    0.0197
    0.0830    0.0242    0.0196
    0.2500    0.0474    0.0186
    0.4160    0.0336    0.0189
    0.5830    0.0237    0.0184
    0.7500    0.0272    0.0243
    0.9160   -0.0021    0.0296
  731.4000  12
   -0.9160    0.0194    0.0262
   -0.7500    0.0017    0.0241
   -0.5830    0.0475    0.0204
   -0.4160    0.0649    0.0217
   -0.2500    0.0625    0.0224
   -0.0830    0.0799    0.0219
    0.0830    0.0348    0.0216
    0.2500    0.0496    0.0201
    0.4160    0.0492    0.0218
    0.5830    0.0395    0.0204
    0.7500    0.0374    0.0273
    0.9160    0.0088    0.0325
  735.5000  12
   -0.9160    0.0182    0.0277
   -0.7500    0.0013    0.0255
   -0.5830    0.0598    0.0219
   -0.4160    0.0786    0.0237
   -0.2500    0.0791    0.0233
   -0.0830    0.0898    0.0244
    0.0830    0.0472    0.0237
    0.2500    0.0555    0.0230
    0.4160    0.0616    0.0228
    0.5830    0.0572    0.0225
    0.7500    0.0455    0.0282
    0.9160    0.0199    0.0346
  739.7000  12
   -0.9160    0.0175    0.0290
   -0.7500    0.0018    0.0254
   -0.5830    0.0724    0.0230
   -0.4160    0.0881    0.0241
   -0.2500    0.0983    0.0246
   -0.0830    0.0909    0.0241
    0.0830    0.0590    0.0247
    0.2500    0.0561    0.0233
    0.4160    0.0760    0.0243
    0.5830    0.0696    0.0223
    0.7500    0.0534    0.0288
    0.9160    0.0292    0.0346
  743.9000  12
   -0.9160    0.0173    0.0294
   -0.7500    0.0038    0.0265
   -0.5830    0.0862    0.0244
   -0.4160    0.1006    0.0251
   -0.2500    0.1081    0.0238
   -0.0830    0.1024    0.0262
    0.0830    0.0716    0.0254
    0.2500    0.0584    0.0235
    0.4160    0.0856    0.0245
    0.5830    0.0861    0.0238
    0.7500    0.0602    0.0288
    0.9160    0.0388    0.0371
  748.0000  12
   -0.9160    0.0187    0.0298
   -0.7500    0.0082    0.0290
   -0.5830    0.0977    0.0250
   -0.4160    0.1146    0.0261
   -0.2500    0.1298    0.0258
   -0.0830    0.1090    0.0265
    0.0830    0.0830    0.0255
    0.2500    0.0664    0.0251
    0.4160    0.0938    0.0247
    0.5830    0.1012    0.0251
    0.7500    0.0700    0.0305
    0.9160    0.0415    0.0359
  752.2000  12
   -0.9160    0.0225    0.0308
   -0.7500    0.0140    0.0276
   -0.5830    0.1124    0.0264
   -0.4160    0.1284    0.0267
   -0.2500    0.1480    0.0272
   -0.0830    0.1261    0.0285
    0.0830    0.0957    0.0257
    0.2500    0.0734    0.0251
    0.4160    0.1073    0.0267
    0.5830    0.1058    0.0243
    0.7500    0.0812    0.0324
    0.9160    0.0440    0.0375
  756.4000  12
