E =  724.900 MeV, E_lo =  704.700 MeV, E_hi =  745.100 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
156.491     0.079100     0.149800     0.007600
138.590     0.081400     0.147500     0.006700
125.662    -0.060400     0.147600     0.006000
114.645     0.108700     0.142800     0.006800
104.478    -0.119300     0.134900     0.006800
 94.761     0.210700     0.135000     0.010000
 85.239    -0.178300     0.140100     0.008600
 75.522     0.077700     0.152000     0.006200
 65.355     0.238300     0.188700     0.011600
 54.338     0.156800     0.274200     0.012900
 41.410    -0.108200     0.431000     0.109300
----------------------------------------------------------
E =  765.300 MeV, E_lo =  748.800 MeV, E_hi =  781.800 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
156.491    -0.111100     0.125200     0.006900
138.590    -0.062000     0.116000     0.005200
125.662     0.209600     0.093600     0.009700
114.645     0.057300     0.086600     0.004000
104.478     0.138100     0.085200     0.006500
 94.761     0.130800     0.088300     0.006300
 85.239     0.166900     0.089000     0.007700
 75.522     0.121800     0.103700     0.006100
 65.355     0.179400     0.131900     0.008700
 54.338     0.061600     0.232300     0.009700
----------------------------------------------------------
E =  798.300 MeV, E_lo =  780.800 MeV, E_hi =  815.800 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
156.491     0.104200     0.109600     0.006600
138.590     0.069100     0.094100     0.004700
125.662     0.119900     0.079500     0.006000
114.645     0.055400     0.077300     0.003800
104.478     0.270700     0.076000     0.012800
 94.761     0.106900     0.080600     0.005400
 85.239     0.188000     0.087600     0.008900
 75.522     0.289600     0.122900     0.014200
 65.355     0.344500     0.256400     0.023200
----------------------------------------------------------
E =  833.300 MeV, E_lo =  816.300 MeV, E_hi =  850.300 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
156.491     0.241200     0.116200     0.011800
138.590    -0.047700     0.098800     0.004700
125.662     0.423200     0.084900     0.020500
114.645     0.225300     0.082700     0.011100
104.478     0.206400     0.088100     0.010600
 94.761     0.316300     0.090000     0.016000
 85.239     0.294800     0.096700     0.014100
 75.522     0.314300     0.157500     0.018200
 65.355     0.378600     0.565900     0.085200
----------------------------------------------------------
E =  867.300 MeV, E_lo =  850.300 MeV, E_hi =  884.300 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
156.491     0.269000     0.130400     0.013400
138.590     0.244300     0.108200     0.012400
125.662     0.194600     0.096400     0.009600
114.645     0.249900     0.092800     0.012700
104.478     0.327900     0.094600     0.016700
 94.761     0.281900     0.107600     0.015000
 85.239     0.358400     0.125700     0.021800
 75.522     0.238200     0.202100     0.020500
----------------------------------------------------------
E =  908.400 MeV, E_lo =  887.850 MeV, E_hi =  928.950 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
156.491     0.156000     0.159000     0.009100
138.590     0.054100     0.135200     0.006500
125.662     0.395500     0.120700     0.020500
114.645     0.345800     0.116900     0.018100
104.478     0.419100     0.118000     0.022900
 94.761     0.365100     0.139400     0.021800
 85.239     0.208100     0.159500     0.012600
 75.522     0.516000     0.183500     0.031200
 65.355    -0.016700     0.350400     0.024800
----------------------------------------------------------
