E =  724.900 MeV, E_lo =  704.700 MeV, E_hi =  745.100 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
156.491     0.090900     0.064500     0.005000
138.590    -0.005200     0.061900     0.002300
125.662     0.069100     0.062100     0.002200
114.645     0.150900     0.058800     0.003700
104.478     0.198800     0.054500     0.004500
 94.761     0.059000     0.056800     0.001600
 85.239     0.021800     0.054500     0.001100
 75.522     0.117200     0.063000     0.002500
 65.355     0.187100     0.076100     0.004000
 54.338     0.296000     0.112400     0.009800
 41.410    -0.241800     0.163600     0.143500
----------------------------------------------------------
E =  765.300 MeV, E_lo =  748.800 MeV, E_hi =  781.800 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
156.491     0.061000     0.056000     0.003100
138.590     0.054200     0.051500     0.002300
125.662     0.097500     0.040800     0.002500
114.645     0.097200     0.037400     0.002500
104.478     0.182700     0.037200     0.004100
 94.761     0.130100     0.038000     0.003000
 85.239     0.157300     0.038400     0.003400
 75.522     0.152200     0.045400     0.003400
 65.355     0.178100     0.056500     0.003900
 54.338     0.027200     0.099100     0.003000
----------------------------------------------------------
E =  798.300 MeV, E_lo =  780.800 MeV, E_hi =  815.800 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
156.491     0.087500     0.051200     0.003800
138.590     0.157000     0.042900     0.004300
125.662     0.192400     0.035600     0.005000
114.645     0.174400     0.034800     0.004600
104.478     0.108600     0.034900     0.002800
 94.761     0.174300     0.036600     0.004500
 85.239     0.163200     0.039800     0.004100
 75.522     0.077800     0.055300     0.002300
 65.355     0.162000     0.116900     0.008500
----------------------------------------------------------
E =  833.300 MeV, E_lo =  816.300 MeV, E_hi =  850.300 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
156.491     0.159600     0.054800     0.004900
138.590     0.196100     0.046000     0.006100
125.662     0.192000     0.039600     0.005400
114.645     0.286700     0.038400     0.008200
104.478     0.199800     0.040500     0.006400
 94.761     0.180700     0.042000     0.005700
 85.239     0.102900     0.043400     0.002700
 75.522     0.196600     0.071300     0.008100
 65.355    -0.257400     0.268200     0.045800
----------------------------------------------------------
E =  867.300 MeV, E_lo =  846.750 MeV, E_hi =  887.850 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
156.491     0.138300     0.060900     0.004900
138.590     0.261100     0.049400     0.008000
125.662     0.258900     0.045000     0.007300
114.645     0.320700     0.042600     0.010000
104.478     0.217400     0.044200     0.006900
 94.761     0.194300     0.049000     0.006800
 85.239     0.225900     0.058000     0.010300
 75.522     0.183900     0.093600     0.012500
----------------------------------------------------------
E =  908.400 MeV, E_lo =  879.500 MeV, E_hi =  937.300 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
156.491     0.126200     0.071900     0.004200
138.590     0.311300     0.060100     0.011300
125.662     0.186700     0.052100     0.006400
114.645     0.261500     0.051400     0.008900
104.478     0.163600     0.051800     0.006200
 94.761     0.356000     0.061300     0.015700
 85.239     0.160700     0.070300     0.006500
 75.522     0.156600     0.081400     0.007200
 65.355     0.218600     0.150300     0.018100
----------------------------------------------------------
E =  966.200 MeV, E_lo =  924.350 MeV, E_hi = 1008.050 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
156.491     0.097000     0.085500     0.003500
138.590     0.411800     0.067100     0.013800
125.662     0.409800     0.065500     0.018400
114.645     0.301300     0.063300     0.013800
104.478     0.237800     0.068100     0.012000
 94.761     0.279000     0.096400     0.022000
 85.239     0.415700     0.082200     0.018900
 75.522     0.354000     0.085300     0.015400
 65.355     0.325200     0.093300     0.012300
----------------------------------------------------------
E = 1049.900 MeV, E_lo = 1000.650 MeV, E_hi = 1099.150 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
156.491     0.545300     0.150100     0.023200
138.590     0.341100     0.109300     0.018500
125.662     0.611000     0.106900     0.042300
114.645     0.398800     0.095600     0.023300
104.478     0.544900     0.099400     0.033900
 94.761     0.459200     0.108700     0.027400
 85.239     0.535300     0.099800     0.025600
 75.522     0.407300     0.091500     0.015500
 65.355     0.498200     0.092700     0.016000
 54.338     0.741100     0.145200     0.017000
----------------------------------------------------------
E = 1148.400 MeV, E_lo = 1098.150 MeV, E_hi = 1198.650 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
156.491     0.727300     0.231400     0.024500
138.590     0.266600     0.153300     0.011800
125.662     0.717200     0.119100     0.033300
114.645     0.494000     0.104500     0.020400
104.478     0.781900     0.116900     0.032100
 94.761     0.491900     0.113100     0.017400
 85.239     0.517400     0.104800     0.017000
 75.522     0.595800     0.091600     0.021700
 65.355     0.604400     0.088400     0.019300
 54.338     0.508200     0.108200     0.016200
 41.410     0.421200     0.399400     0.024200
----------------------------------------------------------
E = 1248.900 MeV, E_lo = 1197.200 MeV, E_hi = 1300.600 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
156.491     0.649200     0.294200     0.035200
138.590     0.421600     0.175200     0.018000
125.662     0.583500     0.167700     0.035700
114.645     0.606500     0.118600     0.029300
104.478     0.473500     0.137200     0.028200
 94.761     0.357700     0.118600     0.015800
 85.239     0.462200     0.107100     0.022700
 75.522     0.536900     0.115200     0.032000
 65.355     0.556700     0.104800     0.026400
 54.338     0.366700     0.104300     0.014600
 41.410     1.014900     0.230300     0.055400
----------------------------------------------------------
E = 1352.300 MeV, E_lo = 1300.600 MeV, E_hi = 1404.000 MeV
Systematic = 0.050000, Preliminary = 1, CBELSA_2014
138.590     0.474100     0.236700     0.033300
125.662     0.572900     0.206800     0.042500
114.645     0.568400     0.158400     0.033000
----------------------------------------------------------
