E =  683.50 MeV, E_lo =  667.24 MeV, E_hi =  699.76 MeV
Systematic = 0.0470, Preliminary = 0, CBELSA_2014_Hartmann_PRL113-062001
163.335   -0.5072   0.2686   0.0247
151.045   -0.7263   0.1572   0.0341
142.373   -0.9450   0.1167   0.0448
135.072   -0.9497   0.1010   0.0444
128.682   -0.8864   0.0918   0.0418
122.820   -1.0869   0.0831   0.0503
117.258   -1.0416   0.0976   0.0530
112.024   -0.9824   0.0854   0.0450
106.978   -0.8745   0.0798   0.0404
102.005   -0.9345   0.0770   0.0440
 97.181   -0.7922   0.0746   0.0365
 92.407   -0.9790   0.0733   0.0458
 87.593   -0.8013   0.0739   0.0374
 82.819   -0.8702   0.0768   0.0402
 77.995   -0.7545   0.0791   0.0356
 73.022   -0.6377   0.0813   0.0294
 67.976   -0.4692   0.0848   0.0214
 62.742   -0.3709   0.1208   0.0176
------------------------------------------------------------------------
E =  715.61 MeV, E_lo =  699.76 MeV, E_hi =  731.45 MeV
Systematic = 0.0501, Preliminary = 0, CBELSA_2014_Hartmann_PRL113-062001
163.335   -0.3751   0.2624   0.0177
151.045   -0.5045   0.1555   0.0239
142.373   -0.8144   0.1155   0.0383
135.072   -0.6776   0.1071   0.0315
128.682   -0.8322   0.0962   0.0395
122.820   -0.8687   0.0882   0.0403
117.258   -0.8003   0.1089   0.0407
112.024   -0.8965   0.0954   0.0417
106.978   -0.8973   0.0875   0.0409
102.005   -0.7101   0.0827   0.0331
 97.181   -0.8998   0.0800   0.0416
 92.407   -0.7176   0.0768   0.0334
 87.593   -0.7170   0.0767   0.0333
 82.819   -0.6467   0.0804   0.0300
 77.995   -0.5914   0.0818   0.0276
 73.022   -0.5416   0.0844   0.0251
 67.976   -0.5185   0.0908   0.0240
 62.742   -0.2855   0.1040   0.0132
 57.180   -0.0839   0.2081   0.0092
------------------------------------------------------------------------
E =  749.94 MeV, E_lo =  731.45 MeV, E_hi =  768.43 MeV
Systematic = 0.0476, Preliminary = 0, CBELSA_2014_Hartmann_PRL113-062001
163.335   -0.3407   0.1566   0.0157
151.045   -0.4708   0.0950   0.0222
142.373   -0.3904   0.0714   0.0183
135.072   -0.6440   0.0679   0.0299
128.682   -0.5725   0.0616   0.0272
122.820   -0.6328   0.0575   0.0291
117.258   -0.6491   0.0665   0.0327
112.024   -0.6894   0.0640   0.0323
106.978   -0.6010   0.0571   0.0276
102.005   -0.6209   0.0550   0.0294
 97.181   -0.6909   0.0531   0.0323
 92.407   -0.6079   0.0514   0.0283
 87.593   -0.5394   0.0514   0.0253
 82.819   -0.4392   0.0529   0.0203
 77.995   -0.5237   0.0525   0.0246
 73.022   -0.3495   0.0537   0.0162
 67.976   -0.2776   0.0567   0.0129
 62.742   -0.2585   0.0608   0.0119
 57.180   -0.0787   0.0966   0.0049
------------------------------------------------------------------------
E =  783.42 MeV, E_lo =  768.43 MeV, E_hi =  798.41 MeV
Systematic = 0.0530, Preliminary = 0, CBELSA_2014_Hartmann_PRL113-062001
163.335   -0.3926   0.1429   0.0178
151.045   -0.4065   0.0926   0.0189
142.373   -0.4050   0.0694   0.0189
135.072   -0.4829   0.0661   0.0225
128.682   -0.3845   0.0606   0.0183
122.820   -0.3593   0.0611   0.0169
117.258   -0.4497   0.0682   0.0231
112.024   -0.4677   0.0671   0.0217
106.978   -0.4445   0.0604   0.0206
102.005   -0.5105   0.0591   0.0243
 97.181   -0.4018   0.0555   0.0186
 92.407   -0.4451   0.0537   0.0208
 87.593   -0.5075   0.0543   0.0241
 82.819   -0.3149   0.0555   0.0147
 77.995   -0.3585   0.0558   0.0170
 73.022   -0.2086   0.0574   0.0098
 67.976   -0.2052   0.0621   0.0098
 62.742   -0.1546   0.0660   0.0073
 57.180    0.0334   0.0821   0.0034
 51.318   -0.5459   0.3576   0.0606
------------------------------------------------------------------------
E =  815.92 MeV, E_lo =  798.41 MeV, E_hi =  833.43 MeV
Systematic = 0.1001, Preliminary = 0, CBELSA_2014_Hartmann_PRL113-062001
163.335   -0.3309   0.1374   0.0150
151.045   -0.3428   0.0841   0.0160
142.373   -0.3972   0.0644   0.0186
135.072   -0.2880   0.0599   0.0134
128.682   -0.3149   0.0591   0.0151
122.820   -0.3067   0.0588   0.0144
117.258   -0.3942   0.0683   0.0205
112.024   -0.3387   0.0659   0.0164
106.978   -0.3163   0.0604   0.0146
102.005   -0.4534   0.0592   0.0217
 97.181   -0.2187   0.0580   0.0103
 92.407   -0.1933   0.0570   0.0091
 87.593   -0.2514   0.0570   0.0120
 82.819   -0.1845   0.0578   0.0087
 77.995   -0.2558   0.0586   0.0123
 73.022   -0.1003   0.0605   0.0049
 67.976    0.0233   0.0635   0.0026
 62.742   -0.0026   0.0689   0.0026
 57.180    0.1917   0.0822   0.0096
 51.318    0.2831   0.2056   0.0224
------------------------------------------------------------------------
E =  850.45 MeV, E_lo =  833.43 MeV, E_hi =  867.47 MeV
Systematic = 0., Preliminary = 0, CBELSA_2014_Hartmann_PRL113-062001
163.335   -0.3393   0.1210   0.0154
151.045   -0.3554   0.0823   0.0164
142.373   -0.2540   0.0649   0.0122
135.072   -0.3170   0.0606   0.0147
128.682   -0.2931   0.0604   0.0141
122.820   -0.2539   0.0586   0.0119
117.258   -0.2415   0.0687   0.0130
112.024   -0.3006   0.0724   0.0150
106.978   -0.2666   0.0621   0.0124
102.005   -0.2384   0.0631   0.0116
 97.181   -0.2101   0.0617   0.0099
 92.407   -0.1428   0.0612   0.0069
 87.593   -0.2090   0.0613   0.0102
 82.819   -0.0818   0.0620   0.0041
 77.995   -0.1045   0.0656   0.0054
 73.022   -0.0356   0.0684   0.0031
 67.976    0.0076   0.0718   0.0028
 62.742    0.2345   0.0793   0.0120
 57.180    0.2934   0.0886   0.0147
 51.318    0.7780   0.1924   0.0589
------------------------------------------------------------------------
E =  884.02 MeV, E_lo =  867.47 MeV, E_hi =  900.56 MeV
Systematic = 0.0679, Preliminary = 0, CBELSA_2014_Hartmann_PRL113-062001
163.335   -0.6447   0.1763   0.0294
151.045   -0.2567   0.1216   0.0122
142.373   -0.2824   0.0978   0.0139
135.072   -0.3406   0.0927   0.0160
128.682   -0.0771   0.0886   0.0049
122.820   -0.1051   0.0901   0.0057
117.258   -0.1265   0.1071   0.0078
112.024   -0.1494   0.1131   0.0079
106.978   -0.1637   0.0951   0.0078
102.005   -0.2532   0.1000   0.0126
 97.181   -0.2566   0.0961   0.0126
 92.407   -0.3630   0.0948   0.0174
 87.593   -0.1287   0.0993   0.0067
 82.819    0.0355   0.0988   0.0040
 77.995   -0.2381   0.1081   0.0122
 73.022   -0.0427   0.1137   0.0051
