TaggerCh	Theta	DTheta	Asym	DAsym

0	5.000000	5.000000	0.000000	0.000000
0	15.000000	5.000000	0.000000	0.000000
0	25.000000	5.000000	0.000000	0.000000
0	35.000000	5.000000	0.000000	0.000000
0	45.000000	5.000000	0.000000	0.000000
0	55.000000	5.000000	0.000000	0.000000
0	65.000000	5.000000	0.000000	0.000000
0	75.000000	5.000000	0.000000	0.000000
0	85.000000	5.000000	0.000000	0.000000
0	95.000000	5.000000	0.000000	0.000000
0	105.000000	5.000000	0.000000	0.000000
0	115.000000	5.000000	0.000000	0.000000
0	125.000000	5.000000	0.000000	0.000000
0	135.000000	5.000000	0.000000	0.000000
0	145.000000	5.000000	0.000000	0.000000
0	155.000000	5.000000	0.000000	0.000000
0	165.000000	5.000000	0.000000	0.000000
0	175.000000	5.000000	0.000000	0.000000


1	5.000000	5.000000	0.000000	0.000000
1	15.000000	5.000000	1.192150	1.355341
1	25.000000	5.000000	0.279628	2.061655
1	35.000000	5.000000	-1.488868	0.390567
1	45.000000	5.000000	-0.933104	0.176674
1	55.000000	5.000000	-1.243457	0.161036
1	65.000000	5.000000	-0.856538	0.119087
1	75.000000	5.000000	-0.515831	0.093530
1	85.000000	5.000000	-0.500570	0.081627
1	95.000000	5.000000	0.017745	0.085832
1	105.000000	5.000000	0.299043	0.099494
1	115.000000	5.000000	0.362656	0.130126
1	125.000000	5.000000	0.674542	0.173648
1	135.000000	5.000000	0.569842	0.213267
1	145.000000	5.000000	0.339292	0.277668
1	155.000000	5.000000	2.507863	1.622290
1	165.000000	5.000000	1.069813	1.729105
1	175.000000	5.000000	-1.050784	6.050878


2	5.000000	5.000000	0.000000	0.000000
2	15.000000	5.000000	5.652110	25.308756
2	25.000000	5.000000	-0.993333	0.434397
2	35.000000	5.000000	-0.848901	0.203217
2	45.000000	5.000000	-1.215883	0.140676
2	55.000000	5.000000	-0.963578	0.089651
2	65.000000	5.000000	-0.753606	0.078047
2	75.000000	5.000000	-0.474535	0.067103
2	85.000000	5.000000	-0.340384	0.061150
2	95.000000	5.000000	-0.015555	0.062553
2	105.000000	5.000000	0.085083	0.064909
2	115.000000	5.000000	0.120201	0.080318
2	125.000000	5.000000	0.254463	0.096900
2	135.000000	5.000000	1.003142	0.141174
2	145.000000	5.000000	0.864035	0.259211
2	155.000000	5.000000	1.316595	0.425727
2	165.000000	5.000000	0.886794	0.652707
2	175.000000	5.000000	-0.085539	1.454307


3	5.000000	5.000000	0.000000	0.000000
3	15.000000	5.000000	0.000000	0.000000
3	25.000000	5.000000	0.000000	0.000000
3	35.000000	5.000000	0.000000	0.000000
3	45.000000	5.000000	0.000000	0.000000
3	55.000000	5.000000	0.000000	0.000000
3	65.000000	5.000000	0.000000	0.000000
3	75.000000	5.000000	0.000000	0.000000
3	85.000000	5.000000	0.000000	0.000000
3	95.000000	5.000000	0.000000	0.000000
3	105.000000	5.000000	0.000000	0.000000
3	115.000000	5.000000	0.000000	0.000000
3	125.000000	5.000000	0.000000	0.000000
3	135.000000	5.000000	0.000000	0.000000
3	145.000000	5.000000	0.000000	0.000000
3	155.000000	5.000000	0.000000	0.000000
3	165.000000	5.000000	0.000000	0.000000
3	175.000000	5.000000	0.000000	0.000000


4	5.000000	5.000000	0.000000	0.000000
4	15.000000	5.000000	0.000000	0.000000
4	25.000000	5.000000	0.000000	0.000000
4	35.000000	5.000000	0.000000	0.000000
4	45.000000	5.000000	0.000000	0.000000
4	55.000000	5.000000	0.000000	0.000000
4	65.000000	5.000000	0.000000	0.000000
4	75.000000	5.000000	0.000000	0.000000
4	85.000000	5.000000	0.000000	0.000000
4	95.000000	5.000000	0.000000	0.000000
4	105.000000	5.000000	0.000000	0.000000
4	115.000000	5.000000	0.000000	0.000000
4	125.000000	5.000000	0.000000	0.000000
4	135.000000	5.000000	0.000000	0.000000
4	145.000000	5.000000	0.000000	0.000000
4	155.000000	5.000000	0.000000	0.000000
4	165.000000	5.000000	0.000000	0.000000
4	175.000000	5.000000	0.000000	0.000000


5	5.000000	5.000000	0.000000	0.000000
5	15.000000	5.000000	0.334598	2.213179
5	25.000000	5.000000	-0.815935	0.523993
5	35.000000	5.000000	-1.375835	0.310664
5	45.000000	5.000000	-1.086112	0.147335
5	55.000000	5.000000	-0.975529	0.109734
5	65.000000	5.000000	-0.587306	0.070525
5	75.000000	5.000000	-0.654651	0.069645
5	85.000000	5.000000	-0.298932	0.055340
5	95.000000	5.000000	-0.139945	0.061021
5	105.000000	5.000000	0.162533	0.061314
5	115.000000	5.000000	0.595035	0.084742
5	125.000000	5.000000	0.702680	0.115168
5	135.000000	5.000000	0.533577	0.137683
5	145.000000	5.000000	1.472495	0.432219
5	155.000000	5.000000	0.551417	0.320227
5	165.000000	5.000000	-0.534311	0.981099
5	175.000000	5.000000	0.217801	0.656301


6	5.000000	5.000000	0.000000	0.000000
6	15.000000	5.000000	-0.316262	3.543198
6	25.000000	5.000000	-1.575460	1.089734
6	35.000000	5.000000	-1.070668	0.193857
6	45.000000	5.000000	-0.842853	0.122417
6	55.000000	5.000000	-1.011764	0.097162
6	65.000000	5.000000	-1.002879	0.107515
6	75.000000	5.000000	-0.381904	0.056111
6	85.000000	5.000000	-0.344852	0.057505
6	95.000000	5.000000	0.026236	0.050924
6	105.000000	5.000000	0.134997	0.056148
6	115.000000	5.000000	0.404738	0.074120
6	125.000000	5.000000	0.744026	0.110562
6	135.000000	5.000000	0.796974	0.148015
6	145.000000	5.000000	0.751499	0.181687
6	155.000000	5.000000	0.470831	0.258382
6	165.000000	5.000000	4.164942	8.678113
6	175.000000	5.000000	0.146314	0.406631


7	5.000000	5.000000	0.000000	0.000000
7	15.000000	5.000000	-1.500737	1.145321
7	25.000000	5.000000	-0.672834	0.481419
7	35.000000	5.000000	-1.421095	0.259171
7	45.000000	5.000000	-1.158867	0.151407
7	55.000000	5.000000	-1.156920	0.107743
7	65.000000	5.000000	-0.929660	0.083938
7	75.000000	5.000000	-0.736236	0.079518
7	85.000000	5.000000	-0.333080	0.064633
7	95.000000	5.000000	-0.067258	0.061463
7	105.000000	5.000000	0.009873	0.064991
7	115.000000	5.000000	0.214697	0.077875
7	125.000000	5.000000	0.693819	0.114661
7	135.000000	5.000000	0.877085	0.161694
7	145.000000	5.000000	0.308077	0.249890
7	155.000000	5.000000	0.421982	0.402659
7	165.000000	5.000000	4.752687	21.270644
7	175.000000	5.000000	1.584734	4.606009


8	5.000000	5.000000	0.000000	0.000000
8	15.000000	5.000000	12.786162	112.710584
8	25.000000	5.000000	-2.342961	0.519194
8	35.000000	5.000000	-1.436778	0.205551
8	45.000000	5.000000	-1.416759	0.130690
8	55.000000	5.000000	-1.152880	0.087965
8	65.000000	5.000000	-0.765208	0.069492
8	75.000000	5.000000	-0.493442	0.058328
8	85.000000	5.000000	-0.356582	0.053710
8	95.000000	5.000000	-0.074323	0.055055
8	105.000000	5.000000	0.009492	0.058352
8	115.000000	5.000000	0.387487	0.074975
8	125.000000	5.000000	0.690803	0.091718
8	135.000000	5.000000	0.675285	0.123004
8	145.000000	5.000000	0.904374	0.184672
8	155.000000	5.000000	1.753844	0.428041
8	165.000000	5.000000	1.641714	0.751425
8	175.000000	5.000000	-12.623315	38.685420


9	5.000000	5.000000	0.000000	0.000000
9	15.000000	5.000000	0.000000	0.000000
9	25.000000	5.000000	0.000000	0.000000
9	35.000000	5.000000	0.000000	0.000000
9	45.000000	5.000000	0.000000	0.000000
9	55.000000	5.000000	0.000000	0.000000
9	65.000000	5.000000	0.000000	0.000000
9	75.000000	5.000000	0.000000	0.000000
9	85.000000	5.000000	0.000000	0.000000
9	95.000000	5.000000	0.000000	0.000000
9	105.000000	5.000000	0.000000	0.000000
9	115.000000	5.000000	0.000000	0.000000
9	125.000000	5.000000	0.000000	0.000000
9	135.000000	5.000000	0.000000	0.000000
9	145.000000	5.000000	0.000000	0.000000
9	155.000000	5.000000	0.000000	0.000000
9	165.000000	5.000000	0.000000	0.000000
9	175.000000	5.000000	0.000000	0.000000


10	5.000000	5.000000	0.000000	0.000000
10	15.000000	5.000000	0.000000	0.000000
10	25.000000	5.000000	4.375120	4.628787
10	35.000000	5.000000	-1.134213	0.599014
10	45.000000	5.000000	-1.222536	0.457543
10	55.000000	5.000000	-1.318972	0.442640
10	65.000000	5.000000	-0.775293	0.187011
10	75.000000	5.000000	-0.454218	0.146990
10	85.000000	5.000000	-0.333943	0.100355
10	95.000000	5.000000	-0.127587	0.126467
10	105.000000	5.000000	0.055925	0.114014
10	115.000000	5.000000	0.492661	0.150327
10	125.000000	5.000000	0.837954	0.346681
10	135.000000	5.000000	0.210796	0.121436
10	145.000000	5.000000	0.594284	0.407229
10	155.000000	5.000000	1.528459	1.500449
10	165.000000	5.000000	-74.925534	3370.430314
10	175.000000	5.000000	0.328913	1.741635


11	5.000000	5.000000	0.000000	0.000000
11	15.000000	5.000000	0.000000	0.000000
11	25.000000	5.000000	0.000000	0.000000
11	35.000000	5.000000	0.000000	0.000000
11	45.000000	5.000000	0.000000	0.000000
11	55.000000	5.000000	0.000000	0.000000
11	65.000000	5.000000	0.000000	0.000000
11	75.000000	5.000000	0.000000	0.000000
11	85.000000	5.000000	0.000000	0.000000
11	95.000000	5.000000	0.000000	0.000000
11	105.000000	5.000000	0.000000	0.000000
11	115.000000	5.000000	0.000000	0.000000
11	125.000000	5.000000	0.000000	0.000000
11	135.000000	5.000000	0.000000	0.000000
11	145.000000	5.000000	0.000000	0.000000
11	155.000000	5.000000	0.000000	0.000000
11	165.000000	5.000000	0.000000	0.000000
11	175.000000	5.000000	0.000000	0.000000


12	5.000000	5.000000	0.000000	0.000000
12	15.000000	5.000000	0.000000	0.000000
12	25.000000	5.000000	0.000000	0.000000
12	35.000000	5.000000	0.000000	0.000000
12	45.000000	5.000000	0.000000	0.000000
12	55.000000	5.000000	0.000000	0.000000
12	65.000000	5.000000	0.000000	0.000000
12	75.000000	5.000000	0.000000	0.000000
12	85.000000	5.000000	0.000000	0.000000
12	95.000000	5.000000	0.000000	0.000000
12	105.000000	5.000000	0.000000	0.000000
12	115.000000	5.000000	0.000000	0.000000
12	125.000000	5.000000	0.000000	0.000000
12	135.000000	5.000000	0.000000	0.000000
12	145.000000	5.000000	0.000000	0.000000
12	155.000000	5.000000	0.000000	0.000000
12	165.000000	5.000000	0.000000	0.000000
12	175.000000	5.000000	0.000000	0.000000


13	5.000000	5.000000	0.000000	0.000000
13	15.000000	5.000000	-3.318311	6.707316
13	25.000000	5.000000	-1.315546	0.489518
13	35.000000	5.000000	-1.337981	0.193858
13	45.000000	5.000000	-1.164306	0.117225
13	55.000000	5.000000	-0.907589	0.082053
13	65.000000	5.000000	-0.943267	0.075040
13	75.000000	5.000000	-0.510353	0.056096
13	85.000000	5.000000	-0.377587	0.055084
13	95.000000	5.000000	-0.103051	0.055777
13	105.000000	5.000000	0.043719	0.057790
13	115.000000	5.000000	0.294806	0.074890
13	125.000000	5.000000	0.473295	0.091400
13	135.000000	5.000000	0.576210	0.117556
13	145.000000	5.000000	0.580677	0.175399
13	155.000000	5.000000	0.728168	0.317478
13	165.000000	5.000000	1.716128	0.863600
13	175.000000	5.000000	-2.073887	2.372111


14	5.000000	5.000000	0.000000	0.000000
14	15.000000	5.000000	1.325414	1.328052
14	25.000000	5.000000	-0.297959	0.286809
14	35.000000	5.000000	-1.129750	0.173020
14	45.000000	5.000000	-1.116413	0.103000
14	55.000000	5.000000	-1.111593	0.074668
14	65.000000	5.000000	-0.711225	0.056708
14	75.000000	5.000000	-0.532347	0.048075
14	85.000000	5.000000	-0.300443	0.043943
14	95.000000	5.000000	-0.066074	0.045461
14	105.000000	5.000000	0.151780	0.049467
14	115.000000	5.000000	0.306924	0.055706
14	125.000000	5.000000	0.567884	0.074640
14	135.000000	5.000000	0.817729	0.106889
14	145.000000	5.000000	0.737843	0.165212
14	155.000000	5.000000	0.945647	0.265458
14	165.000000	5.000000	0.032439	0.461181
14	175.000000	5.000000	3.016031	1.690980


15	5.000000	5.000000	0.000000	0.000000
