TaggerCh	Theta	DTheta	Asym	DAsym

0	5.000000	5.000000	0.000000	0.000000
0	15.000000	5.000000	-0.612099	2.251389
0	25.000000	5.000000	-0.470285	0.677288
0	35.000000	5.000000	0.005995	2.795559
0	45.000000	5.000000	-0.225385	0.102448
0	55.000000	5.000000	-0.097139	0.110640
0	65.000000	5.000000	-0.327572	0.105813
0	75.000000	5.000000	-0.353337	0.098340
0	85.000000	5.000000	-0.089337	0.079675
0	95.000000	5.000000	-0.172986	0.068796
0	105.000000	5.000000	-0.041056	0.075602
0	115.000000	5.000000	-0.090719	0.146566
0	125.000000	5.000000	0.048382	0.207571
0	135.000000	5.000000	0.395153	0.163041
0	145.000000	5.000000	3.346987	5.313267
0	155.000000	5.000000	-1.041977	0.978660
0	165.000000	5.000000	-1.572833	2.551657
0	175.000000	5.000000	-0.565540	0.642444


1	5.000000	5.000000	0.000000	0.000000
1	15.000000	5.000000	0.103384	0.770327
1	25.000000	5.000000	1.379791	2.479869
1	35.000000	5.000000	-0.320289	0.236114
1	45.000000	5.000000	-0.201529	0.119163
1	55.000000	5.000000	-0.496558	0.103443
1	65.000000	5.000000	-0.186977	0.080069
1	75.000000	5.000000	-0.270636	0.070714
1	85.000000	5.000000	-0.267153	0.061679
1	95.000000	5.000000	-0.372228	0.072058
1	105.000000	5.000000	-0.233608	0.077974
1	115.000000	5.000000	-0.063610	0.099068
1	125.000000	5.000000	0.044775	0.121869
1	135.000000	5.000000	-0.481253	0.170721
1	145.000000	5.000000	0.719654	0.259792
1	155.000000	5.000000	0.138715	0.639517
1	165.000000	5.000000	1.806058	2.128326
1	175.000000	5.000000	-1.387561	6.272508


2	5.000000	5.000000	0.000000	0.000000
2	15.000000	5.000000	2.250671	8.249681
2	25.000000	5.000000	0.367475	0.326541
2	35.000000	5.000000	-0.238692	0.153824
2	45.000000	5.000000	-0.197235	0.095311
2	55.000000	5.000000	-0.150660	0.062202
2	65.000000	5.000000	-0.259826	0.057037
2	75.000000	5.000000	-0.210207	0.051315
2	85.000000	5.000000	-0.267836	0.048292
2	95.000000	5.000000	-0.195167	0.050236
2	105.000000	5.000000	-0.089604	0.051490
2	115.000000	5.000000	-0.162902	0.063651
2	125.000000	5.000000	0.049023	0.075791
2	135.000000	5.000000	-0.084038	0.098529
2	145.000000	5.000000	0.115575	0.188396
2	155.000000	5.000000	0.690082	0.309339
2	165.000000	5.000000	1.227119	0.618309
2	175.000000	5.000000	1.801870	1.798890


3	5.000000	5.000000	0.000000	0.000000
3	15.000000	5.000000	0.000000	0.000000
3	25.000000	5.000000	0.000000	0.000000
3	35.000000	5.000000	0.000000	0.000000
3	45.000000	5.000000	0.000000	0.000000
3	55.000000	5.000000	0.000000	0.000000
3	65.000000	5.000000	0.000000	0.000000
3	75.000000	5.000000	0.000000	0.000000
3	85.000000	5.000000	0.000000	0.000000
3	95.000000	5.000000	0.000000	0.000000
3	105.000000	5.000000	0.000000	0.000000
3	115.000000	5.000000	0.000000	0.000000
3	125.000000	5.000000	0.000000	0.000000
3	135.000000	5.000000	0.000000	0.000000
3	145.000000	5.000000	0.000000	0.000000
3	155.000000	5.000000	0.000000	0.000000
3	165.000000	5.000000	0.000000	0.000000
3	175.000000	5.000000	0.000000	0.000000


4	5.000000	5.000000	0.000000	0.000000
4	15.000000	5.000000	1.545836	1.616571
4	25.000000	5.000000	-8.131873	85.054481
4	35.000000	5.000000	4.186176	27.295648
4	45.000000	5.000000	-0.344866	0.259248
4	55.000000	5.000000	-0.251186	0.142123
4	65.000000	5.000000	-2.148185	4.288440
4	75.000000	5.000000	0.341477	0.372035
4	85.000000	5.000000	-0.197406	0.193175
4	95.000000	5.000000	1.790905	3.655028
4	105.000000	5.000000	-0.312084	0.312949
4	115.000000	5.000000	0.146649	0.173827
4	125.000000	5.000000	0.163220	0.165843
4	135.000000	5.000000	0.040881	0.227818
4	145.000000	5.000000	0.229855	0.778266
4	155.000000	5.000000	0.158913	0.130747
4	165.000000	5.000000	0.064953	0.064460
4	175.000000	5.000000	0.258873	0.272688


5	5.000000	5.000000	0.000000	0.000000
5	15.000000	5.000000	-2.485291	3.277020
5	25.000000	5.000000	-0.242728	0.360344
5	35.000000	5.000000	-0.456347	0.182183
5	45.000000	5.000000	-0.235092	0.085009
5	55.000000	5.000000	-0.357978	0.068020
5	65.000000	5.000000	-0.298267	0.050700
5	75.000000	5.000000	-0.315040	0.048437
5	85.000000	5.000000	-0.224515	0.043482
5	95.000000	5.000000	-0.109296	0.048395
5	105.000000	5.000000	-0.092158	0.048135
5	115.000000	5.000000	-0.028946	0.056666
5	125.000000	5.000000	-0.009399	0.073545
5	135.000000	5.000000	0.215822	0.098740
5	145.000000	5.000000	0.062446	0.188396
5	155.000000	5.000000	0.662909	0.288335
5	165.000000	5.000000	2.221115	2.008938
5	175.000000	5.000000	0.262708	0.493475


6	5.000000	5.000000	0.000000	0.000000
6	15.000000	5.000000	-3.925391	11.804337
6	25.000000	5.000000	-0.849318	0.721193
6	35.000000	5.000000	-0.212621	0.110571
6	45.000000	5.000000	-0.215950	0.076061
6	55.000000	5.000000	-0.301457	0.054128
6	65.000000	5.000000	-0.357804	0.062507
6	75.000000	5.000000	-0.289881	0.043540
6	85.000000	5.000000	-0.221417	0.044318
6	95.000000	5.000000	-0.278084	0.043419
6	105.000000	5.000000	-0.144294	0.044830
6	115.000000	5.000000	0.059409	0.052973
6	125.000000	5.000000	-0.010536	0.066629
6	135.000000	5.000000	0.297858	0.094907
6	145.000000	5.000000	0.221625	0.114233
6	155.000000	5.000000	0.238865	0.191003
6	165.000000	5.000000	-2.343611	6.495870
6	175.000000	5.000000	-0.662617	0.470768


7	5.000000	5.000000	0.000000	0.000000
7	15.000000	5.000000	-0.156735	0.620919
7	25.000000	5.000000	-0.458409	0.368999
7	35.000000	5.000000	0.136434	0.161488
7	45.000000	5.000000	-0.390500	0.101942
7	55.000000	5.000000	-0.402111	0.070290
7	65.000000	5.000000	-0.213691	0.055801
7	75.000000	5.000000	-0.263497	0.056670
7	85.000000	5.000000	-0.355288	0.051854
7	95.000000	5.000000	-0.325873	0.049944
7	105.000000	5.000000	-0.074924	0.051061
7	115.000000	5.000000	0.084530	0.060326
7	125.000000	5.000000	0.028924	0.081408
7	135.000000	5.000000	0.180367	0.111521
7	145.000000	5.000000	0.316975	0.197377
7	155.000000	5.000000	0.629343	0.341879
7	165.000000	5.000000	1.728206	13.609484
7	175.000000	5.000000	-7.523749	18.229716


8	5.000000	5.000000	0.000000	0.000000
8	15.000000	5.000000	-1.040600	9.840636
8	25.000000	5.000000	-0.071791	0.292084
8	35.000000	5.000000	-0.500976	0.145140
8	45.000000	5.000000	-0.501409	0.089675
8	55.000000	5.000000	-0.277017	0.059894
8	65.000000	5.000000	-0.320463	0.051362
8	75.000000	5.000000	-0.318495	0.045307
8	85.000000	5.000000	-0.146674	0.041965
8	95.000000	5.000000	-0.251109	0.044304
8	105.000000	5.000000	-0.263643	0.046668
8	115.000000	5.000000	-0.056932	0.057879
8	125.000000	5.000000	-0.030912	0.068266
8	135.000000	5.000000	0.170467	0.092147
8	145.000000	5.000000	0.383783	0.137195
8	155.000000	5.000000	0.050258	0.265096
8	165.000000	5.000000	0.520563	0.487393
8	175.000000	5.000000	-1.596103	6.459273


9	5.000000	5.000000	0.000000	0.000000
9	15.000000	5.000000	-0.451324	15.024690
9	25.000000	5.000000	0.852431	0.816840
9	35.000000	5.000000	0.039624	0.148883
9	45.000000	5.000000	-0.634151	0.280018
9	55.000000	5.000000	-0.045493	0.147351
9	65.000000	5.000000	-0.058481	0.102768
9	75.000000	5.000000	-0.221220	0.071446
9	85.000000	5.000000	-0.199478	0.100197
9	95.000000	5.000000	-0.064343	0.080164
9	105.000000	5.000000	-0.197326	0.116680
9	115.000000	5.000000	-0.058055	0.082616
9	125.000000	5.000000	0.128993	0.092899
9	135.000000	5.000000	0.211398	0.163028
9	145.000000	5.000000	0.101202	0.224872
9	155.000000	5.000000	0.904325	0.724056
9	165.000000	5.000000	-1.849505	10.232565
9	175.000000	5.000000	0.436842	2.523736


10	5.000000	5.000000	0.000000	0.000000
10	15.000000	5.000000	0.000000	0.000000
10	25.000000	5.000000	1.771684	2.259446
10	35.000000	5.000000	-0.339931	0.316656
10	45.000000	5.000000	-0.364770	0.205348
10	55.000000	5.000000	-0.153773	0.154842
10	65.000000	5.000000	-0.264534	0.103653
10	75.000000	5.000000	-0.434487	0.125293
10	85.000000	5.000000	-0.394463	0.092080
10	95.000000	5.000000	-0.358887	0.124138
10	105.000000	5.000000	-0.171840	0.094478
10	115.000000	5.000000	0.060817	0.091383
10	125.000000	5.000000	-0.050180	0.160696
10	135.000000	5.000000	-0.057169	0.089656
10	145.000000	5.000000	0.284967	0.267731
10	155.000000	5.000000	0.296732	0.564260
10	165.000000	5.000000	102.758378	10710.645023
10	175.000000	5.000000	0.366211	1.253143


11	5.000000	5.000000	0.000000	0.000000
11	15.000000	5.000000	0.493448	0.752076
11	25.000000	5.000000	0.960017	0.608415
11	35.000000	5.000000	-1.308028	1.069932
11	45.000000	5.000000	0.148716	0.463875
11	55.000000	5.000000	-1.092169	0.892783
11	65.000000	5.000000	-2.040278	3.082687
11	75.000000	5.000000	-2.293728	4.829413
11	85.000000	5.000000	-0.174627	0.332389
11	95.000000	5.000000	-0.356622	0.268115
11	105.000000	5.000000	2.478203	7.108811
11	115.000000	5.000000	-0.469860	0.534328
11	125.000000	5.000000	0.041177	0.184024
11	135.000000	5.000000	-0.080035	0.117516
11	145.000000	5.000000	-1.451574	2.800568
11	155.000000	5.000000	-0.454391	36.282900
11	165.000000	5.000000	0.551664	1.353956
11	175.000000	5.000000	-0.423019	0.547496


12	5.000000	5.000000	0.000000	0.000000
12	15.000000	5.000000	-1.236348	1.191975
12	25.000000	5.000000	2.795372	4.392169
12	35.000000	5.000000	0.212689	0.408399
12	45.000000	5.000000	-0.144254	0.264668
12	55.000000	5.000000	-1.274060	0.937713
12	65.000000	5.000000	-3.317759	6.460589
12	75.000000	5.000000	-2.922030	5.039729
12	85.000000	5.000000	1.742727	3.004186
12	95.000000	5.000000	-1.517122	1.155257
12	105.000000	5.000000	-1.163270	2.865743
12	115.000000	5.000000	0.460868	0.528622
12	125.000000	5.000000	-30.472505	1789.860040
12	135.000000	5.000000	-1.542093	1.518066
12	145.000000	5.000000	-1.697527	8.119582
12	155.000000	5.000000	-0.980646	0.693518
12	165.000000	5.000000	-0.641243	1.258136
12	175.000000	5.000000	0.232896	0.651778


13	5.000000	5.000000	0.000000	0.000000
13	15.000000	5.000000	2.526431	4.715556
13	25.000000	5.000000	-0.970667	0.384579
13	35.000000	5.000000	-0.145106	0.135830
13	45.000000	5.000000	-0.346326	0.082986
13	55.000000	5.000000	-0.192270	0.058288
13	65.000000	5.000000	-0.381508	0.053659
13	75.000000	5.000000	-0.289893	0.042722
13	85.000000	5.000000	-0.170296	0.042631
13	95.000000	5.000000	-0.177663	0.043997
13	105.000000	5.000000	-0.183996	0.045383
13	115.000000	5.000000	0.067182	0.057889
13	125.000000	5.000000	0.048459	0.069670
13	135.000000	5.000000	0.069722	0.088781
13	145.000000	5.000000	0.016327	0.132457
13	155.000000	5.000000	0.268918	0.241764
13	165.000000	5.000000	0.266710	0.542181
13	175.000000	5.000000	2.400412	2.575200


14	5.000000	5.000000	0.000000	0.000000
14	15.000000	5.000000	-1.344135	1.263515
14	25.000000	5.000000	0.132741	0.225242
14	35.000000	5.000000	-0.378867	0.124176
14	45.000000	5.000000	-0.271086	0.070056
14	55.000000	5.000000	-0.260605	0.048783
14	65.000000	5.000000	-0.188696	0.040513
14	75.000000	5.000000	-0.225491	0.035825
14	85.000000	5.000000	-0.122439	0.034164
14	95.000000	5.000000	-0.130149	0.036117
14	105.000000	5.000000	-0.103530	0.038790
14	115.000000	5.000000	-0.023040	0.042891
14	125.000000	5.000000	0.058871	0.055552
14	135.000000	5.000000	0.153330	0.076539
14	145.000000	5.000000	0.074054	0.121076
14	155.000000	5.000000	0.151087	0.187682
