E_gamma_low;E_gamma_high;E_gamma_sys;costheta_center;costheta_width;H;stat;sys

667.24;699.76;6.50;-0.958;0.083;-0.1201;0.2563;0.0111
667.24;699.76;6.50;-0.875;0.083;-0.9362;0.1538;0.0438
667.24;699.76;6.50;-0.792;0.083;-0.6920;0.1146;0.0329
667.24;699.76;6.50;-0.708;0.083;-0.5725;0.1018;0.0268
667.24;699.76;6.50;-0.625;0.083;-0.4174;0.0893;0.0197
667.24;699.76;6.50;-0.542;0.083;-0.4932;0.0838;0.0228
667.24;699.76;6.50;-0.458;0.083;-0.3458;0.0975;0.0176
667.24;699.76;6.50;-0.375;0.083;-0.1677;0.0866;0.0078
667.24;699.76;6.50;-0.292;0.083;-0.1749;0.0811;0.0081
667.24;699.76;6.50;-0.208;0.083;-0.1626;0.0787;0.0077
667.24;699.76;6.50;-0.125;0.083;-0.0813;0.0760;0.0043
667.24;699.76;6.50;-0.042;0.083;0.0919;0.0747;0.0047
667.24;699.76;6.50;0.042;0.083;0.0466;0.0754;0.0034
667.24;699.76;6.50;0.125;0.083;0.2312;0.0754;0.0107
667.24;699.76;6.50;0.208;0.083;0.1975;0.0789;0.0093
667.24;699.76;6.50;0.292;0.083;0.3528;0.0803;0.0163
667.24;699.76;6.50;0.375;0.083;0.3927;0.0840;0.0179
667.24;699.76;6.50;0.458;0.083;0.4895;0.1108;0.0232

699.76;731.45;6.34;-0.958;0.083;-0.6034;0.2387;0.0272
699.76;731.45;6.34;-0.875;0.083;-0.5884;0.1503;0.0278
699.76;731.45;6.34;-0.792;0.083;-0.6865;0.1148;0.0324
699.76;731.45;6.34;-0.708;0.083;-0.7242;0.1060;0.0336
699.76;731.45;6.34;-0.625;0.083;-0.4861;0.0943;0.0231
699.76;731.45;6.34;-0.542;0.083;-0.3170;0.0867;0.0147
699.76;731.45;6.34;-0.458;0.083;-0.2439;0.1025;0.0125
699.76;731.45;6.34;-0.375;0.083;-0.2556;0.0982;0.0119
699.76;731.45;6.34;-0.292;0.083;-0.0415;0.0893;0.0036
699.76;731.45;6.34;-0.208;0.083;-0.1389;0.0838;0.0067
699.76;731.45;6.34;-0.125;0.083;0.0374;0.0787;0.0032
699.76;731.45;6.34;-0.042;0.083;0.0803;0.0820;0.0044
699.76;731.45;6.34;0.042;0.083;0.1614;0.0811;0.0076
699.76;731.45;6.34;0.125;0.083;0.0428;0.0816;0.0035
699.76;731.45;6.34;0.208;0.083;0.3121;0.0790;0.0146
699.76;731.45;6.34;0.292;0.083;0.3255;0.0840;0.0151
699.76;731.45;6.34;0.375;0.083;0.4696;0.0894;0.0217
699.76;731.45;6.34;0.458;0.083;0.3992;0.0999;0.0184
699.76;731.45;6.34;0.542;0.083;0.3761;0.1848;0.0190

731.45;768.43;6.16;-0.958;0.083;-0.3596;0.1442;0.0165
731.45;768.43;6.16;-0.875;0.083;-0.5968;0.0947;0.0280
731.45;768.43;6.16;-0.792;0.083;-0.4055;0.0711;0.0190
731.45;768.43;6.16;-0.708;0.083;-0.5532;0.0670;0.0257
731.45;768.43;6.16;-0.625;0.083;-0.3204;0.0608;0.0153
731.45;768.43;6.16;-0.542;0.083;-0.2455;0.0561;0.0113
731.45;768.43;6.16;-0.458;0.083;-0.1133;0.0665;0.0059
731.45;768.43;6.16;-0.375;0.083;-0.0133;0.0641;0.0025
731.45;768.43;6.16;-0.292;0.083;-0.0879;0.0577;0.0042
731.45;768.43;6.16;-0.208;0.083;-0.0566;0.0552;0.0031
