E_gamma_low;E_gamma_high;E_gamma_sys;costheta_center;costheta_width;P;stat;sys

667.24;699.76;6.50;-0.958;0.083;-0.5072;0.2686;0.0247
667.24;699.76;6.50;-0.875;0.083;-0.7263;0.1572;0.0341
667.24;699.76;6.50;-0.792;0.083;-0.9450;0.1167;0.0448
667.24;699.76;6.50;-0.708;0.083;-0.9497;0.1010;0.0444
667.24;699.76;6.50;-0.625;0.083;-0.8864;0.0918;0.0418
667.24;699.76;6.50;-0.542;0.083;-1.0869;0.0831;0.0503
667.24;699.76;6.50;-0.458;0.083;-1.0416;0.0976;0.0530
667.24;699.76;6.50;-0.375;0.083;-0.9824;0.0854;0.0450
667.24;699.76;6.50;-0.292;0.083;-0.8745;0.0798;0.0404
667.24;699.76;6.50;-0.208;0.083;-0.9345;0.0770;0.0440
667.24;699.76;6.50;-0.125;0.083;-0.7922;0.0746;0.0365
667.24;699.76;6.50;-0.042;0.083;-0.9790;0.0733;0.0458
667.24;699.76;6.50;0.042;0.083;-0.8013;0.0739;0.0374
667.24;699.76;6.50;0.125;0.083;-0.8702;0.0768;0.0402
667.24;699.76;6.50;0.208;0.083;-0.7545;0.0791;0.0356
667.24;699.76;6.50;0.292;0.083;-0.6377;0.0813;0.0294
667.24;699.76;6.50;0.375;0.083;-0.4692;0.0848;0.0214
667.24;699.76;6.50;0.458;0.083;-0.3709;0.1208;0.0176

699.76;731.45;6.34;-0.958;0.083;-0.3751;0.2624;0.0177
699.76;731.45;6.34;-0.875;0.083;-0.5045;0.1555;0.0239
699.76;731.45;6.34;-0.792;0.083;-0.8144;0.1155;0.0383
699.76;731.45;6.34;-0.708;0.083;-0.6776;0.1071;0.0315
699.76;731.45;6.34;-0.625;0.083;-0.8322;0.0962;0.0395
699.76;731.45;6.34;-0.542;0.083;-0.8687;0.0882;0.0403
699.76;731.45;6.34;-0.458;0.083;-0.8003;0.1089;0.0407
699.76;731.45;6.34;-0.375;0.083;-0.8965;0.0954;0.0417
699.76;731.45;6.34;-0.292;0.083;-0.8973;0.0875;0.0409
699.76;731.45;6.34;-0.208;0.083;-0.7101;0.0827;0.0331
699.76;731.45;6.34;-0.125;0.083;-0.8998;0.0800;0.0416
