#*************************************
#  gamma p --> pi0 p                 *
#  Double polarization observable F  *
#                                    *
#  Energy bin = 30 MeV               *
#*************************************

  cos(Theta_pi)    F          stat.
      CMS                     err.
#====================================================
#       E_gamma =         440 MeV
    -0.933       0.906       0.118
    -0.800       0.684       0.079
    -0.667       0.373       0.045
    -0.533       0.313       0.029
    -0.400       0.176       0.025
    -0.267       0.138       0.024
    -0.133      -0.041       0.023
     0.000      -0.096       0.024
     0.133      -0.296       0.026
     0.267      -0.412       0.040
     0.400      -0.558       0.034
     0.533      -0.564       0.103
#====================================================
#       E_gamma =         470 MeV
    -0.933       0.517       0.131
    -0.800       0.449       0.078
    -0.667       0.342       0.047
    -0.533       0.272       0.033
    -0.400       0.179       0.028
    -0.267       0.076       0.027
    -0.133      -0.035       0.026
     0.000      -0.145       0.027
     0.133      -0.297       0.027
     0.267      -0.395       0.031
     0.400      -0.500       0.033
     0.533      -0.666       0.065
#====================================================
#       E_gamma =         500 MeV
    -0.933       0.485       0.147
    -0.800       0.573       0.088
    -0.667       0.347       0.056
    -0.533       0.295       0.037
    -0.400       0.233       0.032
    -0.267       0.137       0.030
    -0.133       0.033       0.030
     0.000      -0.131       0.031
     0.133      -0.274       0.031
     0.267      -0.352       0.032
     0.400      -0.506       0.037
     0.533      -0.722       0.053
     0.667      -1.110       0.346
#====================================================
#       E_gamma =         530 MeV
    -0.933       0.364       0.162
    -0.800       0.278       0.095
    -0.667       0.259       0.063
    -0.533       0.157       0.044
    -0.400       0.151       0.039
    -0.267       0.119       0.036
    -0.133       0.003       0.036
     0.000      -0.064       0.038
     0.133      -0.239       0.038
     0.267      -0.282       0.039
     0.400      -0.464       0.049
     0.533      -0.611       0.056
     0.667      -0.952       0.208
#====================================================
#       E_gamma =         560 MeV
    -0.933       0.223       0.176
    -0.800       0.271       0.105
    -0.667       0.299       0.068
    -0.533       0.263       0.049
    -0.400       0.227       0.044
    -0.267       0.167       0.042
    -0.133       0.061       0.043
     0.000      -0.011       0.045
     0.133      -0.112       0.046
     0.267      -0.153       0.047
     0.400      -0.363       0.054
     0.533      -0.634       0.064
     0.667      -0.572       0.145
#====================================================
#       E_gamma =         590 MeV
    -0.933      -0.428       0.140
    -0.800       0.139       0.087
    -0.667       0.229       0.065
    -0.533       0.267       0.048
    -0.400       0.157       0.041
    -0.267       0.126       0.040
    -0.133       0.052       0.041
     0.000       0.143       0.046
     0.133       0.102       0.048
     0.267      -0.126       0.049
     0.400      -0.253       0.052
