E =  218.370 MeV, E_lo =  216.220 MeV, E_hi =  220.520 MeV
Systematic = 0.0399, Preliminary = 0, CBMAMI_2014_Prakhov
165.160     2.684300     0.019800     0.033484
154.160     2.833500     0.019500     0.035382
146.440     3.025100     0.019700     0.037771
140.060     3.175500     0.019700     0.039679
134.430     3.334100     0.019900     0.041694
129.300     3.433600     0.020000     0.042864
124.520     3.555400     0.020200     0.044423
120.000     3.572400     0.019900     0.044668
115.680     3.680500     0.020100     0.046000
111.510     3.762300     0.020200     0.047047
107.460     3.782600     0.020100     0.047307
103.490     3.814000     0.020100     0.047633
 99.590     3.780800     0.019800     0.047325
 95.740     3.804100     0.019800     0.047542
 91.910     3.764300     0.019600     0.047083
 88.090     3.744300     0.019500     0.046800
 84.260     3.690700     0.019400     0.046083
 80.410     3.644300     0.019300     0.045582
 76.510     3.562500     0.019100     0.044581
 72.540     3.457400     0.018900     0.043251
 68.490     3.336300     0.018900     0.041718
 64.320     3.225400     0.018800     0.040334
 60.000     3.106100     0.018900     0.038846
 55.480     2.927300     0.018900     0.036609
 50.700     2.744200     0.019100     0.034232
 45.570     2.508600     0.019200     0.031394
 39.940     2.299500     0.019800     0.028740
 33.560     2.074100     0.020800     0.025877
 25.840     1.838700     0.022600     0.022936
 14.840     1.630900     0.026000     0.020484
----------------------------------------------------------
E =  222.680 MeV, E_lo =  220.520 MeV, E_hi =  224.830 MeV
Systematic = 0.0458, Preliminary = 0, CBMAMI_2014_Prakhov
165.160     2.971200     0.019800     0.037153
154.160     3.214300     0.019800     0.040187
146.440     3.436900     0.020000     0.042974
140.060     3.597200     0.019900     0.044996
134.430     3.748800     0.020000     0.046915
129.300     3.897400     0.020200     0.048783
124.520     4.051100     0.020500     0.050605
120.000     4.140200     0.020400     0.051722
115.680     4.266700     0.020600     0.053362
111.510     4.303100     0.020500     0.053829
107.460     4.371900     0.020500     0.054684
103.490     4.356600     0.020400     0.054401
 99.590     4.411200     0.020300     0.055185
 95.740     4.418000     0.020300     0.055185
 91.910     4.375800     0.020100     0.054725
 88.090     4.327600     0.019800     0.054090
 84.260     4.249000     0.019600     0.053098
 80.410     4.208600     0.019600     0.052565
 76.510     4.128900     0.019500     0.051641
 72.540     3.996800     0.019200     0.049936
 68.490     3.893400     0.019200     0.048648
 64.320     3.711300     0.019100     0.046424
 60.000     3.530900     0.019000     0.044079
 55.480     3.379500     0.019100     0.042287
 50.700     3.175900     0.019300     0.039652
 45.570     2.936400     0.019500     0.036747
 39.940     2.676200     0.019900     0.033425
 33.560     2.417800     0.020900     0.030289
 25.840     2.069200     0.022600     0.025802
 14.840     1.746600     0.026200     0.021826
----------------------------------------------------------
E =  226.980 MeV, E_lo =  224.830 MeV, E_hi =  229.130 MeV
Systematic = 0.0522, Preliminary = 0, CBMAMI_2014_Prakhov
165.160     3.276400     0.021200     0.040936
154.160     3.572600     0.021300     0.044683
146.440     3.833100     0.021500     0.047896
140.060     4.027700     0.021500     0.050298
134.430     4.245800     0.021800     0.053099
129.300     4.464300     0.022100     0.055782
124.520     4.604100     0.022200     0.057568
120.000     4.719300     0.022200     0.058959
115.680     4.785100     0.022200     0.059813
111.510     4.825500     0.022100     0.060276
107.460     4.949300     0.022200     0.061836
103.490     5.002900     0.022200     0.062579
 99.590     5.024800     0.022000     0.062861
 95.740     5.011500     0.021900     0.062685
 91.910     5.053000     0.021900     0.063214
 88.090     4.960500     0.021600     0.061942
 84.260     4.873000     0.021300     0.060882
 80.410     4.838000     0.021300     0.060458
 76.510     4.724700     0.021100     0.059043
 72.540     4.584100     0.020800     0.057344
 68.490     4.478600     0.020800     0.055959
 64.320     4.246000     0.020600     0.053040
 60.000     4.086600     0.020500     0.051145
 55.480     3.854000     0.020600     0.048181
 50.700     3.630400     0.020700     0.045404
 45.570     3.357800     0.020900     0.041986
 39.940     3.027300     0.021400     0.037872
 33.560     2.736000     0.022400     0.034221
 25.840     2.414800     0.024300     0.030248
 14.840     2.038500     0.028600     0.025474
----------------------------------------------------------
E =  231.290 MeV, E_lo =  229.130 MeV, E_hi =  233.440 MeV
Systematic = 0.0594, Preliminary = 0, CBMAMI_2014_Prakhov
165.160     3.669800     0.023200     0.045866
154.160     3.986700     0.023100     0.049804
146.440     4.269000     0.023200     0.053376
140.060     4.549200     0.023400     0.056874
134.430     4.780800     0.023600     0.059812
129.300     5.024000     0.024000     0.062768
124.520     5.259100     0.024300     0.065753
120.000     5.359500     0.024200     0.066961
115.680     5.459500     0.024300     0.068200
111.510     5.548600     0.024300     0.069367
107.460     5.655200     0.024300     0.070637
103.490     5.704700     0.024200     0.071305
 99.590     5.651600     0.023800     0.070702
 95.740     5.759200     0.024000     0.072006
 91.910     5.725800     0.023800     0.071545
 88.090     5.666200     0.023600     0.070769
 84.260     5.601800     0.023400     0.069992
 80.410     5.520500     0.023200     0.069004
 76.510     5.447800     0.023100     0.068088
 72.540     5.269100     0.022800     0.065865
 68.490     5.085600     0.022600     0.063604
 64.320     4.910400     0.022500     0.061408
 60.000     4.654900     0.022300     0.058172
 55.480     4.429800     0.022400     0.055338
 50.700     4.140300     0.022400     0.051761
 45.570     3.815200     0.022600     0.047719
 39.940     3.473900     0.023200     0.043500
 33.560     3.103000     0.024300     0.038822
 25.840     2.687100     0.026300     0.033512
 14.840     2.278600     0.031300     0.028453
----------------------------------------------------------
E =  235.600 MeV, E_lo =  233.440 MeV, E_hi =  237.750 MeV
Systematic = 0.0671, Preliminary = 0, CBMAMI_2014_Prakhov
165.160     4.049500     0.025900     0.050551
154.160     4.432000     0.025900     0.055339
146.440     4.801400     0.026100     0.059966
140.060     5.146600     0.026400     0.064291
134.430     5.363800     0.026500     0.067053
129.300     5.618200     0.026900     0.070224
124.520     5.901300     0.027400     0.073776
120.000     6.044400     0.027300     0.075517
115.680     6.178600     0.027400     0.077181
111.510     6.264900     0.027300     0.078276
107.460     6.356200     0.027300     0.079440
103.490     6.451300     0.027300     0.080602
 99.590     6.418500     0.026900     0.080209
 95.740     6.527900     0.027100     0.081619
 91.910     6.488600     0.026800     0.081086
 88.090     6.449500     0.026600     0.080625
 84.260     6.359200     0.026400     0.079428
 80.410     6.282500     0.026200     0.078546
 76.510     6.118600     0.025800     0.076465
 72.540     5.960300     0.025600     0.074526
 68.490     5.759200     0.025400     0.071948
 64.320     5.602300     0.025400     0.070036
 60.000     5.283400     0.025000     0.066025
 55.480     5.035800     0.025100     0.062983
 50.700     4.695900     0.025100     0.058655
 45.570     4.356400     0.025400     0.054469
 39.940     3.988900     0.026100     0.049885
 33.560     3.521200     0.027100     0.044028
 25.840     3.043600     0.029300     0.038020
 14.840     2.590600     0.035300     0.032378
----------------------------------------------------------
E =  239.910 MeV, E_lo =  237.760 MeV, E_hi =  242.070 MeV
Systematic = 0.0755, Preliminary = 0, CBMAMI_2014_Prakhov
165.160     4.453200     0.029200     0.055599
154.160     4.892400     0.029100     0.061127
146.440     5.314600     0.029300     0.066425
140.060     5.706200     0.029800     0.071325
134.430     5.987200     0.029900     0.074849
129.300     6.291800     0.030500     0.078589
124.520     6.580300     0.030900     0.082290
120.000     6.755400     0.030900     0.084423
115.680     6.906900     0.031000     0.086301
111.510     7.065500     0.031000     0.088317
107.460     7.185800     0.031000     0.089800
103.490     7.267000     0.030900     0.090891
 99.590     7.264600     0.030600     0.090781
 95.740     7.376300     0.030800     0.092191
 91.910     7.308800     0.030500     0.091342
 88.090     7.266800     0.030200     0.090810
 84.260     7.137700     0.029800     0.089257
 80.410     7.052100     0.029600     0.088164
 76.510     6.969800     0.029500     0.087142
