   W                 E0+(pip_n)
 (MeV)      Re       DRe      Im       DIm
1128.906   20.500    0.948    0.253    1.235
1131.397   19.617    1.370    0.075    1.719
1137.187   19.689    0.574    0.195    0.753
1145.408   18.880    1.422    0.658    1.403
1153.571   19.282    0.713   -0.092    0.762
1154.384   18.875    1.505   -0.389    1.370
1159.250   17.779    1.083   -0.017    0.954
1161.676   18.524    0.709    0.055    0.689
1169.725   18.148    0.676   -1.103    0.697
1170.527   18.774    1.088   -1.202    1.126
1177.719   17.338    0.761   -0.128    0.620
1185.659   16.659    0.783   -0.178    0.540
1187.240   17.852    1.062   -0.698    0.778
1193.546   16.049    0.900    0.003    0.659
1199.819   15.002    0.941    0.237    1.015
1201.382   14.554    0.514   -0.418    0.515
1203.722   13.489    0.703    0.100    0.857
1209.166   13.692    0.569    0.415    0.625
1216.901   14.082    0.378    0.273    0.529
1220.750   13.729    0.451    0.505    0.733
1224.587   12.558    0.347    0.248    0.592
1232.225   12.529    0.309   -0.461    0.466
1236.027   11.953    0.501    0.486    0.787
1239.816   12.027    0.331    0.540    0.453
1240.573   11.012    0.437    0.676    0.594
1247.361   12.286    0.353    0.054    0.440
1251.866   12.108    0.705    0.255    0.794
1254.861   11.948    0.444   -0.135    0.550
1258.594   13.254    0.508    0.295    0.620
1262.316   13.206    0.435   -0.040    0.459
1268.248   11.328    0.773    0.945    0.717
1269.727   12.006    0.519    0.298    0.535
1276.360   12.739    0.549   -0.386    0.578
1277.095   13.129    0.384   -0.126    0.394
1283.690   12.644    0.710   -0.076    0.770
1284.421   12.653    0.515   -0.573    0.563
1291.705   13.236    0.396    0.066    0.453
1295.332   12.940    0.462    0.185    0.561
1298.949   12.976    0.517    0.137    0.617
1306.152   12.533    0.806    0.916    1.240
1313.316   12.316    0.485    0.079    0.630
1314.744   12.378    0.678    0.250    0.874
1320.441   11.985    0.907    0.384    1.180
1322.571   11.916    0.562    0.375    0.839
1327.528   12.911    1.024    0.102    1.211
1331.057   12.094    0.697   -0.184    0.871
1336.684   12.148    0.665   -0.144    0.857
1341.589   12.686    0.914    0.097    1.186
1348.565   11.671    0.731   -0.437    0.843
1349.260   11.172    0.728   -0.449    0.821
1350.650   11.725    0.735   -0.073    0.839
1358.961   12.500    0.651   -0.207    0.765
1364.473   11.738    0.597   -0.059    0.741
1365.848   11.851    0.664   -0.108    0.738
1376.113   12.628    0.666   -0.361    0.700
1378.157   11.664    0.613   -0.012    0.728
1382.915   11.610    0.482    0.094    0.613
1383.593   11.646    0.669   -0.118    0.741
1391.707   11.543    0.598    0.156    0.724
1393.055   12.208    0.654    0.077    0.737
1399.774   11.870    0.507    0.162    0.588
1405.126   11.434    0.725    0.381    0.701
1409.127   11.557    0.712    0.444    0.697
1409.793   12.340    0.565    0.513    0.701
1416.432   11.460    0.330   -0.237    0.496
1418.418   11.396    0.411   -0.359    0.520
1426.334   12.402    0.699    0.459    0.723
1428.306   11.942    0.700    0.560    0.723
1431.587   11.853    0.533    0.584    0.725
1432.897   11.800    0.530    0.799    0.659
1439.430   11.999    0.711    0.950    0.742
1442.686   11.835    0.528    0.530    0.699
1444.636   11.334    0.542    0.586    0.703
1447.231   12.028    0.629    0.682    0.715
1449.175   11.905    0.485    0.407    0.594
1457.568   11.909    0.383    1.167    0.496
1458.854   12.203    0.738    0.934    0.680
1465.272   11.930    0.520    1.560    0.640
1468.470   10.869    0.558    3.269    0.513
1470.386   10.628    0.488    3.355    0.524
1474.846   10.482    0.507    3.149    0.564
1479.926   10.486    0.598    3.601    0.530
1481.194   11.439    0.472    3.322    0.529
1483.093   11.148    0.432    3.371    0.499
1490.665   10.085    0.518    4.081    0.458
1495.692    9.362    0.463    4.380    0.521
1496.946    9.172    0.383    4.076    0.447
1501.952    8.823    0.495    3.893    0.427
1506.319    8.597    0.505    3.966    0.469
1508.187    8.239    0.440    4.089    0.398
1512.535    8.085    0.413    3.623    0.342
1513.155    7.715    0.401    3.625    0.332
1513.775    7.576    0.443    4.663    0.388
1520.578    6.765    0.347    4.277    0.341
1521.812    7.230    0.487    4.775    0.456
1527.965    5.168    0.275    4.997    0.338
1532.869    6.312    0.255    4.052    0.328
1537.148    6.297    0.263    3.788    0.317
1543.240    5.738    0.264    3.703    0.281
1552.333    5.031    0.311    3.919    0.330
1558.366    4.996    0.186    3.417    0.241
1563.775    5.177    0.183    3.628    0.248
1574.538    4.920    0.276    3.369    0.282
1577.515    4.791    0.263    3.575    0.274
1588.185    4.062    0.246    3.419    0.287
1591.136    5.255    0.157    3.481    0.251
1602.886    4.325    0.196    3.736    0.211
1604.056    4.686    0.132    3.739    0.207
1617.454    3.483    0.144    3.486    0.181
1618.034    4.754    0.133    3.574    0.210
1632.467    4.335    0.144    3.602    0.199
1646.203    3.058    0.245    3.311    0.181
1647.343    3.971    0.161    4.156    0.154
1661.521    2.993    0.188    4.426    0.116
1674.459    1.731    0.285    3.808    0.157
1676.139    2.006    0.217    4.246    0.151
1691.740    0.937    0.200    4.299    0.111
1701.694    0.336    0.166    3.980    0.133
1702.245    0.202    0.172    2.956    0.110
1717.063    0.096    0.124    2.963    0.114
1729.586    0.471    0.090    2.689    0.082
1732.837    0.566    0.098    2.914    0.086
1749.542    0.289    0.105    1.319    0.131
1755.966    0.874    0.083    1.435    0.107
