   W                 E4-(pip_n)
 (MeV)      Re       DRe      Im       DIm
1128.906    0.092    0.000    0.000    0.000
1131.397    0.096    0.000    0.000    0.000
1137.187    0.109    0.000    0.000    0.000
1145.408    0.127    0.000    0.000    0.000
1153.571    0.146    0.000    0.000    0.000
1154.384    0.146    0.000    0.000    0.000
1159.250    0.156    0.000    0.000    0.000
1161.676    0.162    0.000    0.000    0.000
1169.725    0.177    0.000    0.000    0.000
1170.527    0.179    0.000    0.000    0.000
1177.719    0.192    0.000    0.000    0.000
1185.659    0.206    0.000    0.000    0.000
1187.240    0.208    0.000    0.000    0.000
1193.546    0.219    0.000    0.000    0.000
1199.819    0.229    0.000    0.000    0.000
1201.382    0.230    0.000    0.000    0.000
1203.722    0.235    0.000    0.000    0.000
1209.166    0.242    0.000    0.000    0.000
1216.901    0.253    0.000    0.000    0.000
1220.750    0.259    0.000    0.000    0.000
1224.587    0.264    0.000    0.000    0.000
1232.225    0.272    0.000    0.000    0.000
1236.027    0.277    0.000    0.000    0.000
1239.816    0.282    0.000    0.000    0.000
1240.573    0.283    0.000    0.000    0.000
1247.361    0.289    0.000    0.000    0.000
1251.866    0.294    0.000    0.000    0.000
1254.861    0.297    0.000    0.000    0.000
1258.594    0.301    0.000    0.000    0.000
1262.316    0.304    0.000    0.000    0.000
1268.248    0.310    0.000    0.000    0.000
1269.727    0.311    0.000    0.000    0.000
1276.360    0.316    0.000    0.000    0.000
1277.095    0.317    0.000    0.000    0.000
1283.690    0.323    0.000    0.000    0.000
1284.421    0.323    0.000    0.000    0.000
1291.705    0.329    0.000    0.000    0.000
1295.332    0.331    0.000    0.000    0.000
1298.949    0.333    0.000    0.000    0.000
1306.152    0.338    0.000    0.000    0.000
1313.316    0.342    0.000    0.000    0.000
1314.744    0.343    0.000    0.000    0.000
1320.441    0.346    0.000    0.000    0.000
1322.571    0.348    0.000    0.000    0.000
1327.528    0.350    0.000    0.000    0.000
1331.057    0.352    0.000    0.000    0.000
1336.684    0.355    0.000    0.000    0.000
1341.589    0.357    0.000    0.000    0.000
1348.565    0.360    0.000    0.000    0.000
1349.260    0.360    0.000    0.000    0.000
1350.650    0.361    0.000    0.000    0.000
1358.961    0.364    0.000    0.000    0.000
1364.473    0.366    0.000    0.000    0.000
1365.848    0.366    0.000    0.000    0.000
1376.113    0.370    0.000    0.000    0.000
1378.157    0.370    0.000    0.000    0.000
1382.915    0.372    0.000    0.000    0.000
1383.593    0.372    0.000    0.000    0.000
1391.707    0.374    0.000    0.000    0.000
1393.055    0.374    0.000    0.000    0.000
1399.774    0.376    0.000    0.000    0.000
1405.126    0.377    0.000    0.000    0.000
1409.127    0.378    0.000    0.000    0.000
1409.793    0.378    0.000    0.000    0.000
