   W                 M2+(pip_n)
 (MeV)      Re       DRe      Im       DIm
1128.906   -0.039    0.247    0.000    0.000
1131.397   -0.479    0.626    0.000    0.000
1137.187   -0.702    0.119    0.000    0.000
1145.408   -0.436    0.466   -0.001    0.001
1153.571   -0.299    0.161   -0.001    0.000
1154.384   -0.718    0.591   -0.002    0.002
1159.250   -0.307    0.163   -0.001    0.000
1161.676   -0.445    0.161   -0.001    0.000
1169.725   -0.386    0.134   -0.001    0.000
1170.527   -0.010    0.255   -0.000    0.001
1177.719   -0.527    0.174   -0.003    0.001
1185.659   -0.172    0.176   -0.001    0.001
1187.240   -0.188    0.269   -0.001    0.001
1193.546   -0.030    0.231   -0.000    0.001
1199.819   -0.071    0.206   -0.000    0.001
1201.382   -0.118    0.110   -0.001    0.001
1203.722   -0.000    0.006   -0.000    0.000
1209.166   -0.285    0.122   -0.002    0.001
1216.901   -0.081    0.134   -0.001    0.001
1220.750   -0.000    0.001   -0.000    0.000
1224.587   -0.000    0.002   -0.000    0.000
1232.225   -0.000    0.002   -0.000    0.000
1236.027   -0.000    0.002   -0.000    0.000
1239.816   -0.000    0.002   -0.000    0.000
1240.573   -0.154    0.257   -0.001    0.002
1247.361   -0.542    0.131   -0.006    0.001
1251.866   -0.185    0.324   -0.002    0.003
1254.861   -0.121    0.182   -0.001    0.002
1258.594   -0.146    0.217   -0.002    0.002
1262.316   -0.582    0.153   -0.007    0.002
1268.248   -0.213    0.310   -0.003    0.004
1269.727   -0.338    0.188   -0.004    0.002
1276.360   -0.738    0.198   -0.009    0.003
1277.095   -0.655    0.117   -0.008    0.001
1283.690   -0.602    0.266   -0.009    0.004
1284.421   -0.820    0.180   -0.012    0.003
1291.705   -0.648    0.117   -0.010    0.002
1295.332   -0.469    0.147   -0.007    0.002
1298.949   -0.423    0.156   -0.006    0.002
1306.152   -0.371    0.313   -0.007    0.005
1313.316   -0.424    0.135   -0.007    0.002
1314.744   -0.635    0.244   -0.011    0.004
1320.441   -0.626    0.326   -0.011    0.006
1322.571   -0.431    0.174   -0.008    0.003
1327.528   -0.476    0.280   -0.009    0.005
1331.057   -0.608    0.183   -0.012    0.004
1336.684   -0.481    0.165   -0.010    0.003
1341.589   -0.342    0.193   -0.007    0.004
1348.565   -0.628    0.167   -0.013    0.004
1349.260   -0.537    0.226   -0.011    0.005
1350.650   -0.221    0.184   -0.005    0.004
1358.961   -0.399    0.272   -0.009    0.006
1364.473   -0.434    0.241   -0.009    0.005
1365.848   -0.911    0.229   -0.020    0.005
1376.113   -0.763    0.263   -0.017    0.006
1378.157   -0.366    0.259   -0.008    0.006
1382.915   -0.764    0.195   -0.018    0.004
1383.593   -0.519    0.360   -0.012    0.008
1391.707   -0.551    0.270   -0.013    0.006
1393.055   -0.259    0.380   -0.006    0.009
1399.774   -0.569    0.221   -0.012    0.005
1405.126   -0.540    0.409   -0.012    0.009
1409.127   -0.490    0.483   -0.011    0.011
1409.793   -0.478    0.409   -0.011    0.009
1416.432   -0.845    0.217   -0.017    0.004
1418.418   -0.891    0.224   -0.018    0.004
1426.334   -0.709    0.513   -0.013    0.009
1428.306   -0.757    0.511   -0.014    0.009
1431.587   -0.761    0.385   -0.014    0.007
1432.897   -0.032    0.215   -0.001    0.004
1439.430   -0.646    0.506   -0.010    0.008
1442.686   -0.000    0.007   -0.000    0.000
1444.636   -0.419    0.279   -0.005    0.004
1447.231   -0.781    0.398   -0.010    0.005
1449.175   -0.363    0.295   -0.004    0.003
1457.568   -0.554    0.205   -0.002    0.001
1458.854   -0.000    0.007   -0.000    0.000
1465.272   -0.000    0.011    0.000    0.000
1468.470   -0.163    0.259    0.001    0.001
1470.386   -0.109    0.218    0.001    0.002
1474.846   -0.163    0.248    0.002    0.003
1479.926   -0.042    0.194    0.001    0.004
1481.194   -0.000    0.002    0.000    0.000
1483.093   -0.000    0.001    0.000    0.000
1490.665   -0.000    0.001    0.000    0.000
1495.692   -0.000    0.001    0.000    0.000
1496.946   -0.000    0.001    0.000    0.000
1501.952   -0.274    0.157    0.019    0.011
1506.319   -0.116    0.179    0.010    0.016
1508.187   -0.090    0.155    0.009    0.015
1512.535   -0.000    0.004    0.000    0.000
1513.155   -0.000    0.003    0.000    0.000
1513.775   -0.260    0.136    0.032    0.017
1520.578   -0.240    0.129    0.040    0.022
1521.812   -0.230    0.176    0.040    0.031
1527.965   -0.202    0.092    0.045    0.020
1532.869   -0.159    0.093    0.044    0.026
1537.148   -0.232    0.092    0.077    0.031
1543.240   -0.193    0.112    0.083    0.048
1552.333   -0.393    0.144    0.256    0.094
1558.366   -0.073    0.054    0.064    0.047
1563.775   -0.000    0.002    0.000    0.002
1574.538   -0.023    0.052    0.057    0.130
1577.515   -0.000    0.000    0.000    0.001
1588.185   -0.000    0.000    0.000    0.001
1591.136   -0.000    0.000    0.000    0.001
1602.886    0.000    0.000    0.000    0.002
1604.056    0.000    0.000    0.000    0.001
1617.454    0.000    0.000    0.000    0.001
1618.034    0.000    0.000    0.000    0.001
1632.467   -0.002    0.003    0.056    0.064
1646.203   -0.080    0.011    0.473    0.064
1647.343   -0.040    0.007    0.223    0.038
1661.521   -0.153    0.010    0.429    0.027
1674.459   -0.271    0.030    0.518    0.057
1676.139   -0.257    0.019    0.465    0.034
1691.740   -0.398    0.022    0.499    0.028
1701.694   -0.505    0.020    0.524    0.020
1702.245   -0.324    0.027    0.336    0.028
1717.063   -0.385    0.019    0.314    0.016
1729.586   -0.364    0.015    0.249    0.011
1732.837   -0.305    0.017    0.201    0.011
1749.542   -0.372    0.019    0.201    0.010
1755.966   -0.337    0.021    0.171    0.011
1756.500   -0.299    0.013    0.151    0.007
1771.924   -0.430    0.027    0.186    0.012
1783.009   -0.307    0.012    0.120    0.005
1788.263   -0.458    0.027    0.172    0.010
1806.015   -0.344    0.019    0.110    0.006
1809.129   -0.400    0.020    0.124    0.006
1834.877   -0.469    0.016    0.116    0.004
1860.269   -0.583    0.016    0.117    0.003
1885.319   -0.610    0.017    0.098    0.003
1910.041   -0.549    0.019    0.069    0.002
