   W                 M4-(pip_n)
 (MeV)      Re       DRe      Im       DIm
1128.906    0.015    0.000    0.000    0.000
1131.397    0.016    0.000    0.000    0.000
1137.187    0.019    0.000    0.000    0.000
1145.408    0.022    0.000    0.000    0.000
1153.571    0.026    0.000    0.000    0.000
1154.384    0.026    0.000    0.000    0.000
1159.250    0.029    0.000    0.000    0.000
1161.676    0.030    0.000    0.000    0.000
1169.725    0.034    0.000    0.000    0.000
1170.527    0.034    0.000    0.000    0.000
1177.719    0.038    0.000    0.000    0.000
1185.659    0.041    0.000    0.000    0.000
1187.240    0.042    0.000    0.000    0.000
1193.546    0.045    0.000    0.000    0.000
1199.819    0.048    0.000    0.000    0.000
1201.382    0.048    0.000    0.000    0.000
1203.722    0.049    0.000    0.000    0.000
1209.166    0.051    0.000    0.000    0.000
1216.901    0.055    0.000    0.000    0.000
1220.750    0.057    0.000    0.000    0.000
1224.587    0.058    0.000    0.000    0.000
1232.225    0.061    0.000    0.000    0.000
1236.027    0.063    0.000    0.000    0.000
1239.816    0.064    0.000    0.000    0.000
1240.573    0.065    0.000    0.000    0.000
1247.361    0.067    0.000    0.000    0.000
1251.866    0.069    0.000    0.000    0.000
1254.861    0.070    0.000    0.000    0.000
1258.594    0.072    0.000    0.000    0.000
1262.316    0.073    0.000    0.000    0.000
1268.248    0.075    0.000    0.000    0.000
1269.727    0.076    0.000    0.000    0.000
1276.360    0.078    0.000    0.000    0.000
1277.095    0.078    0.000    0.000    0.000
1283.690    0.080    0.000    0.000    0.000
1284.421    0.080    0.000    0.000    0.000
1291.705    0.083    0.000    0.000    0.000
1295.332    0.084    0.000    0.000    0.000
1298.949    0.085    0.000    0.000    0.000
1306.152    0.087    0.000    0.000    0.000
1313.316    0.090    0.000    0.000    0.000
1314.744    0.090    0.000    0.000    0.000
1320.441    0.092    0.000    0.000    0.000
1322.571    0.092    0.000    0.000    0.000
1327.528    0.094    0.000    0.000    0.000
1331.057    0.095    0.000    0.000    0.000
1336.684    0.096    0.000    0.000    0.000
1341.589    0.098    0.000    0.000    0.000
1348.565    0.099    0.000    0.000    0.000
1349.260    0.099    0.000    0.000    0.000
1350.650    0.100    0.000    0.000    0.000
1358.961    0.102    0.000    0.000    0.000
1364.473    0.103    0.000    0.000    0.000
1365.848    0.104    0.000    0.000    0.000
1376.113    0.106    0.000    0.000    0.000
1378.157    0.107    0.000    0.000    0.000
1382.915    0.108    0.000    0.000    0.000
1383.593    0.108    0.000    0.000    0.000
1391.707    0.110    0.000    0.000    0.000
1393.055    0.110    0.000    0.000    0.000
1399.774    0.111    0.000    0.000    0.000
1405.126    0.112    0.000    0.000    0.000
1409.127    0.113    0.000    0.000    0.000
1409.793    0.113    0.000    0.000    0.000
1416.432    0.115    0.000    0.000    0.000
1418.418    0.115    0.000    0.000    0.000
1426.334    0.117    0.000    0.000    0.000
1428.306    0.117    0.000    0.000    0.000
1431.587    0.118    0.000    0.000    0.000
1432.897    0.118    0.000    0.000    0.000
1439.430    0.119    0.000    0.000    0.000
1442.686    0.120    0.000    0.000    0.000
1444.636    0.120    0.000    0.000    0.000
1447.231    0.121    0.000    0.000    0.000
1449.175    0.121    0.000    0.000    0.000
1457.568    0.122    0.000    0.000    0.000
1458.854    0.123    0.000    0.000    0.000
1465.272    0.124    0.000    0.000    0.000
1468.470    0.124    0.000    0.000    0.000
1470.386    0.124    0.000    0.000    0.000
1474.846    0.125    0.000    0.000    0.000
1479.926    0.126    0.000    0.000    0.000
