   W                 E2-(pi0_p)
 (MeV)      Re       DRe      Im       DIm
1075.227   -0.004    0.119    0.025    0.125
1077.319   -0.055    0.143   -0.024    0.142
1079.346   -0.059    0.142   -0.021    0.129
1081.387   -0.119    0.185    0.043    0.183
1083.424   -0.097    0.199    0.005    0.200
1085.449   -0.116    0.184    0.007    0.443
1087.487   -0.140    0.186    0.064    0.234
1089.521   -0.253    0.172    0.287    0.231
1091.535   -0.276    0.194   -0.099    0.210
1093.579   -0.272    0.175    0.111    0.163
1095.610   -0.559    0.129    0.029    0.285
1097.646   -0.293    0.188    0.174    0.193
1099.619   -0.295    0.178   -0.051    0.157
1101.699   -0.096    0.178   -0.175    0.136
1103.707   -0.439    0.154    0.125    0.396
1105.729   -0.432    0.184    0.025    0.128
1107.755   -0.359    0.128    0.214    0.352
1109.760   -0.440    0.160   -0.038    0.320
1111.796   -0.492    0.165   -0.004    0.250
1113.795   -0.498    0.179   -0.043    0.410
1115.823   -0.563    0.233   -0.179    0.397
1117.839   -0.683    0.244    0.083    0.604
1119.860   -0.466    0.197    0.265    0.359
1121.878    0.059    0.237    0.363    0.374
1123.833   -0.317    0.237    0.194    0.582
1125.893   -0.216    0.342    0.520    0.352
1127.891   -0.652    0.346    0.571    0.283
1129.903   -0.573    0.269   -0.047    0.506
1131.911   -0.452    0.285   -0.036    0.495
1133.915   -0.580    0.256   -0.086    0.468
1135.841   -0.473    0.284    0.204    0.278
1135.916   -0.424    0.306    0.170    0.292
1137.913   -0.591    0.333    0.055    0.385
1139.396   -0.955    0.245   -0.292    0.994
1139.923   -0.823    0.233   -0.211    0.683
1141.905   -0.347    0.336   -0.218    0.380
1142.931   -0.624    0.215    0.044    0.888
1143.916   -0.699    0.468    0.198    0.657
1145.916   -0.579    0.294    0.168    0.510
1146.464   -0.727    0.310   -0.123    0.442
1147.855   -0.636    0.383    0.090    0.357
1149.905   -0.535    0.281    0.165    0.650
1149.986   -0.555    0.334    0.161    0.751
1151.886   -0.182    0.255    0.311    0.733
1153.497   -0.803    0.350    0.396    0.423
1153.880   -0.958    0.259   -0.453    0.572
1155.862   -0.567    0.370    0.351    0.525
1157.006   -0.752    0.349    0.314    0.451
1157.849   -0.718    0.373    0.059    0.407
1159.841   -0.460    0.375   -0.185    0.370
1160.504   -0.454    0.410    0.106    0.369
1161.821   -0.249    0.299    0.464    0.421
1163.798   -0.622    0.372   -0.194    0.640
1163.991   -0.804    0.341   -0.023    0.561
1165.780   -0.186    0.371   -0.450    0.684
1167.468   -0.653    0.498    0.325    1.301
1167.758   -0.773    0.371    0.234    1.122
1169.733   -0.473    0.379    0.290    0.519
1170.951   -0.666    0.520   -0.319    0.494
1171.680   -0.670    0.550   -0.071    1.400
1173.680   -0.845    0.434    0.125    0.505
1174.336   -0.809    0.522    0.249    0.619
1175.653   -0.793    0.494    0.373    0.347
1177.631   -0.232    0.334    0.038    0.530
1177.870   -0.946    0.464   -0.347    0.481
1179.597   -0.953    0.379    0.350    0.400
1181.306   -0.654    0.606    0.055    0.534
1181.560   -0.482    0.425    0.039    0.436
1183.528    0.265    0.336   -0.125    0.383
1184.748   -0.800    0.585    0.043    0.568
1185.493    0.105    0.313   -0.599    0.386
1187.454   -0.044    0.319   -0.312    0.372
1188.180   -0.743    0.567   -0.007    0.567
1189.412   -0.731    0.406   -0.503    0.452
1191.366   -0.054    0.364   -0.557    0.382
1191.603   -0.864    0.482    0.427    0.590
1193.334   -0.385    0.362   -0.934    0.380
1195.015   -0.814    0.568   -0.358    0.600
1195.235   -0.779    0.463   -0.589    0.466
1197.235   -0.832    0.475    0.439    0.399
1198.426   -0.115    0.557   -0.030    0.574
1199.193   -1.291    0.522   -1.095    0.408
1201.038   -0.896    0.489   -0.077    0.341
1201.819   -0.384    0.586   -0.220    0.583
1202.950   -0.107    0.548    1.264    0.317
1204.852   -1.575    0.477    0.257    0.426
1205.210   -0.368    0.603    0.434    0.553
1206.751   -0.124    0.584    0.273    0.404
1208.600   -1.806    0.816    0.451    0.533
1208.646   -1.167    0.591   -0.124    0.367
1210.539   -0.199    0.450    0.570    0.427
1211.987   -1.110    0.492    1.250    0.493
1212.429   -0.472    0.572    0.514    0.363
1214.315   -0.912    0.481   -0.499    0.392
1215.273   -1.330    0.589   -0.015    0.525
1216.207   -1.025    0.437   -1.125    0.352
1218.049   -0.531    0.397   -0.855    0.377
1218.712   -0.046    0.497   -0.598    0.577
1219.951   -0.211    0.381    0.540    0.403
1221.826   -0.959    0.422   -0.960    0.354
1222.048   -1.407    0.476   -1.043    0.430
1223.690   -0.889    0.398    0.607    0.386
1225.399    0.529    0.572   -0.931    0.448
1225.560   -0.805    0.432   -0.178    0.429
1227.419   -0.504    0.458   -1.333    0.397
1228.733   -1.933    0.495   -0.414    0.389
1229.275   -0.886    0.432   -1.747    0.399
1231.128   -0.665    0.512   -0.396    1.019
1232.065   -0.784    0.474   -0.406    0.581
1232.979   -0.373    0.449   -0.014    0.955
1234.819   -1.187    0.463   -0.508    0.393
1235.389   -0.712    0.502   -0.339    0.567
1236.664   -0.274    0.380   -0.714    0.464
1238.514   -0.631    0.398    1.187    0.444
1238.696   -1.023    0.546   -0.589    0.655
1240.301   -0.938    0.444   -1.692    0.391
1242.009   -1.200    0.672   -0.476    0.496
1242.183   -1.100    0.450   -0.490    0.411
1244.002   -1.052    0.476   -0.846    0.492
1245.306   -0.823    0.538   -0.511    0.668
1245.826   -1.323    0.447   -0.272    0.443
1247.647   -0.612    0.467   -0.349    0.441
1248.594   -0.578    0.578   -0.605    0.627
1249.466   -0.891    0.492   -1.374    0.494
1251.274   -0.764    0.392    0.078    0.490
1251.896   -0.611    0.466   -0.254    0.621
1253.095   -0.764    0.393    0.160    0.491
1254.883   -0.445    0.428   -0.879    0.515
1255.085   -0.416    0.470   -1.165    0.552
1256.684   -0.435    0.412   -1.057    0.470
1258.437   -0.473    0.455   -0.598    0.566
1258.482   -0.733    0.398   -0.357    0.487
1260.285   -0.792    0.388    0.539    0.465
1261.691   -0.595    0.448   -0.358    0.549
1262.026   -0.801    0.376    0.117    0.449
1263.861   -0.419    0.538    0.497    0.642
1264.944   -0.874    0.469    0.282    0.526
1265.649   -0.591    0.391   -0.093    0.398
1267.412   -0.924    0.391    0.244    0.565
1268.189   -0.563    0.502   -0.088    0.587
1269.187   -0.877    0.406   -0.093    0.486
1270.960   -0.662    0.419   -0.562    0.489
1271.433   -0.509    0.501   -0.765    0.519
1272.731   -0.666    0.466    0.054    0.559
1274.477   -1.107    0.401    0.181    0.490
1274.661   -0.970    0.470    0.200    0.540
1276.250   -0.355    0.441   -0.293    0.498
1278.006   -0.234    0.476   -0.478    0.547
1279.752   -0.841    0.528    0.590    0.599
1281.108   -0.704    0.486    0.347    0.477
1281.510   -0.222    0.425   -0.313    0.419
1283.215   -0.773    0.616    0.536    0.585
1284.319   -0.505    0.463    0.152    0.484
1284.991   -0.252    0.463    0.688    0.551
1286.720   -0.595    0.503    0.875    0.644
1287.522    0.073    0.425    0.355    0.447
1288.447   -0.333    0.464    0.346    0.513
1290.179   -0.234    0.459    0.240    0.507
1290.724   -0.590    0.450    0.180    0.435
