   W                 E3+(pi0_p)
 (MeV)      Re       DRe      Im       DIm
1075.227   -0.001    0.023    0.033    0.045
1077.319    0.014    0.027   -0.042    0.068
1079.346    0.034    0.024   -0.144    0.037
1081.387    0.011    0.020   -0.074    0.059
1083.424    0.014    0.025    0.056    0.056
1085.449   -0.017    0.020    0.038    0.033
1087.487    0.011    0.022    0.096    0.040
1089.521    0.027    0.020   -0.105    0.035
1091.535    0.030    0.022    0.128    0.041
1093.579    0.053    0.023    0.188    0.037
1095.610    0.071    0.022    0.152    0.035
1097.646    0.046    0.018   -0.164    0.034
1099.619    0.048    0.019    0.187    0.042
1101.699    0.076    0.024    0.280    0.032
1103.707    0.036    0.016    0.055    0.025
1105.729    0.074    0.023    0.304    0.032
1107.755    0.079    0.020    0.150    0.044
1109.760    0.019    0.022    0.164    0.057
1111.796    0.072    0.025    0.232    0.052
1113.795    0.044    0.017    0.020    0.037
1115.823    0.100    0.026   -0.049    0.032
1117.839    0.034    0.028   -0.043    0.051
1119.860    0.101    0.028   -0.247    0.055
1121.878    0.048    0.031    0.271    0.065
1123.833    0.008    0.033    0.097    0.062
1125.893    0.038    0.046    0.395    0.081
1127.891    0.062    0.064    0.406    0.056
1129.903    0.028    0.049    0.227    0.087
1131.911    0.321    0.049    0.162    0.104
1133.915    0.047    0.040    0.113    0.078
1135.841   -0.107    0.050    0.401    0.059
1135.916   -0.034    0.058    0.414    0.059
1137.913   -0.025    0.055    0.244    0.071
1139.396    0.063    0.038    0.164    0.085
1139.923    0.392    0.042   -0.051    0.083
1141.905   -0.290    0.056    0.350    0.061
1142.931    0.153    0.053    0.267    0.090
1143.916   -0.120    0.047    0.055    0.063
1145.916    0.252    0.054    0.175    0.095
1146.464   -0.382    0.039    0.374    0.084
1147.855   -0.007    0.061    0.347    0.062
1149.905    0.067    0.039   -0.215    0.077
1149.986    0.046    0.044   -0.209    0.088
1151.886    0.104    0.035   -0.098    0.095
1153.497   -0.033    0.032    0.295    0.077
1153.880    0.115    0.045   -0.301    0.070
1155.862   -0.007    0.035    0.186    0.079
1157.006   -0.034    0.036    0.279    0.079
1157.849   -0.028    0.027    0.300    0.071
1159.841   -0.058    0.031    0.352    0.073
1160.504   -0.065    0.031    0.360    0.073
1161.821   -0.011    0.035    0.359    0.076
1163.798    0.240    0.047   -0.411    0.078
1163.991    0.224    0.046   -0.393    0.074
1165.780    0.209    0.043   -0.238    0.075
1167.468    0.056    0.040    0.005    0.073
1167.758    0.085    0.032    0.010    0.055
1169.733    0.063    0.035    0.204    0.064
1170.951   -0.059    0.039    0.313    0.075
1171.680    0.179    0.041   -0.054    0.066
1173.680    0.016    0.036    0.209    0.062
1174.336    0.180    0.041   -0.132    0.068
1175.653    0.205    0.032    0.091    0.040
1177.631    0.259    0.044   -0.265    0.060
1177.870    0.055    0.048    0.028    0.067
1179.597    0.079    0.030    0.058    0.046
1181.306    0.024    0.038    0.054    0.052
1181.560    0.016    0.032    0.119    0.046
1183.528   -0.062    0.037    0.184    0.047
1184.748    0.036    0.040    0.027    0.052
1185.493   -0.119    0.033    0.195    0.040
1187.454   -0.084    0.035    0.214    0.043
1188.180    0.120    0.047   -0.084    0.056
1189.412   -0.061    0.039    0.150    0.043
1191.366   -0.085    0.042    0.213    0.046
1191.603    0.183    0.051   -0.088    0.061
1193.334   -0.051    0.043    0.178    0.042
1195.015    0.182    0.066   -0.096    0.057
1195.235    0.132    0.049   -0.078    0.043
1197.235    0.109    0.047   -0.028    0.045
1198.426   -0.166    0.058    0.153    0.053
1199.193    0.257    0.042   -0.075    0.040
1201.038    0.310    0.051   -0.088    0.037
1201.819   -0.205    0.062    0.127    0.050
1202.950    0.251    0.053   -0.010    0.037
1204.852   -0.295    0.050    0.124    0.040
1205.210   -0.239    0.065    0.129    0.052
1206.751    0.227    0.056   -0.120    0.044
1208.600    0.049    0.060    0.005    0.050
1208.646    0.134    0.054   -0.055    0.041
1210.539    0.207    0.058   -0.078    0.039
1211.987    0.148    0.064   -0.050    0.052
1212.429    0.039    0.057   -0.086    0.033
1214.315    0.184    0.048   -0.039    0.030
1215.273    0.079    0.057   -0.025    0.035
1216.207    0.267    0.049   -0.053    0.031
1218.049    0.288    0.057   -0.041    0.027
1218.712   -0.078    0.069    0.004    0.027
1219.951    0.243    0.061   -0.005    0.028
1221.826    0.113    0.066   -0.088    0.030
1222.048    0.194    0.059   -0.058    0.033
1223.690    0.177    0.068   -0.054    0.030
