   W                 M2-(pi0_p)
 (MeV)      Re       DRe      Im       DIm
1075.227    0.013    0.113    0.044    0.099
1077.319    0.106    0.072    0.093    0.153
1079.346    0.029    0.061   -0.075    0.092
1081.387    0.042    0.067    0.138    0.125
1083.424    0.070    0.065    0.007    0.150
1085.449   -0.030    0.053    0.011    0.122
1087.487   -0.105    0.060    0.096    0.092
1089.521    0.140    0.061    0.034    0.132
1091.535   -0.062    0.060   -0.059    0.126
1093.579   -0.145    0.067    0.008    0.111
1095.610   -0.103    0.054   -0.032    0.138
1097.646    0.189    0.052    0.122    0.126
1099.619   -0.100    0.052   -0.225    0.108
1101.699   -0.070    0.057   -0.251    0.085
1103.707    0.182    0.060    0.306    0.097
1105.729   -0.225    0.058    0.005    0.084
1107.755   -0.072    0.048    0.086    0.145
1109.760    0.100    0.051    0.003    0.145
1111.796   -0.083    0.047    0.113    0.136
1113.795   -0.069    0.056    0.016    0.125
1115.823   -0.136    0.067    0.009    0.112
1117.839    0.013    0.094    0.803    0.144
1119.860    0.037    0.064    0.239    0.197
1121.878   -0.038    0.079    0.177    0.187
1123.833   -0.179    0.098    0.692    0.169
1125.893   -0.114    0.127    0.081    0.209
1127.891   -0.204    0.209    0.169    0.167
1129.903    0.050    0.168   -0.119    0.231
1131.911   -0.244    0.164    0.269    0.324
1133.915   -0.226    0.107    0.181    0.176
1135.841   -0.160    0.172   -0.076    0.191
1135.916   -0.182    0.193   -0.051    0.188
1137.913   -0.006    0.202   -0.146    0.273
1139.396    0.048    0.149    0.573    0.187
1139.923   -0.138    0.158    0.483    0.356
1141.905   -0.323    0.247    0.007    0.228
1142.931    0.017    0.129   -0.142    0.177
1143.916    0.767    0.168    0.037    0.280
1145.916   -0.069    0.173   -0.256    0.305
1146.464   -0.036    0.177   -0.334    0.263
1147.855   -0.282    0.205   -0.009    0.196
1149.905   -0.055    0.097    0.339    0.256
1149.986   -0.080    0.106    0.356    0.288
1151.886    0.106    0.098   -0.292    0.227
1153.497   -0.068    0.113   -0.013    0.194
1153.880    0.108    0.090   -0.113    0.217
1155.862   -0.000    0.124   -0.053    0.229
1157.006    0.001    0.118   -0.100    0.212
1157.849   -0.013    0.103    0.144    0.185
1159.841   -0.006    0.103   -0.022    0.182
1160.504    0.003    0.113   -0.050    0.189
1161.821    0.142    0.089    0.066    0.171
1163.798    0.131    0.112    0.276    0.251
1163.991    0.163    0.105    0.299    0.236
1165.780    0.323    0.114   -0.182    0.247
1167.468    0.090    0.147    0.072    0.275
1167.758    0.134    0.117    0.029    0.219
1169.733    0.319    0.130   -0.487    0.199
1170.951   -0.047    0.137    0.154    0.212
1171.680    0.527    0.171   -0.657    0.290
1173.680   -0.391    0.139    0.548    0.209
1174.336    0.070    0.136   -0.032    0.168
1175.653    0.050    0.095   -0.085    0.109
1177.631    0.458    0.122    0.036    0.197
1177.870    0.310    0.161   -0.078    0.175
1179.597    0.610    0.140   -0.484    0.155
1181.306    0.707    0.203   -0.304    0.201
1181.560    0.586    0.156   -0.186    0.151
1183.528    0.223    0.097    0.154    0.121
1184.748    0.705    0.196   -0.394    0.199
1185.493    0.173    0.083    0.218    0.098
1187.454    0.171    0.088    0.145    0.105
1188.180    0.574    0.180   -0.266    0.191
1189.412    0.345    0.144   -0.114    0.128
1191.366    0.165    0.107    0.199    0.110
1191.603    0.593    0.167   -0.315    0.172
1193.334    0.034    0.107    0.117    0.108
1195.015    0.227    0.184   -0.177    0.162
1195.235    0.101    0.140   -0.112    0.135
1197.235    0.234    0.130    0.075    0.116
1198.426   -0.587    0.182    0.368    0.175
1199.193   -0.130    0.143    0.108    0.135
1201.038    0.191    0.149    0.104    0.099
1201.819   -0.660    0.202    0.408    0.169
1202.950    0.217    0.149    0.316    0.083
1204.852   -1.149    0.171    0.449    0.131
1205.210   -0.708    0.213    0.481    0.156
1206.751    0.001    0.146    0.278    0.104
1208.600    0.292    0.218   -0.182    0.137
1208.646    0.005    0.136    0.006    0.092
1210.539    0.092    0.151    0.194    0.098
1211.987    0.789    0.199   -0.102    0.130
1212.429    0.439    0.194    0.274    0.088
1214.315    0.072    0.147    0.002    0.091
1215.273    0.380    0.241    0.074    0.122
1216.207    0.035    0.132   -0.141    0.080
1218.049   -0.109    0.146    0.083    0.092
1218.712   -0.643    0.265    0.132    0.138
