   W                 M2+(pi0_p)
 (MeV)      Re       DRe      Im       DIm
1075.227    0.041    0.077    0.032    0.096
1077.319    0.081    0.094    0.007    0.154
1079.346   -0.063    0.099   -0.121    0.102
1081.387   -0.013    0.105    0.234    0.127
1083.424   -0.067    0.134    0.040    0.127
1085.449    0.111    0.071    0.134    0.145
1087.487    0.093    0.079    0.151    0.126
1089.521    0.077    0.063   -0.112    0.061
1091.535    0.025    0.077   -0.019    0.079
1093.579   -0.105    0.069   -0.109    0.059
1095.610    0.096    0.058   -0.026    0.065
1097.646    0.027    0.054   -0.018    0.043
1099.619    0.034    0.067    0.093    0.068
1101.699   -0.077    0.063    0.021    0.053
1103.707    0.141    0.063    0.048    0.179
1105.729   -0.073    0.061    0.060    0.048
1107.755   -0.172    0.059    0.087    0.079
1109.760   -0.202    0.078    0.145    0.150
1111.796    0.088    0.083    0.073    0.119
1113.795    0.096    0.067    0.276    0.173
1115.823    0.055    0.094    0.102    0.234
1117.839    0.073    0.082    0.267    0.175
1119.860    0.194    0.071   -0.170    0.103
1121.878   -0.318    0.082   -0.078    0.148
1123.833    0.053    0.104    0.299    0.204
1125.893   -0.405    0.117    0.062    0.230
1127.891   -0.188    0.101    0.003    0.228
1129.903    0.147    0.103    0.135    0.376
1131.911   -0.126    0.098    0.079    0.241
1133.915    0.253    0.121   -0.001    0.280
1135.841   -0.091    0.085   -0.204    0.295
1135.916   -0.109    0.092   -0.179    0.301
1137.913    0.072    0.084    0.346    0.331
1139.396    0.508    0.116    0.048    0.291
1139.923    0.026    0.091    0.319    0.264
1141.905   -0.070    0.082   -0.121    0.277
1142.931   -0.035    0.118    0.228    0.209
1143.916    0.235    0.080    0.240    0.299
1145.916   -0.063    0.092    0.095    0.229
1146.464   -0.021    0.100   -0.153    0.434
1147.855   -0.161    0.089   -0.064    0.209
1149.905    0.054    0.086   -0.069    0.203
1149.986    0.044    0.099   -0.051    0.245
1151.886   -0.228    0.094    0.140    0.242
1153.497   -0.167    0.109   -0.007    0.162
