   W                 E1+_p1/2
 (MeV)      Re       DRe      Im       DIm
1125.893    1.197    0.159   -0.046    0.222
1127.891    1.246    0.159   -0.058    0.217
1129.903    1.239    0.161   -0.078    0.228
1131.911    1.087    0.310   -0.095    0.248
1133.915    1.259    0.312   -0.226    0.252
1135.841    1.051    0.083   -0.107    0.160
1135.916    1.049    0.085   -0.109    0.164
1137.913    1.028    0.082   -0.288    0.161
1139.396    1.273    0.089   -0.266    0.166
1139.923    0.983    0.080   -0.202    0.181
1141.905    1.056    0.152   -0.373    0.611
1142.931    1.346    0.152    0.154    0.618
1143.916    1.233    0.150   -0.140    0.614
1145.916    1.244    0.150   -0.075    0.617
1146.464    1.252    0.156   -0.150    0.615
1147.855    1.196    0.150   -0.053    0.615
1149.905    1.278    0.097   -0.042    0.156
1149.986    1.270    0.099   -0.050    0.167
1151.886    1.280    0.096   -0.112    0.155
1153.497    1.218    0.097    0.118    0.159
1153.880    1.261    0.097   -0.083    0.157
1155.862    0.772    0.313    0.053    0.178
1157.006    1.593    0.139    0.109    0.195
1157.849    1.689    0.138    0.064    0.194
1159.841    1.676    0.139    0.122    0.195
1160.504    1.270    0.092    0.044    0.153
1161.821    1.140    0.091    0.029    0.153
1163.798    1.276    0.099   -0.113    0.171
1163.991    1.290    0.095   -0.079    0.165
1165.780    1.148    0.083    0.101    0.150
1167.468    1.226    0.083    0.071    0.143
1167.758    1.179    0.078    0.125    0.136
1169.733    1.100    0.077    0.051    0.133
1170.951    1.335    0.137    0.193    0.173
1171.680    1.269    0.144    0.133    0.186
1173.680    1.227    0.131    0.117    0.162
1174.336    1.332    0.077   -0.255    0.144
1175.653    1.463    0.067   -0.262    0.132
1177.631    1.291    0.070   -0.137    0.126
1177.870    1.199    0.076   -0.015    0.133
1179.597    1.198    0.067   -0.046    0.123
1181.306    1.192    0.075   -0.006    0.130
1181.560    1.216    0.065    0.025    0.121
1183.528    1.219    0.066    0.130    0.102
1184.748    1.264    0.078    0.079    0.112
1185.493    1.308    0.069    0.019    0.096
1187.454    1.126    0.090   -0.052    0.121
1188.180    1.245    0.098   -0.107    0.131
1189.412    1.185    0.088   -0.025    0.121
1191.366    0.858    0.082    0.119    0.118
1191.603    1.226    0.093   -0.219    0.122
1193.334    0.998    0.083    0.014    0.115
1195.015    1.307    0.103   -0.285    0.122
1195.235    1.329    0.083   -0.248    0.112
1197.235    1.428    0.108   -0.124    0.115
1198.426    1.411    0.126   -0.106    0.119
1199.193    1.193    0.107    0.144    0.116
1201.038    1.042    0.082    0.114    0.093
1201.819    1.419    0.101   -0.161    0.094
1202.950    1.103    0.114    0.089    0.121
1204.852    1.664    0.118   -0.266    0.115
1205.210    1.585    0.134   -0.237    0.121
1206.751    1.237    0.095    0.027    0.103
1208.600    1.331    0.114   -0.017    0.110
1208.646    1.322    0.095    0.014    0.101
1210.539    1.300    0.097    0.072    0.103
1211.987    1.511    0.120   -0.077    0.105
1212.429    0.745    0.097    0.220    0.098
1214.315    1.002    0.088    0.161    0.077
1215.273    0.783    0.113    0.205    0.078
1216.207    1.106    0.086    0.153    0.078
1218.049    1.302    0.092    0.010    0.071
1218.712    1.312    0.111    0.020    0.071
1219.951    1.145    0.119    0.041    0.091
