   W                 E2-_p1/2
 (MeV)      Re       DRe      Im       DIm
1125.893    1.396    0.378    0.178    0.117
1127.891    1.251    0.378    0.195    0.094
1129.903    1.277    0.371   -0.011    0.169
1131.911    1.012    0.559   -0.008    0.165
1133.915    0.970    0.558   -0.025    0.156
1135.841    1.431    0.240    0.074    0.093
1135.916    1.448    0.243    0.063    0.097
1137.913    1.392    0.247    0.024    0.128
1139.396    1.271    0.235   -0.091    0.331
1139.923    1.315    0.233   -0.064    0.228
1141.905    1.944    0.644   -0.063    0.127
1142.931    1.852    0.638    0.024    0.296
1143.916    1.827    0.653    0.075    0.219
1145.916    1.867    0.642    0.065    0.170
1146.464    1.818    0.642   -0.032    0.147
1147.855    1.848    0.647    0.039    0.119
1149.905    1.250    0.291    0.064    0.217
1149.986    1.243    0.297    0.063    0.250
1151.886    1.367    0.289    0.113    0.244
1153.497    1.160    0.299    0.141    0.141
1153.880    1.109    0.289   -0.142    0.191
1155.862    1.202    0.653    0.125    0.175
1157.006    1.639    0.456    0.118    0.150
1157.849    1.651    0.458    0.033    0.136
1159.841    1.737    0.458   -0.048    0.123
1160.504    1.932    0.329    0.051    0.123
1161.821    2.000    0.315    0.170    0.140
1163.798    1.876    0.324   -0.049    0.213
1163.991    1.815    0.320    0.008    0.187
1165.780    1.832    0.300   -0.133    0.228
1167.468    1.676    0.319    0.125    0.434
1167.758    1.636    0.300    0.095    0.374
1169.733    1.736    0.301    0.114    0.173
1170.951    1.552    0.449   -0.090    0.165
1171.680    1.551    0.453   -0.007    0.467
1173.680    1.493    0.438    0.058    0.168
1174.336    1.689    0.332    0.104    0.206
1175.653    1.694    0.327    0.146    0.116
1177.631    1.881    0.304    0.034    0.177
1177.870    1.643    0.322   -0.094    0.160
1179.597    1.641    0.309    0.138    0.133
1181.306    1.740    0.347    0.040    0.178
1181.560    1.798    0.316    0.034    0.145
1183.528    1.748    0.269   -0.021    0.128
1184.748    1.393    0.312    0.035    0.189
1185.493    1.694    0.266   -0.179    0.129
1187.454    1.410    0.360   -0.086    0.124
1188.180    1.177    0.393    0.016    0.189
1189.412    1.181    0.370   -0.149    0.151
1191.366    1.208    0.300   -0.167    0.127
1191.603    0.938    0.318    0.161    0.197
1193.334    1.098    0.300   -0.293    0.127
1195.015    0.955    0.333   -0.101    0.200
1195.235    0.966    0.315   -0.178    0.155
1197.235    2.042    0.350    0.185    0.133
1198.426    2.281    0.363    0.029    0.191
1199.193    1.889    0.357   -0.326    0.136
1201.038    1.880    0.256    0.012    0.114
1201.819    2.051    0.277   -0.036    0.194
1202.950    2.302    0.354    0.463    0.106
1204.852    1.812    0.342    0.128    0.142
1205.210    2.215    0.364    0.187    0.184
1206.751    2.391    0.235    0.139    0.135
1208.600    1.830    0.302    0.198    0.178
1208.646    2.043    0.237    0.007    0.122
1210.539    2.366    0.200    0.238    0.142
1211.987    2.062    0.211    0.465    0.164
1212.429    2.275    0.232    0.219    0.121
1214.315    2.178    0.197   -0.110    0.131
1215.273    2.039    0.228    0.052    0.175
1216.207    2.140    0.186   -0.318    0.117
1218.049    2.305    0.175   -0.228    0.126
1218.712    2.467    0.202   -0.143    0.192
1219.951    2.408    0.187    0.240    0.134
1221.826    2.159    0.197   -0.260    0.118
1222.048    2.009    0.210   -0.287    0.143
1223.690    2.078    0.176    0.265    0.129
1225.399    2.551    0.223   -0.248    0.149
1225.560    2.106    0.185    0.003    0.143
1227.419    2.206    0.191   -0.382    0.132
1228.733    2.026    0.252   -0.060    0.130
1229.275    2.375    0.238   -0.504    0.133
1231.128    2.448    0.255   -0.054    0.340
1232.065    2.409    0.247   -0.057    0.194
1232.979    2.546    0.242    0.074    0.318
1234.819    2.321    0.283   -0.084    0.131
1235.389    2.479    0.290   -0.028    0.189
1236.664    2.625    0.269   -0.153    0.155
1238.514    2.128    0.212    0.474    0.148
1238.696    1.997    0.246   -0.118    0.218
1240.301    2.205    0.234   -0.479    0.130
1242.009    2.118    0.288   -0.073    0.165
1242.183    2.151    0.235   -0.078    0.137
1244.002    2.268    0.222   -0.184    0.164
1245.306    2.345    0.237   -0.072    0.223
1245.826    2.178    0.215    0.007    0.148
1247.647    2.415    0.220   -0.018    0.147
1248.594    2.426    0.248   -0.104    0.209
1249.466    2.322    0.226   -0.360    0.165
1251.274    2.499    0.266    0.137    0.164
1251.896    2.550    0.279    0.027    0.207
1253.095    2.499    0.266    0.165    0.164
1254.883    2.454    0.235   -0.183    0.172
1255.085    2.463    0.243   -0.278    0.184
1256.684    2.457    0.231   -0.242    0.157
1258.437    2.806    0.234   -0.066    0.189
1258.482    2.719    0.222    0.014    0.163
1260.285    2.700    0.220    0.313    0.155
1261.691    2.675    0.213    0.015    0.183
1262.026    2.607    0.197    0.174    0.150
1263.861    2.734    0.235    0.300    0.214
1264.944    2.582    0.218    0.229    0.175
1265.649    2.672    0.259    0.116    0.133
1267.412    2.561    0.259    0.228    0.189
1268.189    2.682    0.279    0.118    0.196
1269.187    2.566    0.234    0.120    0.162
1270.960    2.637    0.236   -0.036    0.163
1271.433    2.688    0.253   -0.104    0.173
1272.731    2.636    0.246    0.169    0.187
1274.477    2.788    0.254    0.241    0.164
1274.661    2.833    0.267    0.248    0.180
1276.250    3.038    0.261    0.083    0.166
1278.006    2.905    0.218    0.014    0.183
1279.752    2.703    0.231    0.370    0.200
1281.108    3.085    0.297    0.329    0.160
1281.510    3.246    0.286    0.109    0.141
1283.215    3.062    0.322    0.392    0.196
1284.319    2.916    0.268    0.249    0.162
1284.991    3.000    0.268    0.427    0.184
1286.720    2.886    0.276    0.490    0.215
1287.522    3.109    0.261    0.316    0.150
1288.447    2.706    0.228    0.317    0.171
1290.179    2.739    0.227    0.282    0.169
1290.724    2.620    0.225    0.262    0.145
1291.902    2.718    0.241    0.449    0.229
1293.614    2.660    0.262    0.460    0.225
1293.846    2.650    0.240    0.502    0.137
1295.332    2.605    0.247    0.409    0.162
1297.041    2.530    0.238    0.404    0.140
1297.098    2.536    0.235    0.198    0.132
1298.754    2.433    0.253    0.368    0.143
1300.263    2.467    0.244    0.190    0.126
1300.450    2.441    0.254    0.382    0.142
1302.152    2.451    0.249    0.333    0.146
1303.434    2.945    0.328    0.160    0.113
1303.816    3.222    0.343    0.549    0.132
1305.542    3.217    0.341    0.441    0.134
1306.590    3.087    0.343    0.535    0.125
1307.222    3.135    0.342    0.366    0.130
1308.901    3.187    0.339    0.423    0.124
1309.746    2.549    0.277    0.463    0.124
1310.577    2.529    0.261    0.333    0.142
1312.251    2.523    0.261    0.334    0.140
1312.895    2.556    0.275    0.461    0.123
1313.916    2.575    0.273    0.380    0.130
1315.579    2.826    0.359    0.315    0.133
1316.035    2.789    0.362    0.494    0.129
1317.240    2.759    0.388    0.310    0.224
1318.898    2.662    0.481    0.400    0.153
1320.548    2.710    0.483    0.318    0.152
1322.174    2.710    0.286    0.347    0.143
1323.847    2.709    0.283    0.353    0.141
1325.406    2.895    0.441    0.357    0.144
1325.477    2.885    0.467    0.540    0.210
1327.118    2.809    0.464    0.660    0.212
1328.531    2.909    0.441    0.355    0.144
1328.743    2.831    0.471    0.664    0.215
1330.373    2.493    0.384    0.515    0.208
1331.557    2.465    0.354    0.353    0.149
1331.987    2.471    0.380    0.587    0.197
1333.606    2.434    0.378    0.654    0.201
1334.732    2.637    0.320    0.617    0.130
1335.217    2.516    0.325    0.456    0.204
1336.825    2.573    0.348    0.471    0.240
1337.807    2.670    0.371    0.645    0.175
1338.438    2.619    0.366    0.425    0.238
1340.000    3.015    0.411    0.572    0.214
1340.896    2.900    0.403    0.565    0.154
1341.631    2.952    0.433    0.545    0.239
1343.211    2.942    0.406    0.534    0.201
1343.972    3.043    0.382    0.564    0.161
1344.809    2.929    0.410    0.514    0.210
1346.378    2.325    0.371    0.505    0.220
1347.040    2.407    0.341    0.607    0.150
1347.959    2.300    0.356    0.454    0.199
1349.531    2.220    0.338    0.532    0.177
1350.101    2.329    0.367    0.597    0.181
1351.095    2.268    0.351    0.412    0.183
1352.663    2.342    0.367    0.568    0.215
1353.156    2.314    0.368    0.569    0.182
1354.223    2.302    0.350    0.512    0.195
1355.767    2.767    0.365    0.731    0.215
1356.203    2.821    0.332    0.778    0.121
1357.296    2.825    0.363    0.729    0.215
1358.864    2.806    0.371    0.735    0.222
1359.244    2.835    0.356    0.800    0.197
1360.410    2.827    0.348    0.828    0.194
1361.954    2.638    0.351    0.735    0.220
1362.285    2.600    0.355    0.778    0.198
1363.469    2.637    0.350    0.729    0.214
1364.996    2.670    0.335    0.708    0.218
1366.528    2.348    0.369    0.703    0.205
1368.030    2.440    0.351    0.640    0.183
1368.264    2.339    0.362    0.729    0.234
1369.545    2.360    0.356    0.747    0.191
1371.065    2.760    0.354    0.917    0.206
1371.353    2.835    0.302    0.881    0.152
1372.556    2.784    0.354    0.949    0.212
1374.032    2.778    0.352    0.933    0.205
1374.353    2.902    0.339    0.999    0.179
1375.561    2.849    0.338    0.986    0.179
1377.034    2.802    0.341    0.976    0.181
1377.347    2.710    0.306    0.982    0.147
1378.518    2.637    0.352    0.959    0.182
1379.994    2.554    0.365    0.838    0.215
1380.341    2.327    0.312    0.781    0.134
1381.483    2.523    0.262    0.668    0.171
1382.928    2.587    0.251    0.836    0.182
1383.329    2.457    0.317    0.630    0.114
1384.413    2.519    0.355    0.809    0.221
1385.863    2.537    0.357    0.844    0.211
1386.310    2.494    0.316    0.617    0.114
1387.318    2.502    0.335    0.603    0.141
1388.771    2.478    0.314    0.690    0.142
1389.278    2.462    0.294    0.713    0.112
1390.183    2.495    0.322    0.691    0.139
1391.660    2.503    0.331    0.896    0.219
1392.246    2.465    0.293    0.710    0.115
1393.088    2.936    0.355    1.108    0.193
1394.522    2.930    0.316    1.024    0.156
1395.202    2.663    0.311    0.913    0.139
1395.941    2.894    0.351    1.073    0.198
1397.359    2.807    0.257    1.078    0.124
1398.158    2.755    0.237    1.127    0.105
1398.788    2.825    0.255    1.086    0.117
1400.189    2.699    0.257    0.916    0.132
1401.107    2.679    0.237    0.979    0.097
1401.589    2.734    0.260    0.944    0.128
1403.001    2.748    0.342    1.016    0.142
1404.371    2.739    0.341    0.977    0.144
1405.787    2.822    0.352    1.148    0.168
1407.168    2.828    0.343    1.197    0.181
1408.548    2.873    0.345    1.227    0.179
1409.892    3.026    0.260    1.371    0.136
1409.919    3.230    0.292    1.430    0.179
1411.296    3.208    0.296    1.421    0.183
1412.658    3.300    0.280    1.558    0.152
1412.811    3.100    0.259    1.487    0.127
1414.019    2.965    0.225    1.541    0.142
1415.379    2.861    0.224    1.440    0.139
1416.730    2.880    0.220    1.459    0.136
1418.048    2.986    0.227    1.512    0.137
1418.623    2.861    0.203    1.480    0.112
