   W                 E3-_3/2
 (MeV)      Re       DRe      Im       DIm
1125.893    0.134    0.161    0.399    0.139
1127.891   -0.491    0.160    0.642    0.137
1129.903    0.278    0.130    0.317    0.217
1131.911   -0.118    0.128    0.428    0.247
1133.915    0.531    0.125    0.925    0.197
1135.841   -0.340    0.128    0.520    0.123
1135.916   -0.219    0.141    0.463    0.129
1137.913   -0.442    0.140    0.163    0.126
1139.396    0.801    0.113    0.095    0.258
1139.923    0.172    0.104    0.473    0.299
1141.905   -0.740    0.131   -0.107    0.138
1142.931    0.934    0.102   -0.234    0.340
1143.916   -1.351    0.137    0.317    0.270
1145.916   -0.187    0.147    0.272    0.238
1146.464   -0.735    0.135    0.685    0.173
1147.855   -0.805    0.160    0.486    0.175
1149.905    0.054    0.125   -0.516    0.214
1149.986   -0.040    0.142   -0.356    0.273
1151.886    0.555    0.109    0.091    0.280
1153.497   -0.062    0.160    0.754    0.187
1153.880    0.237    0.117   -0.627    0.197
1155.862   -0.181    0.166    0.650    0.222
1157.006    0.051    0.159    0.617    0.187
1157.849   -0.399    0.167    0.596    0.179
1159.841   -0.386    0.165    0.592    0.155
1160.504   -0.467    0.175    0.639    0.155
1161.821    0.467    0.146    0.555    0.186
1163.798    0.185    0.166   -0.206    0.224
1163.991    0.216    0.151   -0.368    0.196
1165.780   -0.092    0.160   -0.092    0.261
1167.468   -0.258    0.196   -0.530    0.424
1167.758   -0.023    0.157   -0.518    0.361
1169.733   -0.151    0.171    0.462    0.198
1170.951   -0.665    0.216    0.408    0.196
1171.680    0.255    0.199   -0.552    0.365
1173.680   -0.821    0.174    0.332    0.187
1174.336   -0.176    0.217    0.793    0.259
1175.653   -0.839    0.198    1.533    0.154
1177.631   -0.253    0.140   -0.223    0.199
1177.870   -0.161    0.211    0.430    0.214
1179.597   -0.522    0.179    0.373    0.178
1181.306   -1.142    0.237   -0.043    0.247
1181.560   -1.184    0.181   -0.169    0.204
1183.528   -0.087    0.175   -0.062    0.164
1184.748   -0.887    0.248    0.016    0.240
1185.493    0.152    0.159   -0.211    0.167
1187.454    0.226    0.163    0.032    0.164
1188.180   -0.757    0.234   -0.053    0.241
1189.412   -0.877    0.197   -0.350    0.198
1191.366   -0.225    0.174    0.436    0.164
1191.603   -0.177    0.218    0.114    0.201
1193.334   -0.156    0.178    0.336    0.169
1195.015   -0.069    0.238    0.289    0.226
1195.235   -0.749    0.198   -0.554    0.186
1197.235   -0.723    0.201   -0.053    0.169
1198.426    0.486    0.251    0.114    0.207
1199.193   -1.494    0.207   -0.279    0.180
1201.038   -0.890    0.207    0.837    0.157
1201.819    0.187    0.259   -0.003    0.218
1202.950   -1.037    0.238    1.203    0.149
1204.852   -0.296    0.201   -0.563    0.166
1205.210    0.275    0.271    0.292    0.220
1206.751   -1.192    0.238   -0.230    0.175
1208.600   -1.024    0.352    0.401    0.207
1208.646   -1.227    0.241   -0.013    0.159
1210.539   -1.409    0.211   -0.423    0.185
1211.987   -0.562    0.220    0.530    0.196
1212.429   -1.971    0.263    0.293    0.165
1214.315   -1.546    0.227   -0.094    0.173
1215.273   -1.733    0.301    0.421    0.219
1216.207   -1.542    0.205    0.055    0.158
1218.049   -1.141    0.197   -0.637    0.152
1218.712   -0.303    0.248   -0.680    0.206
1219.951   -1.107    0.205   -0.906    0.159
1221.826   -0.453    0.203   -0.415    0.148
1222.048   -0.317    0.198    0.465    0.176
1223.690   -0.927    0.202   -0.889    0.152
1225.399   -0.607    0.276    1.217    0.199
1225.560   -0.878    0.224   -1.241    0.153
1227.419   -0.556    0.229   -1.167    0.142
1228.733   -0.058    0.229    0.817    0.161
1229.275   -0.078    0.243   -1.240    0.148
1231.128   -0.232    0.357   -1.188    0.483
1232.065   -0.056    0.280   -1.094    0.202
1232.979   -0.626    0.261   -1.521    0.406
1234.819    0.051    0.238   -0.809    0.154
1235.389   -0.218    0.298   -1.186    0.198
1236.664   -0.689    0.189   -1.076    0.173
1238.514   -0.703    0.201   -0.607    0.172
1238.696   -0.402    0.258   -1.142    0.191
1240.301    0.101    0.225   -0.444    0.160
1242.009   -0.655    0.237    0.326    0.200
