   W                 M1+_3/2
 (MeV)      Re       DRe      Im       DIm
1125.893   13.566    0.677    3.174    0.862
1127.891   13.851    0.674    3.079    0.688
1129.903   14.369    0.673    3.112    0.830
1131.911   14.449    0.961    3.325    0.781
1133.915   14.273    0.962    3.240    0.813
1135.841   16.018    0.430    3.791    0.595
1135.916   16.059    0.432    3.803    0.603
1137.913   16.588    0.431    3.968    0.583
1139.396   16.234    0.437    3.849    0.644
1139.923   16.753    0.428    4.208    0.588
1141.905   16.902    0.884    4.044    0.813
1142.931   17.471    0.882    4.304    0.870
1143.916   17.684    0.882    4.299    0.826
1145.916   18.497    0.881    4.919    0.832
1146.464   18.113    0.889    4.769    0.922
1147.855   18.791    0.881    5.207    0.833
1149.905   20.529    0.420    6.818    0.519
1149.986   20.463    0.432    6.802    0.598
1151.886   20.456    0.422    7.069    0.507
1153.497   20.855    0.431    7.324    0.578
1153.880   20.870    0.420    7.504    0.493
1155.862   22.460    0.886    7.814    0.820
1157.006   21.604    0.640    7.709    0.642
1157.849   21.813    0.634    8.064    0.600
1159.841   22.164    0.635    8.380    0.598
1160.504   22.639    0.435    8.693    0.557
1161.821   22.802    0.425    8.959    0.510
1163.798   23.099    0.445    9.507    0.554
1163.991   22.927    0.445    9.411    0.563
1165.780   24.310    0.382   11.322    0.524
1167.468   24.559    0.397   11.747    0.553
1167.758   24.685    0.369   11.983    0.480
1169.733   24.925    0.367   12.764    0.468
1170.951   24.673    0.620   12.688    0.694
1171.680   24.662    0.627   12.979    0.701
1173.680   24.942    0.596   13.724    0.625
1174.336   25.336    0.438   14.589    0.571
1175.653   25.292    0.391   15.108    0.477
1177.631   25.670    0.390   16.202    0.470
1177.870   25.850    0.439   16.058    0.551
1179.597   25.947    0.392   17.067    0.470
1181.306   25.947    0.454   17.579    0.542
1181.560   25.777    0.391   17.928    0.461
1183.528   26.507    0.316   20.564    0.496
1184.748   26.487    0.406   21.125    0.567
1185.493   26.513    0.313   20.877    0.493
1187.454   26.424    0.422   21.529    0.633
1188.180   26.252    0.511   22.035    0.692
1189.412   26.194    0.427   22.647    0.631
1191.366   25.748    0.375   24.944    0.676
1191.603   25.336    0.506   25.180    0.735
1193.334   25.442    0.374   25.709    0.672
1195.015   24.959    0.528   26.407    0.731
1195.235   24.997    0.376   26.592    0.670
1197.235   22.646    0.610   29.682    0.606
1198.426   22.387    0.728   29.990    0.666
1199.193   22.120    0.613   30.674    0.604
1201.038   21.259    0.389   31.997    0.340
1201.819   20.761    0.592   32.258    0.428
1202.950   20.002    0.626   33.830    0.421
1204.852   19.062    0.638   34.306    0.421
1205.210   19.233    0.789   34.241    0.487
1206.751   17.774    0.508   35.129    0.382
1208.600   17.051    0.760   35.482    0.445
1208.646   16.965    0.518   35.501    0.380
1210.539   15.965    0.551   36.150    0.380
1211.987   15.561    0.818   35.922    0.437
1212.429   15.466    0.598   36.404    0.385
1214.315   12.268    0.634   37.495    0.262
1215.273   11.892    1.047   37.741    0.343
1216.207   11.286    0.664   37.651    0.257
1218.049   10.195    0.728   37.964    0.252
1218.712    9.831    1.141   38.246    0.300
1219.951    8.504    0.889   38.012    0.248
1221.826    7.663    0.818   37.829    0.236
1222.048    7.897    1.105   38.035    0.267
1223.690    5.261    0.900   38.228    0.194
1225.399    5.087    3.143   38.590    0.317
1225.560    4.169    1.026   38.274    0.191
1227.419    3.809    0.990   38.136    0.188
1228.733    1.413    1.208   37.530    0.206
1229.275    1.114    0.801   37.236    0.183
1231.128    0.083    1.553   36.990    0.339
1232.065   -0.347    1.871   37.545    0.237
1232.979   -0.807    1.589   36.753    0.335
1234.819   -1.508    0.819   36.175    0.266
1235.389   -1.696    1.591   36.596    0.324
1236.664   -2.457    0.985   36.096    0.282
1238.514   -4.373    0.770   35.116    0.210
1238.696   -4.212    1.302   35.300    0.288
1240.301   -4.417    0.729   34.147    0.233
1242.009   -5.116    1.233   34.512    0.317
1242.183   -5.219    0.733   33.795    0.238
1244.002   -7.737    0.579   32.378    0.256
1245.306   -8.102    0.936   32.467    0.334
1245.826   -8.333    0.524   31.900    0.255
1247.647   -8.960    0.552   31.884    0.261
1248.594   -9.284    0.813   31.258    0.350
1249.466   -8.789    0.555   30.964    0.270
1251.274   -9.630    0.840   30.630    0.402
1251.896  -10.060    1.044   30.498    0.477
1253.095   -9.868    0.836   29.904    0.406
1254.883  -10.236    0.545   28.610    0.306
1255.085  -10.527    0.696   28.812    0.361
