   W                 M2-_p1/2
 (MeV)      Re       DRe      Im       DIm
1125.893    0.329    0.168    0.027    0.070
1127.891    0.299    0.177    0.057    0.056
1129.903    0.383    0.172   -0.039    0.077
1131.911    0.273    0.225    0.091    0.108
1133.915    0.279    0.221    0.062    0.059
1135.841    0.221    0.082   -0.024    0.064
1135.916    0.213    0.087   -0.016    0.063
1137.913    0.272    0.089   -0.048    0.091
1139.396    0.290    0.076    0.192    0.062
1139.923    0.228    0.078    0.162    0.119
1141.905    0.274    0.397    0.004    0.076
1142.931    0.388    0.391   -0.045    0.059
1143.916    0.638    0.392    0.014    0.093
1145.916    0.359    0.393   -0.083    0.102
1146.464    0.370    0.393   -0.109    0.088
1147.855    0.288    0.394   -0.001    0.065
1149.905    0.334    0.141    0.115    0.085
1149.986    0.325    0.142    0.121    0.096
1151.886    0.387    0.141   -0.095    0.076
1153.497    0.329    0.142   -0.002    0.065
1153.880    0.388    0.140   -0.036    0.072
1155.862    0.197    0.197   -0.017    0.076
1157.006    0.698    0.156   -0.029    0.071
1157.849    0.694    0.155    0.053    0.062
1159.841    0.696    0.155   -0.003    0.061
1160.504    0.317    0.084   -0.014    0.063
1161.821    0.364    0.081    0.024    0.057
1163.798    0.360    0.084    0.094    0.084
1163.991    0.371    0.083    0.102    0.079
1165.780    0.532    0.082   -0.057    0.082
1167.468    0.454    0.087    0.028    0.092
1167.758    0.469    0.082    0.013    0.073
1169.733    0.531    0.084   -0.159    0.066
1170.951    0.460    0.159    0.056    0.071
1171.680    0.652    0.162   -0.215    0.097
1173.680    0.346    0.159    0.187    0.070
1174.336    0.445    0.090   -0.006    0.056
1175.653    0.439    0.084   -0.024    0.036
1177.631    0.575    0.088    0.017    0.066
1177.870    0.525    0.094   -0.021    0.058
1179.597    0.625    0.091   -0.157    0.052
1181.306    0.658    0.103   -0.097    0.067
1181.560    0.617    0.094   -0.057    0.050
1183.528    0.410    0.096    0.056    0.040
1184.748    0.570    0.112   -0.127    0.066
1185.493    0.393    0.095    0.077    0.033
1187.454    0.412    0.117    0.053    0.035
1188.180    0.547    0.128   -0.084    0.064
1189.412    0.470    0.123   -0.033    0.043
1191.366    0.274    0.103    0.070    0.037
1191.603    0.417    0.112   -0.102    0.057
1193.334    0.231    0.103    0.042    0.036
1195.015    0.295    0.115   -0.056    0.054
1195.235    0.253    0.108   -0.034    0.045
1197.235    0.398    0.085    0.031    0.039
1198.426    0.124    0.095    0.128    0.058
1199.193    0.277    0.088    0.042    0.045
1201.038    0.451    0.070    0.041    0.033
1201.819    0.167    0.083    0.143    0.056
1202.950    0.618    0.107    0.116    0.028
1204.852    0.162    0.110    0.160    0.044
1205.210    0.309    0.118    0.171    0.052
1206.751    0.446    0.075    0.102    0.035
1208.600    0.543    0.092   -0.051    0.046
1208.646    0.447    0.073    0.011    0.031
1210.539    0.476    0.076    0.074    0.033
1211.987    0.708    0.087   -0.025    0.043
1212.429    0.592    0.086    0.101    0.029
1214.315    0.656    0.076    0.016    0.030
1215.273    0.758    0.099    0.040    0.041
1216.207    0.643    0.072   -0.031    0.027
1218.049    0.595    0.075    0.043    0.031
1218.712    0.417    0.105    0.060    0.046
1219.951    0.474    0.093    0.167    0.030
1221.826    0.508    0.095   -0.081    0.029
1222.048    0.589    0.101   -0.159    0.034
1223.690    0.519    0.090    0.087    0.031
1225.399    0.380    0.103   -0.010    0.031
1225.560    0.498    0.098    0.108    0.033
1227.419    0.544    0.097   -0.011    0.030
1228.733    0.632    0.097   -0.120    0.034
1229.275    0.533    0.096   -0.085    0.030
1231.128    0.413    0.115    0.068    0.082
1232.065    0.629    0.123    0.085    0.047
1232.979    0.350    0.113    0.110    0.074
1234.819    0.692    0.148   -0.002    0.031
1235.389    0.664    0.172    0.111    0.044
1236.664    0.513    0.145    0.023    0.034
1238.514    0.330    0.104    0.132    0.033
1238.696    0.311    0.130    0.003    0.058
1240.301    0.689    0.144   -0.040    0.032
1242.009    0.499    0.166   -0.071    0.049
1242.183    0.676    0.146    0.018    0.036
1244.002    0.286    0.105    0.056    0.040
1245.306    0.098    0.117    0.034    0.065
1245.826    0.360    0.104   -0.006    0.045
1247.647    0.438    0.084    0.112    0.037
1248.594    0.580    0.111    0.268    0.066
1249.466    0.335    0.100    0.014    0.045
1251.274    0.127    0.204    0.071    0.041
1251.896    0.218    0.212    0.127    0.057
1253.095    0.121    0.203    0.049    0.044
1254.883    0.305    0.106    0.011    0.047
1255.085    0.504    0.115    0.096    0.054
1256.684    0.370    0.106    0.010    0.045
1258.437    0.551    0.117    0.148    0.057
1258.482    0.487    0.100    0.111    0.041
1260.285    0.432    0.092    0.099    0.040
1261.691    0.675    0.087    0.138    0.046
1262.026    0.548    0.075    0.043    0.040
1263.861    0.508    0.079   -0.003    0.061
1264.944    0.621    0.109    0.139    0.055
1265.649    0.265    0.176   -0.023    0.042
1267.412    0.236    0.181   -0.045    0.050
1268.189    0.295    0.185    0.080    0.072
1269.187    0.387    0.096   -0.049    0.049
1270.960    0.351    0.091   -0.112    0.047
1271.433    0.513    0.106    0.167    0.067
1272.731    0.594    0.091    0.215    0.063
1274.477    0.386    0.108    0.001    0.048
1274.661    0.497    0.119    0.182    0.061
1276.250    0.453    0.108    0.002    0.045
1278.006    0.540    0.077    0.002    0.050
1279.752    0.613    0.069    0.174    0.072
1281.108    0.394    0.184    0.143    0.055
1281.510    0.389    0.180   -0.026    0.045
1283.215    0.282    0.185    0.026    0.058
1284.319    0.504    0.090    0.170    0.054
1284.991    0.538    0.088    0.098    0.051
1286.720    0.487    0.101    0.027    0.067
1287.522    0.625    0.079    0.075    0.054
1288.447    0.610    0.071    0.027    0.050
1290.179    0.638    0.070    0.087    0.051
1290.724    0.697    0.066   -0.059    0.057
1291.902    0.510    0.056    0.052    0.056
1293.614    0.555    0.065    0.061    0.058
1293.846    0.757    0.083    0.012    0.062
1295.332    0.691    0.086    0.019    0.064
1297.041    0.725    0.074    0.095    0.050
1297.098    0.844    0.062    0.118    0.042
