   W                 M3-_3/2
 (MeV)      Re       DRe      Im       DIm
1125.893   -0.143    0.071    0.629    0.107
1127.891   -0.238    0.122    0.749    0.090
1129.903   -0.061    0.092    0.414    0.112
1131.911    0.395    0.082    0.349    0.171
1133.915   -0.065    0.060    0.170    0.068
1135.841   -0.464    0.099    0.632    0.102
1135.916   -0.329    0.112    0.660    0.099
1137.913   -0.158    0.107    0.462    0.136
1139.396    0.052    0.046    0.102    0.086
1139.923    0.427    0.075    0.031    0.151
1141.905   -0.383    0.131    0.661    0.121
1142.931    0.147    0.067    0.317    0.095
1143.916   -0.444    0.083   -0.066    0.099
1145.916    0.320    0.093    0.420    0.147
1146.464   -0.889    0.100    0.415    0.153
1147.855   -0.327    0.113    0.695    0.104
1149.905    0.059    0.049   -0.274    0.128
1149.986    0.076    0.054   -0.264    0.149
1151.886    0.197    0.045   -0.141    0.124
1153.497   -0.218    0.057    0.628    0.093
1153.880    0.131    0.046   -0.475    0.109
1155.862   -0.159    0.062    0.384    0.110
1157.006   -0.126    0.058    0.455    0.100
1157.849   -0.312    0.053    0.736    0.091
1159.841   -0.261    0.053    0.624    0.093
1160.504   -0.265    0.058    0.639    0.096
1161.821   -0.148    0.049    0.613    0.085
1163.798    0.380    0.051   -0.675    0.131
1163.991    0.357    0.048   -0.655    0.126
1165.780    0.329    0.057   -0.463    0.132
1167.468    0.091    0.073   -0.038    0.137
1167.758    0.094    0.054   -0.012    0.103
1169.733   -0.148    0.061    0.435    0.095
1170.951   -0.168    0.070    0.554    0.108
1171.680    0.186    0.062   -0.081    0.114
1173.680   -0.215    0.068    0.319    0.097
1174.336    0.308    0.069    0.031    0.090
1175.653    0.216    0.047    0.155    0.051
1177.631    0.296    0.065   -0.346    0.107
1177.870   -0.035    0.074    0.244    0.092
1179.597   -0.028    0.062    0.105    0.072
1181.306   -0.265    0.092    0.086    0.084
1181.560   -0.357    0.072    0.111    0.067
1183.528   -0.140    0.058    0.244    0.070
1184.748   -0.115    0.087    0.014    0.088
1185.493   -0.223    0.048    0.350    0.058
1187.454   -0.250    0.052    0.366    0.061
1188.180    0.051    0.092   -0.078    0.107
1189.412   -0.409    0.073    0.133    0.066
1191.366   -0.311    0.060    0.398    0.060
1191.603    0.350    0.094    0.005    0.093
1193.334   -0.306    0.060    0.378    0.059
1195.015    0.412    0.096    0.040    0.091
1195.235    0.215    0.073   -0.187    0.077
1197.235    0.336    0.070   -0.027    0.065
1198.426    0.003    0.091    0.453    0.091
1199.193    0.199    0.072   -0.320    0.070
1201.038    0.350    0.081    0.052    0.054
1201.819   -0.174    0.099    0.510    0.090
1202.950    0.239    0.083    0.195    0.046
1204.852   -0.320    0.079    0.259    0.064
1205.210   -0.189    0.101    0.531    0.080
1206.751    0.317    0.079   -0.121    0.062
1208.600    0.150    0.104    0.268    0.071
1208.646    0.313    0.076    0.035    0.055
1210.539    0.342    0.073   -0.093    0.057
1211.987    0.294    0.094    0.378    0.068
1212.429   -0.352    0.107    0.005    0.050
1214.315    0.340    0.073   -0.043    0.052
1215.273   -0.066    0.114    0.148    0.064
1216.207    0.379    0.071    0.086    0.048
1218.049    0.387    0.075   -0.114    0.054
1218.712   -0.210    0.098   -0.015    0.072
1219.951    0.340    0.080   -0.093    0.053
1221.826    0.342    0.080    0.123    0.054
1222.048    0.314    0.087    0.375    0.056
1223.690    0.471    0.076   -0.060    0.060
1225.399   -0.370    0.121    0.384    0.051
1225.560    0.490    0.091   -0.195    0.064
1227.419    0.408    0.089   -0.130    0.061
1228.733    0.327    0.085    0.457    0.055
1229.275    0.380    0.090   -0.070    0.060
1231.128    0.386    0.115   -0.169    0.155
1232.065    0.387    0.122   -0.242    0.079
1232.979    0.471    0.111   -0.151    0.134
1234.819    0.264    0.092    0.038    0.055
1235.389    0.284    0.143   -0.226    0.073
1236.664    0.402    0.095    0.037    0.061
1238.514    0.341    0.101    0.134    0.058
1238.696   -0.231    0.113   -0.275    0.066
1240.301    0.193    0.099    0.296    0.051
1242.009   -0.355    0.128    0.163    0.066
1242.183    0.078    0.104    0.149    0.058
1244.002    0.320    0.158   -0.018    0.060
1245.306   -0.091    0.128   -0.352    0.074
1245.826    0.129    0.139    0.059    0.064
1247.647   -0.509    0.090   -0.118    0.058
1248.594   -0.029    0.105   -0.429    0.079
1249.466    0.099    0.131   -0.023    0.068
1251.274    0.234    0.100    0.046    0.060
1251.896    0.067    0.121   -0.192    0.079
1253.095    0.153    0.093    0.178    0.063
1254.883    0.154    0.109    0.015    0.068
1255.085    0.006    0.121   -0.104    0.085
1256.684    0.150    0.103   -0.031    0.065
1258.437    0.116    0.122   -0.202    0.079
1258.482    0.244    0.105    0.056    0.061
1260.285    0.220    0.087    0.096    0.062
1261.691    0.164    0.108   -0.100    0.075
1262.026    0.227    0.083    0.142    0.061
1263.861    0.069    0.100    0.418    0.127
1264.944    0.131    0.133   -0.128    0.079
1265.649    0.049    0.079    0.424    0.068
1267.412    0.197    0.083    0.005    0.064
1268.189   -0.042    0.116   -0.273    0.096
1269.187    0.100    0.105    0.159    0.073
1270.960    0.115    0.087    0.219    0.067
1271.433    0.089    0.109   -0.351    0.091
1272.731   -0.068    0.093   -0.258    0.087
1274.477   -0.006    0.088    0.172    0.066
1274.661    0.027    0.112   -0.069    0.088
1276.250    0.118    0.089    0.189    0.065
1278.006    0.187    0.101    0.230    0.075
1279.752   -0.189    0.093   -0.132    0.106
1281.108    0.056    0.101   -0.079    0.080
1281.510    0.013    0.092    0.256    0.068
1283.215    0.114    0.132    0.084    0.097
1284.319    0.125    0.096   -0.047    0.073
1284.991    0.047    0.093    0.169    0.071
1286.720   -0.029    0.107    0.085    0.090
1287.522   -0.277    0.078    0.156    0.077
1288.447   -0.092    0.089    0.244    0.077
1290.179   -0.145    0.093    0.181    0.082
1290.724   -0.425    0.077    0.244    0.082
1291.902   -0.070    0.087    0.292    0.086
1293.614   -0.117    0.088    0.258    0.089
1293.846   -0.083    0.113    0.295    0.097
1295.332   -0.036    0.119    0.235    0.105
1297.041   -0.335    0.089    0.063    0.078
1297.098   -0.445    0.056    0.217    0.056
1298.754   -0.292    0.085    0.046    0.082
1300.263   -0.420    0.054    0.222    0.055
1300.450   -0.262    0.086    0.065    0.080
1302.152   -0.350    0.073    0.095    0.078
1303.434   -0.092    0.066    0.377    0.051
1303.816   -0.139    0.068    0.046    0.073
1305.542   -0.074    0.066    0.063    0.079
1306.590   -0.189    0.040   -0.224    0.068
1307.222   -0.027    0.058    0.091    0.080
1308.901   -0.050    0.060   -0.008    0.077
1309.746   -0.104    0.056   -0.329    0.085
1310.577   -0.105    0.110    0.186    0.092
1312.251   -0.113    0.108    0.149    0.093
1312.895   -0.108    0.055   -0.298    0.083
1313.916   -0.014    0.086   -0.152    0.096
1315.579    0.038    0.091   -0.131    0.096
1316.035   -0.136    0.054   -0.247    0.081
1317.240   -0.399    0.187    0.293    0.142
1318.898   -0.389    0.093    0.188    0.085
1320.548   -0.237    0.107    0.230    0.078
1322.174   -0.293    0.100    0.170    0.074
1323.847   -0.337    0.097    0.198    0.073
1325.406   -0.403    0.068    0.243    0.072
1325.477   -0.367    0.103    0.216    0.090
1327.118   -0.407    0.092    0.083    0.094
1328.531   -0.374    0.071    0.251    0.072
1328.743   -0.355    0.095    0.094    0.089
1330.373   -0.344    0.110    0.225    0.088
1331.557   -0.298    0.082    0.262    0.072
1331.987   -0.257    0.108    0.223    0.081
1333.606   -0.372    0.096    0.124    0.090
1334.732    0.063    0.094    0.176    0.063
1335.217   -0.461    0.093   -0.140    0.102
1336.825   -0.491    0.139   -0.180    0.190
1337.807    0.114    0.169    0.152    0.110
1338.438   -0.355    0.119   -0.246    0.180
1340.000   -0.297    0.101   -0.354    0.103
1340.896   -0.171    0.061   -0.341    0.079
1341.631   -0.228    0.161   -0.311    0.161
1343.211   -0.274    0.088   -0.188    0.107
1343.972   -0.346    0.057    0.142    0.064
1344.809   -0.242    0.090   -0.259    0.101
1346.378   -0.152    0.098   -0.289    0.091
1347.040   -0.262    0.058   -0.217    0.072
1347.959   -0.227    0.082   -0.237    0.097
1349.531   -0.152    0.117   -0.370    0.089
1350.101   -0.058    0.185   -0.436    0.135
1351.095   -0.128    0.102   -0.362    0.092
1352.663   -0.151    0.227   -0.369    0.140
1353.156   -0.063    0.200   -0.421    0.141
1354.223   -0.105    0.106   -0.342    0.084
1355.767   -0.153    0.153   -0.376    0.142
1356.203   -0.177    0.065   -0.399    0.079
1357.296   -0.206    0.184   -0.360    0.163
1358.864   -0.140    0.179   -0.364    0.150
1359.244    0.022    0.158   -0.501    0.145
1360.410    0.225    0.152   -0.569    0.146
1361.954   -0.029    0.187   -0.425    0.170
1362.285   -0.022    0.164   -0.472    0.149
1363.469    0.005    0.203   -0.447    0.170
1364.996    0.035    0.117   -0.429    0.105
1366.528   -0.315    0.113    0.038    0.091
1368.030   -0.166    0.072   -0.285    0.087
1368.264   -0.264    0.094    0.016    0.077
1369.545   -0.284    0.098    0.072    0.095
1371.065   -0.257    0.108   -0.025    0.095
1371.353   -0.342    0.049    0.043    0.052
1372.556   -0.249    0.121   -0.023    0.102
1374.032   -0.287    0.107   -0.010    0.094
1374.353   -0.222    0.058   -0.289    0.093
1375.561   -0.339    0.090    0.005    0.073
1377.034   -0.264    0.102   -0.008    0.082
1377.347   -0.302    0.047    0.019    0.048
1378.518   -0.246    0.099   -0.022    0.077
1379.994   -0.083    0.085   -0.168    0.082
1380.341    0.008    0.058   -0.028    0.038
1381.483   -0.155    0.079   -0.393    0.103
1382.928   -0.173    0.070    0.031    0.054
1383.329   -0.129    0.054   -0.341    0.061
