  727.2000  10
    0.7772    0.0362    0.0292
    0.5934    0.0548    0.0195
    0.4022    0.0382    0.0344
    0.2011    0.0241    0.0408
   -0.0001    0.0872    0.0412
   -0.1970    0.0540    0.0431
   -0.4022    0.0404    0.0479
   -0.6070    0.0538    0.0370
   -0.8019    0.0199    0.0421
   -0.9428    0.0485    0.0307
  731.4000  10
    0.7772    0.0480    0.0325
    0.5934    0.0650    0.0215
    0.4022    0.0624    0.0404
    0.2011    0.0390    0.0433
   -0.0001    0.1020    0.0461
   -0.1970    0.0700    0.0477
   -0.4022    0.0605    0.0524
   -0.6070    0.0650    0.0394
   -0.8019    0.0251    0.0463
   -0.9428    0.0488    0.0345
  735.5000  10
    0.7772    0.0573    0.0338
    0.5934    0.0774    0.0240
    0.4022    0.0829    0.0422
    0.2011    0.0577    0.0481
   -0.0001    0.1212    0.0524
   -0.1970    0.0831    0.0495
   -0.4022    0.0839    0.0579
   -0.6070    0.0775    0.0421
   -0.8019    0.0301    0.0491
   -0.9428    0.0458    0.0366
  739.7000  10
    0.7772    0.0662    0.0345
    0.5934    0.0810    0.0236
    0.4022    0.1066    0.0448
    0.2011    0.0744    0.0495
   -0.0001    0.1283    0.0530
   -0.1970    0.0972    0.0512
   -0.4022    0.1020    0.0585
   -0.6070    0.0904    0.0444
   -0.8019    0.0339    0.0493
   -0.9428    0.0424    0.0385
  743.9000  10
    0.7772    0.0747    0.0352
    0.5934    0.0910    0.0250
    0.4022    0.1254    0.0451
    0.2011    0.0899    0.0499
   -0.0001    0.1405    0.0553
   -0.1970    0.1112    0.0526
   -0.4022    0.1239    0.0614
   -0.6070    0.1021    0.0460
   -0.8019    0.0389    0.0505
   -0.9428    0.0382    0.0396
  748.0000  10
    0.7772    0.0835    0.0363
    0.5934    0.1011    0.0264
    0.4022    0.1416    0.0449
    0.2011    0.1141    0.0547
   -0.0001    0.1473    0.0552
   -0.1970    0.1273    0.0547
   -0.4022    0.1433    0.0630
   -0.6070    0.1152    0.0480
   -0.8019    0.0455    0.0529
   -0.9428    0.0343    0.0406
  752.2000  10
    0.7772    0.0961    0.0389
    0.5934    0.1024    0.0254
    0.4022    0.1701    0.0485
    0.2011    0.1299    0.0549
   -0.0001    0.1606    0.0572
   -0.1970    0.1486    0.0583
   -0.4022    0.1621    0.0645
   -0.6070    0.1289    0.0500
   -0.8019    0.0520    0.0543
   -0.9428    0.0299    0.0399
  756.4000  10
    0.7772    0.0994    0.0381
    0.5934    0.1121    0.0264
    0.4022    0.1901    0.0496
    0.2011    0.1471    0.0557
   -0.0001    0.1750    0.0589
   -0.1970    0.1577    0.0569
   -0.4022    0.1840    0.0674
   -0.6070    0.1391    0.0507
   -0.8019    0.0588    0.0551
   -0.9428    0.0286    0.0424
  760.5000  10
    0.7772    0.1067    0.0393
    0.5934    0.1215    0.0274
    0.4022    0.1991    0.0483
    0.2011    0.1590    0.0549
   -0.0001    0.1799    0.0571
   -0.1970    0.1814    0.0607
   -0.4022    0.1903    0.0653
   -0.6070    0.1467    0.0506
   -0.8019    0.0677    0.0571
   -0.9428    0.0268    0.0425
  768.8000  10
    0.7772    0.1103    0.0206
    0.5934    0.1293    0.0177
    0.4022    0.2291    0.0265
    0.2011    0.1856    0.0259
   -0.0001    0.2217    0.0293
   -0.1970    0.2051    0.0255
   -0.4022    0.2144    0.0279
   -0.6070    0.1664    0.0263
   -0.8019    0.0820    0.0238
   -0.9428    0.0275    0.0160
  772.9000  10
    0.7772    0.1103    0.0204
    0.5934    0.1323    0.0174
    0.4022    0.2334    0.0259
    0.2011    0.2085    0.0273
   -0.0001    0.2295    0.0286
   -0.1970    0.2173    0.0254
   -0.4022    0.2296    0.0289
   -0.6070    0.1687    0.0256
   -0.8019    0.0894    0.0235
   -0.9428    0.0292    0.0160
  777.1000  10
    0.7772    0.1107    0.0204
    0.5934    0.1408    0.0178
    0.4022    0.2375    0.0255
    0.2011    0.2253    0.0279
   -0.0001    0.2457    0.0289
   -0.1970    0.2351    0.0259
   -0.4022    0.2330    0.0286
   -0.6070    0.1793    0.0263
   -0.8019    0.0990    0.0237
   -0.9428    0.0303    0.0152
  781.2000  10
    0.7772    0.1102    0.0203
    0.5934    0.1503    0.0184
    0.4022    0.2566    0.0269
    0.2011    0.2377    0.0280
   -0.0001    0.2740    0.0304
   -0.1970    0.2524    0.0264
   -0.4022    0.2453    0.0295
   -0.6070    0.1869    0.0265
   -0.8019    0.1052    0.0232
   -0.9428    0.0347    0.0158
  785.3000  10
    0.7772    0.1069    0.0197
    0.5934    0.1553    0.0184
    0.4022    0.2542    0.0261
    0.2011    0.2483    0.0280
   -0.0001    0.2857    0.0301
   -0.1970    0.2566    0.0257
   -0.4022    0.2407    0.0285
   -0.6070    0.1940    0.0267
   -0.8019    0.1118    0.0228
   -0.9428    0.0372    0.0153
  789.5000  10
    0.7772    0.1105    0.0205
    0.5934    0.1500    0.0172
    0.4022    0.2662    0.0269
    0.2011    0.2663    0.0288
   -0.0001    0.3015    0.0303
   -0.1970    0.2719    0.0261
   -0.4022    0.2367    0.0277
   -0.6070    0.1950    0.0262
   -0.8019    0.1215    0.0231
   -0.9428    0.0409    0.0152
  793.6000  10
    0.7772    0.1045    0.0194
    0.5934    0.1544    0.0170
    0.4022    0.2692    0.0266
    0.2011    0.2764    0.0286
   -0.0001    0.3003    0.0287
   -0.1970    0.2798    0.0256
   -0.4022    0.2395    0.0275
   -0.6070    0.1964    0.0256
   -0.8019    0.1300    0.0232
   -0.9428    0.0449    0.0152
  797.7000  10
    0.7772    0.1062    0.0198
    0.5934    0.1582    0.0170
    0.4022    0.2643    0.0260
    0.2011    0.2702    0.0273
   -0.0001    0.3163    0.0292
   -0.1970    0.2901    0.0258
   -0.4022    0.2415    0.0274
   -0.6070    0.1991    0.0254
   -0.8019    0.1336    0.0226
   -0.9428    0.0472    0.0147
  801.8000  10
    0.7772    0.1033    0.0192
    0.5934    0.1573    0.0164
    0.4022    0.2530    0.0247
