   W            E1+
 (MeV)      Re      Im
 1614.0   -0.089  -0.034
 1615.0   -0.099  -0.038
 1616.0   -0.108  -0.042
 1617.0   -0.116  -0.046
 1618.0   -0.124  -0.050
 1619.0   -0.132  -0.054
 1620.0   -0.139  -0.058
 1621.0   -0.146  -0.062
 1622.0   -0.153  -0.066
 1623.0   -0.160  -0.070
 1624.0   -0.166  -0.074
 1625.0   -0.173  -0.078
 1626.0   -0.179  -0.082
 1627.0   -0.185  -0.086
 1628.0   -0.191  -0.090
 1629.0   -0.197  -0.094
 1630.0   -0.203  -0.099
 1631.0   -0.209  -0.103
 1632.0   -0.215  -0.108
 1633.0   -0.221  -0.112
 1634.0   -0.226  -0.117
 1635.0   -0.232  -0.122
 1636.0   -0.237  -0.126
 1637.0   -0.242  -0.131
 1638.0   -0.248  -0.136
 1639.0   -0.253  -0.142
 1640.0   -0.258  -0.147
 1641.0   -0.263  -0.152
 1642.0   -0.268  -0.158
 1643.0   -0.273  -0.163
 1644.0   -0.278  -0.169
 1645.0   -0.283  -0.175
 1646.0   -0.287  -0.181
 1647.0   -0.292  -0.187
 1648.0   -0.297  -0.193
 1649.0   -0.301  -0.199
 1650.0   -0.305  -0.206
 1651.0   -0.310  -0.212
 1652.0   -0.314  -0.219
 1653.0   -0.318  -0.226
 1654.0   -0.322  -0.233
 1655.0   -0.326  -0.240
 1656.0   -0.329  -0.247
 1657.0   -0.333  -0.255
 1658.0   -0.336  -0.262
 1659.0   -0.339  -0.270
 1660.0   -0.343  -0.277
 1661.0   -0.346  -0.285
 1662.0   -0.349  -0.293
 1663.0   -0.351  -0.301
 1664.0   -0.354  -0.310
 1665.0   -0.356  -0.318
 1666.0   -0.358  -0.327
 1667.0   -0.360  -0.335
 1668.0   -0.362  -0.344
 1669.0   -0.364  -0.353
 1670.0   -0.365  -0.362
 1671.0   -0.366  -0.371
 1672.0   -0.367  -0.380
 1673.0   -0.368  -0.389
 1674.0   -0.369  -0.398
 1675.0   -0.369  -0.408
 1676.0   -0.369  -0.417
 1677.0   -0.369  -0.426
 1678.0   -0.369  -0.436
 1679.0   -0.368  -0.446
 1680.0   -0.367  -0.455
 1681.0   -0.366  -0.465
 1682.0   -0.364  -0.474
 1683.0   -0.363  -0.484
 1684.0   -0.361  -0.494
 1685.0   -0.358  -0.504
 1686.0   -0.356  -0.513
 1687.0   -0.353  -0.523
 1688.0   -0.350  -0.532
 1689.0   -0.347  -0.542
 1690.0   -0.343  -0.551
 1691.0   -0.339  -0.561
 1692.0   -0.335  -0.570
 1693.0   -0.330  -0.579
 1694.0   -0.325  -0.588
 1695.0   -0.320  -0.597
 1696.0   -0.315  -0.606
 1697.0   -0.310  -0.615
 1698.0   -0.304  -0.623
 1699.0   -0.298  -0.632
 1700.0   -0.291  -0.640
 1701.0   -0.285  -0.648
 1702.0   -0.278  -0.655
 1703.0   -0.271  -0.663
 1704.0   -0.263  -0.670
 1705.0   -0.256  -0.678
 1706.0   -0.248  -0.684
 1707.0   -0.240  -0.691
 1708.0   -0.232  -0.697
 1709.0   -0.224  -0.704
 1710.0   -0.216  -0.709
 1711.0   -0.207  -0.715
 1712.0   -0.199  -0.720
 1713.0   -0.190  -0.725
 1714.0   -0.181  -0.730
 1715.0   -0.172  -0.735
 1716.0   -0.163  -0.739
 1717.0   -0.154  -0.743
 1718.0   -0.145  -0.746
 1719.0   -0.135  -0.750
 1720.0   -0.126  -0.753
 1721.0   -0.117  -0.755
 1722.0   -0.107  -0.758
 1723.0   -0.098  -0.760
 1724.0   -0.089  -0.762
 1725.0   -0.079  -0.763
 1726.0   -0.070  -0.765
 1727.0   -0.061  -0.766
 1728.0   -0.052  -0.766
 1729.0   -0.042  -0.767
 1730.0   -0.033  -0.767
 1731.0   -0.024  -0.767
 1732.0   -0.015  -0.767
 1733.0   -0.007  -0.766
 1734.0    0.002  -0.766
 1735.0    0.011  -0.765
 1736.0    0.019  -0.764
 1737.0    0.028  -0.762
 1738.0    0.036  -0.761
 1739.0    0.044  -0.759
 1740.0    0.052  -0.757
 1741.0    0.060  -0.755
 1742.0    0.068  -0.752
 1743.0    0.075  -0.750
 1744.0    0.083  -0.747
 1745.0    0.090  -0.744
 1746.0    0.097  -0.741
 1747.0    0.104  -0.738
 1748.0    0.111  -0.735
 1749.0    0.118  -0.732
 1750.0    0.124  -0.728
 1751.0    0.131  -0.725
 1752.0    0.137  -0.721
 1753.0    0.143  -0.717
 1754.0    0.149  -0.713
 1755.0    0.155  -0.709
 1756.0    0.160  -0.705
 1757.0    0.166  -0.701
 1758.0    0.171  -0.697
 1759.0    0.176  -0.692
 1760.0    0.181  -0.688
 1761.0    0.186  -0.684
 1762.0    0.190  -0.679
 1763.0    0.195  -0.675
 1764.0    0.199  -0.670
 1765.0    0.203  -0.666
 1766.0    0.207  -0.661
 1767.0    0.211  -0.657
 1768.0    0.215  -0.652
 1769.0    0.219  -0.647
 1770.0    0.222  -0.643
 1771.0    0.226  -0.638
 1772.0    0.229  -0.633
 1773.0    0.232  -0.628
 1774.0    0.235  -0.624
 1775.0    0.238  -0.619
 1776.0    0.241  -0.614
 1777.0    0.243  -0.610
 1778.0    0.246  -0.605
