   W            E2-
 (MeV)      Re      Im
 1614.0    0.003  -0.001
 1615.0    0.004  -0.001
 1616.0    0.005  -0.001
 1617.0    0.005  -0.001
 1618.0    0.006  -0.002
 1619.0    0.006  -0.002
 1620.0    0.007  -0.002
 1621.0    0.008  -0.002
 1622.0    0.008  -0.003
 1623.0    0.009  -0.003
 1624.0    0.009  -0.003
 1625.0    0.010  -0.003
 1626.0    0.010  -0.004
 1627.0    0.011  -0.004
 1628.0    0.011  -0.004
 1629.0    0.012  -0.005
 1630.0    0.012  -0.005
 1631.0    0.013  -0.005
 1632.0    0.013  -0.006
 1633.0    0.014  -0.006
 1634.0    0.014  -0.006
 1635.0    0.015  -0.007
 1636.0    0.015  -0.007
 1637.0    0.016  -0.007
 1638.0    0.016  -0.008
 1639.0    0.017  -0.008
 1640.0    0.017  -0.009
 1641.0    0.018  -0.009
 1642.0    0.018  -0.009
 1643.0    0.018  -0.010
 1644.0    0.019  -0.010
 1645.0    0.019  -0.011
 1646.0    0.020  -0.011
 1647.0    0.020  -0.012
 1648.0    0.020  -0.012
 1649.0    0.021  -0.013
 1650.0    0.021  -0.013
 1651.0    0.021  -0.014
 1652.0    0.022  -0.014
 1653.0    0.022  -0.015
 1654.0    0.022  -0.015
 1655.0    0.023  -0.016
 1656.0    0.023  -0.016
 1657.0    0.023  -0.017
 1658.0    0.024  -0.017
 1659.0    0.024  -0.018
 1660.0    0.024  -0.019
 1661.0    0.025  -0.019
 1662.0    0.025  -0.020
 1663.0    0.025  -0.021
 1664.0    0.026  -0.021
 1665.0    0.026  -0.022
 1666.0    0.026  -0.023
 1667.0    0.027  -0.023
 1668.0    0.027  -0.024
 1669.0    0.027  -0.025
 1670.0    0.028  -0.025
 1671.0    0.028  -0.026
 1672.0    0.028  -0.027
 1673.0    0.029  -0.028
 1674.0    0.029  -0.028
 1675.0    0.029  -0.029
 1676.0    0.030  -0.030
 1677.0    0.030  -0.031
 1678.0    0.030  -0.032
 1679.0    0.031  -0.033
