   W            M2-
 (MeV)      Re      Im
 1614.0    0.013   0.001
 1615.0    0.016   0.001
 1616.0    0.018   0.002
 1617.0    0.021   0.002
 1618.0    0.024   0.002
 1619.0    0.027   0.002
 1620.0    0.030   0.003
 1621.0    0.032   0.003
 1622.0    0.035   0.003
 1623.0    0.038   0.003
 1624.0    0.041   0.004
 1625.0    0.044   0.004
 1626.0    0.047   0.004
 1627.0    0.049   0.005
 1628.0    0.052   0.005
 1629.0    0.055   0.005
 1630.0    0.058   0.006
 1631.0    0.061   0.006
 1632.0    0.064   0.006
 1633.0    0.067   0.007
 1634.0    0.070   0.007
 1635.0    0.073   0.008
 1636.0    0.076   0.008
 1637.0    0.079   0.008
 1638.0    0.082   0.009
 1639.0    0.085   0.009
 1640.0    0.088   0.010
 1641.0    0.091   0.010
 1642.0    0.094   0.010
 1643.0    0.097   0.011
 1644.0    0.100   0.011
 1645.0    0.103   0.012
 1646.0    0.106   0.012
 1647.0    0.109   0.013
 1648.0    0.112   0.013
 1649.0    0.115   0.014
 1650.0    0.118   0.015
 1651.0    0.122   0.015
 1652.0    0.125   0.016
 1653.0    0.128   0.016
 1654.0    0.131   0.017
 1655.0    0.134   0.018
 1656.0    0.138   0.018
 1657.0    0.141   0.019
 1658.0    0.144   0.019
 1659.0    0.147   0.020
 1660.0    0.151   0.021
 1661.0    0.154   0.022
 1662.0    0.157   0.022
 1663.0    0.161   0.023
 1664.0    0.164   0.024
 1665.0    0.167   0.025
 1666.0    0.171   0.025
 1667.0    0.174   0.026
 1668.0    0.178   0.027
 1669.0    0.181   0.028
 1670.0    0.184   0.029
 1671.0    0.188   0.030
 1672.0    0.191   0.031
 1673.0    0.195   0.032
 1674.0    0.198   0.033
 1675.0    0.202   0.034
 1676.0    0.206   0.035
 1677.0    0.209   0.036
 1678.0    0.213   0.037
 1679.0    0.216   0.038
 1680.0    0.220   0.039
 1681.0    0.224   0.040
 1682.0    0.227   0.041
 1683.0    0.231   0.043
 1684.0    0.235   0.044
 1685.0    0.238   0.045
 1686.0    0.242   0.046
 1687.0    0.246   0.048
 1688.0    0.250   0.049
 1689.0    0.253   0.051
 1690.0    0.257   0.052
 1691.0    0.261   0.053
 1692.0    0.265   0.055
 1693.0    0.269   0.056
 1694.0    0.272   0.058
 1695.0    0.276   0.060
 1696.0    0.280   0.061
 1697.0    0.284   0.063
 1698.0    0.288   0.065
 1699.0    0.292   0.066
 1700.0    0.296   0.068
 1701.0    0.300   0.070
 1702.0    0.304   0.072
 1703.0    0.308   0.074
 1704.0    0.312   0.076
 1705.0    0.316   0.078
 1706.0    0.320   0.080
 1707.0    0.324   0.082
 1708.0    0.328   0.084
 1709.0    0.333   0.086
 1710.0    0.337   0.088
 1711.0    0.341   0.091
 1712.0    0.345   0.093
 1713.0    0.349   0.095
 1714.0    0.353   0.098
 1715.0    0.357   0.100
 1716.0    0.362   0.103
 1717.0    0.366   0.105
 1718.0    0.370   0.108
 1719.0    0.374   0.110
 1720.0    0.379   0.113
 1721.0    0.383   0.116
 1722.0    0.387   0.119
 1723.0    0.391   0.122
 1724.0    0.396   0.125
 1725.0    0.400   0.128
 1726.0    0.404   0.131
 1727.0    0.408   0.134
 1728.0    0.413   0.137
 1729.0    0.417   0.140
 1730.0    0.421   0.144
 1731.0    0.426   0.147
 1732.0    0.430   0.150
 1733.0    0.434   0.154
 1734.0    0.438   0.158
 1735.0    0.443   0.161
 1736.0    0.447   0.165
 1737.0    0.451   0.169
 1738.0    0.455   0.173
 1739.0    0.460   0.176
 1740.0    0.464   0.180
 1741.0    0.468   0.185
 1742.0    0.472   0.189
 1743.0    0.477   0.193
 1744.0    0.481   0.197
 1745.0    0.485   0.202
 1746.0    0.489   0.206
 1747.0    0.493   0.210
 1748.0    0.497   0.215
 1749.0    0.501   0.220
 1750.0    0.506   0.224
 1751.0    0.510   0.229
 1752.0    0.514   0.234
 1753.0    0.518   0.239
 1754.0    0.522   0.244
 1755.0    0.525   0.249
 1756.0    0.529   0.254
 1757.0    0.533   0.260
 1758.0    0.537   0.265
 1759.0    0.541   0.270
 1760.0    0.545   0.276
 1761.0    0.548   0.281
 1762.0    0.552   0.287
 1763.0    0.556   0.293
 1764.0    0.559   0.299
 1765.0    0.563   0.305
 1766.0    0.566   0.310
 1767.0    0.569   0.316
 1768.0    0.573   0.323
 1769.0    0.576   0.329
 1770.0    0.579   0.335
 1771.0    0.582   0.341
 1772.0    0.586   0.348
 1773.0    0.589   0.354
