   W            M3+
 (MeV)      Re      Im
 1614.0    0.000   0.000
 1615.0    0.000   0.000
 1616.0    0.000   0.000
 1617.0    0.000   0.000
 1618.0    0.000   0.000
 1619.0    0.000   0.000
 1620.0    0.000   0.000
 1621.0    0.000   0.000
 1622.0    0.000   0.000
 1623.0    0.000   0.000
 1624.0    0.000   0.000
 1625.0    0.000   0.000
 1626.0    0.000   0.000
 1627.0    0.000   0.000
 1628.0    0.000   0.000
 1629.0    0.000   0.000
 1630.0    0.000   0.000
 1631.0    0.000   0.000
 1632.0    0.000   0.000
 1633.0    0.000   0.000
 1634.0    0.000   0.000
 1635.0    0.000   0.000
 1636.0    0.000   0.000
 1637.0    0.000   0.000
 1638.0    0.000   0.000
 1639.0    0.000   0.000
 1640.0    0.000   0.000
 1641.0    0.000   0.000
 1642.0    0.000   0.000
 1643.0    0.000   0.000
 1644.0    0.000   0.000
 1645.0    0.000   0.000
 1646.0    0.000   0.000
 1647.0    0.000   0.000
 1648.0    0.000   0.000
 1649.0    0.000   0.000
 1650.0    0.000   0.000
 1651.0    0.000   0.000
 1652.0    0.000   0.000
 1653.0    0.000   0.000
 1654.0    0.000   0.000
 1655.0    0.000   0.000
 1656.0    0.000   0.000
 1657.0    0.000   0.000
 1658.0    0.000   0.000
 1659.0    0.000   0.000
 1660.0    0.000   0.000
 1661.0    0.000   0.000
 1662.0    0.000   0.000
 1663.0    0.000   0.000
 1664.0    0.000   0.000
 1665.0    0.000   0.000
 1666.0    0.000   0.000
 1667.0    0.000   0.000
 1668.0    0.000   0.000
 1669.0    0.000   0.000
 1670.0    0.000   0.000
 1671.0    0.000   0.000
 1672.0    0.000   0.000
 1673.0    0.000   0.000
 1674.0    0.000   0.000
 1675.0    0.000   0.000
 1676.0    0.000   0.000
 1677.0    0.000   0.000
 1678.0    0.000   0.000
 1679.0    0.000   0.000
 1680.0    0.000   0.000
 1681.0    0.000   0.000
 1682.0    0.000   0.000
 1683.0    0.000   0.000
 1684.0    0.000   0.000
 1685.0    0.000   0.000
 1686.0    0.000   0.000
 1687.0    0.000   0.000
 1688.0    0.000   0.000
 1689.0    0.000   0.000
 1690.0    0.000   0.000
 1691.0    0.000   0.000
 1692.0    0.000   0.000
 1693.0    0.000   0.000
 1694.0    0.000   0.000
 1695.0    0.000   0.000
 1696.0    0.000   0.000
 1697.0    0.000   0.000
 1698.0    0.000   0.000
 1699.0    0.000   0.000
 1700.0    0.000   0.000
 1701.0    0.000   0.000
 1702.0    0.000   0.000
 1703.0    0.000   0.000
 1704.0    0.000   0.000
 1705.0    0.000   0.000
 1706.0    0.000   0.000
 1707.0    0.000   0.000
 1708.0    0.000   0.000
 1709.0    0.000   0.000
 1710.0    0.000   0.000
 1711.0    0.000   0.000
 1712.0    0.000   0.000
 1713.0    0.000   0.000
 1714.0    0.000   0.000
 1715.0    0.000   0.000
 1716.0    0.000   0.000
 1717.0    0.000   0.000
 1718.0    0.000   0.000
 1719.0    0.000   0.000
 1720.0    0.000   0.000
 1721.0    0.000   0.000
 1722.0    0.000   0.000
 1723.0    0.000   0.000
 1724.0    0.000   0.000
 1725.0    0.000   0.000
 1726.0    0.000   0.000
