   W         M6+(pi+_n)
 (MeV)      Re         Im
 1074.0    0.000002  -0.000000
 1075.0    0.000002  -0.000000
 1076.0    0.000001  -0.000000
 1077.0    0.000001  -0.000000
 1078.0    0.000001  -0.000000
 1079.0    0.000000  -0.000000
 1080.0   -0.000000   0.000000
 1081.0   -0.000000   0.000000
 1082.0   -0.000001   0.000000
 1083.0   -0.000001   0.000000
 1084.0   -0.000001   0.000000
 1085.0   -0.000002   0.000000
 1086.0   -0.000003   0.000000
 1087.0   -0.000005   0.000000
 1088.0   -0.000006   0.000000
 1089.0   -0.000008   0.000000
 1090.0   -0.000009   0.000001
 1091.0   -0.000013   0.000001
 1092.0   -0.000016   0.000001
 1093.0   -0.000020   0.000001
 1094.0   -0.000023   0.000001
 1095.0   -0.000027   0.000002
 1096.0   -0.000033   0.000002
 1097.0   -0.000039   0.000003
 1098.0   -0.000045   0.000003
 1099.0   -0.000052   0.000003
 1100.0   -0.000058   0.000004
 1101.0   -0.000067   0.000004
 1102.0   -0.000076   0.000005
 1103.0   -0.000085   0.000005
 1104.0   -0.000094   0.000006
 1105.0   -0.000104   0.000007
 1106.0   -0.000116   0.000007
 1107.0   -0.000128   0.000008
 1108.0   -0.000141   0.000009
 1109.0   -0.000153   0.000010
 1110.0   -0.000166   0.000011
 1111.0   -0.000182   0.000012
 1112.0   -0.000198   0.000013
 1113.0   -0.000213   0.000014
 1114.0   -0.000229   0.000015
 1115.0   -0.000245   0.000016
 1116.0   -0.000265   0.000017
 1117.0   -0.000284   0.000018
 1118.0   -0.000303   0.000019
 1119.0   -0.000323   0.000021
 1120.0   -0.000342   0.000022
 1121.0   -0.000365   0.000023
 1122.0   -0.000388   0.000025
 1123.0   -0.000411   0.000026
 1124.0   -0.000434   0.000028
 1125.0   -0.000457   0.000029
 1126.0   -0.000483   0.000031
 1127.0   -0.000510   0.000032
 1128.0   -0.000536   0.000034
 1129.0   -0.000562   0.000036
 1130.0   -0.000589   0.000037
 1131.0   -0.000619   0.000039
 1132.0   -0.000648   0.000041
 1133.0   -0.000678   0.000043
 1134.0   -0.000708   0.000045
 1135.0   -0.000738   0.000047
 1136.0   -0.000771   0.000049
 1137.0   -0.000804   0.000051
 1138.0   -0.000837   0.000053
 1139.0   -0.000870   0.000055
 1140.0   -0.000903   0.000057
 1141.0   -0.000939   0.000060
 1142.0   -0.000976   0.000062
 1143.0   -0.001012   0.000064
 1144.0   -0.001048   0.000067
 1145.0   -0.001084   0.000069
 1146.0   -0.001123   0.000071
 1147.0   -0.001163   0.000074
 1148.0   -0.001202   0.000076
 1149.0   -0.001241   0.000079
 1150.0   -0.001280   0.000081
 1151.0   -0.001322   0.000084
 1152.0   -0.001364   0.000087
 1153.0   -0.001406   0.000089
 1154.0   -0.001448   0.000092
 1155.0   -0.001490   0.000095
 1156.0   -0.001535   0.000098
 1157.0   -0.001579   0.000100
 1158.0   -0.001624   0.000103
 1159.0   -0.001668   0.000106
 1160.0   -0.001713   0.000109
 1161.0   -0.001760   0.000112
 1162.0   -0.001807   0.000115
 1163.0   -0.001854   0.000118
 1164.0   -0.001901   0.000121
 1165.0   -0.001948   0.000124
 1166.0   -0.001997   0.000127
 1167.0   -0.002047   0.000130
 1168.0   -0.002096   0.000133
 1169.0   -0.002145   0.000136
 1170.0   -0.002195   0.000139
 1171.0   -0.002246   0.000143
 1172.0   -0.002297   0.000146
 1173.0   -0.002349   0.000149
 1174.0   -0.002400   0.000152
 1175.0   -0.002451   0.000156
 1176.0   -0.002505   0.000159
 1177.0   -0.002558   0.000162
 1178.0   -0.002611   0.000166
 1179.0   -0.002664   0.000169
 1180.0   -0.002718   0.000172
 1181.0   -0.002773   0.000176
 1182.0   -0.002828   0.000179
 1183.0   -0.002883   0.000183
 1184.0   -0.002938   0.000186
 1185.0   -0.002993   0.000190
 1186.0   -0.003049   0.000193
 1187.0   -0.003106   0.000197
 1188.0   -0.003162   0.000201
 1189.0   -0.003219   0.000204
 1190.0   -0.003275   0.000208
 1191.0   -0.003333   0.000211
 1192.0   -0.003391   0.000215
 1193.0   -0.003449   0.000219
 1194.0   -0.003507   0.000222
 1195.0   -0.003565   0.000226
 1196.0   -0.003624   0.000230
 1197.0   -0.003683   0.000233
 1198.0   -0.003742   0.000237
 1199.0   -0.003801   0.000241
 1200.0   -0.003860   0.000245
 1201.0   -0.003920   0.000248
 1202.0   -0.003981   0.000252
 1203.0   -0.004041   0.000256
 1204.0   -0.004101   0.000260
 1205.0   -0.004161   0.000264
 1206.0   -0.004222   0.000267
 1207.0   -0.004283   0.000271
 1208.0   -0.004345   0.000275
 1209.0   -0.004406   0.000279
 1210.0   -0.004467   0.000283
 1211.0   -0.004529   0.000287
 1212.0   -0.004591   0.000291
 1213.0   -0.004653   0.000295
 1214.0   -0.004714   0.000298
 1215.0   -0.004776   0.000302
 1216.0   -0.004839   0.000306
 1217.0   -0.004902   0.000310
 1218.0   -0.004964   0.000314
 1219.0   -0.005027   0.000318
 1220.0   -0.005089   0.000322
 1221.0   -0.005152   0.000326
 1222.0   -0.005215   0.000330
 1223.0   -0.005279   0.000334
 1224.0   -0.005342   0.000338
 1225.0   -0.005405   0.000342
 1226.0   -0.005468   0.000346
 1227.0   -0.005532   0.000350
 1228.0   -0.005595   0.000354
 1229.0   -0.005659   0.000358
 1230.0   -0.005723   0.000362
 1231.0   -0.005786   0.000366
 1232.0   -0.005850   0.000370
 1233.0   -0.005914   0.000374
 1234.0   -0.005978   0.000378
 1235.0   -0.006042   0.000382
 1236.0   -0.006106   0.000386
 1237.0   -0.006170   0.000390
 1238.0   -0.006234   0.000394
 1239.0   -0.006298   0.000398
 1240.0   -0.006362   0.000402
 1241.0   -0.006426   0.000406
 1242.0   -0.006491   0.000410
 1243.0   -0.006555   0.000414
 1244.0   -0.006619   0.000418
 1245.0   -0.006683   0.000422
 1246.0   -0.006747   0.000426
 1247.0   -0.006812   0.000430
 1248.0   -0.006876   0.000434
 1249.0   -0.006940   0.000438
 1250.0   -0.007004   0.000442
 1251.0   -0.007068   0.000446
 1252.0   -0.007133   0.000450
 1253.0   -0.007197   0.000454
 1254.0   -0.007261   0.000458
 1255.0   -0.007325   0.000462
 1256.0   -0.007389   0.000466
 1257.0   -0.007453   0.000470
 1258.0   -0.007517   0.000474
 1259.0   -0.007581   0.000478
 1260.0   -0.007645   0.000482
 1261.0   -0.007709   0.000486
 1262.0   -0.007773   0.000490
 1263.0   -0.007837   0.000493
 1264.0   -0.007901   0.000497
 1265.0   -0.007965   0.000501
 1266.0   -0.008028   0.000505
 1267.0   -0.008092   0.000509
 1268.0   -0.008155   0.000513
 1269.0   -0.008219   0.000517
 1270.0   -0.008283   0.000521
 1271.0   -0.008346   0.000525
 1272.0   -0.008409   0.000529
 1273.0   -0.008473   0.000533
 1274.0   -0.008536   0.000537
 1275.0   -0.008599   0.000541
 1276.0   -0.008662   0.000544
 1277.0   -0.008725   0.000548
 1278.0   -0.008788   0.000552
 1279.0   -0.008850   0.000556
 1280.0   -0.008913   0.000560
 1281.0   -0.008976   0.000564
 1282.0   -0.009038   0.000568
 1283.0   -0.009101   0.000571
 1284.0   -0.009163   0.000575
 1285.0   -0.009226   0.000579
 1286.0   -0.009288   0.000583
 1287.0   -0.009349   0.000587
 1288.0   -0.009411   0.000590
 1289.0   -0.009473   0.000594
 1290.0   -0.009535   0.000598
 1291.0   -0.009596   0.000602
 1292.0   -0.009658   0.000605
 1293.0   -0.009719   0.000609
 1294.0   -0.009781   0.000613
 1295.0   -0.009842   0.000617
 1296.0   -0.009903   0.000620
 1297.0   -0.009964   0.000624
 1298.0   -0.010025   0.000628
 1299.0   -0.010086   0.000631
 1300.0   -0.010147   0.000635
 1301.0   -0.010207   0.000639
 1302.0   -0.010267   0.000642
 1303.0   -0.010328   0.000646
 1304.0   -0.010388   0.000650
 1305.0   -0.010448   0.000653
 1306.0   -0.010508   0.000657
 1307.0   -0.010568   0.000660
 1308.0   -0.010627   0.000664
 1309.0   -0.010687   0.000668
 1310.0   -0.010746   0.000671
 1311.0   -0.010805   0.000675
 1312.0   -0.010864   0.000678
 1313.0   -0.010923   0.000682
 1314.0   -0.010982   0.000685
 1315.0   -0.011041   0.000689
 1316.0   -0.011099   0.000692
 1317.0   -0.011158   0.000696
 1318.0   -0.011216   0.000699
 1319.0   -0.011274   0.000703
 1320.0   -0.011332   0.000706
 1321.0   -0.011390   0.000710
 1322.0   -0.011448   0.000713
 1323.0   -0.011506   0.000717
 1324.0   -0.011564   0.000720
 1325.0   -0.011622   0.000724
 1326.0   -0.011678   0.000727
 1327.0   -0.011735   0.000730
 1328.0   -0.011792   0.000734
 1329.0   -0.011848   0.000737
 1330.0   -0.011905   0.000740
 1331.0   -0.011961   0.000743
 1332.0   -0.012017   0.000747
 1333.0   -0.012073   0.000750
 1334.0   -0.012129   0.000753
 1335.0   -0.012185   0.000757
 1336.0   -0.012241   0.000760
 1337.0   -0.012296   0.000763
 1338.0   -0.012351   0.000766
 1339.0   -0.012406   0.000769
 1340.0   -0.012462   0.000773
 1341.0   -0.012516   0.000776
 1342.0   -0.012571   0.000779
 1343.0   -0.012625   0.000782
 1344.0   -0.012680   0.000785
 1345.0   -0.012734   0.000788
 1346.0   -0.012788   0.000791
 1347.0   -0.012841   0.000794
 1348.0   -0.012895   0.000797
 1349.0   -0.012948   0.000800
 1350.0   -0.013002   0.000803
 1351.0   -0.013055   0.000806
 1352.0   -0.013108   0.000810
 1353.0   -0.013161   0.000813
 1354.0   -0.013214   0.000816
 1355.0   -0.013268   0.000819
 1356.0   -0.013320   0.000822
 1357.0   -0.013372   0.000825
 1358.0   -0.013424   0.000828
 1359.0   -0.013476   0.000831
 1360.0   -0.013528   0.000834
 1361.0   -0.013579   0.000837
 1362.0   -0.013630   0.000839
 1363.0   -0.013681   0.000842
 1364.0   -0.013733   0.000845
 1365.0   -0.013784   0.000848
 1366.0   -0.013834   0.000851
 1367.0   -0.013885   0.000854
 1368.0   -0.013935   0.000856
 1369.0   -0.013986   0.000859
 1370.0   -0.014036   0.000862
 1371.0   -0.014086   0.000865
 1372.0   -0.014135   0.000867
 1373.0   -0.014185   0.000870
 1374.0   -0.014234   0.000873
 1375.0   -0.014284   0.000875
 1376.0   -0.014333   0.000878
 1377.0   -0.014381   0.000881
 1378.0   -0.014430   0.000883
 1379.0   -0.014479   0.000886
 1380.0   -0.014527   0.000889
 1381.0   -0.014575   0.000891
 1382.0   -0.014623   0.000894
 1383.0   -0.014671   0.000896
 1384.0   -0.014719   0.000899
 1385.0   -0.014767   0.000901
 1386.0   -0.014814   0.000904
 1387.0   -0.014861   0.000906
 1388.0   -0.014908   0.000909
 1389.0   -0.014955   0.000911
 1390.0   -0.015002   0.000914
 1391.0   -0.015048   0.000916
 1392.0   -0.015094   0.000919
 1393.0   -0.015140   0.000921
 1394.0   -0.015186   0.000923
 1395.0   -0.015233   0.000926
 1396.0   -0.015278   0.000928
 1397.0   -0.015323   0.000930
 1398.0   -0.015369   0.000933
 1399.0   -0.015414   0.000935
 1400.0   -0.015459   0.000937
 1401.0   -0.015504   0.000939
 1402.0   -0.015548   0.000942
 1403.0   -0.015593   0.000944
 1404.0   -0.015637   0.000946
 1405.0   -0.015682   0.000948
 1406.0   -0.015725   0.000950
 1407.0   -0.015769   0.000953
 1408.0   -0.015813   0.000955
 1409.0   -0.015856   0.000957
 1410.0   -0.015900   0.000959
 1411.0   -0.015943   0.000961
 1412.0   -0.015986   0.000963
 1413.0   -0.016028   0.000965
 1414.0   -0.016071   0.000967
 1415.0   -0.016114   0.000969
 1416.0   -0.016156   0.000971
 1417.0   -0.016198   0.000973
 1418.0   -0.016240   0.000975
 1419.0   -0.016282   0.000977
 1420.0   -0.016324   0.000979
 1421.0   -0.016365   0.000981
 1422.0   -0.016406   0.000983
 1423.0   -0.016447   0.000985
 1424.0   -0.016488   0.000987
 1425.0   -0.016529   0.000988
 1426.0   -0.016570   0.000990
 1427.0   -0.016610   0.000992
 1428.0   -0.016650   0.000994
 1429.0   -0.016691   0.000996
 1430.0   -0.016731   0.000997
 1431.0   -0.016771   0.000999
 1432.0   -0.016810   0.001001
 1433.0   -0.016850   0.001003
 1434.0   -0.016890   0.001004
 1435.0   -0.016929   0.001006
 1436.0   -0.016968   0.001008
 1437.0   -0.017006   0.001009
 1438.0   -0.017044   0.001011
 1439.0   -0.017083   0.001012
 1440.0   -0.017121   0.001014
 1441.0   -0.017159   0.001015
 1442.0   -0.017197   0.001017
 1443.0   -0.017235   0.001018
 1444.0   -0.017273   0.001020
 1445.0   -0.017310   0.001021
 1446.0   -0.017348   0.001023
 1447.0   -0.017385   0.001024
 1448.0   -0.017422   0.001026
 1449.0   -0.017459   0.001027
 1450.0   -0.017496   0.001028
 1451.0   -0.017532   0.001030
 1452.0   -0.017568   0.001031
 1453.0   -0.017605   0.001032
 1454.0   -0.017641   0.001034
 1455.0   -0.017677   0.001035
 1456.0   -0.017713   0.001036
 1457.0   -0.017748   0.001037
 1458.0   -0.017783   0.001039
 1459.0   -0.017819   0.001040
 1460.0   -0.017854   0.001041
 1461.0   -0.017889   0.001042
 1462.0   -0.017924   0.001043
 1463.0   -0.017958   0.001045
 1464.0   -0.017993   0.001046
 1465.0   -0.018028   0.001047
 1466.0   -0.018062   0.001048
 1467.0   -0.018096   0.001049
 1468.0   -0.018129   0.001050
 1469.0   -0.018163   0.001051
 1470.0   -0.018197   0.001052
 1471.0   -0.018230   0.001053
 1472.0   -0.018264   0.001054
 1473.0   -0.018297   0.001055
 1474.0   -0.018330   0.001056
 1475.0   -0.018363   0.001057
 1476.0   -0.018395   0.001057
 1477.0   -0.018428   0.001058
 1478.0   -0.018460   0.001059
 1479.0   -0.018492   0.001060
 1480.0   -0.018525   0.001061
 1481.0   -0.018556   0.001061
 1482.0   -0.018588   0.001062
 1483.0   -0.018620   0.001063
 1484.0   -0.018651   0.001064
 1485.0   -0.018683   0.001064
 1486.0   -0.018714   0.001065
 1487.0   -0.018745   0.001066
 1488.0   -0.018776   0.001066
 1489.0   -0.018807   0.001067
 1490.0   -0.018837   0.001067
 1491.0   -0.018868   0.001068
 1492.0   -0.018898   0.001068
 1493.0   -0.018928   0.001069
 1494.0   -0.018958   0.001069
 1495.0   -0.018988   0.001070
 1496.0   -0.019018   0.001070
 1497.0   -0.019047   0.001071
 1498.0   -0.019077   0.001071
 1499.0   -0.019106   0.001072
 1500.0   -0.019135   0.001072
 1501.0   -0.019165   0.001073
 1502.0   -0.019194   0.001074
 1503.0   -0.019223   0.001075
 1504.0   -0.019252   0.001075
 1505.0   -0.019281   0.001076
 1506.0   -0.019309   0.001076
 1507.0   -0.019336   0.001075
 1508.0   -0.019364   0.001075
 1509.0   -0.019391   0.001075
 1510.0   -0.019419   0.001074
 1511.0   -0.019446   0.001074
 1512.0   -0.019473   0.001074
 1513.0   -0.019501   0.001075
 1514.0   -0.019528   0.001075
 1515.0   -0.019555   0.001075
 1516.0   -0.019582   0.001075
 1517.0   -0.019609   0.001075
 1518.0   -0.019635   0.001075
 1519.0   -0.019662   0.001075
 1520.0   -0.019688   0.001075
 1521.0   -0.019714   0.001075
 1522.0   -0.019740   0.001074
 1523.0   -0.019766   0.001074
 1524.0   -0.019792   0.001074
 1525.0   -0.019818   0.001074
 1526.0   -0.019843   0.001074
 1527.0   -0.019869   0.001073
 1528.0   -0.019894   0.001073
 1529.0   -0.019919   0.001073
 1530.0   -0.019944   0.001073
 1531.0   -0.019969   0.001072
 1532.0   -0.019994   0.001072
 1533.0   -0.020018   0.001072
 1534.0   -0.020043   0.001071
 1535.0   -0.020067   0.001071
 1536.0   -0.020091   0.001070
 1537.0   -0.020115   0.001070
 1538.0   -0.020139   0.001069
 1539.0   -0.020163   0.001069
 1540.0   -0.020187   0.001069
 1541.0   -0.020210   0.001068
 1542.0   -0.020234   0.001067
 1543.0   -0.020257   0.001067
 1544.0   -0.020280   0.001066
 1545.0   -0.020304   0.001066
 1546.0   -0.020326   0.001065
 1547.0   -0.020349   0.001064
 1548.0   -0.020372   0.001063
 1549.0   -0.020394   0.001063
 1550.0   -0.020417   0.001062
 1551.0   -0.020439   0.001061
 1552.0   -0.020461   0.001060
 1553.0   -0.020483   0.001059
 1554.0   -0.020505   0.001059
 1555.0   -0.020527   0.001058
 1556.0   -0.020548   0.001057
 1557.0   -0.020570   0.001056
 1558.0   -0.020591   0.001055
 1559.0   -0.020612   0.001054
 1560.0   -0.020634   0.001053
 1561.0   -0.020655   0.001052
 1562.0   -0.020675   0.001051
 1563.0   -0.020696   0.001050
 1564.0   -0.020717   0.001049
 1565.0   -0.020738   0.001048
 1566.0   -0.020758   0.001047
 1567.0   -0.020778   0.001045
 1568.0   -0.020798   0.001044
 1569.0   -0.020818   0.001043
 1570.0   -0.020839   0.001042
 1571.0   -0.020858   0.001040
 1572.0   -0.020878   0.001039
 1573.0   -0.020897   0.001038
 1574.0   -0.020917   0.001037
 1575.0   -0.020936   0.001035
 1576.0   -0.020955   0.001034
 1577.0   -0.020974   0.001032
 1578.0   -0.020993   0.001031
 1579.0   -0.021012   0.001030
 1580.0   -0.021031   0.001028
 1581.0   -0.021050   0.001027
 1582.0   -0.021068   0.001025
 1583.0   -0.021086   0.001023
 1584.0   -0.021105   0.001022
 1585.0   -0.021123   0.001020
 1586.0   -0.021141   0.001019
 1587.0   -0.021159   0.001017
 1588.0   -0.021177   0.001015
 1589.0   -0.021194   0.001014
 1590.0   -0.021212   0.001012
 1591.0   -0.021230   0.001010
 1592.0   -0.021247   0.001008
 1593.0   -0.021264   0.001007
 1594.0   -0.021281   0.001005
 1595.0   -0.021298   0.001003
 1596.0   -0.021315   0.001001
 1597.0   -0.021332   0.000999
 1598.0   -0.021348   0.000997
 1599.0   -0.021365   0.000995
 1600.0   -0.021382   0.000993
 1601.0   -0.021398   0.000991
 1602.0   -0.021415   0.000989
 1603.0   -0.021431   0.000987
 1604.0   -0.021448   0.000985
 1605.0   -0.021464   0.000983
 1606.0   -0.021479   0.000981
 1607.0   -0.021495   0.000979
 1608.0   -0.021510   0.000977
 1609.0   -0.021525   0.000975
 1610.0   -0.021541   0.000972
 1611.0   -0.021556   0.000970
 1612.0   -0.021571   0.000968
 1613.0   -0.021586   0.000965
 1614.0   -0.021601   0.000963
 1615.0   -0.021616   0.000961
 1616.0   -0.021630   0.000958
 1617.0   -0.021645   0.000956
 1618.0   -0.021659   0.000954
 1619.0   -0.021674   0.000951
 1620.0   -0.021688   0.000949
 1621.0   -0.021702   0.000946
 1622.0   -0.021716   0.000944
 1623.0   -0.021730   0.000941
 1624.0   -0.021744   0.000939
 1625.0   -0.021758   0.000936
 1626.0   -0.021771   0.000933
 1627.0   -0.021785   0.000931
 1628.0   -0.021798   0.000928
 1629.0   -0.021812   0.000925
 1630.0   -0.021825   0.000923
 1631.0   -0.021838   0.000920
 1632.0   -0.021851   0.000917
 1633.0   -0.021864   0.000914
 1634.0   -0.021877   0.000912
 1635.0   -0.021889   0.000909
 1636.0   -0.021902   0.000906
 1637.0   -0.021914   0.000903
 1638.0   -0.021927   0.000900
 1639.0   -0.021939   0.000897
 1640.0   -0.021951   0.000894
 1641.0   -0.021963   0.000891
 1642.0   -0.021975   0.000888
 1643.0   -0.021987   0.000885
 1644.0   -0.021999   0.000882
 1645.0   -0.022011   0.000879
 1646.0   -0.022022   0.000876
 1647.0   -0.022034   0.000873
 1648.0   -0.022045   0.000870
 1649.0   -0.022056   0.000867
 1650.0   -0.022068   0.000864
 1651.0   -0.022079   0.000860
 1652.0   -0.022089   0.000857
 1653.0   -0.022100   0.000854
 1654.0   -0.022111   0.000850
 1655.0   -0.022122   0.000847
 1656.0   -0.022133   0.000844
 1657.0   -0.022143   0.000840
 1658.0   -0.022153   0.000837
 1659.0   -0.022164   0.000834
 1660.0   -0.022174   0.000830
 1661.0   -0.022184   0.000827
 1662.0   -0.022194   0.000823
 1663.0   -0.022204   0.000820
 1664.0   -0.022214   0.000816
 1665.0   -0.022224   0.000813
 1666.0   -0.022233   0.000809
 1667.0   -0.022242   0.000806
 1668.0   -0.022252   0.000802
 1669.0   -0.022261   0.000798
 1670.0   -0.022271   0.000795
 1671.0   -0.022280   0.000791
 1672.0   -0.022289   0.000787
 1673.0   -0.022297   0.000783
 1674.0   -0.022306   0.000780
 1675.0   -0.022315   0.000776
 1676.0   -0.022324   0.000772
 1677.0   -0.022332   0.000768
 1678.0   -0.022341   0.000764
 1679.0   -0.022349   0.000761
 1680.0   -0.022358   0.000757
 1681.0   -0.022366   0.000753
 1682.0   -0.022374   0.000749
 1683.0   -0.022382   0.000745
