   W         E6-(pi+_n)
 (MeV)      Re         Im
 1080.0    0.000000  -0.000000
 1081.0    0.000003  -0.000000
 1082.0    0.000006  -0.000000
 1083.0    0.000010  -0.000001
 1084.0    0.000013  -0.000001
 1085.0    0.000016  -0.000001
 1086.0    0.000032  -0.000002
 1087.0    0.000047  -0.000003
 1088.0    0.000062  -0.000003
 1089.0    0.000078  -0.000004
 1090.0    0.000093  -0.000005
 1091.0    0.000128  -0.000007
 1092.0    0.000162  -0.000009
 1093.0    0.000197  -0.000011
 1094.0    0.000231  -0.000013
 1095.0    0.000266  -0.000014
 1096.0    0.000323  -0.000018
 1097.0    0.000381  -0.000021
 1098.0    0.000438  -0.000024
 1099.0    0.000496  -0.000027
 1100.0    0.000553  -0.000030
 1101.0    0.000636  -0.000035
 1102.0    0.000719  -0.000039
 1103.0    0.000801  -0.000044
 1104.0    0.000884  -0.000048
 1105.0    0.000967  -0.000053
 1106.0    0.001075  -0.000058
 1107.0    0.001184  -0.000064
 1108.0    0.001292  -0.000070
 1109.0    0.001401  -0.000076
 1110.0    0.001510  -0.000082
 1111.0    0.001644  -0.000089
 1112.0    0.001778  -0.000097
 1113.0    0.001912  -0.000104
 1114.0    0.002046  -0.000111
 1115.0    0.002180  -0.000118
 1116.0    0.002339  -0.000127
 1117.0    0.002498  -0.000136
 1118.0    0.002657  -0.000144
 1119.0    0.002815  -0.000153
 1120.0    0.002974  -0.000162
 1121.0    0.003156  -0.000171
 1122.0    0.003338  -0.000181
 1123.0    0.003520  -0.000191
 1124.0    0.003702  -0.000201
 1125.0    0.003884  -0.000211
 1126.0    0.004087  -0.000222
 1127.0    0.004290  -0.000233
 1128.0    0.004493  -0.000244
 1129.0    0.004697  -0.000255
 1130.0    0.004900  -0.000266
 1131.0    0.005123  -0.000278
 1132.0    0.005345  -0.000290
 1133.0    0.005568  -0.000303
 1134.0    0.005791  -0.000315
 1135.0    0.006014  -0.000327
 1136.0    0.006254  -0.000340
 1137.0    0.006494  -0.000353
 1138.0    0.006734  -0.000366
 1139.0    0.006974  -0.000379
 1140.0    0.007214  -0.000392
 1141.0    0.007470  -0.000406
 1142.0    0.007726  -0.000420
 1143.0    0.007981  -0.000434
 1144.0    0.008237  -0.000448
 1145.0    0.008493  -0.000461
 1146.0    0.008762  -0.000476
 1147.0    0.009031  -0.000491
 1148.0    0.009300  -0.000505
 1149.0    0.009569  -0.000520
 1150.0    0.009838  -0.000534
 1151.0    0.010119  -0.000550
 1152.0    0.010399  -0.000565
 1153.0    0.010680  -0.000580
 1154.0    0.010961  -0.000595
 1155.0    0.011241  -0.000611
 1156.0    0.011532  -0.000626
 1157.0    0.011822  -0.000642
 1158.0    0.012112  -0.000658
 1159.0    0.012403  -0.000674
 1160.0    0.012693  -0.000690
 1161.0    0.012992  -0.000706
 1162.0    0.013290  -0.000722
 1163.0    0.013589  -0.000738
 1164.0    0.013887  -0.000754
 1165.0    0.014185  -0.000771
 1166.0    0.014490  -0.000787
 1167.0    0.014795  -0.000804
 1168.0    0.015100  -0.000820
 1169.0    0.015405  -0.000837
 1170.0    0.015710  -0.000853
 1171.0    0.016020  -0.000870
 1172.0    0.016330  -0.000887
 1173.0    0.016640  -0.000904
 1174.0    0.016950  -0.000921
 1175.0    0.017259  -0.000938
 1176.0    0.017573  -0.000955
 1177.0    0.017887  -0.000972
 1178.0    0.018200  -0.000989
 1179.0    0.018514  -0.001006
 1180.0    0.018827  -0.001023
 1181.0    0.019143  -0.001040
 1182.0    0.019459  -0.001057
 1183.0    0.019775  -0.001074
 1184.0    0.020091  -0.001091
 1185.0    0.020407  -0.001109
 1186.0    0.020724  -0.001126
 1187.0    0.021041  -0.001143
 1188.0    0.021358  -0.001160
 1189.0    0.021676  -0.001178
 1190.0    0.021993  -0.001195
 1191.0    0.022310  -0.001212
 1192.0    0.022628  -0.001229
 1193.0    0.022945  -0.001247
 1194.0    0.023263  -0.001264
 1195.0    0.023580  -0.001281
 1196.0    0.023897  -0.001298
 1197.0    0.024214  -0.001315
 1198.0    0.024530  -0.001333
 1199.0    0.024847  -0.001350
 1200.0    0.025164  -0.001367
 1201.0    0.025479  -0.001384
 1202.0    0.025795  -0.001401
 1203.0    0.026110  -0.001419
 1204.0    0.026425  -0.001436
 1205.0    0.026740  -0.001453
 1206.0    0.027053  -0.001470
 1207.0    0.027367  -0.001487
 1208.0    0.027680  -0.001504
 1209.0    0.027993  -0.001521
 1210.0    0.028306  -0.001538
 1211.0    0.028616  -0.001555
 1212.0    0.028926  -0.001572
 1213.0    0.029236  -0.001588
 1214.0    0.029546  -0.001605
 1215.0    0.029857  -0.001622
 1216.0    0.030163  -0.001639
 1217.0    0.030470  -0.001655
 1218.0    0.030777  -0.001672
 1219.0    0.031084  -0.001689
 1220.0    0.031390  -0.001705
 1221.0    0.031693  -0.001722
 1222.0    0.031996  -0.001738
 1223.0    0.032299  -0.001755
 1224.0    0.032601  -0.001771
 1225.0    0.032904  -0.001788
 1226.0    0.033202  -0.001804
 1227.0    0.033501  -0.001820
 1228.0    0.033799  -0.001836
 1229.0    0.034097  -0.001853
 1230.0    0.034396  -0.001869
 1231.0    0.034689  -0.001885
 1232.0    0.034983  -0.001901
 1233.0    0.035277  -0.001917
 1234.0    0.035570  -0.001933
 1235.0    0.035864  -0.001949
 1236.0    0.036152  -0.001964
 1237.0    0.036440  -0.001980
 1238.0    0.036729  -0.001996
 1239.0    0.037017  -0.002011
 1240.0    0.037306  -0.002027
 1241.0    0.037589  -0.002042
 1242.0    0.037872  -0.002058
 1243.0    0.038155  -0.002073
 1244.0    0.038438  -0.002089
 1245.0    0.038721  -0.002104
 1246.0    0.038998  -0.002119
 1247.0    0.039276  -0.002134
 1248.0    0.039553  -0.002149
 1249.0    0.039830  -0.002164
 1250.0    0.040108  -0.002179
 1251.0    0.040379  -0.002194
 1252.0    0.040651  -0.002209
 1253.0    0.040922  -0.002224
 1254.0    0.041194  -0.002239
 1255.0    0.041465  -0.002253
 1256.0    0.041731  -0.002268
 1257.0    0.041996  -0.002282
 1258.0    0.042262  -0.002297
 1259.0    0.042528  -0.002311
 1260.0    0.042793  -0.002326
 1261.0    0.043052  -0.002340
 1262.0    0.043312  -0.002354
 1263.0    0.043571  -0.002368
 1264.0    0.043831  -0.002382
 1265.0    0.044090  -0.002396
 1266.0    0.044343  -0.002410
 1267.0    0.044596  -0.002424
 1268.0    0.044850  -0.002438
 1269.0    0.045103  -0.002451
 1270.0    0.045356  -0.002465
 1271.0    0.045603  -0.002479
 1272.0    0.045849  -0.002492
 1273.0    0.046096  -0.002505
 1274.0    0.046343  -0.002519
 1275.0    0.046590  -0.002532
 1276.0    0.046830  -0.002545
 1277.0    0.047071  -0.002559
 1278.0    0.047311  -0.002572
 1279.0    0.047552  -0.002585
 1280.0    0.047793  -0.002598
 1281.0    0.048027  -0.002611
 1282.0    0.048261  -0.002624
 1283.0    0.048495  -0.002636
 1284.0    0.048729  -0.002649
 1285.0    0.048963  -0.002662
 1286.0    0.049191  -0.002675
 1287.0    0.049419  -0.002687
 1288.0    0.049647  -0.002700
 1289.0    0.049874  -0.002712
 1290.0    0.050102  -0.002725
 1291.0    0.050324  -0.002737
 1292.0    0.050545  -0.002749
 1293.0    0.050766  -0.002761
 1294.0    0.050987  -0.002773
 1295.0    0.051208  -0.002785
 1296.0    0.051423  -0.002797
 1297.0    0.051638  -0.002809
 1298.0    0.051853  -0.002820
 1299.0    0.052068  -0.002832
 1300.0    0.052283  -0.002844
 1301.0    0.052492  -0.002855
 1302.0    0.052701  -0.002867
 1303.0    0.052909  -0.002878
 1304.0    0.053118  -0.002890
 1305.0    0.053327  -0.002901
 1306.0    0.053529  -0.002912
 1307.0    0.053731  -0.002924
 1308.0    0.053934  -0.002935
 1309.0    0.054136  -0.002946
 1310.0    0.054339  -0.002957
 1311.0    0.054535  -0.002968
 1312.0    0.054731  -0.002979
 1313.0    0.054927  -0.002989
 1314.0    0.055123  -0.003000
 1315.0    0.055319  -0.003011
 1316.0    0.055510  -0.003021
 1317.0    0.055700  -0.003032
 1318.0    0.055890  -0.003043
 1319.0    0.056080  -0.003053
 1320.0    0.056270  -0.003064
 1321.0    0.056454  -0.003074
 1322.0    0.056637  -0.003084
 1323.0    0.056821  -0.003094
 1324.0    0.057005  -0.003104
 1325.0    0.057189  -0.003114
 1326.0    0.057367  -0.003124
 1327.0    0.057545  -0.003134
 1328.0    0.057723  -0.003144
 1329.0    0.057901  -0.003154
 1330.0    0.058079  -0.003164
 1331.0    0.058251  -0.003173
 1332.0    0.058423  -0.003183
 1333.0    0.058596  -0.003192
 1334.0    0.058768  -0.003202
 1335.0    0.058940  -0.003212
 1336.0    0.059106  -0.003221
 1337.0    0.059272  -0.003230
 1338.0    0.059439  -0.003239
 1339.0    0.059605  -0.003249
 1340.0    0.059771  -0.003258
 1341.0    0.059932  -0.003267
 1342.0    0.060092  -0.003276
 1343.0    0.060253  -0.003285
 1344.0    0.060414  -0.003294
 1345.0    0.060574  -0.003303
 1346.0    0.060729  -0.003312
 1347.0    0.060885  -0.003321
 1348.0    0.061040  -0.003330
 1349.0    0.061195  -0.003339
 1350.0    0.061350  -0.003347
 1351.0    0.061499  -0.003356
 1352.0    0.061649  -0.003364
 1353.0    0.061798  -0.003372
 1354.0    0.061947  -0.003381
 1355.0    0.062096  -0.003389
 1356.0    0.062240  -0.003397
 1357.0    0.062385  -0.003405
 1358.0    0.062529  -0.003414
 1359.0    0.062673  -0.003422
 1360.0    0.062817  -0.003430
 1361.0    0.062956  -0.003438
 1362.0    0.063095  -0.003446
 1363.0    0.063233  -0.003454
 1364.0    0.063372  -0.003462
 1365.0    0.063511  -0.003470
 1366.0    0.063645  -0.003478
 1367.0    0.063778  -0.003485
 1368.0    0.063912  -0.003493
 1369.0    0.064046  -0.003501
 1370.0    0.064179  -0.003508
 1371.0    0.064308  -0.003516
 1372.0    0.064437  -0.003523
 1373.0    0.064565  -0.003531
 1374.0    0.064694  -0.003538
 1375.0    0.064822  -0.003546
 1376.0    0.064946  -0.003553
 1377.0    0.065070  -0.003560
 1378.0    0.065193  -0.003567
 1379.0    0.065317  -0.003575
 1380.0    0.065441  -0.003582
 1381.0    0.065559  -0.003589
 1382.0    0.065678  -0.003596
 1383.0    0.065797  -0.003603
 1384.0    0.065916  -0.003610
 1385.0    0.066035  -0.003617
 1386.0    0.066149  -0.003624
 1387.0    0.066263  -0.003631
 1388.0    0.066377  -0.003637
 1389.0    0.066491  -0.003644
 1390.0    0.066605  -0.003651
 1391.0    0.066715  -0.003658
 1392.0    0.066824  -0.003664
 1393.0    0.066934  -0.003671
 1394.0    0.067043  -0.003677
 1395.0    0.067153  -0.003684
 1396.0    0.067258  -0.003690
 1397.0    0.067363  -0.003697
 1398.0    0.067468  -0.003703
 1399.0    0.067573  -0.003710
 1400.0    0.067678  -0.003716
 1401.0    0.067778  -0.003722
 1402.0    0.067879  -0.003728
 1403.0    0.067980  -0.003735
 1404.0    0.068080  -0.003741
 1405.0    0.068181  -0.003747
 1406.0    0.068277  -0.003753
 1407.0    0.068374  -0.003759
 1408.0    0.068470  -0.003765
 1409.0    0.068566  -0.003771
 1410.0    0.068663  -0.003777
 1411.0    0.068755  -0.003783
 1412.0    0.068847  -0.003789
 1413.0    0.068939  -0.003795
 1414.0    0.069031  -0.003800
 1415.0    0.069123  -0.003806
 1416.0    0.069211  -0.003812
 1417.0    0.069300  -0.003818
 1418.0    0.069388  -0.003823
 1419.0    0.069476  -0.003829
 1420.0    0.069564  -0.003835
 1421.0    0.069648  -0.003840
 1422.0    0.069732  -0.003846
 1423.0    0.069816  -0.003851
 1424.0    0.069900  -0.003857
 1425.0    0.069985  -0.003862
 1426.0    0.070065  -0.003868
 1427.0    0.070145  -0.003873
 1428.0    0.070225  -0.003878
 1429.0    0.070306  -0.003884
 1430.0    0.070386  -0.003889
 1431.0    0.070463  -0.003894
 1432.0    0.070539  -0.003899
 1433.0    0.070616  -0.003904
 1434.0    0.070692  -0.003910
 1435.0    0.070769  -0.003915
 1436.0    0.070842  -0.003920
 1437.0    0.070915  -0.003925
 1438.0    0.070988  -0.003930
 1439.0    0.071061  -0.003935
 1440.0    0.071134  -0.003941
 1441.0    0.071203  -0.003946
 1442.0    0.071273  -0.003950
 1443.0    0.071342  -0.003955
 1444.0    0.071411  -0.003960
 1445.0    0.071481  -0.003965
 1446.0    0.071547  -0.003970
 1447.0    0.071613  -0.003975
 1448.0    0.071678  -0.003979
