   W         E8+(pi+_n)
 (MeV)      Re         Im
 1081.0    0.000000  -0.000000
 1082.0    0.000000  -0.000000
 1083.0    0.000000  -0.000000
 1084.0    0.000000  -0.000000
 1085.0    0.000000  -0.000000
 1086.0    0.000000  -0.000000
 1087.0    0.000001  -0.000000
 1088.0    0.000001  -0.000000
 1089.0    0.000001  -0.000000
 1090.0    0.000001  -0.000000
 1091.0    0.000002  -0.000000
 1092.0    0.000002  -0.000000
 1093.0    0.000003  -0.000000
 1094.0    0.000004  -0.000000
 1095.0    0.000005  -0.000000
 1096.0    0.000006  -0.000000
 1097.0    0.000008  -0.000000
 1098.0    0.000009  -0.000000
 1099.0    0.000011  -0.000001
 1100.0    0.000012  -0.000001
 1101.0    0.000015  -0.000001
 1102.0    0.000018  -0.000001
 1103.0    0.000021  -0.000001
 1104.0    0.000023  -0.000001
 1105.0    0.000026  -0.000001
 1106.0    0.000030  -0.000002
 1107.0    0.000035  -0.000002
 1108.0    0.000039  -0.000002
 1109.0    0.000043  -0.000002
 1110.0    0.000048  -0.000003
 1111.0    0.000054  -0.000003
 1112.0    0.000060  -0.000003
 1113.0    0.000066  -0.000004
 1114.0    0.000073  -0.000004
 1115.0    0.000079  -0.000004
 1116.0    0.000087  -0.000005
 1117.0    0.000095  -0.000005
 1118.0    0.000104  -0.000006
 1119.0    0.000112  -0.000006
 1120.0    0.000120  -0.000007
 1121.0    0.000131  -0.000007
 1122.0    0.000142  -0.000008
 1123.0    0.000152  -0.000008
 1124.0    0.000163  -0.000009
 1125.0    0.000174  -0.000009
 1126.0    0.000187  -0.000010
 1127.0    0.000200  -0.000011
 1128.0    0.000213  -0.000012
 1129.0    0.000226  -0.000012
 1130.0    0.000239  -0.000013
 1131.0    0.000254  -0.000014
 1132.0    0.000270  -0.000015
 1133.0    0.000286  -0.000016
 1134.0    0.000301  -0.000016
 1135.0    0.000317  -0.000017
 1136.0    0.000335  -0.000018
 1137.0    0.000353  -0.000019
 1138.0    0.000371  -0.000020
 1139.0    0.000389  -0.000021
 1140.0    0.000408  -0.000022
 1141.0    0.000428  -0.000023
 1142.0    0.000449  -0.000024
 1143.0    0.000470  -0.000026
 1144.0    0.000490  -0.000027
 1145.0    0.000511  -0.000028
 1146.0    0.000534  -0.000029
 1147.0    0.000558  -0.000030
 1148.0    0.000581  -0.000032
 1149.0    0.000604  -0.000033
 1150.0    0.000627  -0.000034
 1151.0    0.000653  -0.000035
 1152.0    0.000679  -0.000037
 1153.0    0.000704  -0.000038
 1154.0    0.000730  -0.000040
 1155.0    0.000756  -0.000041
 1156.0    0.000784  -0.000043
 1157.0    0.000812  -0.000044
 1158.0    0.000840  -0.000046
 1159.0    0.000868  -0.000047
 1160.0    0.000896  -0.000049
 1161.0    0.000926  -0.000050
 1162.0    0.000957  -0.000052
 1163.0    0.000987  -0.000054
 1164.0    0.001017  -0.000055
 1165.0    0.001048  -0.000057
 1166.0    0.001080  -0.000059
 1167.0    0.001113  -0.000060
 1168.0    0.001145  -0.000062
 1169.0    0.001178  -0.000064
 1170.0    0.001210  -0.000066
 1171.0    0.001245  -0.000068
 1172.0    0.001279  -0.000069
 1173.0    0.001313  -0.000071
 1174.0    0.001348  -0.000073
 1175.0    0.001382  -0.000075
 1176.0    0.001419  -0.000077
 1177.0    0.001455  -0.000079
 1178.0    0.001492  -0.000081
 1179.0    0.001528  -0.000083
 1180.0    0.001564  -0.000085
 1181.0    0.001602  -0.000087
 1182.0    0.001640  -0.000089
 1183.0    0.001679  -0.000091
 1184.0    0.001717  -0.000093
