   W          E0+(pi+_n)
 (MeV)       Re        Im
 1080.00   28.10229   0.29345
 1081.00   27.91955   0.39421
 1082.00   27.73898   0.47118
 1083.00   27.56050   0.53542
 1084.00   27.38416   0.59130
 1085.00   27.20998   0.64113
 1086.00   27.03793   0.68628
 1087.00   26.86792   0.72768
 1088.00   26.69988   0.76596
 1089.00   26.53378   0.80159
 1090.00   26.36956   0.83492
 1091.00   26.20577   0.86946
 1092.00   26.04514   0.89739
 1093.00   25.88730   0.91957
 1094.00   25.73192   0.93681
 1095.00   25.57872   0.94994
 1096.00   25.42739   0.95975
 1097.00   25.27770   0.96701
 1098.00   25.12939   0.97250
 1099.00   24.98222   0.97696
 1100.00   24.83598   0.98113
 1101.00   24.69050   0.98560
 1102.00   24.54582   0.99036
 1103.00   24.40203   0.99526
 1104.00   24.25923   1.00016
 1105.00   24.11752   1.00493
 1106.00   23.97702   1.00944
 1107.00   23.83783   1.01355
 1108.00   23.70005   1.01716
 1109.00   23.56378   1.02014
 1110.00   23.42911   1.02236
 1111.00   23.29612   1.02376
 1112.00   23.16478   1.02437
 1113.00   23.03505   1.02425
 1114.00   22.90691   1.02348
 1115.00   22.78030   1.02213
 1116.00   22.65518   1.02026
 1117.00   22.53150   1.01793
 1118.00   22.40924   1.01521
 1119.00   22.28833   1.01215
 1120.00   22.16873   1.00882
 1121.00   22.05041   1.00526
 1122.00   21.93336   1.00150
 1123.00   21.81756   0.99751
 1124.00   21.70302   0.99332
 1125.00   21.58972   0.98891
 1126.00   21.47767   0.98430
 1127.00   21.36686   0.97947
 1128.00   21.25727   0.97443
 1129.00   21.14892   0.96918
 1130.00   21.04178   0.96372
 1131.00   20.93587   0.95805
 1132.00   20.83114   0.95219
 1133.00   20.72759   0.94615
 1134.00   20.62519   0.93995
 1135.00   20.52392   0.93361
 1136.00   20.42375   0.92715
 1137.00   20.32467   0.92057
 1138.00   20.22664   0.91389
 1139.00   20.12965   0.90713
