   W          E2-(pi+_n)
 (MeV)       Re        Im
 1080.00    0.61905   0.00070
 1081.00    0.70361   0.00082
 1082.00    0.78651   0.00095
 1083.00    0.86777   0.00108
 1084.00    0.94745   0.00121
 1085.00    1.02558   0.00135
 1086.00    1.10219   0.00149
 1087.00    1.17733   0.00163
 1088.00    1.25102   0.00179
 1089.00    1.32331   0.00194
 1090.00    1.39421   0.00210
 1091.00    1.46378   0.00227
 1092.00    1.53203   0.00244
 1093.00    1.59899   0.00262
 1094.00    1.66470   0.00280
 1095.00    1.72919   0.00298
 1096.00    1.79248   0.00318
 1097.00    1.85459   0.00337
 1098.00    1.91557   0.00358
 1099.00    1.97542   0.00379
 1100.00    2.03418   0.00400
 1101.00    2.09187   0.00422
 1102.00    2.14851   0.00445
 1103.00    2.20413   0.00468
 1104.00    2.25874   0.00492
 1105.00    2.31238   0.00517
 1106.00    2.36506   0.00542
 1107.00    2.41681   0.00567
 1108.00    2.46763   0.00594
 1109.00    2.51756   0.00621
 1110.00    2.56661   0.00649
 1111.00    2.61479   0.00677
 1112.00    2.66214   0.00706
 1113.00    2.70866   0.00736
 1114.00    2.75438   0.00766
 1115.00    2.79931   0.00798
 1116.00    2.84346   0.00829
 1117.00    2.88686   0.00862
 1118.00    2.92951   0.00896
 1119.00    2.97144   0.00930
 1120.00    3.01265   0.00965
 1121.00    3.05317   0.01000
 1122.00    3.09301   0.01037
 1123.00    3.13218   0.01074
 1124.00    3.17069   0.01112
 1125.00    3.20856   0.01151
 1126.00    3.24580   0.01191
 1127.00    3.28243   0.01231
 1128.00    3.31845   0.01273
 1129.00    3.35388   0.01315
 1130.00    3.38873   0.01358
 1131.00    3.42301   0.01402
 1132.00    3.45673   0.01447
 1133.00    3.48991   0.01493
 1134.00    3.52255   0.01539
 1135.00    3.55467   0.01587
 1136.00    3.58627   0.01636
 1137.00    3.61737   0.01685
 1138.00    3.64797   0.01736
 1139.00    3.67809   0.01787
 1140.00    3.70773   0.01840
 1141.00    3.73691   0.01893
 1142.00    3.76563   0.01947
 1143.00    3.79390   0.02003
 1144.00    3.82173   0.02059
 1145.00    3.84913   0.02117
 1146.00    3.87611   0.02175
 1147.00    3.90267   0.02235
 1148.00    3.92883   0.02296
 1149.00    3.95458   0.02358
 1150.00    3.97995   0.02421
 1151.00    4.00493   0.02485
 1152.00    4.02953   0.02550
 1153.00    4.05376   0.02616
 1154.00    4.07764   0.02684
 1155.00    4.10115   0.02752
 1156.00    4.12432   0.02822
 1157.00    4.14715   0.02893
 1158.00    4.16964   0.02965
 1159.00    4.19180   0.03039
 1160.00    4.21364   0.03114
 1161.00    4.23516   0.03190
 1162.00    4.25637   0.03267
 1163.00    4.27727   0.03345
 1164.00    4.29788   0.03425
 1165.00    4.31819   0.03506
 1166.00    4.33821   0.03589
 1167.00    4.35796   0.03673
 1168.00    4.37742   0.03758
 1169.00    4.39661   0.03844
 1170.00    4.41554   0.03932
 1171.00    4.43420   0.04022
 1172.00    4.45261   0.04112
 1173.00    4.47076   0.04204
 1174.00    4.48867   0.04298
 1175.00    4.50634   0.04393
 1176.00    4.52377   0.04490
 1177.00    4.54096   0.04588
 1178.00    4.55793   0.04688
 1179.00    4.57467   0.04789
 1180.00    4.59119   0.04891
 1181.00    4.60750   0.04996
 1182.00    4.62359   0.05102
 1183.00    4.63948   0.05209
 1184.00    4.65516   0.05318
 1185.00    4.67065   0.05429
 1186.00    4.68594   0.05541
 1187.00    4.70103   0.05655
 1188.00    4.71594   0.05771
 1189.00    4.73066   0.05889
 1190.00    4.74521   0.06008
 1191.00    4.75957   0.06129
 1192.00    4.77376   0.06252
 1193.00    4.78778   0.06376
 1194.00    4.80164   0.06503
 1195.00    4.81533   0.06631
 1196.00    4.82886   0.06761
 1197.00    4.84223   0.06893
 1198.00    4.85545   0.07027
 1199.00    4.86852   0.07163
 1200.00    4.88145   0.07300
 1201.00    4.89422   0.07440
 1202.00    4.90686   0.07582
 1203.00    4.91936   0.07725
 1204.00    4.93172   0.07871
 1205.00    4.94395   0.08019
 1206.00    4.95605   0.08169
 1207.00    4.96802   0.08321
 1208.00    4.97987   0.08475
 1209.00    4.99159   0.08631
 1210.00    5.00320   0.08789
 1211.00    5.01469   0.08950
 1212.00    5.02607   0.09113
 1213.00    5.03733   0.09278
 1214.00    5.04849   0.09445
 1215.00    5.05954   0.09615
 1216.00    5.07049   0.09787
 1217.00    5.08134   0.09961
 1218.00    5.09208   0.10138
 1219.00    5.10274   0.10317
 1220.00    5.11329   0.10498
 1221.00    5.12376   0.10682
 1222.00    5.13413   0.10869
 1223.00    5.14442   0.11058
 1224.00    5.15463   0.11249
 1225.00    5.16475   0.11444
 1226.00    5.17479   0.11640
 1227.00    5.18475   0.11840
 1228.00    5.19463   0.12042
 1229.00    5.20444   0.12247
 1230.00    5.21418   0.12454
 1231.00    5.22385   0.12664
 1232.00    5.23345   0.12878
 1233.00    5.24299   0.13094
 1234.00    5.25246   0.13312
 1235.00    5.26186   0.13534
 1236.00    5.27121   0.13759
 1237.00    5.28050   0.13987
 1238.00    5.28973   0.14217
 1239.00    5.29891   0.14451
 1240.00    5.30804   0.14688
 1241.00    5.31711   0.14928
 1242.00    5.32614   0.15171
 1243.00    5.33512   0.15417
 1244.00    5.34405   0.15667
 1245.00    5.35294   0.15920
 1246.00    5.36179   0.16176
 1247.00    5.37060   0.16436
 1248.00    5.37937   0.16699
 1249.00    5.38810   0.16965
 1250.00    5.39680   0.17235
 1251.00    5.40547   0.17509
 1252.00    5.41410   0.17786
 1253.00    5.42270   0.18067
 1254.00    5.43128   0.18351
 1255.00    5.43983   0.18639
 1256.00    5.44835   0.18931
 1257.00    5.45685   0.19227
 1258.00    5.46533   0.19527
 1259.00    5.47379   0.19831
 1260.00    5.48223   0.20139
 1261.00    5.49066   0.20450
 1262.00    5.49907   0.20766
 1263.00    5.50746   0.21086
 1264.00    5.51585   0.21411
 1265.00    5.52422   0.21739
 1266.00    5.53258   0.22072
 1267.00    5.54094   0.22410
 1268.00    5.54929   0.22751
 1269.00    5.55763   0.23098
 1270.00    5.56598   0.23449
 1271.00    5.57432   0.23804
 1272.00    5.58266   0.24165
 1273.00    5.59100   0.24530
 1274.00    5.59935   0.24900
 1275.00    5.60770   0.25275
 1276.00    5.61605   0.25655
 1277.00    5.62441   0.26040
 1278.00    5.63279   0.26430
 1279.00    5.64117   0.26825
 1280.00    5.64956   0.27226
 1281.00    5.65797   0.27632
 1282.00    5.66639   0.28044
 1283.00    5.67483   0.28461
 1284.00    5.68329   0.28884
 1285.00    5.69177   0.29313
 1286.00    5.70026   0.29747
 1287.00    5.70878   0.30187
 1288.00    5.71732   0.30634
 1289.00    5.72589   0.31086
 1290.00    5.73448   0.31545
 1291.00    5.74310   0.32010
 1292.00    5.75175   0.32481
 1293.00    5.76043   0.32959
 1294.00    5.76914   0.33443
 1295.00    5.77789   0.33934
 1296.00    5.78667   0.34432
 1297.00    5.79548   0.34937
 1298.00    5.80434   0.35449
 1299.00    5.81323   0.35968
 1300.00    5.82217   0.36494
 1301.00    5.83114   0.37028
 1302.00    5.84016   0.37569
 1303.00    5.84923   0.38118
 1304.00    5.85834   0.38674
 1305.00    5.86750   0.39239
 1306.00    5.87671   0.39812
 1307.00    5.88597   0.40392
 1308.00    5.89528   0.40981
 1309.00    5.90464   0.41579
 1310.00    5.91406   0.42185
 1311.00    5.92354   0.42800
 1312.00    5.93308   0.43424
 1313.00    5.94267   0.44057
 1314.00    5.95233   0.44699
 1315.00    5.96204   0.45351
 1316.00    5.97183   0.46012
 1317.00    5.98167   0.46683
 1318.00    5.99159   0.47364
