   W          E2-(pi+_n)
 (MeV)       Re        Im
 1080.00    0.61455   0.00000
 1081.00    0.69839   0.00000
 1082.00    0.78054   0.00000
 1083.00    0.86105   0.00000
 1084.00    0.93996   0.00000
 1085.00    1.01729   0.00000
 1086.00    1.09310   0.00000
 1087.00    1.16742   0.00000
 1088.00    1.24027   0.00000
 1089.00    1.31170   0.00000
 1090.00    1.38173   0.00000
 1091.00    1.45040   0.00000
 1092.00    1.51775   0.00000
 1093.00    1.58379   0.00000
 1094.00    1.64856   0.00000
 1095.00    1.71208   0.00000
 1096.00    1.77439   0.00000
 1097.00    1.83551   0.00000
 1098.00    1.89547   0.00000
 1099.00    1.95429   0.00000
 1100.00    2.01200   0.00000
 1101.00    2.06862   0.00000
 1102.00    2.12417   0.00000
 1103.00    2.17868   0.00000
 1104.00    2.23217   0.00000
 1105.00    2.28467   0.00000
 1106.00    2.33618   0.00000
 1107.00    2.38674   0.00000
 1108.00    2.43636   0.00000
 1109.00    2.48506   0.00000
 1110.00    2.53287   0.00000
 1111.00    2.57979   0.00000
 1112.00    2.62585   0.00000
 1113.00    2.67107   0.00000
 1114.00    2.71546   0.00000
 1115.00    2.75904   0.00000
 1116.00    2.80182   0.00000
 1117.00    2.84383   0.00000
 1118.00    2.88507   0.00000
 1119.00    2.92556   0.00000
 1120.00    2.96532   0.00000
 1121.00    3.00437   0.00000
 1122.00    3.04271   0.00000
 1123.00    3.08035   0.00000
 1124.00    3.11732   0.00000
 1125.00    3.15363   0.00000
 1126.00    3.18928   0.00000
 1127.00    3.22429   0.00000
 1128.00    3.25868   0.00000
 1129.00    3.29245   0.00000
 1130.00    3.32562   0.00000
 1131.00    3.35820   0.00000
 1132.00    3.39019   0.00000
 1133.00    3.42162   0.00000
 1134.00    3.45248   0.00000
 1135.00    3.48280   0.00000
 1136.00    3.51257   0.00000
 1137.00    3.54182   0.00000
 1138.00    3.57055   0.00000
 1139.00    3.59877   0.00000
 1140.00    3.62648   0.00000
 1141.00    3.65371   0.00000
 1142.00    3.68045   0.00000
 1143.00    3.70672   0.00000
 1144.00    3.73252   0.00000
 1145.00    3.75787   0.00000
 1146.00    3.78276   0.00000
 1147.00    3.80722   0.00000
 1148.00    3.83124   0.00000
 1149.00    3.85483   0.00000
 1150.00    3.87801   0.00000
 1151.00    3.90077   0.00000
 1152.00    3.92313   0.00000
 1153.00    3.94510   0.00000
 1154.00    3.96667   0.00000
 1155.00    3.98786   0.00000
 1156.00    4.00867   0.00000
 1157.00    4.02911   0.00000
 1158.00    4.04919   0.00000
 1159.00    4.06890   0.00000
 1160.00    4.08827   0.00000
 1161.00    4.10729   0.00000
 1162.00    4.12597   0.00000
 1163.00    4.14431   0.00000
 1164.00    4.16233   0.00000
 1165.00    4.18002   0.00000
 1166.00    4.19739   0.00000
 1167.00    4.21445   0.00000
 1168.00    4.23120   0.00000
 1169.00    4.24765   0.00000
 1170.00    4.26380   0.00000
 1171.00    4.27966   0.00000
 1172.00    4.29523   0.00000
 1173.00    4.31051   0.00000
 1174.00    4.32551   0.00000
 1175.00    4.34024   0.00000
 1176.00    4.35470   0.00000
 1177.00    4.36890   0.00000
 1178.00    4.38283   0.00000
 1179.00    4.39650   0.00000
 1180.00    4.40992   0.00000
 1181.00    4.42309   0.00000
 1182.00    4.43602   0.00000
 1183.00    4.44870   0.00000
 1184.00    4.46114   0.00000
 1185.00    4.47335   0.00000
 1186.00    4.48533   0.00000
 1187.00    4.49708   0.00000
 1188.00    4.50861   0.00000
 1189.00    4.51992   0.00000
 1190.00    4.53101   0.00000
 1191.00    4.54188   0.00000
 1192.00    4.55255   0.00000
 1193.00    4.56301   0.00000
 1194.00    4.57326   0.00000
