   W          E2-(pi+_n)
 (MeV)       Re        Im
 1080.00    0.61744   0.00000
 1081.00    0.70173   0.00000
 1082.00    0.78435   0.00000
 1083.00    0.86532   0.00000
 1084.00    0.94470   0.00000
 1085.00    1.02251   0.00000
 1086.00    1.09880   0.00000
 1087.00    1.17361   0.00000
 1088.00    1.24696   0.00000
 1089.00    1.31888   0.00000
 1090.00    1.38943   0.00000
 1091.00    1.45861   0.00000
 1092.00    1.52647   0.00000
 1093.00    1.59304   0.00000
 1094.00    1.65834   0.00000
 1095.00    1.72241   0.00000
 1096.00    1.78526   0.00000
 1097.00    1.84693   0.00000
 1098.00    1.90744   0.00000
 1099.00    1.96683   0.00000
 1100.00    2.02510   0.00000
 1101.00    2.08229   0.00000
 1102.00    2.13843   0.00000
 1103.00    2.19352   0.00000
 1104.00    2.24761   0.00000
 1105.00    2.30069   0.00000
 1106.00    2.35281   0.00000
 1107.00    2.40398   0.00000
 1108.00    2.45421   0.00000
 1109.00    2.50353   0.00000
 1110.00    2.55196   0.00000
 1111.00    2.59952   0.00000
 1112.00    2.64621   0.00000
 1113.00    2.69207   0.00000
 1114.00    2.73711   0.00000
 1115.00    2.78134   0.00000
 1116.00    2.82478   0.00000
 1117.00    2.86745   0.00000
 1118.00    2.90936   0.00000
 1119.00    2.95053   0.00000
 1120.00    2.99097   0.00000
 1121.00    3.03070   0.00000
 1122.00    3.06973   0.00000
 1123.00    3.10807   0.00000
 1124.00    3.14574   0.00000
 1125.00    3.18275   0.00000
 1126.00    3.21912   0.00000
 1127.00    3.25485   0.00000
 1128.00    3.28995   0.00000
 1129.00    3.32445   0.00000
 1130.00    3.35835   0.00000
 1131.00    3.39167   0.00000
 1132.00    3.42440   0.00000
 1133.00    3.45657   0.00000
 1134.00    3.48819   0.00000
 1135.00    3.51926   0.00000
 1136.00    3.54980   0.00000
 1137.00    3.57982   0.00000
 1138.00    3.60931   0.00000
 1139.00    3.63831   0.00000
 1140.00    3.66681   0.00000
 1141.00    3.69482   0.00000
 1142.00    3.72235   0.00000
 1143.00    3.74941   0.00000
 1144.00    3.77602   0.00000
 1145.00    3.80216   0.00000
 1146.00    3.82787   0.00000
 1147.00    3.85314   0.00000
 1148.00    3.87798   0.00000
 1149.00    3.90239   0.00000
 1150.00    3.92640   0.00000
 1151.00    3.94999   0.00000
 1152.00    3.97319   0.00000
 1153.00    3.99599   0.00000
 1154.00    4.01841   0.00000
 1155.00    4.04045   0.00000
 1156.00    4.06211   0.00000
 1157.00    4.08341   0.00000
 1158.00    4.10435   0.00000
 1159.00    4.12493   0.00000
 1160.00    4.14517   0.00000
 1161.00    4.16506   0.00000
 1162.00    4.18462   0.00000
 1163.00    4.20385   0.00000
 1164.00    4.22275   0.00000
 1165.00    4.24133   0.00000
 1166.00    4.25960   0.00000
 1167.00    4.27756   0.00000
 1168.00    4.29521   0.00000
 1169.00    4.31257   0.00000
 1170.00    4.32963   0.00000
 1171.00    4.34640   0.00000
 1172.00    4.36288   0.00000
 1173.00    4.37909   0.00000
 1174.00    4.39502   0.00000
 1175.00    4.41068   0.00000
 1176.00    4.42607   0.00000
 1177.00    4.44120   0.00000
 1178.00    4.45608   0.00000
 1179.00    4.47069   0.00000
 1180.00    4.48506   0.00000
 1181.00    4.49918   0.00000
 1182.00    4.51306   0.00000
 1183.00    4.52670   0.00000
 1184.00    4.54011   0.00000
 1185.00    4.55328   0.00000
 1186.00    4.56623   0.00000
 1187.00    4.57895   0.00000
 1188.00    4.59146   0.00000
 1189.00    4.60374   0.00000
 1190.00    4.61581   0.00000
 1191.00    4.62768   0.00000
 1192.00    4.63933   0.00000
 1193.00    4.65078   0.00000
 1194.00    4.66203   0.00000
 1195.00    4.67308   0.00000
 1196.00    4.68394   0.00000
 1197.00    4.69460   0.00000
 1198.00    4.70508   0.00000
 1199.00    4.71537   0.00000
 1200.00    4.72547   0.00000
 1201.00    4.73540   0.00000
 1202.00    4.74514   0.00000
 1203.00    4.75472   0.00000
 1204.00    4.76411   0.00000
 1205.00    4.77334   0.00000
 1206.00    4.78240   0.00000
 1207.00    4.79130   0.00000
 1208.00    4.80003   0.00000
 1209.00    4.80860   0.00000
 1210.00    4.81702   0.00000
 1211.00    4.82528   0.00000
 1212.00    4.83338   0.00000
 1213.00    4.84133   0.00000
 1214.00    4.84914   0.00000
 1215.00    4.85679   0.00000
 1216.00    4.86431   0.00000
 1217.00    4.87167   0.00000
 1218.00    4.87890   0.00000
 1219.00    4.88599   0.00000
 1220.00    4.89294   0.00000
 1221.00    4.89976   0.00000
 1222.00    4.90645   0.00000
 1223.00    4.91300   0.00000
 1224.00    4.91942   0.00000
 1225.00    4.92572   0.00000
 1226.00    4.93189   0.00000
 1227.00    4.93794   0.00000
 1228.00    4.94386   0.00000
 1229.00    4.94967   0.00000
 1230.00    4.95535   0.00000
 1231.00    4.96092   0.00000
 1232.00    4.96637   0.00000
 1233.00    4.97171   0.00000
 1234.00    4.97693   0.00000
 1235.00    4.98205   0.00000
 1236.00    4.98705   0.00000
 1237.00    4.99195   0.00000
 1238.00    4.99674   0.00000
 1239.00    5.00143   0.00000
 1240.00    5.00601   0.00000
 1241.00    5.01049   0.00000
 1242.00    5.01487   0.00000
 1243.00    5.01915   0.00000
 1244.00    5.02333   0.00000
 1245.00    5.02741   0.00000
 1246.00    5.03140   0.00000
 1247.00    5.03530   0.00000
 1248.00    5.03910   0.00000
 1249.00    5.04281   0.00000
 1250.00    5.04643   0.00000
 1251.00    5.04996   0.00000
 1252.00    5.05340   0.00000
 1253.00    5.05676   0.00000
 1254.00    5.06002   0.00000
 1255.00    5.06321   0.00000
 1256.00    5.06631   0.00000
 1257.00    5.06933   0.00000
 1258.00    5.07226   0.00000
 1259.00    5.07512   0.00000
 1260.00    5.07790   0.00000
 1261.00    5.08059   0.00000
 1262.00    5.08321   0.00000
 1263.00    5.08576   0.00000
 1264.00    5.08823   0.00000
 1265.00    5.09062   0.00000
 1266.00    5.09294   0.00000
 1267.00    5.09519   0.00000
 1268.00    5.09737   0.00000
 1269.00    5.09947   0.00000
 1270.00    5.10151   0.00000
 1271.00    5.10348   0.00000
 1272.00    5.10537   0.00000
 1273.00    5.10721   0.00000
 1274.00    5.10897   0.00000
 1275.00    5.11067   0.00000
 1276.00    5.11231   0.00000
 1277.00    5.11388   0.00000
 1278.00    5.11539   0.00000
 1279.00    5.11683   0.00000
 1280.00    5.11822   0.00000
 1281.00    5.11954   0.00000
 1282.00    5.12081   0.00000
 1283.00    5.12201   0.00000
 1284.00    5.12316   0.00000
 1285.00    5.12424   0.00000
 1286.00    5.12527   0.00000
 1287.00    5.12625   0.00000
 1288.00    5.12717   0.00000
 1289.00    5.12803   0.00000
 1290.00    5.12884   0.00000
 1291.00    5.12960   0.00000
 1292.00    5.13030   0.00000
 1293.00    5.13095   0.00000
 1294.00    5.13155   0.00000
 1295.00    5.13210   0.00000
 1296.00    5.13259   0.00000
 1297.00    5.13304   0.00000
 1298.00    5.13344   0.00000
 1299.00    5.13379   0.00000
 1300.00    5.13409   0.00000
 1301.00    5.13434   0.00000
 1302.00    5.13455   0.00000
 1303.00    5.13471   0.00000
 1304.00    5.13482   0.00000
 1305.00    5.13489   0.00000
 1306.00    5.13492   0.00000
 1307.00    5.13490   0.00000
 1308.00    5.13483   0.00000
 1309.00    5.13473   0.00000
 1310.00    5.13458   0.00000
 1311.00    5.13439   0.00000
 1312.00    5.13415   0.00000
 1313.00    5.13388   0.00000
 1314.00    5.13356   0.00000
 1315.00    5.13321   0.00000
 1316.00    5.13281   0.00000
 1317.00    5.13238   0.00000
 1318.00    5.13191   0.00000
 1319.00    5.13140   0.00000
 1320.00    5.13085   0.00000
 1321.00    5.13026   0.00000
 1322.00    5.12964   0.00000
 1323.00    5.12898   0.00000
 1324.00    5.12828   0.00000
 1325.00    5.12755   0.00000
 1326.00    5.12678   0.00000
 1327.00    5.12598   0.00000
 1328.00    5.12514   0.00000
 1329.00    5.12427   0.00000
 1330.00    5.12337   0.00000
 1331.00    5.12243   0.00000
 1332.00    5.12146   0.00000
 1333.00    5.12045   0.00000
 1334.00    5.11942   0.00000
 1335.00    5.11835   0.00000
 1336.00    5.11725   0.00000
 1337.00    5.11612   0.00000
 1338.00    5.11496   0.00000
 1339.00    5.11377   0.00000
 1340.00    5.11255   0.00000
 1341.00    5.11130   0.00000
 1342.00    5.11002   0.00000
 1343.00    5.10871   0.00000
 1344.00    5.10737   0.00000
 1345.00    5.10600   0.00000
 1346.00    5.10461   0.00000
 1347.00    5.10319   0.00000
 1348.00    5.10174   0.00000
 1349.00    5.10026   0.00000
 1350.00    5.09876   0.00000
 1351.00    5.09723   0.00000
 1352.00    5.09567   0.00000
 1353.00    5.09409   0.00000
 1354.00    5.09248   0.00000
 1355.00    5.09085   0.00000
 1356.00    5.08919   0.00000
 1357.00    5.08751   0.00000
 1358.00    5.08580   0.00000
 1359.00    5.08407   0.00000
 1360.00    5.08232   0.00000
 1361.00    5.08054   0.00000
 1362.00    5.07874   0.00000
 1363.00    5.07691   0.00000
 1364.00    5.07506   0.00000
 1365.00    5.07319   0.00000
 1366.00    5.07130   0.00000
 1367.00    5.06938   0.00000
 1368.00    5.06745   0.00000
 1369.00    5.06549   0.00000
 1370.00    5.06351   0.00000
 1371.00    5.06151   0.00000
 1372.00    5.05948   0.00000
 1373.00    5.05744   0.00000
 1374.00    5.05538   0.00000
 1375.00    5.05329   0.00000
 1376.00    5.05119   0.00000
 1377.00    5.04907   0.00000
 1378.00    5.04693   0.00000
 1379.00    5.04476   0.00000
 1380.00    5.04258   0.00000
 1381.00    5.04038   0.00000
 1382.00    5.03816   0.00000
 1383.00    5.03593   0.00000
 1384.00    5.03367   0.00000
 1385.00    5.03140   0.00000
 1386.00    5.02911   0.00000
 1387.00    5.02680   0.00000
 1388.00    5.02447   0.00000
 1389.00    5.02213   0.00000
 1390.00    5.01976   0.00000
 1391.00    5.01739   0.00000
 1392.00    5.01499   0.00000
 1393.00    5.01258   0.00000
 1394.00    5.01015   0.00000
 1395.00    5.00771   0.00000
 1396.00    5.00525   0.00000
 1397.00    5.00277   0.00000
 1398.00    5.00028   0.00000
 1399.00    4.99777   0.00000
 1400.00    4.99525   0.00000
 1401.00    4.99272   0.00000
 1402.00    4.99016   0.00000
 1403.00    4.98760   0.00000
 1404.00    4.98501   0.00000
 1405.00    4.98242   0.00000
 1406.00    4.97981   0.00000
 1407.00    4.97718   0.00000
 1408.00    4.97454   0.00000
 1409.00    4.97189   0.00000
 1410.00    4.96923   0.00000
 1411.00    4.96655   0.00000
 1412.00    4.96385   0.00000
 1413.00    4.96115   0.00000
 1414.00    4.95843   0.00000
 1415.00    4.95569   0.00000
 1416.00    4.95295   0.00000
 1417.00    4.95019   0.00000
 1418.00    4.94742   0.00000
 1419.00    4.94464   0.00000
 1420.00    4.94184   0.00000
 1421.00    4.93903   0.00000
 1422.00    4.93621   0.00000
 1423.00    4.93338   0.00000
 1424.00    4.93054   0.00000
 1425.00    4.92769   0.00000
 1426.00    4.92482   0.00000
 1427.00    4.92194   0.00000
 1428.00    4.91905   0.00000
 1429.00    4.91615   0.00000
 1430.00    4.91324   0.00000
 1431.00    4.91032   0.00000
 1432.00    4.90739   0.00000
 1433.00    4.90445   0.00000
 1434.00    4.90149   0.00000
 1435.00    4.89853   0.00000
 1436.00    4.89555   0.00000
 1437.00    4.89257   0.00000
 1438.00    4.88958   0.00000
 1439.00    4.88657   0.00000
 1440.00    4.88356   0.00000
 1441.00    4.88053   0.00000
 1442.00    4.87750   0.00000
 1443.00    4.87446   0.00000
 1444.00    4.87141   0.00000
 1445.00    4.86834   0.00000
 1446.00    4.86527   0.00000
 1447.00    4.86219   0.00000
 1448.00    4.85911   0.00000
 1449.00    4.85601   0.00000
 1450.00    4.85290   0.00000
 1451.00    4.84979   0.00000
 1452.00    4.84666   0.00000
 1453.00    4.84353   0.00000
 1454.00    4.84039   0.00000
 1455.00    4.83724   0.00000
 1456.00    4.83409   0.00000
 1457.00    4.83092   0.00000
 1458.00    4.82775   0.00000
 1459.00    4.82457   0.00000
 1460.00    4.82138   0.00000
 1461.00    4.81818   0.00000
 1462.00    4.81498   0.00000
 1463.00    4.81177   0.00000
 1464.00    4.80855   0.00000
 1465.00    4.80532   0.00000
 1466.00    4.80209   0.00000
 1467.00    4.79884   0.00000
 1468.00    4.79560   0.00000
 1469.00    4.79234   0.00000
 1470.00    4.78908   0.00000
 1471.00    4.78581   0.00000
 1472.00    4.78253   0.00000
 1473.00    4.77925   0.00000
 1474.00    4.77596   0.00000
 1475.00    4.77267   0.00000
 1476.00    4.76936   0.00000
 1477.00    4.76605   0.00000
 1478.00    4.76274   0.00000
 1479.00    4.75942   0.00000
 1480.00    4.75609   0.00000
 1481.00    4.75276   0.00000
 1482.00    4.74942   0.00000
 1483.00    4.74607   0.00000
 1484.00    4.74272   0.00000
 1485.00    4.73936   0.00000
 1486.00    4.73600   0.00000
 1487.00    4.73263   0.00000
 1488.00    4.72925   0.00000
 1489.00    4.72587   0.00000
 1490.00    4.72249   0.00000
 1491.00    4.71910   0.00000
 1492.00    4.71570   0.00000
 1493.00    4.71230   0.00000
 1494.00    4.70889   0.00000
 1495.00    4.70548   0.00000
 1496.00    4.70206   0.00000
 1497.00    4.69864   0.00000
 1498.00    4.69521   0.00000
 1499.00    4.69178   0.00000
 1500.00    4.68834   0.00000
 1501.00    4.68490   0.00000
 1502.00    4.68145   0.00000
 1503.00    4.67800   0.00000
 1504.00    4.67454   0.00000
 1505.00    4.67108   0.00000
 1506.00    4.66762   0.00000
 1507.00    4.66415   0.00000
 1508.00    4.66067   0.00000
 1509.00    4.65719   0.00000
 1510.00    4.65371   0.00000
 1511.00    4.65022   0.00000
 1512.00    4.64673   0.00000
 1513.00    4.64324   0.00000
 1514.00    4.63974   0.00000
 1515.00    4.63623   0.00000
 1516.00    4.63273   0.00000
 1517.00    4.62921   0.00000
 1518.00    4.62570   0.00000
 1519.00    4.62218   0.00000
 1520.00    4.61866   0.00000
 1521.00    4.61513   0.00000
 1522.00    4.61160   0.00000
 1523.00    4.60806   0.00000
 1524.00    4.60453   0.00000
 1525.00    4.60099   0.00000
 1526.00    4.59744   0.00000
 1527.00    4.59389   0.00000
 1528.00    4.59034   0.00000
 1529.00    4.58679   0.00000
 1530.00    4.58323   0.00000
 1531.00    4.57967   0.00000
 1532.00    4.57610   0.00000
 1533.00    4.57254   0.00000
 1534.00    4.56896   0.00000
 1535.00    4.56539   0.00000
 1536.00    4.56181   0.00000
 1537.00    4.55823   0.00000
 1538.00    4.55465   0.00000
 1539.00    4.55107   0.00000
 1540.00    4.54748   0.00000
 1541.00    4.54388   0.00000
 1542.00    4.54029   0.00000
 1543.00    4.53669   0.00000
 1544.00    4.53309   0.00000
 1545.00    4.52949   0.00000
 1546.00    4.52589   0.00000
 1547.00    4.52228   0.00000
 1548.00    4.51867   0.00000
 1549.00    4.51506   0.00000
 1550.00    4.51144   0.00000
 1551.00    4.50782   0.00000
 1552.00    4.50420   0.00000
 1553.00    4.50058   0.00000
 1554.00    4.49696   0.00000
 1555.00    4.49333   0.00000
 1556.00    4.48970   0.00000
 1557.00    4.48607   0.00000
 1558.00    4.48244   0.00000
 1559.00    4.47880   0.00000
 1560.00    4.47516   0.00000
 1561.00    4.47152   0.00000
 1562.00    4.46788   0.00000
 1563.00    4.46424   0.00000
 1564.00    4.46059   0.00000
 1565.00    4.45694   0.00000
 1566.00    4.45329   0.00000
 1567.00    4.44964   0.00000
 1568.00    4.44599   0.00000
 1569.00    4.44233   0.00000
 1570.00    4.43868   0.00000
 1571.00    4.43502   0.00000
 1572.00    4.43136   0.00000
 1573.00    4.42770   0.00000
 1574.00    4.42403   0.00000
 1575.00    4.42037   0.00000
 1576.00    4.41670   0.00000
 1577.00    4.41303   0.00000
 1578.00    4.40936   0.00000
 1579.00    4.40569   0.00000
 1580.00    4.40202   0.00000
 1581.00    4.39834   0.00000
 1582.00    4.39467   0.00000
 1583.00    4.39099   0.00000
 1584.00    4.38731   0.00000
 1585.00    4.38363   0.00000
 1586.00    4.37995   0.00000
 1587.00    4.37627   0.00000
 1588.00    4.37258   0.00000
 1589.00    4.36890   0.00000
 1590.00    4.36521   0.00000
 1591.00    4.36153   0.00000
 1592.00    4.35784   0.00000
 1593.00    4.35415   0.00000
 1594.00    4.35046   0.00000
 1595.00    4.34677   0.00000
 1596.00    4.34307   0.00000
