   W          E2+(pi+_n)
 (MeV)       Re        Im
 1080.00    0.10694   0.00000
 1081.00    0.12142   0.00000
 1082.00    0.13558   0.00000
 1083.00    0.14942   0.00000
 1084.00    0.16297   0.00000
 1085.00    0.17622   0.00000
 1086.00    0.18918   0.00000
 1087.00    0.20186   0.00000
 1088.00    0.21427   0.00000
 1089.00    0.22641   0.00000
 1090.00    0.23829   0.00000
 1091.00    0.24992   0.00000
 1092.00    0.26130   0.00000
 1093.00    0.27244   0.00000
 1094.00    0.28334   0.00000
 1095.00    0.29401   0.00000
 1096.00    0.30445   0.00000
 1097.00    0.31468   0.00000
 1098.00    0.32469   0.00000
 1099.00    0.33449   0.00000
 1100.00    0.34408   0.00000
 1101.00    0.35348   0.00000
 1102.00    0.36268   0.00000
 1103.00    0.37169   0.00000
 1104.00    0.38051   0.00000
 1105.00    0.38916   0.00000
 1106.00    0.39762   0.00000
 1107.00    0.40591   0.00000
 1108.00    0.41403   0.00000
 1109.00    0.42198   0.00000
 1110.00    0.42977   0.00000
 1111.00    0.43740   0.00000
 1112.00    0.44487   0.00000
 1113.00    0.45219   0.00000
 1114.00    0.45937   0.00000
 1115.00    0.46640   0.00000
 1116.00    0.47328   0.00000
 1117.00    0.48003   0.00000
 1118.00    0.48664   0.00000
 1119.00    0.49311   0.00000
 1120.00    0.49946   0.00000
 1121.00    0.50568   0.00000
 1122.00    0.51177   0.00000
 1123.00    0.51774   0.00000
 1124.00    0.52359   0.00000
 1125.00    0.52933   0.00000
 1126.00    0.53495   0.00000
 1127.00    0.54045   0.00000
 1128.00    0.54585   0.00000
 1129.00    0.55114   0.00000
 1130.00    0.55632   0.00000
 1131.00    0.56140   0.00000
 1132.00    0.56638   0.00000
 1133.00    0.57126   0.00000
 1134.00    0.57604   0.00000
 1135.00    0.58072   0.00000
 1136.00    0.58532   0.00000
 1137.00    0.58982   0.00000
 1138.00    0.59423   0.00000
 1139.00    0.59855   0.00000
 1140.00    0.60279   0.00000
 1141.00    0.60694   0.00000
 1142.00    0.61101   0.00000
 1143.00    0.61500   0.00000
 1144.00    0.61891   0.00000
 1145.00    0.62274   0.00000
 1146.00    0.62650   0.00000
 1147.00    0.63018   0.00000
 1148.00    0.63379   0.00000
 1149.00    0.63732   0.00000
 1150.00    0.64078   0.00000
 1151.00    0.64418   0.00000
 1152.00    0.64751   0.00000
 1153.00    0.65077   0.00000
 1154.00    0.65396   0.00000
 1155.00    0.65709   0.00000
 1156.00    0.66016   0.00000
 1157.00    0.66316   0.00000
 1158.00    0.66611   0.00000
 1159.00    0.66900   0.00000
 1160.00    0.67182   0.00000
 1161.00    0.67459   0.00000
 1162.00    0.67731   0.00000
 1163.00    0.67996   0.00000
 1164.00    0.68257   0.00000
 1165.00    0.68512   0.00000
 1166.00    0.68762   0.00000
 1167.00    0.69007   0.00000
 1168.00    0.69246   0.00000
 1169.00    0.69481   0.00000
 1170.00    0.69711   0.00000
 1171.00    0.69936   0.00000
 1172.00    0.70157   0.00000
 1173.00    0.70373   0.00000
 1174.00    0.70584   0.00000
 1175.00    0.70791   0.00000
 1176.00    0.70994   0.00000
 1177.00    0.71192   0.00000
 1178.00    0.71387   0.00000
 1179.00    0.71577   0.00000
 1180.00    0.71763   0.00000
 1181.00    0.71945   0.00000
 1182.00    0.72123   0.00000
 1183.00    0.72297   0.00000
 1184.00    0.72468   0.00000
 1185.00    0.72635   0.00000
 1186.00    0.72798   0.00000
 1187.00    0.72958   0.00000
 1188.00    0.73114   0.00000
 1189.00    0.73267   0.00000
 1190.00    0.73416   0.00000
 1191.00    0.73562   0.00000
 1192.00    0.73705   0.00000
 1193.00    0.73844   0.00000
 1194.00    0.73981   0.00000
 1195.00    0.74114   0.00000
 1196.00    0.74244   0.00000
 1197.00    0.74371   0.00000
 1198.00    0.74496   0.00000
 1199.00    0.74617   0.00000
 1200.00    0.74735   0.00000
 1201.00    0.74851   0.00000
 1202.00    0.74964   0.00000
 1203.00    0.75074   0.00000
 1204.00    0.75182   0.00000
 1205.00    0.75287   0.00000
 1206.00    0.75389   0.00000
 1207.00    0.75489   0.00000
 1208.00    0.75586   0.00000
 1209.00    0.75681   0.00000
 1210.00    0.75774   0.00000
 1211.00    0.75864   0.00000
 1212.00    0.75952   0.00000
 1213.00    0.76037   0.00000
 1214.00    0.76121   0.00000
 1215.00    0.76202   0.00000
 1216.00    0.76281   0.00000
 1217.00    0.76357   0.00000
 1218.00    0.76432   0.00000
 1219.00    0.76504   0.00000
 1220.00    0.76575   0.00000
 1221.00    0.76644   0.00000
 1222.00    0.76710   0.00000
 1223.00    0.76775   0.00000
 1224.00    0.76837   0.00000
 1225.00    0.76898   0.00000
 1226.00    0.76957   0.00000
 1227.00    0.77014   0.00000
 1228.00    0.77070   0.00000
 1229.00    0.77123   0.00000
 1230.00    0.77175   0.00000
 1231.00    0.77225   0.00000
 1232.00    0.77274   0.00000
 1233.00    0.77321   0.00000
 1234.00    0.77366   0.00000
 1235.00    0.77410   0.00000
 1236.00    0.77452   0.00000
 1237.00    0.77492   0.00000
 1238.00    0.77531   0.00000
 1239.00    0.77569   0.00000
 1240.00    0.77605   0.00000
 1241.00    0.77640   0.00000
 1242.00    0.77673   0.00000
 1243.00    0.77704   0.00000
 1244.00    0.77735   0.00000
 1245.00    0.77764   0.00000
 1246.00    0.77792   0.00000
 1247.00    0.77818   0.00000
 1248.00    0.77843   0.00000
 1249.00    0.77867   0.00000
 1250.00    0.77889   0.00000
 1251.00    0.77911   0.00000
 1252.00    0.77931   0.00000
 1253.00    0.77950   0.00000
 1254.00    0.77967   0.00000
 1255.00    0.77984   0.00000
 1256.00    0.77999   0.00000
 1257.00    0.78014   0.00000
 1258.00    0.78027   0.00000
 1259.00    0.78039   0.00000
 1260.00    0.78050   0.00000
 1261.00    0.78060   0.00000
 1262.00    0.78069   0.00000
 1263.00    0.78077   0.00000
 1264.00    0.78084   0.00000
 1265.00    0.78090   0.00000
 1266.00    0.78095   0.00000
 1267.00    0.78099   0.00000
 1268.00    0.78102   0.00000
 1269.00    0.78104   0.00000
 1270.00    0.78105   0.00000
 1271.00    0.78105   0.00000
 1272.00    0.78105   0.00000
 1273.00    0.78103   0.00000
 1274.00    0.78101   0.00000
 1275.00    0.78098   0.00000
 1276.00    0.78094   0.00000
 1277.00    0.78089   0.00000
 1278.00    0.78083   0.00000
 1279.00    0.78077   0.00000
 1280.00    0.78069   0.00000
 1281.00    0.78061   0.00000
 1282.00    0.78053   0.00000
 1283.00    0.78043   0.00000
 1284.00    0.78033   0.00000
 1285.00    0.78022   0.00000
 1286.00    0.78010   0.00000
 1287.00    0.77998   0.00000
 1288.00    0.77985   0.00000
 1289.00    0.77971   0.00000
 1290.00    0.77956   0.00000
 1291.00    0.77941   0.00000
 1292.00    0.77925   0.00000
 1293.00    0.77909   0.00000
 1294.00    0.77892   0.00000
 1295.00    0.77874   0.00000
 1296.00    0.77856   0.00000
 1297.00    0.77837   0.00000
 1298.00    0.77818   0.00000
 1299.00    0.77798   0.00000
 1300.00    0.77777   0.00000
 1301.00    0.77756   0.00000
 1302.00    0.77734   0.00000
 1303.00    0.77712   0.00000
 1304.00    0.77689   0.00000
 1305.00    0.77665   0.00000
 1306.00    0.77641   0.00000
 1307.00    0.77617   0.00000
 1308.00    0.77592   0.00000
 1309.00    0.77567   0.00000
 1310.00    0.77541   0.00000
 1311.00    0.77514   0.00000
 1312.00    0.77487   0.00000
 1313.00    0.77460   0.00000
 1314.00    0.77432   0.00000
 1315.00    0.77404   0.00000
 1316.00    0.77375   0.00000
 1317.00    0.77346   0.00000
 1318.00    0.77316   0.00000
 1319.00    0.77286   0.00000
 1320.00    0.77256   0.00000
 1321.00    0.77225   0.00000
 1322.00    0.77194   0.00000
 1323.00    0.77162   0.00000
 1324.00    0.77130   0.00000
 1325.00    0.77097   0.00000
 1326.00    0.77064   0.00000
 1327.00    0.77031   0.00000
 1328.00    0.76998   0.00000
 1329.00    0.76964   0.00000
 1330.00    0.76929   0.00000
 1331.00    0.76895   0.00000
 1332.00    0.76859   0.00000
 1333.00    0.76824   0.00000
 1334.00    0.76788   0.00000
 1335.00    0.76752   0.00000
 1336.00    0.76716   0.00000
 1337.00    0.76679   0.00000
 1338.00    0.76642   0.00000
 1339.00    0.76605   0.00000
 1340.00    0.76567   0.00000
 1341.00    0.76529   0.00000
 1342.00    0.76491   0.00000
 1343.00    0.76452   0.00000
 1344.00    0.76413   0.00000
 1345.00    0.76374   0.00000
 1346.00    0.76335   0.00000
 1347.00    0.76295   0.00000
 1348.00    0.76255   0.00000
 1349.00    0.76215   0.00000
 1350.00    0.76174   0.00000
 1351.00    0.76134   0.00000
 1352.00    0.76093   0.00000
 1353.00    0.76051   0.00000
 1354.00    0.76010   0.00000
 1355.00    0.75968   0.00000
 1356.00    0.75926   0.00000
 1357.00    0.75884   0.00000
 1358.00    0.75842   0.00000
 1359.00    0.75799   0.00000
 1360.00    0.75756   0.00000
 1361.00    0.75713   0.00000
 1362.00    0.75670   0.00000
 1363.00    0.75626   0.00000
 1364.00    0.75582   0.00000
 1365.00    0.75538   0.00000
 1366.00    0.75494   0.00000
 1367.00    0.75450   0.00000
 1368.00    0.75405   0.00000
 1369.00    0.75360   0.00000
 1370.00    0.75315   0.00000
 1371.00    0.75270   0.00000
 1372.00    0.75225   0.00000
 1373.00    0.75180   0.00000
 1374.00    0.75134   0.00000
 1375.00    0.75088   0.00000
 1376.00    0.75042   0.00000
 1377.00    0.74996   0.00000
 1378.00    0.74950   0.00000
 1379.00    0.74903   0.00000
 1380.00    0.74856   0.00000
 1381.00    0.74810   0.00000
 1382.00    0.74763   0.00000
 1383.00    0.74716   0.00000
 1384.00    0.74668   0.00000
 1385.00    0.74621   0.00000
 1386.00    0.74573   0.00000
 1387.00    0.74526   0.00000
 1388.00    0.74478   0.00000
 1389.00    0.74430   0.00000
 1390.00    0.74382   0.00000
 1391.00    0.74334   0.00000
 1392.00    0.74285   0.00000
 1393.00    0.74237   0.00000
 1394.00    0.74188   0.00000
 1395.00    0.74139   0.00000
 1396.00    0.74091   0.00000
 1397.00    0.74042   0.00000
 1398.00    0.73993   0.00000
 1399.00    0.73943   0.00000
 1400.00    0.73894   0.00000
 1401.00    0.73845   0.00000
 1402.00    0.73795   0.00000
 1403.00    0.73746   0.00000
 1404.00    0.73696   0.00000
 1405.00    0.73646   0.00000
 1406.00    0.73596   0.00000
 1407.00    0.73546   0.00000
 1408.00    0.73496   0.00000
 1409.00    0.73446   0.00000
 1410.00    0.73396   0.00000
 1411.00    0.73345   0.00000
 1412.00    0.73295   0.00000
 1413.00    0.73244   0.00000
 1414.00    0.73194   0.00000
 1415.00    0.73143   0.00000
 1416.00    0.73092   0.00000
 1417.00    0.73041   0.00000
 1418.00    0.72990   0.00000
 1419.00    0.72939   0.00000
 1420.00    0.72888   0.00000
 1421.00    0.72837   0.00000
 1422.00    0.72786   0.00000
 1423.00    0.72735   0.00000
 1424.00    0.72683   0.00000
 1425.00    0.72632   0.00000
 1426.00    0.72580   0.00000
 1427.00    0.72529   0.00000
 1428.00    0.72477   0.00000
 1429.00    0.72425   0.00000
 1430.00    0.72374   0.00000
 1431.00    0.72322   0.00000
 1432.00    0.72270   0.00000
 1433.00    0.72218   0.00000
 1434.00    0.72166   0.00000
 1435.00    0.72114   0.00000
 1436.00    0.72062   0.00000
 1437.00    0.72010   0.00000
 1438.00    0.71958   0.00000
 1439.00    0.71906   0.00000
 1440.00    0.71853   0.00000
 1441.00    0.71801   0.00000
 1442.00    0.71749   0.00000
 1443.00    0.71696   0.00000
 1444.00    0.71644   0.00000
 1445.00    0.71592   0.00000
 1446.00    0.71539   0.00000
 1447.00    0.71487   0.00000
 1448.00    0.71434   0.00000
 1449.00    0.71381   0.00000
 1450.00    0.71329   0.00000
 1451.00    0.71276   0.00000
 1452.00    0.71224   0.00000
 1453.00    0.71171   0.00000
 1454.00    0.71118   0.00000
 1455.00    0.71065   0.00000
 1456.00    0.71012   0.00000
 1457.00    0.70960   0.00000
 1458.00    0.70907   0.00000
 1459.00    0.70854   0.00000
 1460.00    0.70801   0.00000
 1461.00    0.70748   0.00000
 1462.00    0.70695   0.00000
 1463.00    0.70642   0.00000
 1464.00    0.70589   0.00000
 1465.00    0.70536   0.00000
 1466.00    0.70483   0.00000
 1467.00    0.70430   0.00000
 1468.00    0.70377   0.00000
 1469.00    0.70324   0.00000
 1470.00    0.70271   0.00000
 1471.00    0.70218   0.00000
 1472.00    0.70165   0.00000
 1473.00    0.70112   0.00000
 1474.00    0.70058   0.00000
 1475.00    0.70005   0.00000
 1476.00    0.69952   0.00000
 1477.00    0.69899   0.00000
 1478.00    0.69846   0.00000
 1479.00    0.69793   0.00000
 1480.00    0.69739   0.00000
 1481.00    0.69686   0.00000
 1482.00    0.69633   0.00000
 1483.00    0.69580   0.00000
 1484.00    0.69527   0.00000
 1485.00    0.69473   0.00000
 1486.00    0.69420   0.00000
 1487.00    0.69367   0.00000
 1488.00    0.69314   0.00000
 1489.00    0.69261   0.00000
 1490.00    0.69207   0.00000
 1491.00    0.69154   0.00000
 1492.00    0.69101   0.00000
 1493.00    0.69048   0.00000
 1494.00    0.68995   0.00000
 1495.00    0.68941   0.00000
 1496.00    0.68888   0.00000
 1497.00    0.68835   0.00000
 1498.00    0.68782   0.00000
 1499.00    0.68729   0.00000
 1500.00    0.68675   0.00000
 1501.00    0.68622   0.00000
 1502.00    0.68569   0.00000
 1503.00    0.68516   0.00000
 1504.00    0.68463   0.00000
 1505.00    0.68409   0.00000
 1506.00    0.68356   0.00000
 1507.00    0.68303   0.00000
 1508.00    0.68250   0.00000
 1509.00    0.68197   0.00000
 1510.00    0.68144   0.00000
 1511.00    0.68091   0.00000
 1512.00    0.68038   0.00000
 1513.00    0.67985   0.00000
 1514.00    0.67932   0.00000
 1515.00    0.67879   0.00000
 1516.00    0.67825   0.00000
 1517.00    0.67772   0.00000
 1518.00    0.67719   0.00000
 1519.00    0.67666   0.00000
 1520.00    0.67613   0.00000
 1521.00    0.67561   0.00000
 1522.00    0.67508   0.00000
 1523.00    0.67455   0.00000
 1524.00    0.67402   0.00000
 1525.00    0.67349   0.00000
 1526.00    0.67296   0.00000
 1527.00    0.67243   0.00000
 1528.00    0.67190   0.00000
 1529.00    0.67137   0.00000
 1530.00    0.67085   0.00000
 1531.00    0.67032   0.00000
 1532.00    0.66979   0.00000
 1533.00    0.66926   0.00000
 1534.00    0.66874   0.00000
 1535.00    0.66821   0.00000
 1536.00    0.66768   0.00000
 1537.00    0.66716   0.00000
 1538.00    0.66663   0.00000
 1539.00    0.66610   0.00000
 1540.00    0.66558   0.00000
 1541.00    0.66505   0.00000
 1542.00    0.66453   0.00000
 1543.00    0.66400   0.00000
 1544.00    0.66348   0.00000
 1545.00    0.66295   0.00000
 1546.00    0.66243   0.00000
 1547.00    0.66190   0.00000
 1548.00    0.66138   0.00000
 1549.00    0.66085   0.00000
 1550.00    0.66033   0.00000
 1551.00    0.65981   0.00000
 1552.00    0.65928   0.00000
 1553.00    0.65876   0.00000
 1554.00    0.65824   0.00000
 1555.00    0.65772   0.00000
 1556.00    0.65719   0.00000
 1557.00    0.65667   0.00000
 1558.00    0.65615   0.00000
 1559.00    0.65563   0.00000
 1560.00    0.65511   0.00000
 1561.00    0.65459   0.00000
 1562.00    0.65407   0.00000
 1563.00    0.65355   0.00000
 1564.00    0.65303   0.00000
 1565.00    0.65251   0.00000
 1566.00    0.65199   0.00000
 1567.00    0.65147   0.00000
 1568.00    0.65095   0.00000
 1569.00    0.65043   0.00000
 1570.00    0.64991   0.00000
 1571.00    0.64939   0.00000
 1572.00    0.64888   0.00000
 1573.00    0.64836   0.00000
 1574.00    0.64784   0.00000
 1575.00    0.64733   0.00000
 1576.00    0.64681   0.00000
 1577.00    0.64629   0.00000
 1578.00    0.64578   0.00000
 1579.00    0.64526   0.00000
 1580.00    0.64475   0.00000
 1581.00    0.64423   0.00000
 1582.00    0.64372   0.00000
 1583.00    0.64320   0.00000
 1584.00    0.64269   0.00000
 1585.00    0.64218   0.00000
 1586.00    0.64166   0.00000
 1587.00    0.64115   0.00000
 1588.00    0.64064   0.00000
 1589.00    0.64013   0.00000
 1590.00    0.63961   0.00000
 1591.00    0.63910   0.00000
 1592.00    0.63859   0.00000
 1593.00    0.63808   0.00000
 1594.00    0.63757   0.00000
 1595.00    0.63706   0.00000
 1596.00    0.63655   0.00000
 1597.00    0.63604   0.00000
 1598.00    0.63553   0.00000
 1599.00    0.63502   0.00000
 1600.00    0.63451   0.00000
 1601.00    0.63400   0.00000
 1602.00    0.63350   0.00000
 1603.00    0.63299   0.00000
 1604.00    0.63248   0.00000
 1605.00    0.63197   0.00000
 1606.00    0.63147   0.00000
 1607.00    0.63096   0.00000
 1608.00    0.63046   0.00000
 1609.00    0.62995   0.00000
 1610.00    0.62944   0.00000
 1611.00    0.62894   0.00000
 1612.00    0.62843   0.00000
 1613.00    0.62793   0.00000
 1614.00    0.62743   0.00000
 1615.00    0.62692   0.00000
 1616.00    0.62642   0.00000
 1617.00    0.62592   0.00000
 1618.00    0.62542   0.00000
 1619.00    0.62491   0.00000
 1620.00    0.62441   0.00000
 1621.00    0.62391   0.00000
 1622.00    0.62341   0.00000
 1623.00    0.62291   0.00000
 1624.00    0.62241   0.00000
 1625.00    0.62191   0.00000
 1626.00    0.62141   0.00000
 1627.00    0.62091   0.00000
 1628.00    0.62041   0.00000
 1629.00    0.61991   0.00000
 1630.00    0.61941   0.00000
 1631.00    0.61892   0.00000
 1632.00    0.61842   0.00000
 1633.00    0.61792   0.00000
 1634.00    0.61743   0.00000
 1635.00    0.61693   0.00000
 1636.00    0.61643   0.00000
 1637.00    0.61594   0.00000
 1638.00    0.61544   0.00000
 1639.00    0.61495   0.00000
 1640.00    0.61445   0.00000
 1641.00    0.61396   0.00000
 1642.00    0.61347   0.00000
 1643.00    0.61297   0.00000
 1644.00    0.61248   0.00000
 1645.00    0.61199   0.00000
 1646.00    0.61149   0.00000
 1647.00    0.61100   0.00000
 1648.00    0.61051   0.00000
 1649.00    0.61002   0.00000
 1650.00    0.60953   0.00000
 1651.00    0.60904   0.00000
 1652.00    0.60855   0.00000
 1653.00    0.60806   0.00000
 1654.00    0.60757   0.00000
 1655.00    0.60708   0.00000
 1656.00    0.60659   0.00000
 1657.00    0.60610   0.00000
 1658.00    0.60562   0.00000
 1659.00    0.60513   0.00000
 1660.00    0.60464   0.00000
 1661.00    0.60416   0.00000
 1662.00    0.60367   0.00000
 1663.00    0.60318   0.00000
 1664.00    0.60270   0.00000
 1665.00    0.60221   0.00000
 1666.00    0.60173   0.00000
 1667.00    0.60124   0.00000
 1668.00    0.60076   0.00000
 1669.00    0.60028   0.00000
 1670.00    0.59979   0.00000
 1671.00    0.59931   0.00000
 1672.00    0.59883   0.00000
 1673.00    0.59835   0.00000
 1674.00    0.59786   0.00000
 1675.00    0.59738   0.00000
 1676.00    0.59690   0.00000
 1677.00    0.59642   0.00000
 1678.00    0.59594   0.00000
 1679.00    0.59546   0.00000
 1680.00    0.59498   0.00000
 1681.00    0.59450   0.00000
 1682.00    0.59402   0.00000
 1683.00    0.59354   0.00000
 1684.00    0.59307   0.00000
 1685.00    0.59259   0.00000
 1686.00    0.59211   0.00000
 1687.00    0.59164   0.00000
 1688.00    0.59116   0.00000
 1689.00    0.59068   0.00000
 1690.00    0.59021   0.00000
 1691.00    0.58973   0.00000
 1692.00    0.58926   0.00000
 1693.00    0.58878   0.00000
 1694.00    0.58831   0.00000
 1695.00    0.58783   0.00000
 1696.00    0.58736   0.00000
 1697.00    0.58689   0.00000
 1698.00    0.58641   0.00000
 1699.00    0.58594   0.00000
 1700.00    0.58547   0.00000
 1701.00    0.58500   0.00000
 1702.00    0.58453   0.00000
 1703.00    0.58406   0.00000
 1704.00    0.58359   0.00000
 1705.00    0.58312   0.00000
 1706.00    0.58265   0.00000
 1707.00    0.58218   0.00000
 1708.00    0.58171   0.00000
 1709.00    0.58124   0.00000
 1710.00    0.58077   0.00000
 1711.00    0.58030   0.00000
 1712.00    0.57984   0.00000
 1713.00    0.57937   0.00000
 1714.00    0.57890   0.00000
 1715.00    0.57844   0.00000
 1716.00    0.57797   0.00000
 1717.00    0.57750   0.00000
 1718.00    0.57704   0.00000
 1719.00    0.57657   0.00000
 1720.00    0.57611   0.00000
 1721.00    0.57564   0.00000
 1722.00    0.57518   0.00000
 1723.00    0.57472   0.00000
 1724.00    0.57425   0.00000
 1725.00    0.57379   0.00000
 1726.00    0.57333   0.00000
 1727.00    0.57287   0.00000
 1728.00    0.57241   0.00000
 1729.00    0.57195   0.00000
 1730.00    0.57148   0.00000
 1731.00    0.57102   0.00000
 1732.00    0.57056   0.00000
 1733.00    0.57010   0.00000
 1734.00    0.56964   0.00000
