   W          E2+(pi+_n)
 (MeV)       Re        Im
 1080.00    0.10692   0.00000
 1081.00    0.12139   0.00000
 1082.00    0.13554   0.00000
 1083.00    0.14939   0.00000
 1084.00    0.16293   0.00000
 1085.00    0.17617   0.00000
 1086.00    0.18913   0.00000
 1087.00    0.20180   0.00000
 1088.00    0.21421   0.00000
 1089.00    0.22634   0.00000
 1090.00    0.23822   0.00000
 1091.00    0.24984   0.00000
 1092.00    0.26121   0.00000
 1093.00    0.27234   0.00000
 1094.00    0.28324   0.00000
 1095.00    0.29390   0.00000
 1096.00    0.30434   0.00000
 1097.00    0.31456   0.00000
 1098.00    0.32456   0.00000
 1099.00    0.33435   0.00000
 1100.00    0.34394   0.00000
 1101.00    0.35333   0.00000
 1102.00    0.36252   0.00000
 1103.00    0.37152   0.00000
 1104.00    0.38034   0.00000
 1105.00    0.38897   0.00000
 1106.00    0.39743   0.00000
 1107.00    0.40571   0.00000
 1108.00    0.41382   0.00000
 1109.00    0.42176   0.00000
 1110.00    0.42954   0.00000
 1111.00    0.43716   0.00000
 1112.00    0.44462   0.00000
 1113.00    0.45194   0.00000
 1114.00    0.45910   0.00000
 1115.00    0.46612   0.00000
 1116.00    0.47299   0.00000
 1117.00    0.47973   0.00000
 1118.00    0.48633   0.00000
 1119.00    0.49279   0.00000
 1120.00    0.49913   0.00000
 1121.00    0.50533   0.00000
 1122.00    0.51142   0.00000
 1123.00    0.51737   0.00000
 1124.00    0.52321   0.00000
 1125.00    0.52893   0.00000
 1126.00    0.53454   0.00000
 1127.00    0.54003   0.00000
 1128.00    0.54542   0.00000
 1129.00    0.55069   0.00000
 1130.00    0.55586   0.00000
 1131.00    0.56093   0.00000
 1132.00    0.56589   0.00000
 1133.00    0.57075   0.00000
 1134.00    0.57552   0.00000
 1135.00    0.58019   0.00000
 1136.00    0.58477   0.00000
 1137.00    0.58926   0.00000
 1138.00    0.59365   0.00000
 1139.00    0.59796   0.00000
 1140.00    0.60218   0.00000
 1141.00    0.60632   0.00000
 1142.00    0.61037   0.00000
 1143.00    0.61434   0.00000
 1144.00    0.61824   0.00000
 1145.00    0.62205   0.00000
 1146.00    0.62579   0.00000
 1147.00    0.62945   0.00000
 1148.00    0.63304   0.00000
 1149.00    0.63656   0.00000
 1150.00    0.64000   0.00000
 1151.00    0.64338   0.00000
 1152.00    0.64669   0.00000
 1153.00    0.64993   0.00000
 1154.00    0.65311   0.00000
 1155.00    0.65622   0.00000
 1156.00    0.65926   0.00000
 1157.00    0.66225   0.00000
 1158.00    0.66518   0.00000
 1159.00    0.66804   0.00000
 1160.00    0.67085   0.00000
 1161.00    0.67360   0.00000
 1162.00    0.67629   0.00000
 1163.00    0.67893   0.00000
 1164.00    0.68151   0.00000
 1165.00    0.68404   0.00000
 1166.00    0.68651   0.00000
 1167.00    0.68894   0.00000
 1168.00    0.69132   0.00000
 1169.00    0.69364   0.00000
 1170.00    0.69592   0.00000
 1171.00    0.69815   0.00000
 1172.00    0.70033   0.00000
 1173.00    0.70246   0.00000
 1174.00    0.70455   0.00000
 1175.00    0.70660   0.00000
 1176.00    0.70860   0.00000
 1177.00    0.71056   0.00000
 1178.00    0.71248   0.00000
 1179.00    0.71436   0.00000
 1180.00    0.71619   0.00000
 1181.00    0.71799   0.00000
 1182.00    0.71974   0.00000
 1183.00    0.72146   0.00000
 1184.00    0.72314   0.00000
 1185.00    0.72478   0.00000
 1186.00    0.72639   0.00000
 1187.00    0.72796   0.00000
 1188.00    0.72949   0.00000
 1189.00    0.73099   0.00000
 1190.00    0.73246   0.00000
 1191.00    0.73389   0.00000
 1192.00    0.73529   0.00000
 1193.00    0.73665   0.00000
 1194.00    0.73799   0.00000
 1195.00    0.73929   0.00000
 1196.00    0.74057   0.00000
 1197.00    0.74181   0.00000
 1198.00    0.74302   0.00000
 1199.00    0.74421   0.00000
 1200.00    0.74536   0.00000
 1201.00    0.74649   0.00000
 1202.00    0.74759   0.00000
 1203.00    0.74866   0.00000
 1204.00    0.74970   0.00000
 1205.00    0.75072   0.00000
 1206.00    0.75171   0.00000
 1207.00    0.75268   0.00000
 1208.00    0.75362   0.00000
 1209.00    0.75454   0.00000
 1210.00    0.75543   0.00000
 1211.00    0.75630   0.00000
 1212.00    0.75715   0.00000
 1213.00    0.75797   0.00000
 1214.00    0.75877   0.00000
 1215.00    0.75955   0.00000
 1216.00    0.76030   0.00000
 1217.00    0.76104   0.00000
 1218.00    0.76175   0.00000
 1219.00    0.76244   0.00000
 1220.00    0.76311   0.00000
 1221.00    0.76376   0.00000
 1222.00    0.76439   0.00000
 1223.00    0.76501   0.00000
 1224.00    0.76560   0.00000
 1225.00    0.76617   0.00000
 1226.00    0.76673   0.00000
 1227.00    0.76726   0.00000
 1228.00    0.76778   0.00000
 1229.00    0.76828   0.00000
 1230.00    0.76876   0.00000
 1231.00    0.76923   0.00000
 1232.00    0.76968   0.00000
 1233.00    0.77011   0.00000
 1234.00    0.77053   0.00000
