   W          M2-(pi+_n)
 (MeV)       Re        Im
 1080.00    0.08154   0.00000
 1081.00    0.09308   0.00000
 1082.00    0.10449   0.00000
 1083.00    0.11577   0.00000
 1084.00    0.12694   0.00000
 1085.00    0.13797   0.00000
 1086.00    0.14889   0.00000
 1087.00    0.15969   0.00000
 1088.00    0.17036   0.00000
 1089.00    0.18093   0.00000
 1090.00    0.19137   0.00000
 1091.00    0.20171   0.00000
 1092.00    0.21193   0.00000
 1093.00    0.22203   0.00000
 1094.00    0.23203   0.00000
 1095.00    0.24193   0.00000
 1096.00    0.25171   0.00000
 1097.00    0.26139   0.00000
 1098.00    0.27096   0.00000
 1099.00    0.28043   0.00000
 1100.00    0.28980   0.00000
 1101.00    0.29907   0.00000
 1102.00    0.30824   0.00000
 1103.00    0.31732   0.00000
 1104.00    0.32629   0.00000
 1105.00    0.33517   0.00000
 1106.00    0.34396   0.00000
 1107.00    0.35265   0.00000
 1108.00    0.36125   0.00000
 1109.00    0.36976   0.00000
 1110.00    0.37818   0.00000
 1111.00    0.38651   0.00000
 1112.00    0.39475   0.00000
 1113.00    0.40290   0.00000
 1114.00    0.41097   0.00000
 1115.00    0.41896   0.00000
 1116.00    0.42686   0.00000
 1117.00    0.43468   0.00000
 1118.00    0.44241   0.00000
 1119.00    0.45007   0.00000
 1120.00    0.45764   0.00000
 1121.00    0.46514   0.00000
 1122.00    0.47256   0.00000
 1123.00    0.47990   0.00000
 1124.00    0.48716   0.00000
 1125.00    0.49435   0.00000
 1126.00    0.50146   0.00000
 1127.00    0.50850   0.00000
 1128.00    0.51547   0.00000
 1129.00    0.52237   0.00000
 1130.00    0.52919   0.00000
 1131.00    0.53594   0.00000
 1132.00    0.54263   0.00000
 1133.00    0.54924   0.00000
 1134.00    0.55579   0.00000
 1135.00    0.56227   0.00000
 1136.00    0.56868   0.00000
 1137.00    0.57503   0.00000
 1138.00    0.58131   0.00000
 1139.00    0.58752   0.00000
 1140.00    0.59368   0.00000
 1141.00    0.59977   0.00000
 1142.00    0.60579   0.00000
 1143.00    0.61176   0.00000
 1144.00    0.61767   0.00000
 1145.00    0.62351   0.00000
 1146.00    0.62930   0.00000
 1147.00    0.63502   0.00000
 1148.00    0.64069   0.00000
 1149.00    0.64630   0.00000
 1150.00    0.65185   0.00000
 1151.00    0.65735   0.00000
 1152.00    0.66279   0.00000
 1153.00    0.66817   0.00000
 1154.00    0.67350   0.00000
 1155.00    0.67878   0.00000
 1156.00    0.68400   0.00000
 1157.00    0.68917   0.00000
 1158.00    0.69428   0.00000
 1159.00    0.69935   0.00000
 1160.00    0.70436   0.00000
 1161.00    0.70932   0.00000
 1162.00    0.71423   0.00000
 1163.00    0.71910   0.00000
 1164.00    0.72391   0.00000
 1165.00    0.72867   0.00000
 1166.00    0.73339   0.00000
 1167.00    0.73805   0.00000
 1168.00    0.74268   0.00000
 1169.00    0.74725   0.00000
 1170.00    0.75178   0.00000
 1171.00    0.75626   0.00000
 1172.00    0.76069   0.00000
 1173.00    0.76508   0.00000
 1174.00    0.76943   0.00000
 1175.00    0.77373   0.00000
 1176.00    0.77799   0.00000
 1177.00    0.78220   0.00000
 1178.00    0.78638   0.00000
 1179.00    0.79051   0.00000
 1180.00    0.79460   0.00000
 1181.00    0.79864   0.00000
 1182.00    0.80265   0.00000
 1183.00    0.80661   0.00000
 1184.00    0.81054   0.00000
 1185.00    0.81442   0.00000
 1186.00    0.81827   0.00000
 1187.00    0.82207   0.00000
 1188.00    0.82584   0.00000
 1189.00    0.82957   0.00000
 1190.00    0.83326   0.00000
 1191.00    0.83692   0.00000
 1192.00    0.84053   0.00000
 1193.00    0.84411   0.00000
 1194.00    0.84765   0.00000
 1195.00    0.85116   0.00000
 1196.00    0.85463   0.00000
 1197.00    0.85807   0.00000
 1198.00    0.86147   0.00000
 1199.00    0.86483   0.00000
 1200.00    0.86817   0.00000
 1201.00    0.87146   0.00000
 1202.00    0.87473   0.00000
 1203.00    0.87796   0.00000
 1204.00    0.88115   0.00000
 1205.00    0.88432   0.00000
 1206.00    0.88745   0.00000
 1207.00    0.89055   0.00000
 1208.00    0.89361   0.00000
 1209.00    0.89665   0.00000
 1210.00    0.89965   0.00000
 1211.00    0.90263   0.00000
 1212.00    0.90557   0.00000
 1213.00    0.90848   0.00000
 1214.00    0.91136   0.00000
 1215.00    0.91421   0.00000
 1216.00    0.91703   0.00000
 1217.00    0.91983   0.00000
 1218.00    0.92259   0.00000
 1219.00    0.92533   0.00000
 1220.00    0.92803   0.00000
 1221.00    0.93071   0.00000
 1222.00    0.93336   0.00000
 1223.00    0.93598   0.00000
 1224.00    0.93857   0.00000
 1225.00    0.94114   0.00000
 1226.00    0.94368   0.00000
 1227.00    0.94619   0.00000
 1228.00    0.94868   0.00000
 1229.00    0.95114   0.00000
 1230.00    0.95358   0.00000
 1231.00    0.95598   0.00000
 1232.00    0.95837   0.00000
 1233.00    0.96072   0.00000
 1234.00    0.96306   0.00000
 1235.00    0.96536   0.00000
 1236.00    0.96765   0.00000
 1237.00    0.96990   0.00000
 1238.00    0.97214   0.00000
 1239.00    0.97435   0.00000
 1240.00    0.97653   0.00000
 1241.00    0.97870   0.00000
 1242.00    0.98084   0.00000
 1243.00    0.98295   0.00000
 1244.00    0.98504   0.00000
 1245.00    0.98711   0.00000
 1246.00    0.98916   0.00000
 1247.00    0.99118   0.00000
 1248.00    0.99319   0.00000
 1249.00    0.99517   0.00000
 1250.00    0.99713   0.00000
 1251.00    0.99906   0.00000
 1252.00    1.00098   0.00000
 1253.00    1.00287   0.00000
 1254.00    1.00474   0.00000
 1255.00    1.00660   0.00000
