   W          M2-(pi+_n)
 (MeV)       Re        Im
 1080.00    0.08193   0.00000
 1081.00    0.09353   0.00000
 1082.00    0.10501   0.00000
 1083.00    0.11636   0.00000
 1084.00    0.12760   0.00000
 1085.00    0.13871   0.00000
 1086.00    0.14970   0.00000
 1087.00    0.16057   0.00000
 1088.00    0.17133   0.00000
 1089.00    0.18197   0.00000
 1090.00    0.19250   0.00000
 1091.00    0.20291   0.00000
 1092.00    0.21322   0.00000
 1093.00    0.22342   0.00000
 1094.00    0.23351   0.00000
 1095.00    0.24349   0.00000
 1096.00    0.25337   0.00000
 1097.00    0.26314   0.00000
 1098.00    0.27282   0.00000
 1099.00    0.28239   0.00000
 1100.00    0.29186   0.00000
 1101.00    0.30124   0.00000
 1102.00    0.31052   0.00000
 1103.00    0.31970   0.00000
 1104.00    0.32879   0.00000
 1105.00    0.33778   0.00000
 1106.00    0.34668   0.00000
 1107.00    0.35549   0.00000
 1108.00    0.36422   0.00000
 1109.00    0.37285   0.00000
 1110.00    0.38139   0.00000
 1111.00    0.38985   0.00000
 1112.00    0.39822   0.00000
 1113.00    0.40651   0.00000
 1114.00    0.41472   0.00000
 1115.00    0.42284   0.00000
 1116.00    0.43088   0.00000
 1117.00    0.43884   0.00000
 1118.00    0.44672   0.00000
 1119.00    0.45453   0.00000
 1120.00    0.46225   0.00000
 1121.00    0.46990   0.00000
 1122.00    0.47747   0.00000
 1123.00    0.48497   0.00000
 1124.00    0.49240   0.00000
 1125.00    0.49975   0.00000
 1126.00    0.50703   0.00000
 1127.00    0.51424   0.00000
 1128.00    0.52138   0.00000
 1129.00    0.52844   0.00000
 1130.00    0.53544   0.00000
 1131.00    0.54238   0.00000
 1132.00    0.54924   0.00000
 1133.00    0.55604   0.00000
 1134.00    0.56277   0.00000
 1135.00    0.56944   0.00000
 1136.00    0.57605   0.00000
 1137.00    0.58259   0.00000
 1138.00    0.58907   0.00000
 1139.00    0.59549   0.00000
 1140.00    0.60184   0.00000
 1141.00    0.60814   0.00000
 1142.00    0.61438   0.00000
 1143.00    0.62055   0.00000
 1144.00    0.62667   0.00000
 1145.00    0.63273   0.00000
 1146.00    0.63874   0.00000
 1147.00    0.64469   0.00000
 1148.00    0.65058   0.00000
 1149.00    0.65642   0.00000
 1150.00    0.66220   0.00000
 1151.00    0.66793   0.00000
 1152.00    0.67361   0.00000
 1153.00    0.67923   0.00000
 1154.00    0.68481   0.00000
 1155.00    0.69033   0.00000
 1156.00    0.69580   0.00000
 1157.00    0.70122   0.00000
 1158.00    0.70659   0.00000
 1159.00    0.71191   0.00000
 1160.00    0.71718   0.00000
 1161.00    0.72241   0.00000
 1162.00    0.72759   0.00000
 1163.00    0.73272   0.00000
 1164.00    0.73780   0.00000
 1165.00    0.74284   0.00000
 1166.00    0.74783   0.00000
 1167.00    0.75278   0.00000
 1168.00    0.75768   0.00000
 1169.00    0.76255   0.00000
 1170.00    0.76736   0.00000
 1171.00    0.77214   0.00000
 1172.00    0.77687   0.00000
 1173.00    0.78156   0.00000
 1174.00    0.78620   0.00000
 1175.00    0.79081   0.00000
 1176.00    0.79538   0.00000
 1177.00    0.79990   0.00000
 1178.00    0.80439   0.00000
 1179.00    0.80883   0.00000
 1180.00    0.81324   0.00000
 1181.00    0.81761   0.00000
 1182.00    0.82194   0.00000
 1183.00    0.82624   0.00000
 1184.00    0.83049   0.00000
 1185.00    0.83471   0.00000
 1186.00    0.83890   0.00000
 1187.00    0.84304   0.00000
 1188.00    0.84715   0.00000
 1189.00    0.85123   0.00000
 1190.00    0.85527   0.00000
 1191.00    0.85928   0.00000
 1192.00    0.86325   0.00000
 1193.00    0.86719   0.00000
 1194.00    0.87109   0.00000
 1195.00    0.87497   0.00000
 1196.00    0.87881   0.00000
 1197.00    0.88261   0.00000
 1198.00    0.88639   0.00000
 1199.00    0.89013   0.00000
 1200.00    0.89384   0.00000
 1201.00    0.89752   0.00000
 1202.00    0.90117   0.00000
 1203.00    0.90479   0.00000
 1204.00    0.90838   0.00000
 1205.00    0.91194   0.00000
 1206.00    0.91547   0.00000
 1207.00    0.91897   0.00000
 1208.00    0.92244   0.00000
 1209.00    0.92588   0.00000
 1210.00    0.92930   0.00000
 1211.00    0.93268   0.00000
 1212.00    0.93604   0.00000
 1213.00    0.93937   0.00000
 1214.00    0.94268   0.00000
 1215.00    0.94596   0.00000
 1216.00    0.94921   0.00000
 1217.00    0.95243   0.00000
 1218.00    0.95563   0.00000
 1219.00    0.95880   0.00000
 1220.00    0.96195   0.00000
 1221.00    0.96507   0.00000
 1222.00    0.96817   0.00000
 1223.00    0.97124   0.00000
 1224.00    0.97428   0.00000
 1225.00    0.97731   0.00000
 1226.00    0.98031   0.00000
 1227.00    0.98328   0.00000
 1228.00    0.98623   0.00000
 1229.00    0.98916   0.00000
 1230.00    0.99206   0.00000
 1231.00    0.99495   0.00000
 1232.00    0.99781   0.00000
 1233.00    1.00064   0.00000
 1234.00    1.00346   0.00000
 1235.00    1.00625   0.00000
 1236.00    1.00902   0.00000
 1237.00    1.01177   0.00000
 1238.00    1.01450   0.00000
 1239.00    1.01720   0.00000
 1240.00    1.01989   0.00000
 1241.00    1.02256   0.00000
 1242.00    1.02520   0.00000
 1243.00    1.02782   0.00000
 1244.00    1.03043   0.00000
 1245.00    1.03301   0.00000
 1246.00    1.03558   0.00000
 1247.00    1.03812   0.00000
 1248.00    1.04065   0.00000
 1249.00    1.04315   0.00000
 1250.00    1.04564   0.00000
 1251.00    1.04811   0.00000
 1252.00    1.05056   0.00000
 1253.00    1.05299   0.00000
 1254.00    1.05540   0.00000
 1255.00    1.05780   0.00000
 1256.00    1.06018   0.00000
 1257.00    1.06254   0.00000
 1258.00    1.06488   0.00000
 1259.00    1.06720   0.00000
 1260.00    1.06951   0.00000
 1261.00    1.07180   0.00000
 1262.00    1.07407   0.00000
 1263.00    1.07633   0.00000
 1264.00    1.07857   0.00000
 1265.00    1.08079   0.00000
 1266.00    1.08300   0.00000
 1267.00    1.08519   0.00000
 1268.00    1.08736   0.00000
 1269.00    1.08952   0.00000
 1270.00    1.09166   0.00000
 1271.00    1.09379   0.00000
 1272.00    1.09590   0.00000
 1273.00    1.09800   0.00000
 1274.00    1.10008   0.00000
 1275.00    1.10215   0.00000
 1276.00    1.10420   0.00000
 1277.00    1.10624   0.00000
 1278.00    1.10826   0.00000
 1279.00    1.11027   0.00000
 1280.00    1.11226   0.00000
 1281.00    1.11424   0.00000
 1282.00    1.11621   0.00000
 1283.00    1.11816   0.00000
 1284.00    1.12010   0.00000
 1285.00    1.12202   0.00000
 1286.00    1.12393   0.00000
 1287.00    1.12583   0.00000
 1288.00    1.12771   0.00000
 1289.00    1.12958   0.00000
 1290.00    1.13144   0.00000
 1291.00    1.13329   0.00000
 1292.00    1.13512   0.00000
 1293.00    1.13694   0.00000
 1294.00    1.13874   0.00000
 1295.00    1.14054   0.00000
 1296.00    1.14232   0.00000
 1297.00    1.14409   0.00000
 1298.00    1.14585   0.00000
 1299.00    1.14759   0.00000
 1300.00    1.14932   0.00000
 1301.00    1.15105   0.00000
 1302.00    1.15275   0.00000
 1303.00    1.15445   0.00000
 1304.00    1.15614   0.00000
 1305.00    1.15781   0.00000
 1306.00    1.15948   0.00000
 1307.00    1.16113   0.00000
 1308.00    1.16277   0.00000
 1309.00    1.16440   0.00000
 1310.00    1.16602   0.00000
 1311.00    1.16763   0.00000
 1312.00    1.16923   0.00000
 1313.00    1.17081   0.00000
 1314.00    1.17239   0.00000
 1315.00    1.17395   0.00000
 1316.00    1.17551   0.00000
 1317.00    1.17705   0.00000
 1318.00    1.17859   0.00000
 1319.00    1.18011   0.00000
 1320.00    1.18163   0.00000
 1321.00    1.18313   0.00000
 1322.00    1.18463   0.00000
 1323.00    1.18611   0.00000
 1324.00    1.18759   0.00000
 1325.00    1.18905   0.00000
 1326.00    1.19051   0.00000
