   W          M2+(pi+_n)
 (MeV)       Re        Im
 1080.00   -0.04815   0.00000
 1081.00   -0.05491   0.00000
 1082.00   -0.06158   0.00000
 1083.00   -0.06817   0.00000
 1084.00   -0.07466   0.00000
 1085.00   -0.08107   0.00000
 1086.00   -0.08740   0.00000
 1087.00   -0.09364   0.00000
 1088.00   -0.09980   0.00000
 1089.00   -0.10588   0.00000
 1090.00   -0.11188   0.00000
 1091.00   -0.11780   0.00000
 1092.00   -0.12364   0.00000
 1093.00   -0.12940   0.00000
 1094.00   -0.13509   0.00000
 1095.00   -0.14070   0.00000
 1096.00   -0.14623   0.00000
 1097.00   -0.15169   0.00000
 1098.00   -0.15708   0.00000
 1099.00   -0.16240   0.00000
 1100.00   -0.16765   0.00000
 1101.00   -0.17282   0.00000
 1102.00   -0.17793   0.00000
 1103.00   -0.18296   0.00000
 1104.00   -0.18793   0.00000
 1105.00   -0.19284   0.00000
 1106.00   -0.19767   0.00000
 1107.00   -0.20244   0.00000
 1108.00   -0.20715   0.00000
 1109.00   -0.21179   0.00000
 1110.00   -0.21637   0.00000
 1111.00   -0.22088   0.00000
 1112.00   -0.22534   0.00000
 1113.00   -0.22973   0.00000
 1114.00   -0.23406   0.00000
 1115.00   -0.23834   0.00000
 1116.00   -0.24255   0.00000
 1117.00   -0.24671   0.00000
 1118.00   -0.25080   0.00000
 1119.00   -0.25485   0.00000
 1120.00   -0.25883   0.00000
 1121.00   -0.26276   0.00000
 1122.00   -0.26663   0.00000
 1123.00   -0.27045   0.00000
 1124.00   -0.27422   0.00000
 1125.00   -0.27793   0.00000
 1126.00   -0.28159   0.00000
 1127.00   -0.28520   0.00000
 1128.00   -0.28876   0.00000
 1129.00   -0.29226   0.00000
 1130.00   -0.29572   0.00000
 1131.00   -0.29912   0.00000
 1132.00   -0.30248   0.00000
 1133.00   -0.30578   0.00000
 1134.00   -0.30904   0.00000
 1135.00   -0.31226   0.00000
 1136.00   -0.31542   0.00000
 1137.00   -0.31854   0.00000
 1138.00   -0.32161   0.00000
 1139.00   -0.32463   0.00000
 1140.00   -0.32761   0.00000
 1141.00   -0.33055   0.00000
 1142.00   -0.33344   0.00000
 1143.00   -0.33629   0.00000
 1144.00   -0.33909   0.00000
 1145.00   -0.34186   0.00000
 1146.00   -0.34457   0.00000
 1147.00   -0.34725   0.00000
 1148.00   -0.34989   0.00000
 1149.00   -0.35248   0.00000
 1150.00   -0.35504   0.00000
 1151.00   -0.35755   0.00000
 1152.00   -0.36003   0.00000
 1153.00   -0.36246   0.00000
 1154.00   -0.36486   0.00000
 1155.00   -0.36721   0.00000
 1156.00   -0.36953   0.00000
 1157.00   -0.37181   0.00000
 1158.00   -0.37406   0.00000
 1159.00   -0.37627   0.00000
 1160.00   -0.37844   0.00000
 1161.00   -0.38057   0.00000
 1162.00   -0.38267   0.00000
 1163.00   -0.38473   0.00000
 1164.00   -0.38676   0.00000
 1165.00   -0.38875   0.00000
 1166.00   -0.39071   0.00000
 1167.00   -0.39263   0.00000
 1168.00   -0.39453   0.00000
 1169.00   -0.39638   0.00000
 1170.00   -0.39821   0.00000
 1171.00   -0.40000   0.00000
 1172.00   -0.40176   0.00000
 1173.00   -0.40348   0.00000
 1174.00   -0.40518   0.00000
 1175.00   -0.40684   0.00000
 1176.00   -0.40847   0.00000
 1177.00   -0.41008   0.00000
 1178.00   -0.41165   0.00000
 1179.00   -0.41319   0.00000
 1180.00   -0.41470   0.00000
 1181.00   -0.41618   0.00000
 1182.00   -0.41763   0.00000
 1183.00   -0.41905   0.00000
 1184.00   -0.42045   0.00000
 1185.00   -0.42181   0.00000
 1186.00   -0.42315   0.00000
 1187.00   -0.42446   0.00000
 1188.00   -0.42574   0.00000
 1189.00   -0.42699   0.00000
 1190.00   -0.42822   0.00000
 1191.00   -0.42942   0.00000
 1192.00   -0.43059   0.00000
 1193.00   -0.43173   0.00000
 1194.00   -0.43286   0.00000
 1195.00   -0.43395   0.00000
 1196.00   -0.43502   0.00000
 1197.00   -0.43606   0.00000
 1198.00   -0.43708   0.00000
 1199.00   -0.43807   0.00000
 1200.00   -0.43904   0.00000
 1201.00   -0.43998   0.00000
 1202.00   -0.44090   0.00000
 1203.00   -0.44180   0.00000
 1204.00   -0.44267   0.00000
 1205.00   -0.44352   0.00000
 1206.00   -0.44434   0.00000
 1207.00   -0.44514   0.00000
 1208.00   -0.44592   0.00000
 1209.00   -0.44668   0.00000
 1210.00   -0.44741   0.00000
 1211.00   -0.44812   0.00000
 1212.00   -0.44881   0.00000
 1213.00   -0.44948   0.00000
 1214.00   -0.45012   0.00000
 1215.00   -0.45074   0.00000
 1216.00   -0.45135   0.00000
 1217.00   -0.45193   0.00000
 1218.00   -0.45249   0.00000
 1219.00   -0.45303   0.00000
 1220.00   -0.45355   0.00000
 1221.00   -0.45405   0.00000
 1222.00   -0.45452   0.00000
 1223.00   -0.45498   0.00000
 1224.00   -0.45542   0.00000
 1225.00   -0.45584   0.00000
 1226.00   -0.45624   0.00000
 1227.00   -0.45662   0.00000
 1228.00   -0.45698   0.00000
 1229.00   -0.45732   0.00000
 1230.00   -0.45765   0.00000
 1231.00   -0.45795   0.00000
 1232.00   -0.45824   0.00000
 1233.00   -0.45850   0.00000
 1234.00   -0.45875   0.00000
 1235.00   -0.45899   0.00000
 1236.00   -0.45920   0.00000
 1237.00   -0.45940   0.00000
 1238.00   -0.45958   0.00000
 1239.00   -0.45974   0.00000
 1240.00   -0.45988   0.00000
 1241.00   -0.46001   0.00000
 1242.00   -0.46012   0.00000
 1243.00   -0.46021   0.00000
 1244.00   -0.46029   0.00000
 1245.00   -0.46035   0.00000
 1246.00   -0.46040   0.00000
 1247.00   -0.46042   0.00000
 1248.00   -0.46044   0.00000
 1249.00   -0.46043   0.00000
 1250.00   -0.46041   0.00000
 1251.00   -0.46038   0.00000
 1252.00   -0.46033   0.00000
 1253.00   -0.46026   0.00000
 1254.00   -0.46018   0.00000
 1255.00   -0.46009   0.00000
 1256.00   -0.45998   0.00000
 1257.00   -0.45985   0.00000
 1258.00   -0.45971   0.00000
 1259.00   -0.45956   0.00000
 1260.00   -0.45939   0.00000
 1261.00   -0.45920   0.00000
 1262.00   -0.45901   0.00000
 1263.00   -0.45879   0.00000
 1264.00   -0.45857   0.00000
 1265.00   -0.45833   0.00000
 1266.00   -0.45808   0.00000
 1267.00   -0.45781   0.00000
 1268.00   -0.45753   0.00000
 1269.00   -0.45724   0.00000
 1270.00   -0.45693   0.00000
 1271.00   -0.45661   0.00000
 1272.00   -0.45628   0.00000
 1273.00   -0.45593   0.00000
 1274.00   -0.45557   0.00000
 1275.00   -0.45520   0.00000
 1276.00   -0.45482   0.00000
 1277.00   -0.45442   0.00000
 1278.00   -0.45401   0.00000
 1279.00   -0.45359   0.00000
 1280.00   -0.45316   0.00000
 1281.00   -0.45271   0.00000
 1282.00   -0.45226   0.00000
 1283.00   -0.45179   0.00000
 1284.00   -0.45131   0.00000
 1285.00   -0.45081   0.00000
 1286.00   -0.45031   0.00000
 1287.00   -0.44980   0.00000
 1288.00   -0.44927   0.00000
 1289.00   -0.44873   0.00000
 1290.00   -0.44818   0.00000
 1291.00   -0.44762   0.00000
 1292.00   -0.44705   0.00000
 1293.00   -0.44647   0.00000
 1294.00   -0.44588   0.00000
 1295.00   -0.44527   0.00000
 1296.00   -0.44466   0.00000
 1297.00   -0.44403   0.00000
 1298.00   -0.44340   0.00000
 1299.00   -0.44275   0.00000
 1300.00   -0.44210   0.00000
 1301.00   -0.44143   0.00000
 1302.00   -0.44075   0.00000
 1303.00   -0.44007   0.00000
 1304.00   -0.43937   0.00000
 1305.00   -0.43867   0.00000
 1306.00   -0.43795   0.00000
 1307.00   -0.43723   0.00000
 1308.00   -0.43649   0.00000
 1309.00   -0.43575   0.00000
 1310.00   -0.43499   0.00000
 1311.00   -0.43423   0.00000
 1312.00   -0.43346   0.00000
 1313.00   -0.43267   0.00000
 1314.00   -0.43188   0.00000
 1315.00   -0.43108   0.00000
 1316.00   -0.43027   0.00000
 1317.00   -0.42946   0.00000
 1318.00   -0.42863   0.00000
 1319.00   -0.42779   0.00000
 1320.00   -0.42695   0.00000
 1321.00   -0.42610   0.00000
 1322.00   -0.42524   0.00000
 1323.00   -0.42437   0.00000
 1324.00   -0.42349   0.00000
 1325.00   -0.42260   0.00000
 1326.00   -0.42171   0.00000
 1327.00   -0.42080   0.00000
 1328.00   -0.41989   0.00000
 1329.00   -0.41897   0.00000
 1330.00   -0.41804   0.00000
 1331.00   -0.41711   0.00000
 1332.00   -0.41617   0.00000
 1333.00   -0.41521   0.00000
 1334.00   -0.41426   0.00000
 1335.00   -0.41329   0.00000
 1336.00   -0.41232   0.00000
 1337.00   -0.41133   0.00000
 1338.00   -0.41034   0.00000
 1339.00   -0.40935   0.00000
 1340.00   -0.40834   0.00000
 1341.00   -0.40733   0.00000
 1342.00   -0.40631   0.00000
 1343.00   -0.40529   0.00000
 1344.00   -0.40426   0.00000
 1345.00   -0.40322   0.00000
 1346.00   -0.40217   0.00000
 1347.00   -0.40111   0.00000
 1348.00   -0.40005   0.00000
 1349.00   -0.39899   0.00000
 1350.00   -0.39791   0.00000
 1351.00   -0.39683   0.00000
 1352.00   -0.39574   0.00000
 1353.00   -0.39465   0.00000
 1354.00   -0.39355   0.00000
 1355.00   -0.39244   0.00000
 1356.00   -0.39133   0.00000
 1357.00   -0.39020   0.00000
 1358.00   -0.38908   0.00000
 1359.00   -0.38794   0.00000
 1360.00   -0.38681   0.00000
 1361.00   -0.38566   0.00000
 1362.00   -0.38451   0.00000
 1363.00   -0.38335   0.00000
 1364.00   -0.38219   0.00000
 1365.00   -0.38102   0.00000
 1366.00   -0.37984   0.00000
 1367.00   -0.37866   0.00000
 1368.00   -0.37747   0.00000
 1369.00   -0.37628   0.00000
 1370.00   -0.37508   0.00000
 1371.00   -0.37387   0.00000
 1372.00   -0.37266   0.00000
 1373.00   -0.37145   0.00000
 1374.00   -0.37022   0.00000
 1375.00   -0.36900   0.00000
 1376.00   -0.36776   0.00000
 1377.00   -0.36653   0.00000
 1378.00   -0.36528   0.00000
 1379.00   -0.36403   0.00000
 1380.00   -0.36278   0.00000
 1381.00   -0.36152   0.00000
 1382.00   -0.36026   0.00000
 1383.00   -0.35899   0.00000
 1384.00   -0.35771   0.00000
 1385.00   -0.35643   0.00000
 1386.00   -0.35515   0.00000
 1387.00   -0.35386   0.00000
 1388.00   -0.35256   0.00000
 1389.00   -0.35126   0.00000
 1390.00   -0.34996   0.00000
 1391.00   -0.34865   0.00000
 1392.00   -0.34733   0.00000
 1393.00   -0.34601   0.00000
 1394.00   -0.34469   0.00000
 1395.00   -0.34336   0.00000
 1396.00   -0.34203   0.00000
 1397.00   -0.34069   0.00000
 1398.00   -0.33935   0.00000
 1399.00   -0.33800   0.00000
 1400.00   -0.33665   0.00000
 1401.00   -0.33529   0.00000
 1402.00   -0.33393   0.00000
 1403.00   -0.33257   0.00000
 1404.00   -0.33120   0.00000
 1405.00   -0.32983   0.00000
 1406.00   -0.32845   0.00000
 1407.00   -0.32707   0.00000
 1408.00   -0.32568   0.00000
 1409.00   -0.32429   0.00000
 1410.00   -0.32290   0.00000
 1411.00   -0.32150   0.00000
 1412.00   -0.32010   0.00000
 1413.00   -0.31869   0.00000
 1414.00   -0.31728   0.00000
 1415.00   -0.31586   0.00000
 1416.00   -0.31445   0.00000
 1417.00   -0.31302   0.00000
 1418.00   -0.31160   0.00000
 1419.00   -0.31017   0.00000
 1420.00   -0.30874   0.00000
 1421.00   -0.30730   0.00000
 1422.00   -0.30586   0.00000
 1423.00   -0.30441   0.00000
 1424.00   -0.30296   0.00000
 1425.00   -0.30151   0.00000
 1426.00   -0.30006   0.00000
 1427.00   -0.29860   0.00000
 1428.00   -0.29714   0.00000
 1429.00   -0.29567   0.00000
 1430.00   -0.29420   0.00000
 1431.00   -0.29273   0.00000
 1432.00   -0.29125   0.00000
 1433.00   -0.28977   0.00000
 1434.00   -0.28829   0.00000
 1435.00   -0.28680   0.00000
 1436.00   -0.28531   0.00000
 1437.00   -0.28382   0.00000
 1438.00   -0.28232   0.00000
 1439.00   -0.28082   0.00000
 1440.00   -0.27932   0.00000
 1441.00   -0.27782   0.00000
 1442.00   -0.27631   0.00000
 1443.00   -0.27479   0.00000
 1444.00   -0.27328   0.00000
 1445.00   -0.27176   0.00000
 1446.00   -0.27024   0.00000
 1447.00   -0.26872   0.00000
 1448.00   -0.26719   0.00000
 1449.00   -0.26566   0.00000
 1450.00   -0.26413   0.00000
 1451.00   -0.26259   0.00000
 1452.00   -0.26105   0.00000
 1453.00   -0.25951   0.00000
 1454.00   -0.25797   0.00000
 1455.00   -0.25642   0.00000
 1456.00   -0.25487   0.00000
 1457.00   -0.25332   0.00000
 1458.00   -0.25177   0.00000
 1459.00   -0.25021   0.00000
 1460.00   -0.24865   0.00000
 1461.00   -0.24709   0.00000
 1462.00   -0.24552   0.00000
 1463.00   -0.24395   0.00000
 1464.00   -0.24238   0.00000
 1465.00   -0.24081   0.00000
 1466.00   -0.23923   0.00000
 1467.00   -0.23765   0.00000
 1468.00   -0.23607   0.00000
 1469.00   -0.23449   0.00000
 1470.00   -0.23291   0.00000
 1471.00   -0.23132   0.00000
 1472.00   -0.22973   0.00000
 1473.00   -0.22814   0.00000
 1474.00   -0.22654   0.00000
 1475.00   -0.22494   0.00000
 1476.00   -0.22334   0.00000
 1477.00   -0.22174   0.00000
 1478.00   -0.22014   0.00000
 1479.00   -0.21853   0.00000
 1480.00   -0.21693   0.00000
 1481.00   -0.21532   0.00000
 1482.00   -0.21370   0.00000
 1483.00   -0.21209   0.00000
 1484.00   -0.21047   0.00000
 1485.00   -0.20885   0.00000
 1486.00   -0.20723   0.00000
 1487.00   -0.20561   0.00000
 1488.00   -0.20398   0.00000
 1489.00   -0.20236   0.00000
 1490.00   -0.20073   0.00000
 1491.00   -0.19910   0.00000
 1492.00   -0.19746   0.00000
 1493.00   -0.19583   0.00000
 1494.00   -0.19419   0.00000
 1495.00   -0.19256   0.00000
 1496.00   -0.19092   0.00000
 1497.00   -0.18927   0.00000
 1498.00   -0.18763   0.00000
 1499.00   -0.18598   0.00000
 1500.00   -0.18434   0.00000
 1501.00   -0.18269   0.00000
 1502.00   -0.18104   0.00000
 1503.00   -0.17938   0.00000
 1504.00   -0.17773   0.00000
 1505.00   -0.17607   0.00000
 1506.00   -0.17441   0.00000
 1507.00   -0.17275   0.00000
 1508.00   -0.17109   0.00000
 1509.00   -0.16943   0.00000
 1510.00   -0.16777   0.00000
 1511.00   -0.16610   0.00000
 1512.00   -0.16443   0.00000
 1513.00   -0.16276   0.00000
 1514.00   -0.16109   0.00000
 1515.00   -0.15942   0.00000
 1516.00   -0.15775   0.00000
 1517.00   -0.15607   0.00000
 1518.00   -0.15440   0.00000
 1519.00   -0.15272   0.00000
 1520.00   -0.15104   0.00000
 1521.00   -0.14936   0.00000
 1522.00   -0.14767   0.00000
 1523.00   -0.14599   0.00000
 1524.00   -0.14431   0.00000
 1525.00   -0.14262   0.00000
 1526.00   -0.14093   0.00000
 1527.00   -0.13924   0.00000
 1528.00   -0.13755   0.00000
 1529.00   -0.13586   0.00000
 1530.00   -0.13417   0.00000
 1531.00   -0.13247   0.00000
 1532.00   -0.13078   0.00000
 1533.00   -0.12908   0.00000
 1534.00   -0.12738   0.00000
 1535.00   -0.12568   0.00000
 1536.00   -0.12398   0.00000
 1537.00   -0.12228   0.00000
 1538.00   -0.12058   0.00000
 1539.00   -0.11888   0.00000
 1540.00   -0.11717   0.00000
 1541.00   -0.11547   0.00000
 1542.00   -0.11376   0.00000
 1543.00   -0.11205   0.00000
 1544.00   -0.11034   0.00000
 1545.00   -0.10863   0.00000
 1546.00   -0.10692   0.00000
 1547.00   -0.10521   0.00000
 1548.00   -0.10349   0.00000
 1549.00   -0.10178   0.00000
 1550.00   -0.10006   0.00000
 1551.00   -0.09835   0.00000
 1552.00   -0.09663   0.00000
 1553.00   -0.09491   0.00000
 1554.00   -0.09319   0.00000
 1555.00   -0.09147   0.00000
 1556.00   -0.08975   0.00000
 1557.00   -0.08803   0.00000
 1558.00   -0.08631   0.00000
 1559.00   -0.08458   0.00000
 1560.00   -0.08286   0.00000
 1561.00   -0.08113   0.00000
 1562.00   -0.07941   0.00000
 1563.00   -0.07768   0.00000
 1564.00   -0.07595   0.00000
 1565.00   -0.07422   0.00000
 1566.00   -0.07249   0.00000
 1567.00   -0.07076   0.00000
 1568.00   -0.06903   0.00000
 1569.00   -0.06730   0.00000
 1570.00   -0.06557   0.00000
 1571.00   -0.06384   0.00000
 1572.00   -0.06210   0.00000
 1573.00   -0.06037   0.00000
 1574.00   -0.05863   0.00000
 1575.00   -0.05690   0.00000
 1576.00   -0.05516   0.00000
 1577.00   -0.05342   0.00000
 1578.00   -0.05168   0.00000
 1579.00   -0.04994   0.00000
 1580.00   -0.04821   0.00000
 1581.00   -0.04647   0.00000
 1582.00   -0.04473   0.00000
 1583.00   -0.04298   0.00000
 1584.00   -0.04124   0.00000
 1585.00   -0.03950   0.00000
 1586.00   -0.03776   0.00000
 1587.00   -0.03601   0.00000
 1588.00   -0.03427   0.00000
 1589.00   -0.03253   0.00000
 1590.00   -0.03078   0.00000
 1591.00   -0.02904   0.00000
 1592.00   -0.02729   0.00000
 1593.00   -0.02554   0.00000
 1594.00   -0.02380   0.00000
 1595.00   -0.02205   0.00000
 1596.00   -0.02030   0.00000
 1597.00   -0.01855   0.00000
 1598.00   -0.01681   0.00000
 1599.00   -0.01506   0.00000
 1600.00   -0.01331   0.00000
 1601.00   -0.01156   0.00000
 1602.00   -0.00981   0.00000
 1603.00   -0.00806   0.00000
 1604.00   -0.00631   0.00000
 1605.00   -0.00456   0.00000
 1606.00   -0.00280   0.00000
 1607.00   -0.00105   0.00000
 1608.00    0.00070   0.00000
 1609.00    0.00245   0.00000
 1610.00    0.00421   0.00000
 1611.00    0.00596   0.00000
 1612.00    0.00771   0.00000
 1613.00    0.00947   0.00000
 1614.00    0.01122   0.00000
 1615.00    0.01298   0.00000
 1616.00    0.01473   0.00000
 1617.00    0.01649   0.00000
 1618.00    0.01824   0.00000
 1619.00    0.02000   0.00000
 1620.00    0.02175   0.00000
 1621.00    0.02351   0.00000
 1622.00    0.02526   0.00000
 1623.00    0.02702   0.00000
 1624.00    0.02878   0.00000
 1625.00    0.03053   0.00000
 1626.00    0.03229   0.00000
 1627.00    0.03405   0.00000
 1628.00    0.03580   0.00000
 1629.00    0.03756   0.00000
 1630.00    0.03932   0.00000
 1631.00    0.04108   0.00000
 1632.00    0.04283   0.00000
 1633.00    0.04459   0.00000
 1634.00    0.04635   0.00000
 1635.00    0.04811   0.00000
 1636.00    0.04987   0.00000
 1637.00    0.05163   0.00000
 1638.00    0.05338   0.00000
 1639.00    0.05514   0.00000
 1640.00    0.05690   0.00000
 1641.00    0.05866   0.00000
 1642.00    0.06042   0.00000
 1643.00    0.06218   0.00000
 1644.00    0.06393   0.00000
 1645.00    0.06569   0.00000
 1646.00    0.06745   0.00000
 1647.00    0.06921   0.00000
 1648.00    0.07097   0.00000
 1649.00    0.07273   0.00000
 1650.00    0.07449   0.00000
 1651.00    0.07625   0.00000
 1652.00    0.07800   0.00000
 1653.00    0.07976   0.00000
 1654.00    0.08152   0.00000
 1655.00    0.08328   0.00000
 1656.00    0.08504   0.00000
 1657.00    0.08680   0.00000
 1658.00    0.08856   0.00000
 1659.00    0.09031   0.00000
 1660.00    0.09207   0.00000
 1661.00    0.09383   0.00000
 1662.00    0.09559   0.00000
 1663.00    0.09735   0.00000
 1664.00    0.09911   0.00000
 1665.00    0.10086   0.00000
 1666.00    0.10262   0.00000
 1667.00    0.10438   0.00000
 1668.00    0.10614   0.00000
 1669.00    0.10789   0.00000
 1670.00    0.10965   0.00000
 1671.00    0.11141   0.00000
 1672.00    0.11316   0.00000
 1673.00    0.11492   0.00000
 1674.00    0.11668   0.00000
 1675.00    0.11843   0.00000
 1676.00    0.12019   0.00000
 1677.00    0.12195   0.00000
 1678.00    0.12370   0.00000
 1679.00    0.12546   0.00000
 1680.00    0.12721   0.00000
 1681.00    0.12897   0.00000
 1682.00    0.13072   0.00000
 1683.00    0.13248   0.00000
 1684.00    0.13423   0.00000
 1685.00    0.13599   0.00000
 1686.00    0.13774   0.00000
 1687.00    0.13949   0.00000
 1688.00    0.14125   0.00000
 1689.00    0.14300   0.00000
 1690.00    0.14475   0.00000
 1691.00    0.14651   0.00000
 1692.00    0.14826   0.00000
 1693.00    0.15001   0.00000
 1694.00    0.15176   0.00000
 1695.00    0.15351   0.00000
 1696.00    0.15527   0.00000
 1697.00    0.15702   0.00000
 1698.00    0.15877   0.00000
 1699.00    0.16052   0.00000
 1700.00    0.16227   0.00000
 1701.00    0.16402   0.00000
 1702.00    0.16577   0.00000
 1703.00    0.16752   0.00000
 1704.00    0.16926   0.00000
 1705.00    0.17101   0.00000
 1706.00    0.17276   0.00000
 1707.00    0.17451   0.00000
 1708.00    0.17626   0.00000
 1709.00    0.17800   0.00000
 1710.00    0.17975   0.00000
 1711.00    0.18150   0.00000
 1712.00    0.18324   0.00000
 1713.00    0.18499   0.00000
 1714.00    0.18673   0.00000
 1715.00    0.18848   0.00000
 1716.00    0.19022   0.00000
 1717.00    0.19197   0.00000
 1718.00    0.19371   0.00000
 1719.00    0.19545   0.00000
 1720.00    0.19719   0.00000
 1721.00    0.19894   0.00000
 1722.00    0.20068   0.00000
 1723.00    0.20242   0.00000
 1724.00    0.20416   0.00000
 1725.00    0.20590   0.00000
 1726.00    0.20764   0.00000
 1727.00    0.20938   0.00000
 1728.00    0.21112   0.00000
 1729.00    0.21286   0.00000
 1730.00    0.21460   0.00000
 1731.00    0.21634   0.00000
 1732.00    0.21807   0.00000
 1733.00    0.21981   0.00000
 1734.00    0.22155   0.00000
 1735.00    0.22328   0.00000
 1736.00    0.22502   0.00000
 1737.00    0.22675   0.00000
 1738.00    0.22849   0.00000
 1739.00    0.23022   0.00000
 1740.00    0.23195   0.00000
 1741.00    0.23369   0.00000
 1742.00    0.23542   0.00000
 1743.00    0.23715   0.00000
 1744.00    0.23888   0.00000
 1745.00    0.24061   0.00000
 1746.00    0.24234   0.00000
 1747.00    0.24407   0.00000
 1748.00    0.24580   0.00000
 1749.00    0.24753   0.00000
 1750.00    0.24926   0.00000
 1751.00    0.25099   0.00000
 1752.00    0.25271   0.00000
 1753.00    0.25444   0.00000
 1754.00    0.25617   0.00000
 1755.00    0.25789   0.00000
 1756.00    0.25962   0.00000
 1757.00    0.26134   0.00000
 1758.00    0.26306   0.00000
 1759.00    0.26479   0.00000
 1760.00    0.26651   0.00000
 1761.00    0.26823   0.00000
 1762.00    0.26995   0.00000
 1763.00    0.27167   0.00000
 1764.00    0.27339   0.00000
 1765.00    0.27511   0.00000
 1766.00    0.27683   0.00000
 1767.00    0.27855   0.00000
 1768.00    0.28027   0.00000
 1769.00    0.28199   0.00000
 1770.00    0.28370   0.00000
 1771.00    0.28542   0.00000
 1772.00    0.28713   0.00000
 1773.00    0.28885   0.00000
 1774.00    0.29056   0.00000
 1775.00    0.29228   0.00000
