   W          M2+(pi+_n)
 (MeV)       Re        Im
 1080.00   -0.04813   0.00000
 1081.00   -0.05489   0.00000
 1082.00   -0.06156   0.00000
 1083.00   -0.06814   0.00000
 1084.00   -0.07464   0.00000
 1085.00   -0.08105   0.00000
 1086.00   -0.08737   0.00000
 1087.00   -0.09361   0.00000
 1088.00   -0.09977   0.00000
 1089.00   -0.10585   0.00000
 1090.00   -0.11184   0.00000
 1091.00   -0.11776   0.00000
 1092.00   -0.12360   0.00000
 1093.00   -0.12936   0.00000
 1094.00   -0.13504   0.00000
 1095.00   -0.14065   0.00000
 1096.00   -0.14619   0.00000
 1097.00   -0.15165   0.00000
 1098.00   -0.15704   0.00000
 1099.00   -0.16235   0.00000
 1100.00   -0.16760   0.00000
 1101.00   -0.17277   0.00000
 1102.00   -0.17788   0.00000
 1103.00   -0.18292   0.00000
 1104.00   -0.18789   0.00000
 1105.00   -0.19279   0.00000
 1106.00   -0.19762   0.00000
 1107.00   -0.20240   0.00000
 1108.00   -0.20710   0.00000
 1109.00   -0.21174   0.00000
 1110.00   -0.21632   0.00000
 1111.00   -0.22084   0.00000
 1112.00   -0.22530   0.00000
 1113.00   -0.22969   0.00000
 1114.00   -0.23403   0.00000
 1115.00   -0.23830   0.00000
 1116.00   -0.24252   0.00000
 1117.00   -0.24668   0.00000
 1118.00   -0.25078   0.00000
 1119.00   -0.25482   0.00000
 1120.00   -0.25881   0.00000
 1121.00   -0.26274   0.00000
 1122.00   -0.26662   0.00000
 1123.00   -0.27044   0.00000
 1124.00   -0.27421   0.00000
 1125.00   -0.27793   0.00000
 1126.00   -0.28160   0.00000
 1127.00   -0.28521   0.00000
 1128.00   -0.28877   0.00000
 1129.00   -0.29228   0.00000
 1130.00   -0.29574   0.00000
 1131.00   -0.29915   0.00000
 1132.00   -0.30252   0.00000
 1133.00   -0.30583   0.00000
 1134.00   -0.30910   0.00000
 1135.00   -0.31231   0.00000
 1136.00   -0.31549   0.00000
 1137.00   -0.31861   0.00000
 1138.00   -0.32169   0.00000
 1139.00   -0.32472   0.00000
 1140.00   -0.32771   0.00000
 1141.00   -0.33066   0.00000
 1142.00   -0.33356   0.00000
 1143.00   -0.33642   0.00000
 1144.00   -0.33923   0.00000
 1145.00   -0.34200   0.00000
 1146.00   -0.34473   0.00000
 1147.00   -0.34742   0.00000
 1148.00   -0.35007   0.00000
 1149.00   -0.35268   0.00000
 1150.00   -0.35524   0.00000
 1151.00   -0.35777   0.00000
 1152.00   -0.36026   0.00000
 1153.00   -0.36271   0.00000
 1154.00   -0.36512   0.00000
 1155.00   -0.36749   0.00000
 1156.00   -0.36982   0.00000
 1157.00   -0.37212   0.00000
 1158.00   -0.37438   0.00000
 1159.00   -0.37660   0.00000
 1160.00   -0.37879   0.00000
 1161.00   -0.38094   0.00000
 1162.00   -0.38305   0.00000
 1163.00   -0.38513   0.00000
 1164.00   -0.38718   0.00000
 1165.00   -0.38919   0.00000
 1166.00   -0.39117   0.00000
 1167.00   -0.39311   0.00000
 1168.00   -0.39502   0.00000
 1169.00   -0.39690   0.00000
 1170.00   -0.39874   0.00000
 1171.00   -0.40055   0.00000
 1172.00   -0.40233   0.00000
 1173.00   -0.40408   0.00000
 1174.00   -0.40580   0.00000
 1175.00   -0.40749   0.00000
 1176.00   -0.40914   0.00000
 1177.00   -0.41077   0.00000
 1178.00   -0.41236   0.00000
 1179.00   -0.41393   0.00000
 1180.00   -0.41546   0.00000
 1181.00   -0.41697   0.00000
 1182.00   -0.41845   0.00000
 1183.00   -0.41989   0.00000
 1184.00   -0.42131   0.00000
 1185.00   -0.42271   0.00000
 1186.00   -0.42407   0.00000
 1187.00   -0.42541   0.00000
 1188.00   -0.42672   0.00000
 1189.00   -0.42800   0.00000
 1190.00   -0.42926   0.00000
 1191.00   -0.43049   0.00000
 1192.00   -0.43169   0.00000
 1193.00   -0.43287   0.00000
 1194.00   -0.43402   0.00000
 1195.00   -0.43515   0.00000
 1196.00   -0.43625   0.00000
 1197.00   -0.43733   0.00000
 1198.00   -0.43838   0.00000
 1199.00   -0.43941   0.00000
 1200.00   -0.44041   0.00000
 1201.00   -0.44139   0.00000
 1202.00   -0.44235   0.00000
 1203.00   -0.44328   0.00000
 1204.00   -0.44419   0.00000
 1205.00   -0.44508   0.00000
 1206.00   -0.44594   0.00000
 1207.00   -0.44678   0.00000
 1208.00   -0.44760   0.00000
 1209.00   -0.44839   0.00000
 1210.00   -0.44917   0.00000
 1211.00   -0.44992   0.00000
 1212.00   -0.45065   0.00000
 1213.00   -0.45136   0.00000
 1214.00   -0.45205   0.00000
 1215.00   -0.45272   0.00000
 1216.00   -0.45336   0.00000
 1217.00   -0.45399   0.00000
 1218.00   -0.45460   0.00000
 1219.00   -0.45518   0.00000
 1220.00   -0.45575   0.00000
 1221.00   -0.45629   0.00000
 1222.00   -0.45682   0.00000
 1223.00   -0.45733   0.00000
 1224.00   -0.45781   0.00000
 1225.00   -0.45828   0.00000
 1226.00   -0.45873   0.00000
 1227.00   -0.45916   0.00000
 1228.00   -0.45958   0.00000
 1229.00   -0.45997   0.00000
 1230.00   -0.46035   0.00000
 1231.00   -0.46071   0.00000
 1232.00   -0.46105   0.00000
 1233.00   -0.46137   0.00000
 1234.00   -0.46168   0.00000
 1235.00   -0.46196   0.00000
 1236.00   -0.46223   0.00000
 1237.00   -0.46249   0.00000
 1238.00   -0.46273   0.00000
 1239.00   -0.46295   0.00000
 1240.00   -0.46315   0.00000
 1241.00   -0.46334   0.00000
 1242.00   -0.46351   0.00000
 1243.00   -0.46366   0.00000
 1244.00   -0.46380   0.00000
 1245.00   -0.46393   0.00000
 1246.00   -0.46403   0.00000
 1247.00   -0.46413   0.00000
 1248.00   -0.46420   0.00000
 1249.00   -0.46426   0.00000
 1250.00   -0.46431   0.00000
 1251.00   -0.46434   0.00000
 1252.00   -0.46436   0.00000
 1253.00   -0.46436   0.00000
 1254.00   -0.46435   0.00000
 1255.00   -0.46432   0.00000
 1256.00   -0.46428   0.00000
 1257.00   -0.46423   0.00000
 1258.00   -0.46416   0.00000
 1259.00   -0.46407   0.00000
 1260.00   -0.46398   0.00000
 1261.00   -0.46387   0.00000
 1262.00   -0.46374   0.00000
 1263.00   -0.46361   0.00000
 1264.00   -0.46345   0.00000
 1265.00   -0.46329   0.00000
 1266.00   -0.46311   0.00000
 1267.00   -0.46292   0.00000
 1268.00   -0.46272   0.00000
 1269.00   -0.46251   0.00000
 1270.00   -0.46228   0.00000
 1271.00   -0.46204   0.00000
 1272.00   -0.46179   0.00000
 1273.00   -0.46152   0.00000
 1274.00   -0.46124   0.00000
 1275.00   -0.46096   0.00000
 1276.00   -0.46065   0.00000
 1277.00   -0.46034   0.00000
 1278.00   -0.46002   0.00000
 1279.00   -0.45968   0.00000
 1280.00   -0.45933   0.00000
 1281.00   -0.45898   0.00000
 1282.00   -0.45861   0.00000
 1283.00   -0.45822   0.00000
 1284.00   -0.45783   0.00000
 1285.00   -0.45743   0.00000
 1286.00   -0.45701   0.00000
 1287.00   -0.45659   0.00000
 1288.00   -0.45615   0.00000
 1289.00   -0.45571   0.00000
 1290.00   -0.45525   0.00000
 1291.00   -0.45478   0.00000
 1292.00   -0.45431   0.00000
 1293.00   -0.45382   0.00000
 1294.00   -0.45332   0.00000
 1295.00   -0.45281   0.00000
 1296.00   -0.45230   0.00000
 1297.00   -0.45177   0.00000
 1298.00   -0.45123   0.00000
 1299.00   -0.45068   0.00000
 1300.00   -0.45013   0.00000
 1301.00   -0.44956   0.00000
 1302.00   -0.44899   0.00000
 1303.00   -0.44840   0.00000
 1304.00   -0.44781   0.00000
 1305.00   -0.44720   0.00000
 1306.00   -0.44659   0.00000
 1307.00   -0.44597   0.00000
