   W          M3-(pi+_n)
 (MeV)       Re        Im
 1080.00    0.00466   0.00000
 1081.00    0.00569   0.00000
 1082.00    0.00677   0.00000
 1083.00    0.00791   0.00000
 1084.00    0.00909   0.00000
 1085.00    0.01031   0.00000
 1086.00    0.01157   0.00000
 1087.00    0.01287   0.00000
 1088.00    0.01419   0.00000
 1089.00    0.01555   0.00000
 1090.00    0.01693   0.00000
 1091.00    0.01834   0.00000
 1092.00    0.01978   0.00000
 1093.00    0.02123   0.00000
 1094.00    0.02271   0.00000
 1095.00    0.02420   0.00000
 1096.00    0.02571   0.00000
 1097.00    0.02723   0.00000
 1098.00    0.02878   0.00000
 1099.00    0.03033   0.00000
 1100.00    0.03190   0.00000
 1101.00    0.03348   0.00000
 1102.00    0.03506   0.00000
 1103.00    0.03666   0.00000
 1104.00    0.03827   0.00001
 1105.00    0.03989   0.00001
 1106.00    0.04151   0.00001
 1107.00    0.04314   0.00001
 1108.00    0.04477   0.00001
 1109.00    0.04642   0.00001
 1110.00    0.04806   0.00001
 1111.00    0.04971   0.00001
 1112.00    0.05137   0.00001
 1113.00    0.05302   0.00001
 1114.00    0.05468   0.00001
 1115.00    0.05634   0.00001
 1116.00    0.05801   0.00001
 1117.00    0.05967   0.00001
 1118.00    0.06134   0.00001
 1119.00    0.06301   0.00001
 1120.00    0.06467   0.00001
 1121.00    0.06634   0.00002
 1122.00    0.06801   0.00002
 1123.00    0.06967   0.00002
 1124.00    0.07134   0.00002
 1125.00    0.07300   0.00002
 1126.00    0.07467   0.00002
 1127.00    0.07633   0.00002
 1128.00    0.07799   0.00002
 1129.00    0.07964   0.00002
 1130.00    0.08130   0.00003
 1131.00    0.08295   0.00003
 1132.00    0.08460   0.00003
 1133.00    0.08624   0.00003
 1134.00    0.08789   0.00003
 1135.00    0.08952   0.00003
 1136.00    0.09116   0.00003
 1137.00    0.09279   0.00004
 1138.00    0.09442   0.00004
 1139.00    0.09605   0.00004
 1140.00    0.09767   0.00004
 1141.00    0.09928   0.00004
 1142.00    0.10089   0.00004
 1143.00    0.10250   0.00005
 1144.00    0.10410   0.00005
 1145.00    0.10570   0.00005
 1146.00    0.10730   0.00005
 1147.00    0.10889   0.00005
 1148.00    0.11047   0.00006
 1149.00    0.11205   0.00006
 1150.00    0.11362   0.00006
 1151.00    0.11519   0.00006
 1152.00    0.11676   0.00007
 1153.00    0.11831   0.00007
 1154.00    0.11987   0.00007
 1155.00    0.12141   0.00008
 1156.00    0.12296   0.00008
 1157.00    0.12449   0.00008
 1158.00    0.12603   0.00008
 1159.00    0.12755   0.00009
 1160.00    0.12907   0.00009
 1161.00    0.13059   0.00009
 1162.00    0.13210   0.00010
 1163.00    0.13360   0.00010
 1164.00    0.13510   0.00011
 1165.00    0.13659   0.00011
 1166.00    0.13808   0.00011
 1167.00    0.13956   0.00012
 1168.00    0.14103   0.00012
 1169.00    0.14250   0.00013
 1170.00    0.14397   0.00013
 1171.00    0.14542   0.00014
