   W          M5+(pi+_n)
 (MeV)       Re        Im
 1080.00   -0.00002   0.00000
 1081.00   -0.00003   0.00000
 1082.00   -0.00004   0.00000
 1083.00   -0.00006   0.00000
 1084.00   -0.00007   0.00000
 1085.00   -0.00009   0.00000
 1086.00   -0.00011   0.00000
 1087.00   -0.00013   0.00000
 1088.00   -0.00016   0.00000
 1089.00   -0.00018   0.00000
 1090.00   -0.00021   0.00000
 1091.00   -0.00024   0.00000
 1092.00   -0.00027   0.00000
 1093.00   -0.00031   0.00000
 1094.00   -0.00034   0.00000
 1095.00   -0.00038   0.00000
 1096.00   -0.00042   0.00000
 1097.00   -0.00046   0.00000
 1098.00   -0.00051   0.00000
 1099.00   -0.00056   0.00000
 1100.00   -0.00061   0.00000
 1101.00   -0.00066   0.00000
 1102.00   -0.00071   0.00000
 1103.00   -0.00077   0.00000
 1104.00   -0.00082   0.00000
 1105.00   -0.00088   0.00000
 1106.00   -0.00095   0.00000
 1107.00   -0.00101   0.00000
 1108.00   -0.00107   0.00000
 1109.00   -0.00114   0.00000
 1110.00   -0.00121   0.00000
 1111.00   -0.00128   0.00000
 1112.00   -0.00136   0.00000
 1113.00   -0.00143   0.00000
 1114.00   -0.00151   0.00000
 1115.00   -0.00159   0.00000
 1116.00   -0.00167   0.00000
 1117.00   -0.00175   0.00000
 1118.00   -0.00183   0.00000
 1119.00   -0.00192   0.00000
 1120.00   -0.00200   0.00000
 1121.00   -0.00209   0.00000
 1122.00   -0.00218   0.00000
 1123.00   -0.00228   0.00000
 1124.00   -0.00237   0.00000
 1125.00   -0.00246   0.00000
 1126.00   -0.00256   0.00000
 1127.00   -0.00266   0.00000
 1128.00   -0.00276   0.00000
 1129.00   -0.00286   0.00000
 1130.00   -0.00296   0.00000
 1131.00   -0.00306   0.00000
 1132.00   -0.00317   0.00000
 1133.00   -0.00327   0.00000
 1134.00   -0.00338   0.00000
 1135.00   -0.00349   0.00000
 1136.00   -0.00360   0.00000
 1137.00   -0.00371   0.00000
 1138.00   -0.00382   0.00000
 1139.00   -0.00394   0.00000
 1140.00   -0.00405   0.00000
 1141.00   -0.00417   0.00000
 1142.00   -0.00428   0.00000
 1143.00   -0.00440   0.00000
 1144.00   -0.00452   0.00000
 1145.00   -0.00464   0.00000
 1146.00   -0.00476   0.00000
 1147.00   -0.00488   0.00000
 1148.00   -0.00500   0.00000
 1149.00   -0.00513   0.00000
 1150.00   -0.00525   0.00000
 1151.00   -0.00538   0.00000
 1152.00   -0.00550   0.00000
 1153.00   -0.00563   0.00000
 1154.00   -0.00576   0.00000
 1155.00   -0.00589   0.00000
 1156.00   -0.00602   0.00000
 1157.00   -0.00615   0.00000
 1158.00   -0.00628   0.00000
 1159.00   -0.00641   0.00000
 1160.00   -0.00654   0.00000
 1161.00   -0.00667   0.00000
 1162.00   -0.00681   0.00000
 1163.00   -0.00694   0.00000
 1164.00   -0.00708   0.00000
 1165.00   -0.00721   0.00000
 1166.00   -0.00735   0.00000
 1167.00   -0.00748   0.00000
 1168.00   -0.00762   0.00000
 1169.00   -0.00776   0.00000
 1170.00   -0.00790   0.00000
 1171.00   -0.00804   0.00000
 1172.00   -0.00817   0.00000
 1173.00   -0.00831   0.00000
 1174.00   -0.00845   0.00000
 1175.00   -0.00859   0.00000
 1176.00   -0.00874   0.00000
 1177.00   -0.00888   0.00000
 1178.00   -0.00902   0.00000
 1179.00   -0.00916   0.00000
 1180.00   -0.00930   0.00000
 1181.00   -0.00945   0.00000
 1182.00   -0.00959   0.00000
 1183.00   -0.00973   0.00000
 1184.00   -0.00988   0.00000
 1185.00   -0.01002   0.00000
 1186.00   -0.01016   0.00000
 1187.00   -0.01031   0.00000
 1188.00   -0.01045   0.00000
 1189.00   -0.01060   0.00000
 1190.00   -0.01074   0.00000
 1191.00   -0.01089   0.00000
 1192.00   -0.01103   0.00000
 1193.00   -0.01118   0.00000
 1194.00   -0.01133   0.00000
 1195.00   -0.01147   0.00000
 1196.00   -0.01162   0.00000
 1197.00   -0.01176   0.00000
 1198.00   -0.01191   0.00000
 1199.00   -0.01206   0.00000
 1200.00   -0.01220   0.00000
 1201.00   -0.01235   0.00000
 1202.00   -0.01250   0.00000
 1203.00   -0.01264   0.00000
 1204.00   -0.01279   0.00000
 1205.00   -0.01294   0.00000
 1206.00   -0.01309   0.00000
 1207.00   -0.01323   0.00000
 1208.00   -0.01338   0.00000
 1209.00   -0.01353   0.00000
 1210.00   -0.01368   0.00000
 1211.00   -0.01382   0.00000
 1212.00   -0.01397   0.00000
 1213.00   -0.01412   0.00000
 1214.00   -0.01427   0.00000
 1215.00   -0.01441   0.00000
 1216.00   -0.01456   0.00000
 1217.00   -0.01471   0.00000
 1218.00   -0.01485   0.00000
 1219.00   -0.01500   0.00000
 1220.00   -0.01515   0.00000
 1221.00   -0.01530   0.00000
 1222.00   -0.01544   0.00000
 1223.00   -0.01559   0.00000
 1224.00   -0.01574   0.00000
 1225.00   -0.01588   0.00000
 1226.00   -0.01603   0.00000
 1227.00   -0.01618   0.00000
 1228.00   -0.01632   0.00000
 1229.00   -0.01647   0.00000
 1230.00   -0.01662   0.00000
 1231.00   -0.01676   0.00000
 1232.00   -0.01691   0.00000
 1233.00   -0.01705   0.00000
 1234.00   -0.01720   0.00000
 1235.00   -0.01735   0.00000
 1236.00   -0.01749   0.00000
 1237.00   -0.01764   0.00000
 1238.00   -0.01778   0.00000
 1239.00   -0.01793   0.00000
 1240.00   -0.01807   0.00000
 1241.00   -0.01822   0.00000
 1242.00   -0.01836   0.00000
 1243.00   -0.01850   0.00000
 1244.00   -0.01865   0.00000
 1245.00   -0.01879   0.00000
 1246.00   -0.01894   0.00000
 1247.00   -0.01908   0.00000
 1248.00   -0.01922   0.00000
 1249.00   -0.01937   0.00000
 1250.00   -0.01951   0.00000
 1251.00   -0.01965   0.00000
 1252.00   -0.01979   0.00000
 1253.00   -0.01994   0.00000
 1254.00   -0.02008   0.00000
 1255.00   -0.02022   0.00000
 1256.00   -0.02036   0.00000
 1257.00   -0.02050   0.00000
 1258.00   -0.02064   0.00000
 1259.00   -0.02078   0.00000
 1260.00   -0.02093   0.00000
 1261.00   -0.02107   0.00000
 1262.00   -0.02121   0.00000
 1263.00   -0.02135   0.00000
 1264.00   -0.02148   0.00000
 1265.00   -0.02162   0.00000
 1266.00   -0.02176   0.00000
 1267.00   -0.02190   0.00000
 1268.00   -0.02204   0.00000
 1269.00   -0.02218   0.00000
 1270.00   -0.02232   0.00000
 1271.00   -0.02245   0.00000
 1272.00   -0.02259   0.00000
 1273.00   -0.02273   0.00000
 1274.00   -0.02287   0.00000
 1275.00   -0.02300   0.00000
 1276.00   -0.02314   0.00000
 1277.00   -0.02328   0.00000
 1278.00   -0.02341   0.00000
 1279.00   -0.02355   0.00000
 1280.00   -0.02368   0.00000
 1281.00   -0.02382   0.00000
 1282.00   -0.02395   0.00000
 1283.00   -0.02409   0.00000
 1284.00   -0.02422   0.00000
 1285.00   -0.02435   0.00000
 1286.00   -0.02449   0.00000
 1287.00   -0.02462   0.00000
 1288.00   -0.02475   0.00000
 1289.00   -0.02489   0.00000
 1290.00   -0.02502   0.00000
 1291.00   -0.02515   0.00000
 1292.00   -0.02528   0.00000
 1293.00   -0.02541   0.00000
 1294.00   -0.02554   0.00000
 1295.00   -0.02567   0.00000
 1296.00   -0.02580   0.00000
 1297.00   -0.02593   0.00000
 1298.00   -0.02606   0.00000
 1299.00   -0.02619   0.00000
 1300.00   -0.02632   0.00000
 1301.00   -0.02645   0.00000
 1302.00   -0.02658   0.00000
 1303.00   -0.02671   0.00000
 1304.00   -0.02684   0.00000
 1305.00   -0.02696   0.00000
 1306.00   -0.02709   0.00000
 1307.00   -0.02722   0.00000
 1308.00   -0.02735   0.00000
 1309.00   -0.02747   0.00000
 1310.00   -0.02760   0.00000
 1311.00   -0.02772   0.00000
 1312.00   -0.02785   0.00000
 1313.00   -0.02797   0.00000
 1314.00   -0.02810   0.00000
 1315.00   -0.02822   0.00000
 1316.00   -0.02835   0.00000
 1317.00   -0.02847   0.00000
 1318.00   -0.02859   0.00000
 1319.00   -0.02872   0.00000
 1320.00   -0.02884   0.00000
 1321.00   -0.02896   0.00000
 1322.00   -0.02908   0.00000
 1323.00   -0.02921   0.00000
 1324.00   -0.02933   0.00000
 1325.00   -0.02945   0.00000
 1326.00   -0.02957   0.00000
 1327.00   -0.02969   0.00000
 1328.00   -0.02981   0.00000
 1329.00   -0.02993   0.00000
 1330.00   -0.03005   0.00000
 1331.00   -0.03017   0.00000
 1332.00   -0.03029   0.00000
 1333.00   -0.03041   0.00000
 1334.00   -0.03053   0.00000
 1335.00   -0.03064   0.00000
 1336.00   -0.03076   0.00000
 1337.00   -0.03088   0.00000
 1338.00   -0.03100   0.00000
 1339.00   -0.03111   0.00000
 1340.00   -0.03123   0.00000
 1341.00   -0.03135   0.00000
 1342.00   -0.03146   0.00000
 1343.00   -0.03158   0.00000
 1344.00   -0.03169   0.00000
 1345.00   -0.03181   0.00000
 1346.00   -0.03192   0.00000
 1347.00   -0.03204   0.00000
 1348.00   -0.03215   0.00000
 1349.00   -0.03226   0.00000
 1350.00   -0.03238   0.00000
 1351.00   -0.03249   0.00000
 1352.00   -0.03260   0.00000
 1353.00   -0.03272   0.00000
 1354.00   -0.03283   0.00000
 1355.00   -0.03294   0.00000
 1356.00   -0.03305   0.00000
 1357.00   -0.03316   0.00000
 1358.00   -0.03327   0.00000
 1359.00   -0.03338   0.00000
 1360.00   -0.03349   0.00000
 1361.00   -0.03360   0.00000
 1362.00   -0.03371   0.00000
 1363.00   -0.03382   0.00000
 1364.00   -0.03393   0.00000
 1365.00   -0.03404   0.00000
 1366.00   -0.03415   0.00000
 1367.00   -0.03426   0.00000
 1368.00   -0.03436   0.00000
 1369.00   -0.03447   0.00000
 1370.00   -0.03458   0.00000
 1371.00   -0.03469   0.00000
 1372.00   -0.03479   0.00000
 1373.00   -0.03490   0.00000
 1374.00   -0.03500   0.00000
 1375.00   -0.03511   0.00000
 1376.00   -0.03522   0.00000
 1377.00   -0.03532   0.00000
 1378.00   -0.03543   0.00000
 1379.00   -0.03553   0.00000
 1380.00   -0.03563   0.00000
 1381.00   -0.03574   0.00000
 1382.00   -0.03584   0.00000
 1383.00   -0.03595   0.00000
 1384.00   -0.03605   0.00000
 1385.00   -0.03615   0.00000
 1386.00   -0.03625   0.00000
 1387.00   -0.03636   0.00000
 1388.00   -0.03646   0.00000
 1389.00   -0.03656   0.00000
 1390.00   -0.03666   0.00000
 1391.00   -0.03676   0.00000
 1392.00   -0.03686   0.00000
 1393.00   -0.03696   0.00000
