   W         E2-(pi+_n)
 (MeV)      Re      Im
 1080.0    0.615   0.000
 1081.0    0.698   0.000
 1082.0    0.781   0.000
 1083.0    0.861   0.000
 1084.0    0.940   0.000
 1085.0    1.017   0.000
 1086.0    1.093   0.000
 1087.0    1.167   0.000
 1088.0    1.240   0.000
 1089.0    1.312   0.000
 1090.0    1.382   0.000
 1091.0    1.450   0.000
 1092.0    1.518   0.000
 1093.0    1.584   0.000
 1094.0    1.649   0.000
 1095.0    1.712   0.000
 1096.0    1.774   0.000
 1097.0    1.836   0.000
 1098.0    1.895   0.000
 1099.0    1.954   0.000
 1100.0    2.012   0.000
 1101.0    2.069   0.000
 1102.0    2.124   0.000
 1103.0    2.179   0.000
 1104.0    2.232   0.000
 1105.0    2.285   0.000
 1106.0    2.336   0.000
 1107.0    2.387   0.000
 1108.0    2.436   0.000
 1109.0    2.485   0.000
 1110.0    2.533   0.000
 1111.0    2.580   0.000
 1112.0    2.626   0.000
 1113.0    2.671   0.000
 1114.0    2.715   0.000
 1115.0    2.759   0.000
 1116.0    2.802   0.000
 1117.0    2.844   0.000
 1118.0    2.885   0.000
 1119.0    2.926   0.000
 1120.0    2.965   0.000
 1121.0    3.004   0.000
 1122.0    3.043   0.000
 1123.0    3.080   0.000
 1124.0    3.117   0.000
 1125.0    3.154   0.000
 1126.0    3.189   0.000
 1127.0    3.224   0.000
 1128.0    3.259   0.000
 1129.0    3.292   0.000
 1130.0    3.326   0.000
 1131.0    3.358   0.000
 1132.0    3.390   0.000
 1133.0    3.422   0.000
 1134.0    3.452   0.000
 1135.0    3.483   0.000
 1136.0    3.513   0.000
 1137.0    3.542   0.000
 1138.0    3.571   0.000
 1139.0    3.599   0.000
 1140.0    3.626   0.000
 1141.0    3.654   0.000
 1142.0    3.680   0.000
 1143.0    3.707   0.000
 1144.0    3.733   0.000
 1145.0    3.758   0.000
 1146.0    3.783   0.000
 1147.0    3.807   0.000
 1148.0    3.831   0.000
 1149.0    3.855   0.000
 1150.0    3.878   0.000
 1151.0    3.901   0.000
 1152.0    3.923   0.000
 1153.0    3.945   0.000
 1154.0    3.967   0.000
 1155.0    3.988   0.000
 1156.0    4.009   0.000
 1157.0    4.029   0.000
 1158.0    4.049   0.000
 1159.0    4.069   0.000
 1160.0    4.088   0.000
 1161.0    4.107   0.000
 1162.0    4.126   0.000
 1163.0    4.144   0.000
 1164.0    4.162   0.000
 1165.0    4.180   0.000
 1166.0    4.197   0.000
 1167.0    4.214   0.000
 1168.0    4.231   0.000
 1169.0    4.248   0.000
 1170.0    4.264   0.000
 1171.0    4.280   0.000
 1172.0    4.295   0.000
 1173.0    4.311   0.000
 1174.0    4.326   0.000
 1175.0    4.340   0.000
 1176.0    4.355   0.000
 1177.0    4.369   0.000
