   W         E2-(pi+_n)
 (MeV)      Re      Im
 1080.0    0.619   0.000
 1081.0    0.704   0.000
 1082.0    0.787   0.000
 1083.0    0.868   0.000
 1084.0    0.948   0.000
 1085.0    1.026   0.000
 1086.0    1.103   0.000
 1087.0    1.178   0.000
 1088.0    1.251   0.000
 1089.0    1.324   0.000
 1090.0    1.394   0.000
 1091.0    1.464   0.000
 1092.0    1.532   0.000
 1093.0    1.599   0.000
 1094.0    1.665   0.000
 1095.0    1.729   0.000
 1096.0    1.792   0.000
 1097.0    1.854   0.000
 1098.0    1.915   0.000
 1099.0    1.975   0.000
 1100.0    2.034   0.000
 1101.0    2.091   0.000
 1102.0    2.148   0.000
 1103.0    2.203   0.000
 1104.0    2.258   0.000
 1105.0    2.311   0.000
 1106.0    2.364   0.000
 1107.0    2.416   0.000
 1108.0    2.466   0.000
 1109.0    2.516   0.000
 1110.0    2.565   0.000
 1111.0    2.613   0.000
 1112.0    2.660   0.000
 1113.0    2.706   0.000
 1114.0    2.752   0.000
 1115.0    2.796   0.000
 1116.0    2.840   0.000
 1117.0    2.883   0.000
 1118.0    2.926   0.000
 1119.0    2.967   0.000
 1120.0    3.008   0.000
 1121.0    3.049   0.000
 1122.0    3.088   0.000
 1123.0    3.127   0.000
 1124.0    3.165   0.000
 1125.0    3.203   0.000
 1126.0    3.239   0.000
 1127.0    3.276   0.000
 1128.0    3.311   0.000
 1129.0    3.346   0.000
 1130.0    3.381   0.000
 1131.0    3.415   0.000
 1132.0    3.448   0.000
 1133.0    3.481   0.000
 1134.0    3.513   0.000
 1135.0    3.544   0.000
 1136.0    3.575   0.000
 1137.0    3.606   0.000
 1138.0    3.636   0.000
 1139.0    3.666   0.000
 1140.0    3.695   0.000
 1141.0    3.723   0.000
 1142.0    3.751   0.000
 1143.0    3.779   0.000
 1144.0    3.806   0.000
 1145.0    3.833   0.000
 1146.0    3.859   0.000
 1147.0    3.885   0.000
 1148.0    3.911   0.000
 1149.0    3.936   0.000
 1150.0    3.960   0.000
 1151.0    3.984   0.000
 1152.0    4.008   0.000
 1153.0    4.032   0.000
 1154.0    4.055   0.000
 1155.0    4.077   0.000
 1156.0    4.100   0.000
 1157.0    4.122   0.000
 1158.0    4.143   0.000
 1159.0    4.165   0.000
 1160.0    4.185   0.000
 1161.0    4.206   0.000
 1162.0    4.226   0.000
 1163.0    4.246   0.000
 1164.0    4.266   0.000
 1165.0    4.285   0.000
 1166.0    4.304   0.000
 1167.0    4.323   0.000
 1168.0    4.341   0.000
 1169.0    4.359   0.000
 1170.0    4.377   0.000
 1171.0    4.394   0.000
 1172.0    4.411   0.000
 1173.0    4.428   0.000
 1174.0    4.445   0.000
 1175.0    4.461   0.000
 1176.0    4.477   0.000
 1177.0    4.493   0.000
 1178.0    4.509   0.000
 1179.0    4.524   0.000
 1180.0    4.539   0.000
 1181.0    4.554   0.000
 1182.0    4.569   0.000
 1183.0    4.583   0.000
 1184.0    4.598   0.000
 1185.0    4.611   0.000
 1186.0    4.625   0.000
 1187.0    4.639   0.000
 1188.0    4.652   0.000
 1189.0    4.665   0.000
 1190.0    4.678   0.000
 1191.0    4.691   0.000
 1192.0    4.703   0.000
 1193.0    4.715   0.000
 1194.0    4.727   0.000
 1195.0    4.739   0.000
 1196.0    4.751   0.000
 1197.0    4.762   0.000
 1198.0    4.774   0.000
 1199.0    4.785   0.000
 1200.0    4.796   0.000
 1201.0    4.806   0.000
 1202.0    4.817   0.000
 1203.0    4.827   0.000
 1204.0    4.838   0.000
 1205.0    4.848   0.000
 1206.0    4.858   0.000
 1207.0    4.867   0.000
 1208.0    4.877   0.000
 1209.0    4.886   0.000
 1210.0    4.896   0.000
 1211.0    4.905   0.000
 1212.0    4.914   0.000
 1213.0    4.923   0.000
 1214.0    4.931   0.000
 1215.0    4.940   0.000
 1216.0    4.948   0.000
 1217.0    4.957   0.000
 1218.0    4.965   0.000
 1219.0    4.973   0.000
 1220.0    4.981   0.000
 1221.0    4.988   0.000
 1222.0    4.996   0.000
 1223.0    5.003   0.000
 1224.0    5.011   0.000
 1225.0    5.018   0.000
 1226.0    5.025   0.000
 1227.0    5.032   0.000
 1228.0    5.039   0.000
 1229.0    5.046   0.000
 1230.0    5.052   0.000
