   W         E3+(pi+_n)
 (MeV)      Re      Im
 1080.0    0.010   0.000
 1081.0    0.012   0.000
 1082.0    0.014   0.000
 1083.0    0.017   0.000
 1084.0    0.019   0.000
 1085.0    0.022   0.000
 1086.0    0.024   0.000
 1087.0    0.027   0.000
 1088.0    0.029   0.000
 1089.0    0.032   0.000
 1090.0    0.034   0.000
 1091.0    0.037   0.000
 1092.0    0.040   0.000
 1093.0    0.042   0.000
 1094.0    0.045   0.000
 1095.0    0.048   0.000
 1096.0    0.051   0.000
 1097.0    0.053   0.000
 1098.0    0.056   0.000
 1099.0    0.059   0.000
 1100.0    0.062   0.000
 1101.0    0.064   0.000
 1102.0    0.067   0.000
 1103.0    0.070   0.000
 1104.0    0.072   0.000
 1105.0    0.075   0.000
 1106.0    0.078   0.000
 1107.0    0.080   0.000
 1108.0    0.083   0.000
 1109.0    0.086   0.000
 1110.0    0.088   0.000
 1111.0    0.091   0.000
 1112.0    0.094   0.000
 1113.0    0.096   0.000
 1114.0    0.099   0.000
 1115.0    0.101   0.000
 1116.0    0.104   0.000
 1117.0    0.106   0.000
 1118.0    0.109   0.000
 1119.0    0.111   0.000
 1120.0    0.114   0.000
 1121.0    0.116   0.000
 1122.0    0.118   0.000
 1123.0    0.121   0.000
 1124.0    0.123   0.000
 1125.0    0.125   0.000
 1126.0    0.128   0.000
 1127.0    0.130   0.000
 1128.0    0.132   0.000
 1129.0    0.135   0.000
 1130.0    0.137   0.000
 1131.0    0.139   0.000
 1132.0    0.141   0.000
 1133.0    0.143   0.000
 1134.0    0.146   0.000
 1135.0    0.148   0.000
 1136.0    0.150   0.000
 1137.0    0.152   0.000
 1138.0    0.154   0.000
 1139.0    0.156   0.000
 1140.0    0.158   0.000
 1141.0    0.160   0.000
 1142.0    0.162   0.000
 1143.0    0.164   0.000
 1144.0    0.166   0.000
 1145.0    0.168   0.000
 1146.0    0.169   0.000
 1147.0    0.171   0.000
 1148.0    0.173   0.000
 1149.0    0.175   0.000
 1150.0    0.177   0.000
 1151.0    0.179   0.000
 1152.0    0.180   0.000
 1153.0    0.182   0.000
 1154.0    0.184   0.000
 1155.0    0.186   0.000
 1156.0    0.187   0.000
 1157.0    0.189   0.000
 1158.0    0.191   0.000
 1159.0    0.192   0.000
 1160.0    0.194   0.000
 1161.0    0.195   0.000
 1162.0    0.197   0.000
 1163.0    0.198   0.000
 1164.0    0.200   0.000
 1165.0    0.201   0.000
 1166.0    0.203   0.000
 1167.0    0.204   0.000
 1168.0    0.206   0.000
 1169.0    0.207   0.000
 1170.0    0.209   0.000
 1171.0    0.210   0.000
 1172.0    0.212   0.000
 1173.0    0.213   0.000
 1174.0    0.214   0.000
 1175.0    0.216   0.000
 1176.0    0.217   0.000
 1177.0    0.218   0.000
 1178.0    0.220   0.000
 1179.0    0.221   0.000
 1180.0    0.222   0.000
 1181.0    0.223   0.000
 1182.0    0.225   0.000
 1183.0    0.226   0.000
 1184.0    0.227   0.000
 1185.0    0.228   0.000
 1186.0    0.229   0.000
 1187.0    0.230   0.000
 1188.0    0.232   0.000
 1189.0    0.233   0.000
 1190.0    0.234   0.000
 1191.0    0.235   0.000
 1192.0    0.236   0.000
 1193.0    0.237   0.000
 1194.0    0.238   0.000
 1195.0    0.239   0.000
 1196.0    0.240   0.000
 1197.0    0.241   0.000
 1198.0    0.242   0.000
 1199.0    0.243   0.000
 1200.0    0.244   0.000
 1201.0    0.245   0.000
 1202.0    0.246   0.000
 1203.0    0.247   0.000
 1204.0    0.248   0.000
 1205.0    0.249   0.000
 1206.0    0.250   0.000
 1207.0    0.251   0.000
 1208.0    0.252   0.000
 1209.0    0.252   0.000
 1210.0    0.253   0.000
 1211.0    0.254   0.000
 1212.0    0.255   0.000
 1213.0    0.256   0.000
 1214.0    0.257   0.000
 1215.0    0.257   0.000
 1216.0    0.258   0.000
 1217.0    0.259   0.000
 1218.0    0.260   0.000
 1219.0    0.261   0.000
 1220.0    0.261   0.000
 1221.0    0.262   0.000
 1222.0    0.263   0.000
 1223.0    0.263   0.000
 1224.0    0.264   0.000
 1225.0    0.265   0.000
 1226.0    0.266   0.000
 1227.0    0.266   0.000
 1228.0    0.267   0.000
 1229.0    0.268   0.000
 1230.0    0.268   0.000
 1231.0    0.269   0.000
 1232.0    0.269   0.000
 1233.0    0.270   0.000
 1234.0    0.271   0.000
 1235.0    0.271   0.000
 1236.0    0.272   0.000
 1237.0    0.273   0.000
 1238.0    0.273   0.000
 1239.0    0.274   0.000
 1240.0    0.274   0.000
 1241.0    0.275   0.000
 1242.0    0.275   0.000
 1243.0    0.276   0.000
 1244.0    0.276   0.000
 1245.0    0.277   0.000
 1246.0    0.277   0.000
 1247.0    0.278   0.000
 1248.0    0.279   0.000
 1249.0    0.279   0.000
 1250.0    0.280   0.000
 1251.0    0.280   0.000
 1252.0    0.280   0.000
 1253.0    0.281   0.000
 1254.0    0.281   0.000
 1255.0    0.282   0.000
 1256.0    0.282   0.000
 1257.0    0.283   0.000
 1258.0    0.283   0.000
 1259.0    0.284   0.000
 1260.0    0.284   0.000
 1261.0    0.284   0.000
 1262.0    0.285   0.000
 1263.0    0.285   0.000
 1264.0    0.286   0.000
 1265.0    0.286   0.000
 1266.0    0.286   0.000
 1267.0    0.287   0.000
 1268.0    0.287   0.000
 1269.0    0.288   0.000
 1270.0    0.288   0.000
 1271.0    0.288   0.000
 1272.0    0.289   0.000
 1273.0    0.289   0.000
 1274.0    0.289   0.000
 1275.0    0.290   0.000
 1276.0    0.290   0.000
 1277.0    0.290   0.000
 1278.0    0.291   0.000
 1279.0    0.291   0.000
 1280.0    0.291   0.000
 1281.0    0.291   0.000
 1282.0    0.292   0.001
 1283.0    0.292   0.001
 1284.0    0.292   0.001
 1285.0    0.293   0.001
 1286.0    0.293   0.001
 1287.0    0.293   0.001
 1288.0    0.293   0.001
 1289.0    0.294   0.001
 1290.0    0.294   0.001
 1291.0    0.294   0.001
 1292.0    0.294   0.001
 1293.0    0.295   0.001
 1294.0    0.295   0.001
 1295.0    0.295   0.001
 1296.0    0.295   0.001
 1297.0    0.296   0.001
 1298.0    0.296   0.001
 1299.0    0.296   0.001
 1300.0    0.296   0.001
 1301.0    0.296   0.001
 1302.0    0.297   0.001
 1303.0    0.297   0.001
 1304.0    0.297   0.001
 1305.0    0.297   0.001
 1306.0    0.297   0.001
 1307.0    0.298   0.001
 1308.0    0.298   0.001
 1309.0    0.298   0.001
 1310.0    0.298   0.001
 1311.0    0.298   0.001
 1312.0    0.298   0.001
 1313.0    0.299   0.001
 1314.0    0.299   0.001
 1315.0    0.299   0.001
 1316.0    0.299   0.001
 1317.0    0.299   0.001
 1318.0    0.299   0.001
 1319.0    0.299   0.001
 1320.0    0.300   0.001
 1321.0    0.300   0.001
 1322.0    0.300   0.001
 1323.0    0.300   0.001
 1324.0    0.300   0.001
 1325.0    0.300   0.001
 1326.0    0.300   0.001
 1327.0    0.300   0.001
 1328.0    0.300   0.001
 1329.0    0.301   0.001
 1330.0    0.301   0.001
 1331.0    0.301   0.001
 1332.0    0.301   0.001
 1333.0    0.301   0.001
 1334.0    0.301   0.001
 1335.0    0.301   0.001
 1336.0    0.301   0.001
 1337.0    0.301   0.001
 1338.0    0.301   0.001
 1339.0    0.301   0.001
 1340.0    0.302   0.001
 1341.0    0.302   0.001
 1342.0    0.302   0.001
 1343.0    0.302   0.001
 1344.0    0.302   0.001
 1345.0    0.302   0.001
 1346.0    0.302   0.001
 1347.0    0.302   0.001
 1348.0    0.302   0.001
 1349.0    0.302   0.001
 1350.0    0.302   0.001
 1351.0    0.302   0.001
 1352.0    0.302   0.001
 1353.0    0.302   0.001
 1354.0    0.302   0.001
 1355.0    0.302   0.001
 1356.0    0.302   0.001
 1357.0    0.302   0.001
 1358.0    0.302   0.001
 1359.0    0.302   0.001
 1360.0    0.302   0.001
 1361.0    0.302   0.001
 1362.0    0.302   0.001
 1363.0    0.302   0.001
 1364.0    0.302   0.001
 1365.0    0.303   0.001
 1366.0    0.303   0.001
 1367.0    0.303   0.001
 1368.0    0.303   0.001
 1369.0    0.303   0.001
 1370.0    0.303   0.001
 1371.0    0.303   0.001
 1372.0    0.303   0.001
 1373.0    0.302   0.001
 1374.0    0.302   0.001
 1375.0    0.302   0.002
 1376.0    0.302   0.002
 1377.0    0.302   0.002
 1378.0    0.302   0.002
 1379.0    0.302   0.002
 1380.0    0.302   0.002
 1381.0    0.302   0.002
 1382.0    0.302   0.002
 1383.0    0.302   0.002
 1384.0    0.302   0.002
 1385.0    0.302   0.002
 1386.0    0.302   0.002
 1387.0    0.302   0.002
 1388.0    0.302   0.002
 1389.0    0.302   0.002
 1390.0    0.302   0.002
 1391.0    0.302   0.002
 1392.0    0.302   0.002
 1393.0    0.302   0.002
 1394.0    0.302   0.002
 1395.0    0.302   0.002
 1396.0    0.302   0.002
 1397.0    0.302   0.002
 1398.0    0.302   0.002
 1399.0    0.302   0.002
 1400.0    0.302   0.002
 1401.0    0.302   0.002
 1402.0    0.302   0.002
 1403.0    0.302   0.002
 1404.0    0.301   0.002
 1405.0    0.301   0.002
 1406.0    0.301   0.002
 1407.0    0.301   0.002
 1408.0    0.301   0.002
 1409.0    0.301   0.002
 1410.0    0.301   0.002
 1411.0    0.301   0.002
 1412.0    0.301   0.002
 1413.0    0.301   0.002
 1414.0    0.301   0.002
 1415.0    0.301   0.002
 1416.0    0.301   0.002
 1417.0    0.301   0.002
 1418.0    0.301   0.002
 1419.0    0.300   0.002
 1420.0    0.300   0.002
 1421.0    0.300   0.002
 1422.0    0.300   0.002
 1423.0    0.300   0.002
 1424.0    0.300   0.002
 1425.0    0.300   0.002
 1426.0    0.300   0.002
 1427.0    0.300   0.002
 1428.0    0.300   0.002
 1429.0    0.300   0.002
 1430.0    0.300   0.002
 1431.0    0.299   0.002
 1432.0    0.299   0.002
 1433.0    0.299   0.002
 1434.0    0.299   0.003
 1435.0    0.299   0.003
 1436.0    0.299   0.003
 1437.0    0.299   0.003
 1438.0    0.299   0.003
 1439.0    0.299   0.003
 1440.0    0.299   0.003
 1441.0    0.299   0.003
 1442.0    0.298   0.003
 1443.0    0.298   0.003
 1444.0    0.298   0.003
 1445.0    0.298   0.003
 1446.0    0.298   0.003
