   W         M1-(pi+_n)
 (MeV)      Re      Im
 1080.0    1.798  -0.003
 1081.0    1.918  -0.003
 1082.0    2.028  -0.004
 1083.0    2.131  -0.005
 1084.0    2.228  -0.005
 1085.0    2.319  -0.006
 1086.0    2.404  -0.007
 1087.0    2.486  -0.008
 1088.0    2.563  -0.009
 1089.0    2.637  -0.010
 1090.0    2.707  -0.011
 1091.0    2.774  -0.012
 1092.0    2.839  -0.013
 1093.0    2.901  -0.015
 1094.0    2.961  -0.016
 1095.0    3.018  -0.018
 1096.0    3.073  -0.019
 1097.0    3.127  -0.021
 1098.0    3.178  -0.022
 1099.0    3.228  -0.024
 1100.0    3.276  -0.025
 1101.0    3.323  -0.027
 1102.0    3.368  -0.029
 1103.0    3.412  -0.030
 1104.0    3.454  -0.032
 1105.0    3.495  -0.034
 1106.0    3.535  -0.036
 1107.0    3.574  -0.038
 1108.0    3.612  -0.040
 1109.0    3.649  -0.041
 1110.0    3.684  -0.043
 1111.0    3.719  -0.045
 1112.0    3.753  -0.047
 1113.0    3.786  -0.049
 1114.0    3.818  -0.052
 1115.0    3.849  -0.054
 1116.0    3.879  -0.056
 1117.0    3.909  -0.058
 1118.0    3.938  -0.060
 1119.0    3.966  -0.062
 1120.0    3.993  -0.064
 1121.0    4.020  -0.066
 1122.0    4.046  -0.069
 1123.0    4.072  -0.071
 1124.0    4.097  -0.073
 1125.0    4.121  -0.075
 1126.0    4.145  -0.077
 1127.0    4.169  -0.079
 1128.0    4.191  -0.082
 1129.0    4.214  -0.084
 1130.0    4.235  -0.086
 1131.0    4.257  -0.088
 1132.0    4.278  -0.090
 1133.0    4.298  -0.093
 1134.0    4.318  -0.095
 1135.0    4.337  -0.097
 1136.0    4.357  -0.099
 1137.0    4.375  -0.102
 1138.0    4.394  -0.104
 1139.0    4.412  -0.106
 1140.0    4.429  -0.109
 1141.0    4.446  -0.111
 1142.0    4.463  -0.113
 1143.0    4.480  -0.115
 1144.0    4.496  -0.118
 1145.0    4.512  -0.120
 1146.0    4.528  -0.122
 1147.0    4.543  -0.124
 1148.0    4.558  -0.127
