   W         M1+(pi+_n)
 (MeV)      Re      Im
 1080.0   -2.660  -0.002
 1081.0   -2.854  -0.003
 1082.0   -3.037  -0.006
 1083.0   -3.212  -0.008
 1084.0   -3.378  -0.011
 1085.0   -3.538  -0.014
 1086.0   -3.693  -0.017
 1087.0   -3.842  -0.021
 1088.0   -3.988  -0.025
 1089.0   -4.129  -0.030
 1090.0   -4.267  -0.035
 1091.0   -4.403  -0.041
 1092.0   -4.535  -0.048
 1093.0   -4.666  -0.055
 1094.0   -4.794  -0.062
 1095.0   -4.921  -0.071
 1096.0   -5.045  -0.080
 1097.0   -5.169  -0.090
 1098.0   -5.290  -0.100
 1099.0   -5.411  -0.111
 1100.0   -5.531  -0.123
 1101.0   -5.650  -0.136
 1102.0   -5.768  -0.149
 1103.0   -5.885  -0.163
 1104.0   -6.002  -0.178
 1105.0   -6.118  -0.193
 1106.0   -6.233  -0.210
 1107.0   -6.349  -0.227
 1108.0   -6.464  -0.246
 1109.0   -6.579  -0.265
 1110.0   -6.694  -0.286
 1111.0   -6.808  -0.307
 1112.0   -6.923  -0.330
 1113.0   -7.038  -0.353
 1114.0   -7.152  -0.378
 1115.0   -7.267  -0.404
 1116.0   -7.382  -0.432
 1117.0   -7.498  -0.460
 1118.0   -7.613  -0.490
 1119.0   -7.729  -0.522
 1120.0   -7.846  -0.555
 1121.0   -7.962  -0.589
 1122.0   -8.079  -0.625
 1123.0   -8.197  -0.662
 1124.0   -8.315  -0.701
 1125.0   -8.434  -0.742
 1126.0   -8.553  -0.785
 1127.0   -8.673  -0.829
 1128.0   -8.793  -0.876
 1129.0   -8.915  -0.924
 1130.0   -9.036  -0.975
 1131.0   -9.159  -1.027
 1132.0   -9.282  -1.082
 1133.0   -9.405  -1.139
 1134.0   -9.530  -1.199
 1135.0   -9.655  -1.261
 1136.0   -9.781  -1.325
 1137.0   -9.907  -1.392
 1138.0  -10.034  -1.462
 1139.0  -10.162  -1.535
 1140.0  -10.291  -1.611
 1141.0  -10.420  -1.690
 1142.0  -10.550  -1.772
 1143.0  -10.680  -1.857
 1144.0  -10.811  -1.946
 1145.0  -10.943  -2.038
 1146.0  -11.075  -2.134
 1147.0  -11.207  -2.234
 1148.0  -11.340  -2.337
 1149.0  -11.473  -2.445
 1150.0  -11.606  -2.556
 1151.0  -11.740  -2.672
 1152.0  -11.873  -2.792
 1153.0  -12.006  -2.917
 1154.0  -12.140  -3.046
 1155.0  -12.273  -3.180
 1156.0  -12.405  -3.319
 1157.0  -12.537  -3.464
 1158.0  -12.669  -3.613
 1159.0  -12.799  -3.768
 1160.0  -12.929  -3.928
 1161.0  -13.057  -4.093
 1162.0  -13.184  -4.265
 1163.0  -13.309  -4.442
 1164.0  -13.432  -4.625
 1165.0  -13.553  -4.815
 1166.0  -13.671  -5.010
 1167.0  -13.787  -5.212
 1168.0  -13.900  -5.420
 1169.0  -14.009  -5.635
 1170.0  -14.114  -5.856
 1171.0  -14.215  -6.084
 1172.0  -14.312  -6.318
 1173.0  -14.403  -6.559
 1174.0  -14.489  -6.807
 1175.0  -14.569  -7.061
 1176.0  -14.643  -7.321
 1177.0  -14.710  -7.588
 1178.0  -14.770  -7.860
 1179.0  -14.823  -8.139
 1180.0  -14.866  -8.424
 1181.0  -14.902  -8.714
 1182.0  -14.927  -9.009
 1183.0  -14.943  -9.309
 1184.0  -14.949  -9.613
 1185.0  -14.944  -9.922
 1186.0  -14.928 -10.234
