   W         E1+(pi+_n)
 (MeV)      Re      Im
 1080.0    1.428   0.000
 1081.0    1.517   0.001
 1082.0    1.599   0.001
 1083.0    1.674   0.002
 1084.0    1.744   0.003
 1085.0    1.809   0.003
 1086.0    1.869   0.004
 1087.0    1.926   0.005
 1088.0    1.979   0.006
 1089.0    2.030   0.007
 1090.0    2.077   0.008
 1091.0    2.122   0.009
 1092.0    2.165   0.011
 1093.0    2.205   0.012
 1094.0    2.244   0.014
 1095.0    2.280   0.016
 1096.0    2.315   0.017
 1097.0    2.348   0.019
 1098.0    2.380   0.021
 1099.0    2.410   0.023
 1100.0    2.439   0.025
 1101.0    2.467   0.028
 1102.0    2.494   0.030
 1103.0    2.519   0.033
 1104.0    2.543   0.035
 1105.0    2.567   0.038
 1106.0    2.589   0.040
 1107.0    2.610   0.043
 1108.0    2.631   0.046
 1109.0    2.651   0.049
 1110.0    2.669   0.053
 1111.0    2.688   0.056
 1112.0    2.705   0.059
 1113.0    2.722   0.063
 1114.0    2.738   0.066
 1115.0    2.753   0.070
 1116.0    2.768   0.074
 1117.0    2.782   0.078
 1118.0    2.796   0.082
 1119.0    2.809   0.086
 1120.0    2.822   0.091
 1121.0    2.834   0.095
 1122.0    2.845   0.100
 1123.0    2.856   0.105
 1124.0    2.867   0.110
 1125.0    2.877   0.115
 1126.0    2.887   0.120
 1127.0    2.896   0.125
 1128.0    2.905   0.130
 1129.0    2.913   0.136
 1130.0    2.921   0.142
 1131.0    2.929   0.147
 1132.0    2.936   0.153
 1133.0    2.943   0.159
 1134.0    2.950   0.166
 1135.0    2.956   0.172
 1136.0    2.962   0.179
 1137.0    2.967   0.185
 1138.0    2.972   0.192
 1139.0    2.977   0.199
 1140.0    2.981   0.206
 1141.0    2.985   0.214
 1142.0    2.989   0.221
 1143.0    2.992   0.229
 1144.0    2.995   0.237
 1145.0    2.998   0.245
 1146.0    3.000   0.253
 1147.0    3.002   0.261
 1148.0    3.004   0.270
 1149.0    3.005   0.278
 1150.0    3.006   0.287
 1151.0    3.007   0.296
 1152.0    3.007   0.305
 1153.0    3.007   0.315
 1154.0    3.006   0.324
 1155.0    3.005   0.334
 1156.0    3.004   0.344
 1157.0    3.002   0.353
 1158.0    3.000   0.364
 1159.0    2.997   0.374
 1160.0    2.994   0.384
 1161.0    2.991   0.395
 1162.0    2.987   0.405
 1163.0    2.983   0.416
 1164.0    2.978   0.427
 1165.0    2.973   0.438
 1166.0    2.967   0.449
 1167.0    2.961   0.460
 1168.0    2.954   0.471
 1169.0    2.947   0.483
 1170.0    2.939   0.494
 1171.0    2.931   0.505
 1172.0    2.922   0.517
 1173.0    2.913   0.528
 1174.0    2.903   0.540
 1175.0    2.892   0.551
 1176.0    2.881   0.562
 1177.0    2.869   0.573
 1178.0    2.856   0.585
 1179.0    2.843   0.595
 1180.0    2.829   0.606
 1181.0    2.815   0.617
 1182.0    2.800   0.627
 1183.0    2.784   0.637
 1184.0    2.768   0.647
 1185.0    2.751   0.656
 1186.0    2.733   0.665
 1187.0    2.715   0.673
 1188.0    2.696   0.681
 1189.0    2.676   0.689
 1190.0    2.656   0.696
 1191.0    2.635   0.702
 1192.0    2.614   0.708
 1193.0    2.592   0.713
 1194.0    2.570   0.718
 1195.0    2.547   0.722
 1196.0    2.524   0.725
 1197.0    2.500   0.727
 1198.0    2.476   0.728
 1199.0    2.451   0.729
 1200.0    2.426   0.728
 1201.0    2.401   0.727
 1202.0    2.376   0.725
 1203.0    2.351   0.721
 1204.0    2.326   0.717
 1205.0    2.300   0.712
 1206.0    2.275   0.706
 1207.0    2.250   0.699
 1208.0    2.225   0.691
 1209.0    2.200   0.682
 1210.0    2.175   0.672
