   W         E2+(pi+_n)
 (MeV)      Re      Im
 1080.0    0.107   0.000
 1081.0    0.121   0.000
 1082.0    0.136   0.000
 1083.0    0.149   0.000
 1084.0    0.163   0.000
 1085.0    0.176   0.000
 1086.0    0.189   0.000
 1087.0    0.202   0.000
 1088.0    0.214   0.000
 1089.0    0.226   0.000
 1090.0    0.238   0.000
 1091.0    0.250   0.000
 1092.0    0.261   0.000
 1093.0    0.272   0.000
 1094.0    0.283   0.000
 1095.0    0.294   0.000
 1096.0    0.304   0.000
 1097.0    0.315   0.000
 1098.0    0.325   0.000
 1099.0    0.334   0.000
 1100.0    0.344   0.000
 1101.0    0.353   0.000
 1102.0    0.362   0.000
 1103.0    0.371   0.000
 1104.0    0.380   0.000
 1105.0    0.389   0.000
 1106.0    0.397   0.000
 1107.0    0.406   0.000
 1108.0    0.414   0.000
 1109.0    0.422   0.000
 1110.0    0.429   0.000
 1111.0    0.437   0.000
 1112.0    0.445   0.000
 1113.0    0.452   0.000
 1114.0    0.459   0.000
 1115.0    0.466   0.000
 1116.0    0.473   0.000
 1117.0    0.480   0.000
 1118.0    0.486   0.000
 1119.0    0.493   0.000
 1120.0    0.499   0.000
 1121.0    0.505   0.000
 1122.0    0.511   0.000
 1123.0    0.517   0.000
 1124.0    0.523   0.000
 1125.0    0.529   0.000
 1126.0    0.534   0.000
 1127.0    0.540   0.000
 1128.0    0.545   0.000
 1129.0    0.551   0.000
 1130.0    0.556   0.000
 1131.0    0.561   0.000
 1132.0    0.566   0.000
 1133.0    0.571   0.000
 1134.0    0.575   0.000
 1135.0    0.580   0.000
 1136.0    0.585   0.000
 1137.0    0.589   0.000
 1138.0    0.593   0.000
 1139.0    0.598   0.000
 1140.0    0.602   0.000
 1141.0    0.606   0.000
 1142.0    0.610   0.000
 1143.0    0.614   0.000
 1144.0    0.618   0.000
 1145.0    0.622   0.000
 1146.0    0.626   0.000
 1147.0    0.629   0.000
 1148.0    0.633   0.000
 1149.0    0.636   0.000
 1150.0    0.640   0.000
 1151.0    0.643   0.000
 1152.0    0.646   0.000
 1153.0    0.650   0.000
 1154.0    0.653   0.000
 1155.0    0.656   0.000
 1156.0    0.659   0.000
 1157.0    0.662   0.000
 1158.0    0.665   0.000
 1159.0    0.668   0.000
 1160.0    0.671   0.000
 1161.0    0.673   0.000
 1162.0    0.676   0.000
 1163.0    0.679   0.000
 1164.0    0.681   0.000
 1165.0    0.684   0.000
 1166.0    0.686   0.000
 1167.0    0.689   0.000
 1168.0    0.691   0.000
 1169.0    0.693   0.000
 1170.0    0.696   0.000
 1171.0    0.698   0.000
 1172.0    0.700   0.000
 1173.0    0.702   0.000
 1174.0    0.704   0.000
 1175.0    0.706   0.000
 1176.0    0.708   0.000
 1177.0    0.710   0.000
 1178.0    0.712   0.000
 1179.0    0.714   0.000
 1180.0    0.716   0.000
 1181.0    0.718   0.000
 1182.0    0.719   0.000
 1183.0    0.721   0.000
 1184.0    0.723   0.000
 1185.0    0.724   0.000
 1186.0    0.726   0.000
 1187.0    0.727   0.000
 1188.0    0.729   0.000
 1189.0    0.730   0.000
 1190.0    0.732   0.000
 1191.0    0.733   0.000
 1192.0    0.735   0.000
 1193.0    0.736   0.000
 1194.0    0.737   0.000
 1195.0    0.739   0.000
 1196.0    0.740   0.000
 1197.0    0.741   0.000
 1198.0    0.742   0.000
 1199.0    0.744   0.000
 1200.0    0.745   0.000
 1201.0    0.746   0.000
 1202.0    0.747   0.000
 1203.0    0.748   0.000
 1204.0    0.749   0.000
 1205.0    0.750   0.000
 1206.0    0.751   0.000
 1207.0    0.752   0.000
 1208.0    0.753   0.000
 1209.0    0.754   0.000
 1210.0    0.755   0.000
 1211.0    0.756   0.000
 1212.0    0.756   0.000
 1213.0    0.757   0.000
 1214.0    0.758   0.000
 1215.0    0.759   0.000
 1216.0    0.759   0.000
 1217.0    0.760   0.000
 1218.0    0.761   0.000
 1219.0    0.762   0.000
 1220.0    0.762   0.000
 1221.0    0.763   0.000
 1222.0    0.763   0.000
 1223.0    0.764   0.000
 1224.0    0.765   0.000
 1225.0    0.765   0.000
 1226.0    0.766   0.000
 1227.0    0.766   0.000
 1228.0    0.767   0.000
 1229.0    0.767   0.000
 1230.0    0.768   0.000
