   W         E3-(pi+_n)
 (MeV)      Re      Im
 1080.0    0.033   0.000
 1081.0    0.040   0.000
 1082.0    0.047   0.000
 1083.0    0.054   0.000
 1084.0    0.062   0.000
 1085.0    0.070   0.000
 1086.0    0.078   0.000
 1087.0    0.087   0.000
 1088.0    0.095   0.000
 1089.0    0.104   0.000
 1090.0    0.112   0.000
 1091.0    0.121   0.000
 1092.0    0.130   0.000
 1093.0    0.139   0.000
 1094.0    0.148   0.000
 1095.0    0.157   0.000
 1096.0    0.166   0.000
 1097.0    0.175   0.000
 1098.0    0.184   0.000
 1099.0    0.193   0.000
 1100.0    0.202   0.000
 1101.0    0.211   0.000
 1102.0    0.220   0.000
 1103.0    0.230   0.000
 1104.0    0.239   0.000
 1105.0    0.248   0.000
 1106.0    0.257   0.000
 1107.0    0.266   0.000
 1108.0    0.274   0.000
 1109.0    0.283   0.000
 1110.0    0.292   0.000
 1111.0    0.301   0.000
 1112.0    0.310   0.000
 1113.0    0.318   0.000
 1114.0    0.327   0.000
 1115.0    0.336   0.000
 1116.0    0.344   0.000
 1117.0    0.353   0.000
 1118.0    0.361   0.000
 1119.0    0.370   0.000
 1120.0    0.378   0.000
 1121.0    0.386   0.000
 1122.0    0.394   0.000
 1123.0    0.403   0.000
 1124.0    0.411   0.000
 1125.0    0.419   0.000
 1126.0    0.427   0.000
 1127.0    0.435   0.000
 1128.0    0.443   0.000
 1129.0    0.450   0.000
 1130.0    0.458   0.000
 1131.0    0.466   0.000
 1132.0    0.473   0.000
 1133.0    0.481   0.000
 1134.0    0.488   0.000
 1135.0    0.496   0.000
 1136.0    0.503   0.000
 1137.0    0.510   0.000
 1138.0    0.518   0.000
 1139.0    0.525   0.000
 1140.0    0.532   0.000
 1141.0    0.539   0.000
 1142.0    0.546   0.000
 1143.0    0.553   0.000
 1144.0    0.559   0.000
 1145.0    0.566   0.000
 1146.0    0.573   0.000
 1147.0    0.580   0.000
 1148.0    0.586   0.000
 1149.0    0.593   0.000
 1150.0    0.599   0.000
 1151.0    0.606   0.000
 1152.0    0.612   0.000
 1153.0    0.618   0.000
 1154.0    0.624   0.000
 1155.0    0.630   0.000
 1156.0    0.637   0.000
 1157.0    0.643   0.000
 1158.0    0.649   0.000
 1159.0    0.655   0.000
 1160.0    0.660   0.000
 1161.0    0.666   0.000
 1162.0    0.672   0.000
 1163.0    0.678   0.000
 1164.0    0.683   0.000
 1165.0    0.689   0.001
 1166.0    0.694   0.001
 1167.0    0.700   0.001
 1168.0    0.705   0.001
 1169.0    0.711   0.001
 1170.0    0.716   0.001
 1171.0    0.721   0.001
 1172.0    0.727   0.001
 1173.0    0.732   0.001
 1174.0    0.737   0.001
 1175.0    0.742   0.001
 1176.0    0.747   0.001
 1177.0    0.752   0.001
 1178.0    0.757   0.001
 1179.0    0.762   0.001
 1180.0    0.766   0.001
 1181.0    0.771   0.001
 1182.0    0.776   0.001
 1183.0    0.781   0.001
 1184.0    0.785   0.001
 1185.0    0.790   0.001
 1186.0    0.794   0.001
 1187.0    0.799   0.001
 1188.0    0.803   0.001
 1189.0    0.808   0.001
 1190.0    0.812   0.001
 1191.0    0.817   0.001
 1192.0    0.821   0.001
 1193.0    0.825   0.001
 1194.0    0.829   0.001
 1195.0    0.833   0.001
 1196.0    0.838   0.001
