   W          E6+(pi+_n)
 (MeV)       Re        Im
 1080.00    0.00001   0.00000
 1081.00    0.00002   0.00000
 1082.00    0.00003   0.00000
 1083.00    0.00004   0.00000
 1084.00    0.00005   0.00000
 1085.00    0.00006   0.00000
 1086.00    0.00008   0.00000
 1087.00    0.00010   0.00000
 1088.00    0.00012   0.00000
 1089.00    0.00014   0.00000
 1090.00    0.00017   0.00000
 1091.00    0.00020   0.00000
 1092.00    0.00023   0.00000
 1093.00    0.00026   0.00000
 1094.00    0.00030   0.00000
 1095.00    0.00034   0.00000
 1096.00    0.00038   0.00000
 1097.00    0.00042   0.00000
 1098.00    0.00047   0.00000
 1099.00    0.00052   0.00000
 1100.00    0.00057   0.00000
 1101.00    0.00063   0.00000
 1102.00    0.00069   0.00000
 1103.00    0.00075   0.00000
 1104.00    0.00082   0.00000
 1105.00    0.00088   0.00000
 1106.00    0.00095   0.00000
 1107.00    0.00102   0.00000
 1108.00    0.00110   0.00000
 1109.00    0.00118   0.00000
 1110.00    0.00126   0.00000
 1111.00    0.00134   0.00000
 1112.00    0.00143   0.00000
 1113.00    0.00152   0.00000
 1114.00    0.00161   0.00000
 1115.00    0.00170   0.00000
 1116.00    0.00180   0.00000
 1117.00    0.00189   0.00000
 1118.00    0.00199   0.00000
 1119.00    0.00210   0.00000
 1120.00    0.00220   0.00000
 1121.00    0.00231   0.00000
 1122.00    0.00242   0.00000
 1123.00    0.00253   0.00000
 1124.00    0.00265   0.00000
 1125.00    0.00276   0.00000
 1126.00    0.00288   0.00000
 1127.00    0.00300   0.00000
 1128.00    0.00312   0.00000
 1129.00    0.00325   0.00000
 1130.00    0.00337   0.00000
 1131.00    0.00350   0.00000
 1132.00    0.00363   0.00000
 1133.00    0.00376   0.00000
 1134.00    0.00390   0.00000
 1135.00    0.00403   0.00000
 1136.00    0.00417   0.00000
 1137.00    0.00430   0.00000
 1138.00    0.00444   0.00000
 1139.00    0.00458   0.00000
 1140.00    0.00473   0.00000
 1141.00    0.00487   0.00000
 1142.00    0.00502   0.00000
 1143.00    0.00516   0.00000
 1144.00    0.00531   0.00000
 1145.00    0.00546   0.00000
 1146.00    0.00561   0.00000
 1147.00    0.00576   0.00000
 1148.00    0.00591   0.00000
 1149.00    0.00607   0.00000
 1150.00    0.00622   0.00000
 1151.00    0.00638   0.00000
 1152.00    0.00654   0.00000
 1153.00    0.00669   0.00000
 1154.00    0.00685   0.00000
 1155.00    0.00701   0.00000
 1156.00    0.00717   0.00000
 1157.00    0.00733   0.00000
 1158.00    0.00749   0.00000
 1159.00    0.00766   0.00000
 1160.00    0.00782   0.00000
 1161.00    0.00798   0.00000
 1162.00    0.00815   0.00000
 1163.00    0.00831   0.00000
 1164.00    0.00848   0.00000
 1165.00    0.00865   0.00000
 1166.00    0.00881   0.00000
 1167.00    0.00898   0.00000
 1168.00    0.00915   0.00000
 1169.00    0.00932   0.00000
 1170.00    0.00949   0.00000
 1171.00    0.00966   0.00000
 1172.00    0.00982   0.00000
 1173.00    0.00999   0.00000
 1174.00    0.01017   0.00000
 1175.00    0.01034   0.00000
 1176.00    0.01051   0.00000
 1177.00    0.01068   0.00000
 1178.00    0.01085   0.00000
 1179.00    0.01102   0.00000
 1180.00    0.01119   0.00000
 1181.00    0.01136   0.00000
 1182.00    0.01153   0.00000
 1183.00    0.01171   0.00000
 1184.00    0.01188   0.00000
 1185.00    0.01205   0.00000
 1186.00    0.01222   0.00000
 1187.00    0.01239   0.00000
 1188.00    0.01257   0.00000
 1189.00    0.01274   0.00000
 1190.00    0.01291   0.00000
 1191.00    0.01308   0.00000
 1192.00    0.01326   0.00000
 1193.00    0.01343   0.00000
 1194.00    0.01360   0.00000
 1195.00    0.01377   0.00000
 1196.00    0.01394   0.00000
 1197.00    0.01411   0.00000
 1198.00    0.01428   0.00000
 1199.00    0.01446   0.00000
 1200.00    0.01463   0.00000
 1201.00    0.01480   0.00000
 1202.00    0.01497   0.00000
 1203.00    0.01514   0.00000
 1204.00    0.01531   0.00000
 1205.00    0.01548   0.00000
 1206.00    0.01565   0.00000
 1207.00    0.01582   0.00000
 1208.00    0.01598   0.00000
 1209.00    0.01615   0.00000
 1210.00    0.01632   0.00000
 1211.00    0.01649   0.00000
 1212.00    0.01666   0.00000
 1213.00    0.01682   0.00000
 1214.00    0.01699   0.00000
 1215.00    0.01716   0.00000
 1216.00    0.01732   0.00000
 1217.00    0.01749   0.00000
 1218.00    0.01765   0.00000
 1219.00    0.01782   0.00000
 1220.00    0.01798   0.00000
 1221.00    0.01815   0.00000
 1222.00    0.01831   0.00000
 1223.00    0.01847   0.00000
 1224.00    0.01863   0.00000
 1225.00    0.01880   0.00000
 1226.00    0.01896   0.00000
 1227.00    0.01912   0.00000
 1228.00    0.01928   0.00000
 1229.00    0.01944   0.00000
 1230.00    0.01960   0.00000
 1231.00    0.01976   0.00000
 1232.00    0.01992   0.00000
 1233.00    0.02008   0.00000
 1234.00    0.02023   0.00000
 1235.00    0.02039   0.00000
 1236.00    0.02055   0.00000
 1237.00    0.02070   0.00000
 1238.00    0.02086   0.00000
 1239.00    0.02101   0.00000
 1240.00    0.02117   0.00000
 1241.00    0.02132   0.00000
 1242.00    0.02147   0.00000
 1243.00    0.02163   0.00000
 1244.00    0.02178   0.00000
 1245.00    0.02193   0.00000
 1246.00    0.02208   0.00000
 1247.00    0.02223   0.00000
 1248.00    0.02238   0.00000
 1249.00    0.02253   0.00000
 1250.00    0.02268   0.00000
 1251.00    0.02283   0.00000
 1252.00    0.02298   0.00000
 1253.00    0.02312   0.00000
 1254.00    0.02327   0.00000
 1255.00    0.02341   0.00000
 1256.00    0.02356   0.00000
 1257.00    0.02370   0.00000
 1258.00    0.02385   0.00000
 1259.00    0.02399   0.00000
 1260.00    0.02413   0.00000
 1261.00    0.02427   0.00000
 1262.00    0.02442   0.00000
 1263.00    0.02456   0.00000
 1264.00    0.02470   0.00000
 1265.00    0.02484   0.00000
 1266.00    0.02498   0.00000
 1267.00    0.02511   0.00000
 1268.00    0.02525   0.00000
 1269.00    0.02539   0.00000
 1270.00    0.02552   0.00000
 1271.00    0.02566   0.00000
 1272.00    0.02580   0.00000
 1273.00    0.02593   0.00000
 1274.00    0.02606   0.00000
 1275.00    0.02620   0.00000
 1276.00    0.02633   0.00000
 1277.00    0.02646   0.00000
 1278.00    0.02659   0.00000
 1279.00    0.02672   0.00000
 1280.00    0.02685   0.00000
 1281.00    0.02698   0.00000
 1282.00    0.02711   0.00000
 1283.00    0.02724   0.00000
 1284.00    0.02737   0.00000
 1285.00    0.02749   0.00000
 1286.00    0.02762   0.00000
 1287.00    0.02775   0.00000
 1288.00    0.02787   0.00000
 1289.00    0.02800   0.00000
 1290.00    0.02812   0.00000
 1291.00    0.02824   0.00000
 1292.00    0.02837   0.00000
 1293.00    0.02849   0.00000
 1294.00    0.02861   0.00000
 1295.00    0.02873   0.00000
 1296.00    0.02885   0.00000
 1297.00    0.02897   0.00000
 1298.00    0.02909   0.00000
 1299.00    0.02921   0.00000
 1300.00    0.02932   0.00000
 1301.00    0.02944   0.00000
 1302.00    0.02956   0.00000
 1303.00    0.02967   0.00000
 1304.00    0.02979   0.00000
 1305.00    0.02990   0.00000
 1306.00    0.03001   0.00000
 1307.00    0.03013   0.00000
 1308.00    0.03024   0.00000
 1309.00    0.03035   0.00000
 1310.00    0.03046   0.00000
 1311.00    0.03057   0.00000
 1312.00    0.03068   0.00000
 1313.00    0.03079   0.00000
 1314.00    0.03090   0.00000
 1315.00    0.03101   0.00000
 1316.00    0.03112   0.00000
 1317.00    0.03123   0.00000
 1318.00    0.03133   0.00000
 1319.00    0.03144   0.00000
 1320.00    0.03154   0.00000
 1321.00    0.03165   0.00000
 1322.00    0.03175   0.00000
 1323.00    0.03186   0.00000
 1324.00    0.03196   0.00000
 1325.00    0.03206   0.00000
 1326.00    0.03216   0.00000
 1327.00    0.03226   0.00000
 1328.00    0.03236   0.00000
 1329.00    0.03246   0.00000
 1330.00    0.03256   0.00000
 1331.00    0.03266   0.00000
 1332.00    0.03276   0.00000
 1333.00    0.03286   0.00000
 1334.00    0.03296   0.00000
 1335.00    0.03305   0.00000
 1336.00    0.03315   0.00000
 1337.00    0.03324   0.00000
 1338.00    0.03334   0.00000
 1339.00    0.03343   0.00000
 1340.00    0.03353   0.00000
 1341.00    0.03362   0.00000
 1342.00    0.03371   0.00000
 1343.00    0.03380   0.00000
 1344.00    0.03390   0.00000
 1345.00    0.03399   0.00000
 1346.00    0.03408   0.00000
 1347.00    0.03417   0.00000
 1348.00    0.03426   0.00000
 1349.00    0.03435   0.00000
 1350.00    0.03443   0.00000
 1351.00    0.03452   0.00000
 1352.00    0.03461   0.00000
 1353.00    0.03470   0.00000
 1354.00    0.03478   0.00000
 1355.00    0.03487   0.00000
 1356.00    0.03495   0.00000
 1357.00    0.03504   0.00000
 1358.00    0.03512   0.00000
 1359.00    0.03520   0.00000
 1360.00    0.03529   0.00000
 1361.00    0.03537   0.00000
 1362.00    0.03545   0.00000
 1363.00    0.03553   0.00000
 1364.00    0.03561   0.00000
 1365.00    0.03569   0.00000
 1366.00    0.03577   0.00000
 1367.00    0.03585   0.00000
 1368.00    0.03593   0.00000
 1369.00    0.03601   0.00000
 1370.00    0.03609   0.00000
 1371.00    0.03617   0.00000
 1372.00    0.03624   0.00000
 1373.00    0.03632   0.00000
 1374.00    0.03640   0.00000
 1375.00    0.03647   0.00000
 1376.00    0.03655   0.00000
 1377.00    0.03662   0.00000
 1378.00    0.03669   0.00000
 1379.00    0.03677   0.00000
 1380.00    0.03684   0.00000
 1381.00    0.03691   0.00000
 1382.00    0.03699   0.00000
 1383.00    0.03706   0.00000
 1384.00    0.03713   0.00000
 1385.00    0.03720   0.00000
 1386.00    0.03727   0.00000
 1387.00    0.03734   0.00000
 1388.00    0.03741   0.00000
 1389.00    0.03748   0.00000
 1390.00    0.03755   0.00000
 1391.00    0.03761   0.00000
 1392.00    0.03768   0.00000
 1393.00    0.03775   0.00000
 1394.00    0.03781   0.00000
 1395.00    0.03788   0.00000
 1396.00    0.03795   0.00000
 1397.00    0.03801   0.00000
 1398.00    0.03808   0.00000
 1399.00    0.03814   0.00000
 1400.00    0.03820   0.00000
 1401.00    0.03827   0.00000
 1402.00    0.03833   0.00000
 1403.00    0.03839   0.00000
 1404.00    0.03846   0.00000
 1405.00    0.03852   0.00000
 1406.00    0.03858   0.00000
 1407.00    0.03864   0.00000
 1408.00    0.03870   0.00000
 1409.00    0.03876   0.00000
 1410.00    0.03882   0.00000
 1411.00    0.03888   0.00000
 1412.00    0.03894   0.00000
 1413.00    0.03900   0.00000
 1414.00    0.03906   0.00000
 1415.00    0.03911   0.00000
 1416.00    0.03917   0.00000
 1417.00    0.03923   0.00000
 1418.00    0.03928   0.00000
 1419.00    0.03934   0.00000
 1420.00    0.03939   0.00000
 1421.00    0.03945   0.00000
 1422.00    0.03951   0.00000
 1423.00    0.03956   0.00000
 1424.00    0.03961   0.00000
 1425.00    0.03967   0.00000
 1426.00    0.03972   0.00000
 1427.00    0.03977   0.00000
 1428.00    0.03983   0.00000
 1429.00    0.03988   0.00000
 1430.00    0.03993   0.00000
 1431.00    0.03998   0.00000
 1432.00    0.04003   0.00000
 1433.00    0.04008   0.00000
 1434.00    0.04013   0.00000
 1435.00    0.04018   0.00000
 1436.00    0.04023   0.00000
 1437.00    0.04028   0.00000
 1438.00    0.04033   0.00000
 1439.00    0.04038   0.00000
 1440.00    0.04043   0.00000
 1441.00    0.04048   0.00000
 1442.00    0.04052   0.00000
 1443.00    0.04057   0.00000
 1444.00    0.04062   0.00000
 1445.00    0.04066   0.00000
 1446.00    0.04071   0.00000
 1447.00    0.04075   0.00000
 1448.00    0.04080   0.00000
 1449.00    0.04084   0.00000
 1450.00    0.04089   0.00000
 1451.00    0.04093   0.00000
 1452.00    0.04098   0.00000
 1453.00    0.04102   0.00000
 1454.00    0.04106   0.00000
 1455.00    0.04111   0.00000
 1456.00    0.04115   0.00000
 1457.00    0.04119   0.00000
 1458.00    0.04123   0.00000
 1459.00    0.04128   0.00000
 1460.00    0.04132   0.00000
 1461.00    0.04136   0.00000
 1462.00    0.04140   0.00000
 1463.00    0.04144   0.00000
 1464.00    0.04148   0.00000
 1465.00    0.04152   0.00000
 1466.00    0.04156   0.00000
 1467.00    0.04160   0.00000
 1468.00    0.04164   0.00000
 1469.00    0.04168   0.00000
 1470.00    0.04171   0.00000
 1471.00    0.04175   0.00000
 1472.00    0.04179   0.00000
 1473.00    0.04183   0.00000
 1474.00    0.04186   0.00000
 1475.00    0.04190   0.00000
 1476.00    0.04194   0.00000
 1477.00    0.04197   0.00000
 1478.00    0.04201   0.00000
 1479.00    0.04204   0.00000
 1480.00    0.04208   0.00000
 1481.00    0.04211   0.00000
 1482.00    0.04215   0.00000
 1483.00    0.04218   0.00000
 1484.00    0.04222   0.00000
 1485.00    0.04225   0.00000
 1486.00    0.04228   0.00000
 1487.00    0.04232   0.00000
 1488.00    0.04235   0.00000
 1489.00    0.04238   0.00000
 1490.00    0.04242   0.00000
 1491.00    0.04245   0.00000
 1492.00    0.04248   0.00000
 1493.00    0.04251   0.00000
 1494.00    0.04254   0.00000
 1495.00    0.04257   0.00000
 1496.00    0.04260   0.00000
 1497.00    0.04263   0.00000
 1498.00    0.04266   0.00000
 1499.00    0.04269   0.00000
 1500.00    0.04272   0.00000
 1501.00    0.04275   0.00000
 1502.00    0.04278   0.00000
 1503.00    0.04281   0.00000
 1504.00    0.04284   0.00000
 1505.00    0.04287   0.00000
 1506.00    0.04290   0.00000
 1507.00    0.04293   0.00000
 1508.00    0.04295   0.00000
 1509.00    0.04298   0.00000
 1510.00    0.04301   0.00000
 1511.00    0.04303   0.00000
 1512.00    0.04306   0.00000
 1513.00    0.04309   0.00000
 1514.00    0.04311   0.00000
 1515.00    0.04314   0.00000
 1516.00    0.04317   0.00000
 1517.00    0.04319   0.00000
 1518.00    0.04322   0.00000
 1519.00    0.04324   0.00000
 1520.00    0.04327   0.00000
 1521.00    0.04329   0.00000
 1522.00    0.04331   0.00000
 1523.00    0.04334   0.00000
 1524.00    0.04336   0.00000
 1525.00    0.04339   0.00000
 1526.00    0.04341   0.00000
 1527.00    0.04343   0.00000
 1528.00    0.04346   0.00000
 1529.00    0.04348   0.00000
 1530.00    0.04350   0.00000
 1531.00    0.04352   0.00000
 1532.00    0.04354   0.00000
 1533.00    0.04357   0.00000
 1534.00    0.04359   0.00000
 1535.00    0.04361   0.00000
 1536.00    0.04363   0.00000
 1537.00    0.04365   0.00000
 1538.00    0.04367   0.00000
 1539.00    0.04369   0.00000
 1540.00    0.04371   0.00000
 1541.00    0.04373   0.00000
 1542.00    0.04375   0.00000
 1543.00    0.04377   0.00000
 1544.00    0.04379   0.00000
 1545.00    0.04381   0.00000
 1546.00    0.04383   0.00000
 1547.00    0.04385   0.00000
 1548.00    0.04387   0.00000
 1549.00    0.04389   0.00000
 1550.00    0.04390   0.00000
 1551.00    0.04392   0.00000
 1552.00    0.04394   0.00000
 1553.00    0.04396   0.00000
 1554.00    0.04398   0.00000
 1555.00    0.04399   0.00000
 1556.00    0.04401   0.00000
 1557.00    0.04403   0.00000
 1558.00    0.04404   0.00000
 1559.00    0.04406   0.00000
 1560.00    0.04408   0.00000
 1561.00    0.04409   0.00000
 1562.00    0.04411   0.00000
 1563.00    0.04412   0.00000
 1564.00    0.04414   0.00000
 1565.00    0.04416   0.00000
 1566.00    0.04417   0.00000
 1567.00    0.04419   0.00000
 1568.00    0.04420   0.00000
 1569.00    0.04422   0.00000
 1570.00    0.04423   0.00000
 1571.00    0.04424   0.00000
 1572.00    0.04426   0.00000
 1573.00    0.04427   0.00000
 1574.00    0.04429   0.00000
 1575.00    0.04430   0.00000
 1576.00    0.04431   0.00000
 1577.00    0.04433   0.00000
 1578.00    0.04434   0.00000
 1579.00    0.04435   0.00000
 1580.00    0.04436   0.00000
 1581.00    0.04438   0.00000
 1582.00    0.04439   0.00000
 1583.00    0.04440   0.00000
 1584.00    0.04441   0.00000
 1585.00    0.04443   0.00000
 1586.00    0.04444   0.00000
 1587.00    0.04445   0.00000
 1588.00    0.04446   0.00000
 1589.00    0.04447   0.00000
 1590.00    0.04448   0.00000
 1591.00    0.04449   0.00000
 1592.00    0.04451   0.00000
 1593.00    0.04452   0.00000
 1594.00    0.04453   0.00000
 1595.00    0.04454   0.00000
 1596.00    0.04455   0.00000
 1597.00    0.04456   0.00000
 1598.00    0.04457   0.00000
 1599.00    0.04458   0.00000
 1600.00    0.04459   0.00000
 1601.00    0.04460   0.00000
 1602.00    0.04460   0.00000
 1603.00    0.04461   0.00000
 1604.00    0.04462   0.00000
 1605.00    0.04463   0.00000
 1606.00    0.04464   0.00000
 1607.00    0.04465   0.00000
 1608.00    0.04466   0.00000
 1609.00    0.04466   0.00000
 1610.00    0.04467   0.00000
 1611.00    0.04468   0.00000
 1612.00    0.04469   0.00000
 1613.00    0.04470   0.00000
 1614.00    0.04470   0.00000
 1615.00    0.04471   0.00000
 1616.00    0.04472   0.00000
 1617.00    0.04473   0.00000
 1618.00    0.04473   0.00000
 1619.00    0.04474   0.00000
 1620.00    0.04475   0.00000
 1621.00    0.04475   0.00000
 1622.00    0.04476   0.00000
 1623.00    0.04477   0.00000
 1624.00    0.04477   0.00000
 1625.00    0.04478   0.00000
 1626.00    0.04478   0.00000
 1627.00    0.04479   0.00000
 1628.00    0.04479   0.00000
 1629.00    0.04480   0.00000
 1630.00    0.04481   0.00000
 1631.00    0.04481   0.00000
 1632.00    0.04482   0.00000
 1633.00    0.04482   0.00000
 1634.00    0.04483   0.00000
 1635.00    0.04483   0.00000
 1636.00    0.04483   0.00000
 1637.00    0.04484   0.00000
 1638.00    0.04484   0.00000
 1639.00    0.04485   0.00000
 1640.00    0.04485   0.00000
 1641.00    0.04486   0.00000
 1642.00    0.04486   0.00000
 1643.00    0.04486   0.00000
 1644.00    0.04487   0.00000
 1645.00    0.04487   0.00000
 1646.00    0.04487   0.00000
 1647.00    0.04488   0.00000
 1648.00    0.04488   0.00000
 1649.00    0.04488   0.00000
 1650.00    0.04489   0.00000
 1651.00    0.04489   0.00000
 1652.00    0.04489   0.00000
 1653.00    0.04489   0.00000
 1654.00    0.04490   0.00000
 1655.00    0.04490   0.00000
 1656.00    0.04490   0.00000
 1657.00    0.04490   0.00000
 1658.00    0.04491   0.00000
 1659.00    0.04491   0.00000
 1660.00    0.04491   0.00000
 1661.00    0.04491   0.00000
 1662.00    0.04491   0.00000
 1663.00    0.04491   0.00000
 1664.00    0.04492   0.00000
 1665.00    0.04492   0.00000
 1666.00    0.04492   0.00000
 1667.00    0.04492   0.00000
 1668.00    0.04492   0.00000
 1669.00    0.04492   0.00000
 1670.00    0.04492   0.00000
 1671.00    0.04492   0.00000
 1672.00    0.04492   0.00000
 1673.00    0.04492   0.00000
 1674.00    0.04492   0.00000
 1675.00    0.04492   0.00000
 1676.00    0.04492   0.00000
 1677.00    0.04492   0.00000
 1678.00    0.04492   0.00000
 1679.00    0.04492   0.00000
 1680.00    0.04492   0.00000
 1681.00    0.04492   0.00000
 1682.00    0.04492   0.00000
 1683.00    0.04492   0.00000
 1684.00    0.04492   0.00000
 1685.00    0.04492   0.00000
 1686.00    0.04492   0.00000
 1687.00    0.04492   0.00000
 1688.00    0.04492   0.00000
 1689.00    0.04492   0.00000
 1690.00    0.04492   0.00000
 1691.00    0.04491   0.00000
 1692.00    0.04491   0.00000
 1693.00    0.04491   0.00000
 1694.00    0.04491   0.00000
 1695.00    0.04491   0.00000
 1696.00    0.04491   0.00000
 1697.00    0.04490   0.00000
 1698.00    0.04490   0.00000
 1699.00    0.04490   0.00000
 1700.00    0.04490   0.00000
 1701.00    0.04490   0.00000
 1702.00    0.04489   0.00000
 1703.00    0.04489   0.00000
 1704.00    0.04489   0.00000
 1705.00    0.04489   0.00000
 1706.00    0.04488   0.00000
 1707.00    0.04488   0.00000
 1708.00    0.04488   0.00000
 1709.00    0.04488   0.00000
 1710.00    0.04487   0.00000
 1711.00    0.04487   0.00000
 1712.00    0.04487   0.00000
 1713.00    0.04486   0.00000
 1714.00    0.04486   0.00000
 1715.00    0.04486   0.00000
 1716.00    0.04485   0.00000
 1717.00    0.04485   0.00000
 1718.00    0.04485   0.00000
 1719.00    0.04484   0.00000
 1720.00    0.04484   0.00000
 1721.00    0.04484   0.00000
 1722.00    0.04483   0.00000
 1723.00    0.04483   0.00000
 1724.00    0.04482   0.00000
 1725.00    0.04482   0.00000
 1726.00    0.04482   0.00000
 1727.00    0.04481   0.00000
 1728.00    0.04481   0.00000
 1729.00    0.04480   0.00000
 1730.00    0.04480   0.00000
 1731.00    0.04479   0.00000
 1732.00    0.04479   0.00000
 1733.00    0.04478   0.00000
 1734.00    0.04478   0.00000
 1735.00    0.04477   0.00000
 1736.00    0.04477   0.00000
 1737.00    0.04476   0.00000
 1738.00    0.04476   0.00000
 1739.00    0.04475   0.00000
 1740.00    0.04475   0.00000
 1741.00    0.04474   0.00000
 1742.00    0.04474   0.00000
 1743.00    0.04473   0.00000
 1744.00    0.04473   0.00000
 1745.00    0.04472   0.00000
 1746.00    0.04472   0.00000
 1747.00    0.04471   0.00000
 1748.00    0.04470   0.00000
 1749.00    0.04470   0.00000
 1750.00    0.04469   0.00000
 1751.00    0.04469   0.00000
 1752.00    0.04468   0.00000
 1753.00    0.04468   0.00000
 1754.00    0.04467   0.00000
 1755.00    0.04466   0.00000
 1756.00    0.04466   0.00000
 1757.00    0.04465   0.00000
 1758.00    0.04464   0.00000
 1759.00    0.04464   0.00000
 1760.00    0.04463   0.00000
 1761.00    0.04462   0.00000
 1762.00    0.04462   0.00000
 1763.00    0.04461   0.00000
 1764.00    0.04460   0.00000
 1765.00    0.04460   0.00000
 1766.00    0.04459   0.00000
 1767.00    0.04458   0.00000
 1768.00    0.04458   0.00000
 1769.00    0.04457   0.00000
 1770.00    0.04456   0.00000
 1771.00    0.04456   0.00000
 1772.00    0.04455   0.00000
 1773.00    0.04454   0.00000
 1774.00    0.04453   0.00000
 1775.00    0.04453   0.00000
 1776.00    0.04452   0.00000
 1777.00    0.04451   0.00000
 1778.00    0.04450   0.00000
 1779.00    0.04450   0.00000
 1780.00    0.04449   0.00000
 1781.00    0.04448   0.00000
 1782.00    0.04447   0.00000
 1783.00    0.04447   0.00000
 1784.00    0.04446   0.00000
 1785.00    0.04445   0.00000
 1786.00    0.04444   0.00000
 1787.00    0.04443   0.00000
 1788.00    0.04443   0.00000
 1789.00    0.04442   0.00000
 1790.00    0.04441   0.00000
 1791.00    0.04440   0.00000
 1792.00    0.04439   0.00000
 1793.00    0.04438   0.00000
 1794.00    0.04438   0.00000
 1795.00    0.04437   0.00000
 1796.00    0.04436   0.00000
 1797.00    0.04435   0.00000
 1798.00    0.04434   0.00000
 1799.00    0.04433   0.00000
 1800.00    0.04432   0.00000
 1801.00    0.04432   0.00000
 1802.00    0.04431   0.00000
 1803.00    0.04430   0.00000
 1804.00    0.04429   0.00000
 1805.00    0.04428   0.00000
 1806.00    0.04427   0.00000
 1807.00    0.04426   0.00000
 1808.00    0.04425   0.00000
 1809.00    0.04424   0.00000
 1810.00    0.04423   0.00000
 1811.00    0.04423   0.00000
 1812.00    0.04422   0.00000
 1813.00    0.04421   0.00000
 1814.00    0.04420   0.00000
 1815.00    0.04419   0.00000
 1816.00    0.04418   0.00000
 1817.00    0.04417   0.00000
 1818.00    0.04416   0.00000
 1819.00    0.04415   0.00000
 1820.00    0.04414   0.00000
 1821.00    0.04413   0.00000
 1822.00    0.04412   0.00000
 1823.00    0.04411   0.00000
 1824.00    0.04410   0.00000
 1825.00    0.04409   0.00000
 1826.00    0.04408   0.00000
 1827.00    0.04407   0.00000
 1828.00    0.04406   0.00000
 1829.00    0.04405   0.00000
 1830.00    0.04404   0.00000
 1831.00    0.04403   0.00000
 1832.00    0.04402   0.00000
 1833.00    0.04401   0.00000
 1834.00    0.04400   0.00000
 1835.00    0.04399   0.00000
 1836.00    0.04398   0.00000
 1837.00    0.04397   0.00000
 1838.00    0.04396   0.00000
 1839.00    0.04395   0.00000
 1840.00    0.04394   0.00000
 1841.00    0.04393   0.00000
 1842.00    0.04392   0.00000
 1843.00    0.04391   0.00000
 1844.00    0.04390   0.00000
 1845.00    0.04389   0.00000
 1846.00    0.04388   0.00000
 1847.00    0.04387   0.00000
 1848.00    0.04386   0.00000
 1849.00    0.04384   0.00000
 1850.00    0.04383   0.00000
 1851.00    0.04382   0.00000
 1852.00    0.04381   0.00000
 1853.00    0.04380   0.00000
 1854.00    0.04379   0.00000
 1855.00    0.04378   0.00000
 1856.00    0.04377   0.00000
 1857.00    0.04376   0.00000
 1858.00    0.04375   0.00000
 1859.00    0.04374   0.00000
 1860.00    0.04372   0.00000
 1861.00    0.04371   0.00000
 1862.00    0.04370   0.00000
 1863.00    0.04369   0.00000
 1864.00    0.04368   0.00000
 1865.00    0.04367   0.00000
 1866.00    0.04366   0.00000
 1867.00    0.04365   0.00000
 1868.00    0.04363   0.00000
 1869.00    0.04362   0.00000
 1870.00    0.04361   0.00000
 1871.00    0.04360   0.00000
 1872.00    0.04359   0.00000
 1873.00    0.04358   0.00000
 1874.00    0.04357   0.00000
 1875.00    0.04355   0.00000
 1876.00    0.04354   0.00000
 1877.00    0.04353   0.00000
 1878.00    0.04352   0.00000
 1879.00    0.04351   0.00000
 1880.00    0.04349   0.00000
 1881.00    0.04348   0.00000
 1882.00    0.04347   0.00000
 1883.00    0.04346   0.00000
 1884.00    0.04345   0.00000
 1885.00    0.04344   0.00000
 1886.00    0.04342   0.00000
 1887.00    0.04341   0.00000
 1888.00    0.04340   0.00000
 1889.00    0.04339   0.00000
 1890.00    0.04338   0.00000
 1891.00    0.04336   0.00000
 1892.00    0.04335   0.00000
 1893.00    0.04334   0.00000
 1894.00    0.04333   0.00000
 1895.00    0.04332   0.00000
 1896.00    0.04330   0.00000
 1897.00    0.04329   0.00000
 1898.00    0.04328   0.00000
 1899.00    0.04327   0.00000
 1900.00    0.04325   0.00000
 1901.00    0.04324   0.00000
 1902.00    0.04323   0.00000
 1903.00    0.04322   0.00000
 1904.00    0.04320   0.00000
 1905.00    0.04319   0.00000
 1906.00    0.04318   0.00000
 1907.00    0.04317   0.00000
 1908.00    0.04315   0.00000
 1909.00    0.04314   0.00000
 1910.00    0.04313   0.00000
 1911.00    0.04312   0.00000
 1912.00    0.04310   0.00000
 1913.00    0.04309   0.00000
 1914.00    0.04308   0.00000
