   W         M2+(pi+_n)
 (MeV)      Re      Im
 1080.0   -0.048   0.000
 1081.0   -0.055   0.000
 1082.0   -0.062   0.000
 1083.0   -0.068   0.000
 1084.0   -0.075   0.000
 1085.0   -0.081   0.000
 1086.0   -0.087   0.000
 1087.0   -0.094   0.000
 1088.0   -0.100   0.000
 1089.0   -0.106   0.000
 1090.0   -0.112   0.000
 1091.0   -0.118   0.000
 1092.0   -0.124   0.000
 1093.0   -0.130   0.000
 1094.0   -0.135   0.000
 1095.0   -0.141   0.000
 1096.0   -0.146   0.000
 1097.0   -0.152   0.000
 1098.0   -0.157   0.000
 1099.0   -0.163   0.000
 1100.0   -0.168   0.000
 1101.0   -0.173   0.000
 1102.0   -0.178   0.000
 1103.0   -0.183   0.000
 1104.0   -0.188   0.000
 1105.0   -0.193   0.000
 1106.0   -0.198   0.000
 1107.0   -0.203   0.000
 1108.0   -0.207   0.000
 1109.0   -0.212   0.000
 1110.0   -0.217   0.000
 1111.0   -0.221   0.000
 1112.0   -0.226   0.000
 1113.0   -0.230   0.000
 1114.0   -0.234   0.000
 1115.0   -0.239   0.000
 1116.0   -0.243   0.000
 1117.0   -0.247   0.000
 1118.0   -0.251   0.000
 1119.0   -0.255   0.000
 1120.0   -0.259   0.000
 1121.0   -0.263   0.000
 1122.0   -0.267   0.000
 1123.0   -0.271   0.000
 1124.0   -0.275   0.000
 1125.0   -0.279   0.000
 1126.0   -0.282   0.000
 1127.0   -0.286   0.000
 1128.0   -0.290   0.000
 1129.0   -0.293   0.000
 1130.0   -0.297   0.000
 1131.0   -0.300   0.000
 1132.0   -0.303   0.000
 1133.0   -0.307   0.000
 1134.0   -0.310   0.000
 1135.0   -0.313   0.000
 1136.0   -0.316   0.000
 1137.0   -0.320   0.000
 1138.0   -0.323   0.000
 1139.0   -0.326   0.000
 1140.0   -0.329   0.000
 1141.0   -0.332   0.000
 1142.0   -0.335   0.000
 1143.0   -0.338  -0.001
 1144.0   -0.340  -0.001
 1145.0   -0.343  -0.001
 1146.0   -0.346  -0.001
 1147.0   -0.349  -0.001
 1148.0   -0.351  -0.001
 1149.0   -0.354  -0.001
 1150.0   -0.357  -0.001
 1151.0   -0.359  -0.001
 1152.0   -0.362  -0.001
 1153.0   -0.364  -0.001
 1154.0   -0.367  -0.001
 1155.0   -0.369  -0.001
 1156.0   -0.371  -0.001
 1157.0   -0.374  -0.001
 1158.0   -0.376  -0.001
 1159.0   -0.378  -0.001
 1160.0   -0.380  -0.001
 1161.0   -0.383  -0.001
 1162.0   -0.385  -0.001
 1163.0   -0.387  -0.001
 1164.0   -0.389  -0.001
 1165.0   -0.391  -0.001
 1166.0   -0.393  -0.001
 1167.0   -0.395  -0.001
 1168.0   -0.397  -0.001
 1169.0   -0.399  -0.001
 1170.0   -0.401  -0.001
 1171.0   -0.403  -0.001
 1172.0   -0.404  -0.001
 1173.0   -0.406  -0.001
 1174.0   -0.408  -0.001
 1175.0   -0.410  -0.001
 1176.0   -0.411  -0.001
 1177.0   -0.413  -0.002
 1178.0   -0.415  -0.002
 1179.0   -0.416  -0.002
 1180.0   -0.418  -0.002
 1181.0   -0.419  -0.002
 1182.0   -0.421  -0.002
 1183.0   -0.422  -0.002
 1184.0   -0.424  -0.002
 1185.0   -0.425  -0.002
 1186.0   -0.427  -0.002
 1187.0   -0.428  -0.002
 1188.0   -0.430  -0.002
 1189.0   -0.431  -0.002
 1190.0   -0.432  -0.002
 1191.0   -0.433  -0.002
 1192.0   -0.435  -0.002
 1193.0   -0.436  -0.002
 1194.0   -0.437  -0.002
 1195.0   -0.438  -0.002
 1196.0   -0.439  -0.002
 1197.0   -0.441  -0.002
 1198.0   -0.442  -0.002
 1199.0   -0.443  -0.002
 1200.0   -0.444  -0.002
 1201.0   -0.445  -0.003
 1202.0   -0.446  -0.003
 1203.0   -0.447  -0.003
 1204.0   -0.448  -0.003
 1205.0   -0.449  -0.003
 1206.0   -0.450  -0.003
 1207.0   -0.451  -0.003
 1208.0   -0.451  -0.003
 1209.0   -0.452  -0.003
 1210.0   -0.453  -0.003
 1211.0   -0.454  -0.003
 1212.0   -0.455  -0.003
 1213.0   -0.455  -0.003
 1214.0   -0.456  -0.003
 1215.0   -0.457  -0.003
 1216.0   -0.458  -0.003
 1217.0   -0.458  -0.003
 1218.0   -0.459  -0.003
 1219.0   -0.460  -0.003
 1220.0   -0.460  -0.003
 1221.0   -0.461  -0.003
 1222.0   -0.461  -0.003
 1223.0   -0.462  -0.004
 1224.0   -0.463  -0.004
 1225.0   -0.463  -0.004
 1226.0   -0.464  -0.004
 1227.0   -0.464  -0.004
 1228.0   -0.465  -0.004
 1229.0   -0.465  -0.004
 1230.0   -0.465  -0.004
 1231.0   -0.466  -0.004
 1232.0   -0.466  -0.004
 1233.0   -0.467  -0.004
 1234.0   -0.467  -0.004
 1235.0   -0.467  -0.004
 1236.0   -0.468  -0.004
 1237.0   -0.468  -0.004
 1238.0   -0.468  -0.004
 1239.0   -0.469  -0.004
 1240.0   -0.469  -0.004
 1241.0   -0.469  -0.004
 1242.0   -0.469  -0.005
 1243.0   -0.470  -0.005
 1244.0   -0.470  -0.005
 1245.0   -0.470  -0.005
 1246.0   -0.470  -0.005
 1247.0   -0.470  -0.005
 1248.0   -0.471  -0.005
 1249.0   -0.471  -0.005
 1250.0   -0.471  -0.005
 1251.0   -0.471  -0.005
 1252.0   -0.471  -0.005
 1253.0   -0.471  -0.005
 1254.0   -0.471  -0.005
 1255.0   -0.471  -0.005
 1256.0   -0.471  -0.005
 1257.0   -0.471  -0.005
 1258.0   -0.471  -0.005
 1259.0   -0.471  -0.005
 1260.0   -0.471  -0.005
 1261.0   -0.471  -0.006
 1262.0   -0.471  -0.006
 1263.0   -0.471  -0.006
 1264.0   -0.471  -0.006
 1265.0   -0.471  -0.006
 1266.0   -0.471  -0.006
 1267.0   -0.471  -0.006
 1268.0   -0.470  -0.006
 1269.0   -0.470  -0.006
 1270.0   -0.470  -0.006
 1271.0   -0.470  -0.006
 1272.0   -0.470  -0.006
 1273.0   -0.470  -0.006
 1274.0   -0.469  -0.006
 1275.0   -0.469  -0.006
 1276.0   -0.469  -0.006
 1277.0   -0.469  -0.006
 1278.0   -0.468  -0.006
 1279.0   -0.468  -0.006
 1280.0   -0.468  -0.007
 1281.0   -0.468  -0.007
 1282.0   -0.467  -0.007
 1283.0   -0.467  -0.007
 1284.0   -0.467  -0.007
 1285.0   -0.466  -0.007
 1286.0   -0.466  -0.007
 1287.0   -0.466  -0.007
 1288.0   -0.465  -0.007
 1289.0   -0.465  -0.007
 1290.0   -0.465  -0.007
 1291.0   -0.464  -0.007
 1292.0   -0.464  -0.007
 1293.0   -0.463  -0.007
 1294.0   -0.463  -0.007
 1295.0   -0.462  -0.007
 1296.0   -0.462  -0.007
 1297.0   -0.462  -0.007
 1298.0   -0.461  -0.007
 1299.0   -0.461  -0.007
 1300.0   -0.460  -0.007
 1301.0   -0.460  -0.007
 1302.0   -0.459  -0.008
 1303.0   -0.459  -0.008
 1304.0   -0.458  -0.008
 1305.0   -0.458  -0.008
 1306.0   -0.457  -0.008
 1307.0   -0.456  -0.008
 1308.0   -0.456  -0.008
 1309.0   -0.455  -0.008
 1310.0   -0.455  -0.008
 1311.0   -0.454  -0.008
 1312.0   -0.454  -0.008
 1313.0   -0.453  -0.008
 1314.0   -0.452  -0.008
 1315.0   -0.452  -0.008
 1316.0   -0.451  -0.008
 1317.0   -0.450  -0.008
 1318.0   -0.450  -0.008
 1319.0   -0.449  -0.008
 1320.0   -0.448  -0.008
 1321.0   -0.448  -0.008
 1322.0   -0.447  -0.008
 1323.0   -0.446  -0.008
 1324.0   -0.446  -0.008
 1325.0   -0.445  -0.008
 1326.0   -0.444  -0.008
 1327.0   -0.444  -0.008
 1328.0   -0.443  -0.008
 1329.0   -0.442  -0.008
 1330.0   -0.441  -0.009
 1331.0   -0.441  -0.009
 1332.0   -0.440  -0.009
 1333.0   -0.439  -0.009
 1334.0   -0.438  -0.009
 1335.0   -0.437  -0.009
 1336.0   -0.437  -0.009
 1337.0   -0.436  -0.009
 1338.0   -0.435  -0.009
 1339.0   -0.434  -0.009
 1340.0   -0.433  -0.009
 1341.0   -0.433  -0.009
 1342.0   -0.432  -0.009
 1343.0   -0.431  -0.009
 1344.0   -0.430  -0.009
 1345.0   -0.429  -0.009
 1346.0   -0.428  -0.009
 1347.0   -0.427  -0.009
 1348.0   -0.427  -0.009
 1349.0   -0.426  -0.009
 1350.0   -0.425  -0.009
 1351.0   -0.424  -0.009
 1352.0   -0.423  -0.009
 1353.0   -0.422  -0.009
 1354.0   -0.421  -0.009
 1355.0   -0.420  -0.009
 1356.0   -0.419  -0.009
 1357.0   -0.418  -0.009
 1358.0   -0.417  -0.009
 1359.0   -0.416  -0.009
 1360.0   -0.415  -0.009
