   W         M3-(pi+_n)
 (MeV)      Re      Im
 1080.0    0.005   0.000
 1081.0    0.006   0.000
 1082.0    0.007   0.000
 1083.0    0.008   0.000
 1084.0    0.009   0.000
 1085.0    0.010   0.000
 1086.0    0.012   0.000
 1087.0    0.013   0.000
 1088.0    0.014   0.000
 1089.0    0.016   0.000
 1090.0    0.017   0.000
 1091.0    0.018   0.000
 1092.0    0.020   0.000
 1093.0    0.021   0.000
 1094.0    0.023   0.000
 1095.0    0.024   0.000
 1096.0    0.026   0.000
 1097.0    0.027   0.000
 1098.0    0.029   0.000
 1099.0    0.030   0.000
 1100.0    0.032   0.000
 1101.0    0.034   0.000
 1102.0    0.035   0.000
 1103.0    0.037   0.000
 1104.0    0.038   0.000
 1105.0    0.040   0.000
 1106.0    0.042   0.000
 1107.0    0.043   0.000
 1108.0    0.045   0.000
 1109.0    0.047   0.000
 1110.0    0.048   0.000
 1111.0    0.050   0.000
 1112.0    0.051   0.000
 1113.0    0.053   0.000
 1114.0    0.055   0.000
 1115.0    0.056   0.000
 1116.0    0.058   0.000
 1117.0    0.060   0.000
 1118.0    0.061   0.000
 1119.0    0.063   0.000
 1120.0    0.065   0.000
 1121.0    0.067   0.000
 1122.0    0.068   0.000
 1123.0    0.070   0.000
 1124.0    0.072   0.000
 1125.0    0.073   0.000
 1126.0    0.075   0.000
 1127.0    0.077   0.000
 1128.0    0.078   0.000
 1129.0    0.080   0.000
 1130.0    0.082   0.000
 1131.0    0.083   0.000
 1132.0    0.085   0.000
 1133.0    0.087   0.000
 1134.0    0.088   0.000
 1135.0    0.090   0.000
 1136.0    0.092   0.000
 1137.0    0.093   0.000
 1138.0    0.095   0.000
 1139.0    0.096   0.000
 1140.0    0.098   0.000
 1141.0    0.100   0.000
 1142.0    0.101   0.000
 1143.0    0.103   0.000
 1144.0    0.105   0.000
 1145.0    0.106   0.000
 1146.0    0.108   0.000
 1147.0    0.109   0.000
 1148.0    0.111   0.000
