   W         E4-(pi+_n)
 (MeV)      Re         Im
 1080.0    0.00267    0.00000
 1081.0    0.00300    0.00000
 1082.0    0.00433    0.00000
 1083.0    0.00467    0.00000
 1084.0    0.00600    0.00000
 1085.0    0.00734    0.00000
 1086.0    0.00767    0.00000
 1087.0    0.00900    0.00000
 1088.0    0.01067    0.00000
 1089.0    0.01200    0.00000
 1090.0    0.01334    0.00000
 1091.0    0.01500    0.00000
 1092.0    0.01634    0.00000
 1093.0    0.01801    0.00000
 1094.0    0.01934    0.00000
 1095.0    0.02101    0.00000
 1096.0    0.02267    0.00000
 1097.0    0.02401    0.00000
 1098.0    0.02567    0.00000
 1099.0    0.02734    0.00000
 1100.0    0.03001    0.00000
 1101.0    0.03168    0.00000
 1102.0    0.03334    0.00000
 1103.0    0.03468    0.00000
 1104.0    0.03734    0.00000
 1105.0    0.03901    0.00000
 1106.0    0.04068    0.00000
 1107.0    0.04335    0.00000
 1108.0    0.04501    0.00000
 1109.0    0.04668    0.00000
 1110.0    0.04935    0.00000
 1111.0    0.05135    0.00000
 1112.0    0.05301    0.00000
 1113.0    0.05568    0.00000
 1114.0    0.05735    0.00000
 1115.0    0.06002    0.00000
 1116.0    0.06168    0.00000
 1117.0    0.06335    0.00000
 1118.0    0.06602    0.00000
 1119.0    0.06802    0.00000
 1120.0    0.07069    0.00000
 1121.0    0.07235    0.00000
 1122.0    0.07402    0.00000
 1123.0    0.07669    0.00000
 1124.0    0.07836    0.00000
 1125.0    0.08136    0.00000
 1126.0    0.08302    0.00000
 1127.0    0.08569    0.00000
 1128.0    0.08736    0.00000
 1129.0    0.09003    0.00000
 1130.0    0.09203    0.00000
 1131.0    0.09369    0.00000
 1132.0    0.09636    0.00000
 1133.0    0.09803    0.00000
 1134.0    0.10069    0.00000
 1135.0    0.10270    0.00000
 1136.0    0.10536    0.00000
 1137.0    0.10703    0.00000
 1138.0    0.10870    0.00000
 1139.0    0.11136    0.00000
 1140.0    0.11303    0.00000
