   W         M1+(pi+_n)
 (MeV)      Re         Im
 1080.0   -2.58172   -0.00167
 1081.0   -2.80112   -0.00267
 1082.0   -3.01084   -0.00433
 1083.0   -3.21323   -0.00667
 1084.0   -3.40962   -0.00834
 1085.0   -3.60134   -0.01234
 1086.0   -3.78839   -0.01700
 1087.0   -3.96578   -0.02234
 1088.0   -4.12982   -0.02767
 1089.0   -4.28987   -0.03234
 1090.0   -4.44524   -0.03901
 1091.0   -4.59595   -0.04601
 1092.0   -4.74333   -0.05402
 1093.0   -4.88837   -0.06135
 1094.0   -5.03041   -0.07035
 1095.0   -5.17045   -0.08002
 1096.0   -5.30782   -0.08969
 1097.0   -5.44352   -0.10103
 1098.0   -5.57723   -0.11303
 1099.0   -5.70893   -0.12470
 1100.0   -5.83930   -0.13837
 1101.0   -5.96800   -0.15171
 1102.0   -6.09604   -0.16705
 1103.0   -6.22274   -0.18338
 1104.0   -6.34911   -0.19939
 1105.0   -6.47348   -0.21739
 1106.0   -6.59851   -0.23540
 1107.0   -6.72155   -0.25540
 1108.0   -6.84425   -0.27574
 1109.0   -6.96728   -0.29775
 1110.0   -7.08898   -0.32009
 1111.0   -7.21002   -0.34443
 1112.0   -7.33138   -0.36877
 1113.0   -7.45142   -0.39444
 1114.0   -7.57212   -0.42245
 1115.0   -7.69282   -0.45079
 1116.0   -7.81285   -0.48113
 1117.0   -7.93322   -0.51214
 1118.0   -8.05292   -0.54449
 1119.0   -8.17295   -0.57950
 1120.0   -8.29232   -0.61484
 1121.0   -8.41335   -0.65252
 1122.0   -8.53272   -0.69119
 1123.0   -8.65342   -0.73120
 1124.0   -8.77345   -0.77422
 1125.0   -8.89415   -0.81790
 1126.0   -9.01419   -0.86324
 1127.0   -9.13489   -0.91192
 1128.0   -9.25625   -0.96127
 1129.0   -9.37762   -1.01262
 1130.0   -9.49899   -1.06596
 1131.0   -9.62069   -1.12265
 1132.0   -9.74272   -1.18033
 1133.0   -9.86442   -1.24068
 1134.0   -9.98646   -1.30436
 1135.0  -10.10916   -1.36905
 1136.0  -10.23119   -1.43673
 1137.0  -10.35456   -1.50709
 1138.0  -10.47760   -1.58078
 1139.0  -10.60096   -1.65646
 1140.0  -10.72366   -1.73515
 1141.0  -10.84770   -1.81651
 1142.0  -10.97107   -1.90220
 1143.0  -11.09477   -1.98989
