   W         M3-(pi+_n)
 (MeV)      Re         Im
 1080.0    0.00071    0.00000
 1081.0    0.00094    0.00000
 1082.0    0.00118    0.00000
 1083.0    0.00071    0.00000
 1084.0    0.00094    0.00000
 1085.0    0.00118    0.00000
 1086.0    0.00141    0.00000
 1087.0    0.00165    0.00000
 1088.0    0.00189    0.00000
 1089.0    0.00212    0.00000
 1090.0    0.00236    0.00000
 1091.0    0.00259    0.00000
 1092.0    0.00236    0.00000
 1093.0    0.00259    0.00000
 1094.0    0.00283    0.00000
 1095.0    0.00259    0.00000
 1096.0    0.00283    0.00000
 1097.0    0.00306    0.00000
 1098.0    0.00283    0.00000
 1099.0    0.00306    0.00000
 1100.0    0.00330    0.00000
 1101.0    0.00306    0.00000
 1102.0    0.00330    0.00000
 1103.0    0.00377    0.00000
 1104.0    0.00401    0.00000
 1105.0    0.00424    0.00000
 1106.0    0.00401    0.00000
 1107.0    0.00424    0.00000
 1108.0    0.00401    0.00000
 1109.0    0.00495    0.00000
 1110.0    0.00472    0.00000
 1111.0    0.00495    0.00000
 1112.0    0.00472    0.00000
 1113.0    0.00495    0.00000
 1114.0    0.00542    0.00000
 1115.0    0.00566    0.00000
 1116.0    0.00542    0.00000
 1117.0    0.00566    0.00000
 1118.0    0.00613    0.00000
 1119.0    0.00637    0.00000
 1120.0    0.00613    0.00000
 1121.0    0.00707    0.00000
 1122.0    0.00684    0.00000
 1123.0    0.00707    0.00000
 1124.0    0.00684    0.00000
 1125.0    0.00778    0.00000
 1126.0    0.00754    0.00000
 1127.0    0.00778    0.00000
 1128.0    0.00754    0.00000
 1129.0    0.00802    0.00000
 1130.0    0.00825    0.00000
 1131.0    0.00802    0.00000
 1132.0    0.00896    0.00000
 1133.0    0.00872    0.00000
 1134.0    0.00896    0.00000
 1135.0    0.00943    0.00000
 1136.0    0.00967    0.00000
 1137.0    0.00943    0.00000
 1138.0    0.00967    0.00000
 1139.0    0.01014    0.00000
 1140.0    0.01037    0.00000
 1141.0    0.01014    0.00000
 1142.0    0.01108    0.00000
 1143.0    0.01085    0.00000
 1144.0    0.01108    0.00000
 1145.0    0.01085    0.00000
 1146.0    0.01179    0.00000
 1147.0    0.01155    0.00000
 1148.0    0.01179    0.00000
 1149.0    0.01273    0.00000
 1150.0    0.01250    0.00000
 1151.0    0.01273    0.00000
 1152.0    0.01250    0.00000
 1153.0    0.01344    0.00000
 1154.0    0.01320    0.00000
 1155.0    0.01344    0.00000
 1156.0    0.01320    0.00000
 1157.0    0.01415    0.00000
 1158.0    0.01438    0.00000
 1159.0    0.01415    0.00000
 1160.0    0.01509    0.00000
 1161.0    0.01485    0.00000
 1162.0    0.01509    0.00000
 1163.0    0.01532    0.00000
 1164.0    0.01509    0.00000
 1165.0    0.01603    0.00000
 1166.0    0.01580    0.00000
 1167.0    0.01603    0.00000
 1168.0    0.01627    0.00000
 1169.0    0.01603    0.00000
 1170.0    0.01698    0.00000
 1171.0    0.01721    0.00000
 1172.0    0.01698    0.00000
 1173.0    0.01721    0.00000
 1174.0    0.01745    0.00000
 1175.0    0.01792    0.00000
 1176.0    0.01815    0.00000
 1177.0    0.01839    0.00000
 1178.0    0.01815    0.00000
 1179.0    0.01839    0.00000
 1180.0    0.01933    0.00000
 1181.0    0.01910    0.00000
 1182.0    0.01933    0.00000
 1183.0    0.01957    0.00000
 1184.0    0.01980    0.00000
 1185.0    0.01957    0.00000
 1186.0    0.01980    0.00000
 1187.0    0.02004    0.00000
 1188.0    0.02098    0.00000
 1189.0    0.02075    0.00000
 1190.0    0.02098    0.00000
 1191.0    0.02122    0.00000
 1192.0    0.02145    0.00000
 1193.0    0.02169    0.00000
 1194.0    0.02145    0.00000
 1195.0    0.02169    0.00000
 1196.0    0.02193    0.00000
 1197.0    0.02216    0.00000
 1198.0    0.02240    0.00000
 1199.0    0.02216    0.00000
 1200.0    0.02240    0.00000
 1201.0    0.02263    0.00000
 1202.0    0.02287    0.00000
 1203.0    0.02311    0.00000
 1204.0    0.02334    0.00000
 1205.0    0.02358    0.00000
 1206.0    0.02381    0.00000
 1207.0    0.02358    0.00000
 1208.0    0.02381    0.00000
 1209.0    0.02405    0.00000
 1210.0    0.02428    0.00000
 1211.0    0.02452    0.00000
 1212.0    0.02476    0.00000
 1213.0    0.02499    0.00000
 1214.0    0.02523    0.00000
 1215.0    0.02546    0.00000
 1216.0    0.02570    0.00000
 1217.0    0.02593    0.00000
 1218.0    0.02617    0.00000
 1219.0    0.02641    0.00000
 1220.0    0.02664    0.00000
 1221.0    0.02688    0.00000
 1222.0    0.02711    0.00000
 1223.0    0.02664    0.00000
 1224.0    0.02688    0.00000
 1225.0    0.02711    0.00000
 1226.0    0.02735    0.00000
 1227.0    0.02758    0.00000
 1228.0    0.02782    0.00000
 1229.0    0.02806    0.00000
 1230.0    0.02829   -0.00071
 1231.0    0.02782   -0.00071
 1232.0    0.02806   -0.00071
 1233.0    0.02829   -0.00071
 1234.0    0.02853   -0.00071
 1235.0    0.02876   -0.00071
 1236.0    0.02900   -0.00071
 1237.0    0.02924   -0.00071
 1238.0    0.02876   -0.00071
 1239.0    0.02947   -0.00071
