   W         E3+(eta_p)
 (MeV)      Re         Im
 1486.0   -0.000004  -0.000002
 1487.0   -0.000002  -0.000001
 1488.0    0.000001   0.000000
 1489.0    0.000003   0.000002
 1490.0    0.000005   0.000003
 1491.0    0.000007   0.000004
 1492.0    0.000010   0.000006
 1493.0    0.000012   0.000007
 1494.0    0.000014   0.000008
 1495.0    0.000016   0.000010
 1496.0    0.000020   0.000011
 1497.0    0.000023   0.000013
 1498.0    0.000026   0.000014
 1499.0    0.000030   0.000016
 1500.0    0.000033   0.000017
 1501.0    0.000036   0.000020
 1502.0    0.000040   0.000022
 1503.0    0.000043   0.000025
 1504.0    0.000047   0.000028
 1505.0    0.000050   0.000031
 1506.0    0.000054   0.000034
 1507.0    0.000058   0.000037
 1508.0    0.000063   0.000040
 1509.0    0.000067   0.000043
 1510.0    0.000071   0.000046
 1511.0    0.000076   0.000049
 1512.0    0.000081   0.000052
 1513.0    0.000086   0.000055
 1514.0    0.000091   0.000058
 1515.0    0.000097   0.000062
 1516.0    0.000102   0.000066
 1517.0    0.000107   0.000070
 1518.0    0.000113   0.000074
 1519.0    0.000118   0.000078
 1520.0    0.000123   0.000082
 1521.0    0.000129   0.000086
 1522.0    0.000135   0.000091
 1523.0    0.000142   0.000095
 1524.0    0.000148   0.000099
 1525.0    0.000154   0.000104
 1526.0    0.000160   0.000109
 1527.0    0.000166   0.000114
 1528.0    0.000173   0.000119
 1529.0    0.000179   0.000124
 1530.0    0.000186   0.000130
 1531.0    0.000193   0.000135
 1532.0    0.000200   0.000141
 1533.0    0.000207   0.000146
 1534.0    0.000214   0.000151
 1535.0    0.000221   0.000157
 1536.0    0.000229   0.000163
 1537.0    0.000236   0.000169
 1538.0    0.000244   0.000175
 1539.0    0.000251   0.000182
 1540.0    0.000259   0.000188
 1541.0    0.000267   0.000194
 1542.0    0.000275   0.000201
 1543.0    0.000283   0.000208
 1544.0    0.000291   0.000215
 1545.0    0.000299   0.000221
 1546.0    0.000307   0.000229
 1547.0    0.000316   0.000236
 1548.0    0.000324   0.000243
 1549.0    0.000332   0.000251
 1550.0    0.000341   0.000258
 1551.0    0.000350   0.000266
 1552.0    0.000358   0.000274
 1553.0    0.000367   0.000282
 1554.0    0.000376   0.000290
 1555.0    0.000385   0.000298
 1556.0    0.000394   0.000307
 1557.0    0.000403   0.000315
 1558.0    0.000413   0.000324
 1559.0    0.000422   0.000332
 1560.0    0.000431   0.000341
 1561.0    0.000441   0.000350
 1562.0    0.000450   0.000360
 1563.0    0.000460   0.000369
 1564.0    0.000470   0.000378
 1565.0    0.000479   0.000387
 1566.0    0.000489   0.000397
 1567.0    0.000499   0.000407
 1568.0    0.000509   0.000417
 1569.0    0.000519   0.000427
 1570.0    0.000529   0.000437
 1571.0    0.000540   0.000448
 1572.0    0.000550   0.000459
 1573.0    0.000560   0.000469
 1574.0    0.000571   0.000480
 1575.0    0.000581   0.000491
 1576.0    0.000592   0.000502
 1577.0    0.000603   0.000513
 1578.0    0.000614   0.000524
 1579.0    0.000625   0.000535
 1580.0    0.000636   0.000546
 1581.0    0.000647   0.000558
 1582.0    0.000658   0.000570
 1583.0    0.000668   0.000582
 1584.0    0.000679   0.000595
 1585.0    0.000690   0.000607
 1586.0    0.000701   0.000620
 1587.0    0.000712   0.000632
 1588.0    0.000724   0.000645
 1589.0    0.000735   0.000658
 1590.0    0.000746   0.000671
 1591.0    0.000758   0.000684
 1592.0    0.000769   0.000697
 1593.0    0.000781   0.000711
 1594.0    0.000792   0.000724
 1595.0    0.000804   0.000738
 1596.0    0.000816   0.000752
 1597.0    0.000827   0.000766
 1598.0    0.000839   0.000780
 1599.0    0.000851   0.000795
 1600.0    0.000863   0.000809
 1601.0    0.000875   0.000824
 1602.0    0.000887   0.000839
 1603.0    0.000899   0.000854
 1604.0    0.000911   0.000869
 1605.0    0.000923   0.000884
 1606.0    0.000935   0.000899
 1607.0    0.000947   0.000915
 1608.0    0.000960   0.000931
 1609.0    0.000972   0.000946
 1610.0    0.000984   0.000962
 1611.0    0.000996   0.000979
 1612.0    0.001009   0.000995
 1613.0    0.001021   0.001012
 1614.0    0.001033   0.001028
 1615.0    0.001046   0.001045
 1616.0    0.001058   0.001062
 1617.0    0.001071   0.001079
 1618.0    0.001083   0.001096
 1619.0    0.001096   0.001114
 1620.0    0.001109   0.001131
 1621.0    0.001121   0.001149
 1622.0    0.001134   0.001167
 1623.0    0.001146   0.001185
 1624.0    0.001159   0.001203
 1625.0    0.001172   0.001221
 1626.0    0.001185   0.001239
 1627.0    0.001199   0.001257
 1628.0    0.001212   0.001275
 1629.0    0.001226   0.001293
 1630.0    0.001239   0.001311
 1631.0    0.001251   0.001332
 1632.0    0.001264   0.001352
 1633.0    0.001276   0.001372
 1634.0    0.001288   0.001393
 1635.0    0.001300   0.001413
 1636.0    0.001313   0.001433
 1637.0    0.001326   0.001454
 1638.0    0.001339   0.001474
 1639.0    0.001352   0.001495
 1640.0    0.001365   0.001515
 1641.0    0.001378   0.001537
 1642.0    0.001390   0.001558
 1643.0    0.001403   0.001579
 1644.0    0.001416   0.001601
 1645.0    0.001429   0.001622
 1646.0    0.001442   0.001644
 1647.0    0.001455   0.001666
 1648.0    0.001468   0.001689
 1649.0    0.001481   0.001711
 1650.0    0.001494   0.001733
 1651.0    0.001506   0.001756
 1652.0    0.001519   0.001779
 1653.0    0.001532   0.001802
 1654.0    0.001545   0.001825
 1655.0    0.001558   0.001848
 1656.0    0.001571   0.001872
 1657.0    0.001583   0.001896
 1658.0    0.001596   0.001920
 1659.0    0.001609   0.001944
 1660.0    0.001622   0.001968
 1661.0    0.001634   0.001993
 1662.0    0.001647   0.002018
 1663.0    0.001660   0.002042
 1664.0    0.001672   0.002067
 1665.0    0.001685   0.002092
 1666.0    0.001697   0.002118
 1667.0    0.001710   0.002144
 1668.0    0.001722   0.002169
 1669.0    0.001735   0.002195
 1670.0    0.001747   0.002221
 1671.0    0.001760   0.002248
 1672.0    0.001772   0.002274
 1673.0    0.001784   0.002301
 1674.0    0.001796   0.002328
 1675.0    0.001809   0.002355
 1676.0    0.001821   0.002382
 1677.0    0.001833   0.002410
 1678.0    0.001845   0.002438
 1679.0    0.001857   0.002465
 1680.0    0.001869   0.002493
 1681.0    0.001881   0.002522
 1682.0    0.001892   0.002550
 1683.0    0.001904   0.002579
 1684.0    0.001916   0.002608
 1685.0    0.001928   0.002636
 1686.0    0.001939   0.002666
 1687.0    0.001951   0.002696
 1688.0    0.001962   0.002725
